keyphrase,adjusted_mean_shap
film,0.0386462618923362
portrait,0.036121653968147524
painting,0.023177855118721374
painting sargent,0.010294502488486377
deviantart,0.0099795038813975
high quality,0.008139468968539525
cinematic composition,0.007987814445077124
portrait painted,0.007690526797200625
artstation,0.007657246989527626
anime,0.007561711790721275
steampunk,0.007104157532551025
art,0.006046185759130175
scene,0.00601973940971625
detailed ultra,0.005790924855885075
dark,0.005381664833444299
photorealistic,0.0051804051286976
artstation hyperrealism,0.0051056906552671
picasso,0.0045850230828857
concept art,0.00445027312364975
bonsai,0.004442038264233325
footage,0.00436870482623215
goddess,0.004258013477736125
donald,0.004179940258563225
peter,0.004133593978149575
cyberpunk,0.004066298740290275
digital art,0.003984246178871775
cinematic deviantart,0.003929732325426925
sky,0.0037552814065991
photography,0.0036015236675854
movie,0.0035950740053986496
peter elson,0.003590909408239675
photorealistic digital,0.0035065498184771496
art artgerm,0.0033045462801114
realistic cinematic,0.0032413761146297
fantasy art,0.003221287130398575
photograph,0.00319321803737355
clouds,0.0030510205085448753
portrait sabouts,0.00303395205319185
neuromancer,0.002928270312425425
intricate details,0.002895879982659025
fiction film,0.002871656797026675
illustration art,0.0028525506688018
oil painting,0.0028445233304747
century modern,0.002825545112348675
digital painting,0.0028182058271865
himalayan,0.002750984165275775
unreal engine,0.002721907042910425
sony,0.002685465830461025
phyics entries,0.0026703835137093248
pikachu hannah,0.0025577946753789
portrait extremely,0.0025260487975924248
cinematic,0.002519704148518325
einstein,0.0025119440507997996
art smooth,0.002470638787808375
saitama anime,0.002429394094844278
painting beautiful,0.00241175916488745
uncanny,0.0023887052603095
lighting,0.0023818162934257873
city,0.0023815606681554
elson,0.002276362305677575
detective pikachu,0.0022522913256064004
spaceship,0.0022005271789133
canvas,0.002176934673778925
detailed painting,0.0021450973309655626
josan gonzalez,0.0021321100846802
art sharp,0.002125643213904525
matte painting,0.0021052814994165247
comprehensive art,0.00209115796529605
deviantart realistic,0.00207594850112225
ultra realistic,0.0020701390895164753
manga,0.0020152910481285
cyborg,0.002006366540305025
cat,0.00193680237163665
art style,0.001924935957677515
mid century,0.00191863751253845
illustrated,0.0018691828699287335
photo,0.00184143111522495
artstation concept,0.0017967711771927
flowers,0.001790504369434525
hd goth,0.001766862185468475
robot,0.0017642410009759248
painting artstation,0.0017435230728753501
film neuromancer,0.001735794531566475
fifth element,0.0017162009519865501
matte,0.0017052524211824999
art trending,0.0016940146954698252
cute fluffy,0.00168640595425975
modern art,0.00168296015042435
statue,0.001668988949835025
zdzislaw beksinski,0.0016611033056447
artstation cinematic,0.001657286547522275
snowy,0.0016375885987262
mila kunis,0.0016312727347119
abandoned,0.001626241381328275
woman,0.0015825051805202616
forest,0.001581334948126725
steampunk himalayan,0.0015457059221431
trending artstation,0.0015453874133931499
bjork,0.0015304084447917
portrait male,0.0015221807251105748
scene science,0.00151786870897905
goth emo,0.0015158566613877999
lifelike photorealistic,0.0015090744619774999
edwardian photograph,0.001499074620628
blinders photography,0.0014885998703623
fluffy,0.0014780920187681531
madeira faroe,0.0014749014905706499
hyper detailed,0.0014726005145597751
frazetta,0.00145912180558725
headshot edwardian,0.0014491903888584
intricate hyper,0.0014372431943367
photo realistic,0.001432618712342025
knight,0.0014285530994979
portrait photograph,0.001420288722952723
gordon,0.00140769458643785
garden intricate,0.0013969626661256502
ruins,0.0013893490878306
space,0.0013860880035881794
deviantart cinematic,0.0013781796363236
art lifelike,0.00136914621312995
castle,0.0013583331851415
elf,0.0013507555167268249
character portrait,0.0013473434487301
art realistic,0.0013005421755858501
painting deviantart,0.0013002778213503999
portrait intricate,0.0012990855095883751
octane render,0.0012965580490945246
details intricate,0.001285761036556
science fiction,0.001278570508369
alien,0.0012572143390471502
skyrim elegant,0.001241619180458075
body manga,0.001236377869062444
stars,0.00121924053214795
food photography,0.001217820227687
surrealism surreal,0.0012002875584805044
landscape,0.0011971683735736251
emo punk,0.00118350120924995
world photography,0.0011739759086270502
wizard,0.0011720745012225326
artwork,0.0011699655962103732
pink bonsai,0.0011633664751766748
screenshot,0.0011543230850706082
puppy sitting,0.0011503325081564
movie poster,0.0011476774877324
butterfly volumetric,0.0011198880614582498
style portrait,0.001091203505923675
runway,0.001089303257190125
starmaker,0.0010877812100625805
goth,0.0010710743071963
heavy detailed,0.00106918834276165
painting character,0.001061382409451232
detailed portrait,0.0010611510298614499
deviantart hyperrealistic,0.0010541186967763499
volumetric lighting,0.0010488092730885665
tracing artstation,0.0010464275446239
puppy,0.00104157253459775
josan,0.001033556230772525
science,0.0010243448609774252
studio ghibli,0.0010231446437923455
