keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0
alien planet,2.520751235448179e-06
android cyborg,0.0003346257899103879
anime,0.0030244673511152878
anime colors,0.00028175219768174236
anime epic,0.00035238180380906344
armor daedric,0.0
art,71387880267.2495
art artgerm,0.0003710255509822884
art city,0.0003117697490557563
art hyperrealistic,0.00025686996456288904
art josan,0.0
art lifelike,0.00025741661793880706
art punk,0.0002777453603364189
art realistic,0.00019260598978478938
art sharp,0.00044297134609304426
art smooth,0.00044748353925665705
art style,0.0003192390158224871
art thorough,0.00035833022163838757
art trending,0.00016772211594772357
artistic,0.0012819181313407223
artistic painting,3.3819514050190194e-05
artstation,0.0005235545878644455
artstation cinematic,0.0012662800023092028
artstation galaxy,0.0003429302436844167
artstation hyperrealism,0.00019567544551790393
artwork,0.0013137438881419036
atmospheric lighting,0.000717533484244885
avant garde,0.000404020959820305
azores,0.0
azores islands,0.0
beautiful landscape,0.0025355428953058273
beneath cherry,0.0
bjork,0.000600382038498592
black,0.0
body manga,0.0003403161278649291
body portrait,0.00032275929658070183
body shot,0.0003319062265987166
bonsai,2.2173738111772447e-06
bonsai tree,1.691859999303349e-05
bull looking,0.00029680391290146297
bull modeled,0.00035284269174243565
butterfly volumetric,5.505991568186141e-06
camera,0.0003585978598324232
candle butterfly,7.105980288241908e-06
candle volumetric,0.0
canvas,0.00034711175393091617
castle,6.483212642798374e-06
castle enclosed,0.0004642038040211153
cat,1.7518665674886458e-06
century,2.7395305644064258e-05
century modern,0.0004010380637554815
character portrait,1.733362196232854e-06
chris,0.0
chris foss,5.167407551708092e-06
churches domes,0.0
cinematic,0.0004152179783848107
cinematic composition,2.994871640125936e-06
cinematic deviantart,6.248229533881542e-05
city,0.002593936375422943
cloud fashion,0.0
clouds,0.0010928349113323188
clouds covered,0.0
clouds girl,0.0
clouds madeira,7.765822514176493e-06
collage canvas,0.00030283326074741245
colors,0.0
colossal,0.00028660539014077515
colossal goddess,0.0003517904626476222
comprehensive art,0.0003716340505684277
concept art,0.0006565477260600354
contemporary art,0.00034191950628439206
cute fluffy,0.0003675746290481987
cyberpunk,0.0038096840334013826
cyborg,0.00030937033215142323
cyborg body,0.0002818596490704911
cyborg bull,0.0003828730462000783
daedric armor,3.3928880045209992e-06
dark,0.0
dark uncanny,0.0003186797248531841
detailed painting,0.00035945736405541655
detailed portrait,0.00033419050556847754
detailed ultra,1.010680824166746e-05
details intricate,0.0001296549802381382
detective pikachu,0.0
deviantart,0.0027603932950617874
deviantart hyperrealistic,0.0002807762815212753
deviantart realistic,5.3614527867678784e-06
digital art,0.00044940816264601253
digital painting,0.012313544529668529
digital render,0.0
divine,0.0
divine pink,4.008703855947966e-06
dog,0.0003495456268850876
donald,0.001585356992995224
dragon,0.0020139111158206414
dramatic lighting,2.7239826341542394e-05
drawing,0.0003528171520810939
dunmer nerevarine,5.405085643353553e-06
einstein,0.0004032735969775729
elf,2.140139382412604e-05
elson,0.0025741075204768625
emo,0.0002922067028366322
emo punk,0.0003056442565678093
engine,1.8863947578318292e-07
entries sony,0.00030026510394290634
fantasy art,0.0037241636735396723
fantasy painting,0.002030953196059886
fantasy style,0.00032408743847613726
faroe azores,3.985235448335578e-05
fashion clouds,0.0
fiction,0.0005389294544517158
fiction film,0.0005099231122088374
fifth element,0.00027134467954051725
film,0.01266137310851587
film neuromancer,0.0027355808816069164
flamingos,0.0
flowers,0.0
fluffy,8.448783469886662e-06
footage,0.0052093614667173375
forest,0.0003570780871466048
frazetta,0.0004973528440676305
frazetta fantasy,1.2469706411063852e-06
frazetta giger,0.0004295778181312122
futuristic,0.00028560188968913765
garden,0.0003360853653186252
garden intricate,1.8950431459803561e-06
giant digital,0.00043539456932212766
girl clouds,9.280048094786909e-06
glamorous sophisticated,9.46005810609874e-06
glimpse universe,0.0
goddess,0.006569680517260527
goddess creative,0.00043651815319303833
goddess wearing,0.0
gordon,0.00323073478308095
goth,0.00031108577197069517
goth emo,0.00033901340121699115
goths,0.0
goths loitering,2.2823547893306467e-06
gundam,0.00032120576817630785
gundam unreal,0.0003088108219627834
gustav klimt,0.0009608718526040337
hd,0.0
hd goth,71387880267.23674
hd painting,5.886113087362956e-06
hd unreal,0.00034452896196882234
heavy detailed,0.00034264791994331316
high quality,0.00032865269955015665
hills slavic,0.00015297835666956764
himalayan,0.00031795462834887056
himalayan rocksalt,0.0
houses,0.0
houses built,0.0
hyper detailed,0.0014073395312262965
illustrated,0.0
illustration,0.0014600504976498747
illustration art,0.001762771447105983
imposing cyborg,0.00033355418719893887
intricate details,0.0
intricate hyper,7.463114198850388e-06
intricate royo,2.76529794396482e-06
intricate volumetric,0.0003494993711374154
josan,0.0
josan gonzalez,6.187112592385656e-06
knight,0.0012403556831990774
kylie,0.0
kylie minogue,0.0
lamp,0.0
landscape,0.0010324824184018396
landscape colourful,5.096035118222902e-05
lantern candle,0.0
length portrait,0.00031398159819156027
lifelike photorealistic,0.004779490524187804
lighting,8.731349567446211e-05
lighting hd,2.9919356030735146e-06
lightning intricate,2.0221835099309062e-05
log houses,1.8148965328900853e-05
looking camera,0.00034507587700269906
low clouds,0.0020567162510231663
madeira faroe,0.000724481384753063
male dunmer,0.0
manga,0.00025525809446715655
manga illustration,0.00032834945320764684
marble hourglass,0.0
matte,0.009251751307557187
matte painting,0.0022994838913563565
media collage,0.00024538414594638114
