keyphrase,mean_abs_shap
abandoned,0.0023785038595670253
alchemical creatures,0.0
alien,0.003291120084738748
alien planet,0.0005561910441710093
android cyborg,7.912673286558544e-05
anime,0.013357451997363231
anime colors,0.0017063228036615
anime epic,0.0015354857904879044
armor daedric,0.0023298583525702635
art,0.010825928255892682
art artgerm,0.0044588888935282655
art hyperrealistic,4.294341685074888e-05
art lifelike,6.972352783540422e-05
art punk,0.001051259103441586
art realistic,0.0025197371264408046
art sharp,0.002209493222406385
art smooth,0.003311589923202113
art style,0.0032210462739823875
art thorough,0.0016819227940245971
art trending,0.0017411329687778056
artistic,0.000811224099171068
artistic painting,0.0004880961350666926
artstation,0.012254937206426892
artstation cinematic,0.0012155860320228874
artstation concept,0.0007164715169418228
artstation galaxy,0.002083648480859399
artstation hyperrealism,0.0034156433145408867
artwork,0.0020870738352691313
atmospheric lighting,0.0015001389776767393
azores,0.00013560163384898844
barbarella,0.000557631383181067
beautiful,0.0007523394017186517
beautiful landscape,0.0009893511336592639
beksinski,0.00264833109115784
beneath cherry,0.001146496790496509
bernard simunovic,0.0032087232669660974
bjork,0.0016568620876432753
black,0.0005485773140697796
blinders photography,0.0015201388787365701
body manga,0.0021075505023638932
body portrait,0.0021555814107148347
body shot,0.00011610751785318326
bonsai,0.003431144621352258
bonsai tree,0.0001677788306700098
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0016629715796342927
camera,0.001142340659362001
candle butterfly,0.0027667738313222295
candle volumetric,0.0010654500430371187
canvas,0.0022200918863276966
castle,0.004081313467424152
cat,0.0017985385925489107
century,0.001074477434921072
century modern,0.0024510877474053726
character portrait,76643856458.19785
cinematic,0.004113538142474399
cinematic composition,0.0028815774959329824
cinematic deviantart,0.0004108831278622949
city,0.005982306791361366
clouds,0.005098364138650743
clouds madeira,0.0007416649381131493
collage canvas,8.562867305040014e-05
colors,0.0017034908283963524
colossal,0.0021398312468268277
colossal goddess,0.0032282822036870024
comprehensive art,0.0020020187770617855
concept art,0.0058440154882867055
contemporary art,0.0010647130884293837
cosmic,0.000989326830694259
creatures surreal,1.827719319866844e-05
cute fluffy,0.003168731980264519
cyberpunk,0.009021511391851839
cyborg,0.0007716421791894239
cyborg body,0.00021658907908619478
cyborg bull,0.0010365522706071906
daedric armor,0.0022500472692737724
dark,0.003676134775948642
dark uncanny,0.0005027490541890308
detailed painting,0.005287319187766441
detailed portrait,0.00175031584337324
detailed ultra,0.004813618607724472
detective pikachu,9.32789766258098e-05
deviantart,0.004269670906327344
deviantart cinematic,0.00032204179886236224
deviantart hyperrealistic,0.001189490176726085
deviantart realistic,0.0008467201340269697
digital art,0.003900150400150105
digital painting,0.008137151048373087
digital render,0.0023256983504629874
divine,0.00034093897301831473
divine pink,0.0013510750390983773
dog,0.000619283196277937
donald,0.003194722638921547
dragon,0.0035610443513228837
dramatic lighting,0.0028819682836925815
drawing,0.0014873314229164624
dunmer nerevarine,0.0015299921572288532
edwardian photograph,0.00122007915588474
einstein,0.0011339430747317738
elf,0.004939705938712382
elson,0.00844757604198637
emo,0.0009967971247642048
emo punk,0.0016990378907608668
engine,0.0005229009981645481
entries sony,0.0015705700354442355
fantasy art,0.01094689090841753
fantasy painting,0.004028047520101952
fantasy style,0.00016313572728545857
faroe azores,0.0009678436118567382
fiction,0.002395446268167767
fiction film,0.0030521986619127263
fiery alchemical,4.4198494626953016e-05
fifth element,0.0024003830045755603
film,0.011095305453653616
film neuromancer,0.0031591171377690986
flamingos,0.0013510546553331699
flowers,0.0026508840156678664
fluffy,0.001962946615165936
food photography,0.0005972958276344448
footage,0.007329867284546579
forest,0.0036240779533481147
frazetta,0.0012520610796471505
frazetta giger,0.0027084970805556995
futuristic,0.00025368845060798486
garden,0.0013464871027633104
garden intricate,0.0013055031090974726
giant digital,0.001188211976633377
glamorous sophisticated,0.002085565616672746
goddess,0.007319301829576168
goddess creative,0.0013811355751046216
gordon,0.0031479280854935497
goth,0.0017539845617625914
goth emo,0.001603704608507187
goths,3.32683215559638e-05
goths loitering,0.0009338470046183733
gundam,0.0018252648818895178
gundam unreal,0.0023451123317338946
hd,0.0006029583818787555
hd goth,0.0013636047544096934
hd painting,0.0010983554662553946
hd unreal,0.0008157996825852349
headshot edwardian,0.0017424038899469577
heavy detailed,0.0026165829049921304
high quality,0.002922564408598827
himalayan,0.0034245274997238362
himalayan rocksalt,0.0006519585930767827
houses,0.002073457276461639
houses built,0.0015046552239723376
hyper detailed,0.0024881789665877354
illustration art,0.01012104887695779
imposing cyborg,0.0
intricate details,0.0019941036071921573
intricate hyper,0.0054043930717731095
intricate royo,0.0017534532528740026
intricate volumetric,0.0007581503555452298
jacket black,0.00028474211825150163
josan,0.0014674759097253866
josan gonzalez,0.002423854057769912
kylie,0.0
kylie minogue,0.00033316338457976076
lamp,8.819266039643868e-06
landscape,0.004061639392510592
landscape colourful,0.0
lantern candle,0.002033111268071797
length portrait,0.001205883523710719
lifelike photorealistic,0.00012862872042531922
lighting,0.0023880065082755733
lightning intricate,0.0005122863514363057
log houses,0.002217776426118799
looking camera,5.341633339928958e-06
low clouds,0.0005017677372914057
madeira faroe,0.00357743887723146
male dunmer,0.0021566638642532927
manga,0.007433633185203294
manga illustration,0.0029380606975974153
marble hourglass,0.0006352414387781193
matte,0.016407116972581275
matte painting,0.009262155508518014
media collage,8.9590243214257e-05
mid century,0.002435123876770501
mila kunis,0.0025645963139139427
minogue,0.00040537780334163595
minogue barbarella,0.0005407800693173338
mixed media,0.0010063814437914665
modern,0.002325900583360764
modern art,0.002025753515374665
movie,0.00303395407451074
movie poster,0.0020860182688762618
natural scene,0.0013161140012272867
nerevarine,0.0034256765752844944
neuromancer,0.003702568992975186
oblivion skyrim,0.0010450072477476188
octane render,0.0027285447187290405
oil painting,0.003729101311940523
overcast thunder,0.0016107171568688749
pablo picasso,0.0018466924690305317
painted,0.004269877959275998
painted pablo,0.0011668201923400955
painting,76643856458.23499
painting aesthetic,0.002042176331416464
painting artstation,0.004214157398830824
painting beautiful,0.003574968388979055
painting character,0.001110855472561268
painting deviantart,0.0018094777270533777
painting lurid,0.0009915982200794792
painting lush,0.002025216106242779
painting peter,0.005293684854832277
painting ronny,0.0018148052882034683
painting sargent,0.009180063198925208
painting stalenhag,0.0041420631848314024
painting unreal,0.00010556271252768066
peter,0.002831708434344887
peter elson,0.006788843278160577
photo,0.006051811101619113
photo realistic,0.004320705771298645
photograph,0.003529355642347358
photograph divine,0.0015175288353859442
photography,0.006253728999332572
photography awards,0.001527168905112288
photorealistic,0.011266510780395516
photorealistic digital,0.000686008894477353
phyics entries,0.0024810216907901186
picasso,0.0014696315878985735
picasso hair,0.00271421788264048
pikachu hannah,0.00013678763502415541
pink bonsai,0.0001353567110529254
pink flamingos,0.001621127575438157
pixar,0.001333745597415676
pixie cut,0.00036363723740188845
portrait,0.0624190769952185
portrait extremely,0.0038176094450690303
portrait intricate,0.00023532586727311125
portrait male,0.0037892206693595906
portrait painted,0.0025731608009485186
portrait painting,0.0016037964814294902
portrait photograph,0.0015259266956770927
portrait sabouts,0.003613850143646349
portrait scifi,0.00569688645424107
punk art,0.000223843116314627
punk portrait,0.0015889970546170418
puppy,0.004865988782902724
puppy sitting,0.0026045200535129583
realistic cinematic,0.00030739122021394106
render hyperrealist,0.0025360552025615406
robot,0.0029308100264661165
rocksalt lamp,0.00033606825574505954
room,0.006324978415871896
rpg portrait,0.0008051249773427088
ruins,0.001688661123757284
runway,0.001420961107720946
saitama,0.003783525190415281
saitama anime,0.0016764696552711892
scariest looking,0.0012267795438985955
scene,0.003768382104717623
scene science,0.001619117923232047
science,0.0005734068950099262
science fiction,0.002012246647281093
screenshot,0.0034876754373524286
shade talking,3.113973682113285e-05
sitting snowy,0.00010678029584723598
sky,0.0028128564290576894
skyrim elegant,0.0012848531047514231
snowy,0.0019732272739111795
sony,0.002516519549164327
sony world,0.0014473144884418767
space,0.002003210248211162
spaceship,0.0009645834164380996
starmaker,0.0
starmaker matte,0.0006599179693009583
stars,0.003537133219532756
statue,0.0013837337897945022
steampunk,0.006804134634028308
steampunk himalayan,6.072405203181698e-05
studio ghibli,0.006811449899901701
style contemporary,0.002987259647550701
style portrait,0.003980767450105001
surreal,0.005862132397975868
surreal concept,0.00016044283714312905
surreal dark,0.0002840162280215406
surrealism,0.006695977720029611
surrealism surreal,0.001587360863542003
tracing artstation,0.0019450546675565817
traits painting,0.00011150613776493699
trending artstation,0.003983422847737892
ufo,0.003144483516383884
ufo ignoring,0.004049886638172871
ultra realistic,0.0034724653024278537
uncanny,0.00039946499388418365
uncanny painting,4.377018607666077e-05
unreal engine,0.0069893431188719135
vallejo frazetta,0.0018423134702431447
vivec portrait,0.0015852611487167118
volumetric lighting,0.0015143593079041024
wallpaper,0.0015707396676668893
wallpaper illustration,0.004506786170496387
wizard,0.002135007704717035
woman,0.005521621467937422
world photography,0.004103329201123512
zdzislaw beksinski,0.0017361855267208504
