keyphrase,mean_abs_shap
abandoned,0.0009579941589208671
alien,0.002123740427293522
alien planet,0.0005239347424702414
android cyborg,0.0007375733679768498
anime,0.007908338706907481
anime colors,0.0005969918641775541
anime epic,0.0016344077299491426
armor daedric,1.1767276792701738e-05
art,0.016271905750069326
art artgerm,0.0008105276045575125
art city,0.0006511023703368905
art hyperrealistic,0.0007542377520464558
art josan,2.975374822235948e-05
art lifelike,0.0009333958785478788
art punk,0.0008008982582189848
art realistic,0.001977631970525007
art sharp,0.0006393839899994028
art smooth,0.0008806955671570633
art style,0.0005901985606100024
art thorough,0.0007902459374303847
art trending,0.001307614632493503
artistic,0.0001353929179410701
artistic painting,3.591212058460545e-05
artstation,0.00867807200811105
artstation cinematic,0.0008651100463234312
artstation galaxy,0.000935752254706113
artstation hyperrealism,0.003663987981959474
artwork,0.0026241283127097247
atmospheric lighting,0.0013978024904739235
avant garde,0.0009663248917676147
azores,0.0006699853025956362
azores islands,0.001022179352777405
beautiful landscape,0.00038214926554643876
beneath cherry,6.570743792833095e-05
bjork,0.0011745120271315728
black,0.0021353839412361505
body manga,10734047310327.389
body portrait,0.0009063546388521234
body shot,0.0007272665736775411
bonsai,0.0010225599736429748
bonsai tree,0.0006595146133087556
bull looking,0.0007132373244148228
bull modeled,0.0006752520080014568
butterfly volumetric,0.0009373595722806218
camera,0.0015551171448454908
candle butterfly,4.0498765009637483e-05
candle volumetric,0.0002984268639902766
canvas,0.001522689836719087
castle,0.0014692972679654652
castle enclosed,0.0007710323648163066
cat,0.0006931566606350289
century,0.0011961936526375544
century modern,2.905791941952815e-05
character portrait,0.0009485985552242978
chris,0.0008658243342642828
chris foss,0.0
churches domes,0.0006269904655309246
cinematic,0.0028937254475170163
cinematic composition,0.001495497395498541
cinematic deviantart,0.0007363557909211757
city,0.003816314295235685
cloud fashion,0.0006643427237471542
clouds,0.004158764522339157
clouds covered,0.0010121258407946965
clouds girl,0.0007007615706451892
clouds madeira,0.0008291858481262396
collage canvas,0.000596380529917035
colors,0.0008245590671794752
colossal,0.0007595019763433716
colossal goddess,0.0009731726606584734
comprehensive art,0.00139273587142195
concept art,10734047310327.39
contemporary art,0.000599839804435718
cute fluffy,0.001496788267733563
cyberpunk,0.004446157096629451
cyborg,0.0017471596453692926
cyborg body,0.0006424169530663297
cyborg bull,0.0005746863766375155
daedric armor,5.2586739280294216e-05
dark,0.0006443004565553141
dark uncanny,1.774120751885517e-05
detailed painting,0.001467169187452308
detailed portrait,0.0006798034587722614
detailed ultra,0.0023440032524897295
details intricate,0.001174015091663223
detective pikachu,0.00022021893611847977
deviantart,0.0041880505634101645
deviantart hyperrealistic,0.0007579943402095247
deviantart realistic,0.0011628968303348268
digital art,0.0037822944688679187
digital painting,0.010385092298043708
digital render,0.00013443804462499734
divine,9.73565430051138e-05
divine pink,0.0008626594621377025
dog,0.0006133473402810989
donald,0.00223333344874096
dragon,0.0032354666507395475
dramatic lighting,0.0019753793379402498
drawing,0.00038712251321590656
dunmer nerevarine,0.0007072937818839206
einstein,0.0012898435170547965
elf,0.002231856894241625
elson,0.0022164606914486626
emo,0.00014168244473347335
emo punk,0.000807427188043314
engine,0.00042218007929636345
entries sony,0.0
fantasy art,0.005738853591041655
fantasy painting,0.002999214368231089
fantasy style,0.0007482566288718349
faroe azores,0.0008726120854570978
fashion clouds,0.0008393100626639412
fiction,0.00215962040004702
fiction film,0.0013060533051716776
fifth element,0.0008876870500031462
film,0.019053093906734663
film neuromancer,0.0032763461837258564
flamingos,0.0007163861534008208
flowers,0.00042034251010780017
fluffy,0.0012198098156061456
footage,0.005782898320877463
forest,0.0009308060984011849
frazetta,0.0011424699510838015
frazetta fantasy,0.0006719876363041284
frazetta giger,0.0010071032125340087
futuristic,4.051488929383442e-05
garden,0.0012079908689857706
garden intricate,7.597296309494895e-05
giant digital,0.0010213021321869087
girl clouds,0.0007905216489083002
glamorous sophisticated,0.00039294014830232635
glimpse universe,0.0
goddess,0.011713834335201366
goddess creative,0.0007184248366523482
goddess wearing,0.000729608994621648
gordon,0.004059571973807774
goth,0.0014489212423877062
goth emo,0.0006862296289369392
goths,7.749512424632177e-05
goths loitering,7.537126892000192e-05
gundam,0.0008086160032468077
gundam unreal,0.0007325554141717404
gustav klimt,0.0018458044566277382
hd,0.001057303155364661
hd goth,0.0005845609692243642
hd painting,6.366291163941794e-05
hd unreal,0.0007651925191856153
heavy detailed,0.001069784176832244
high quality,0.00525907948355127
hills slavic,0.0009419703579833032
himalayan,0.0021396805991416045
himalayan rocksalt,0.000893355172035951
houses,0.000601136670617892
houses built,0.0005985083414246827
hyper detailed,0.003911721866872639
illustrated,0.001709682569451115
illustration,0.003561615891112093
illustration art,0.0048274185616540045
imposing cyborg,0.0005228386668951081
intricate details,0.0011029698989125374
intricate hyper,0.0010541071336738412
intricate royo,0.0012737965684139938
intricate volumetric,0.002148799099939783
josan,0.00011503032428057677
josan gonzalez,0.0004917289173845244
knight,0.002534273520184015
kylie,6.675392802693376e-05
kylie minogue,5.322410585392764e-05
lamp,0.0006208980268946682
landscape,0.002559822215314805
landscape colourful,0.0
lantern candle,0.0004683482003074688
length portrait,0.001346376096295939
lifelike photorealistic,0.005728018849076418
lighting,0.001180192752990419
lighting hd,0.0004562192952994282
lightning intricate,0.0006014594043276195
log houses,0.0007918410245783716
looking camera,0.0006622428734469254
low clouds,0.001052609564943915
madeira faroe,0.0006082052180980605
male dunmer,0.0007530179497350041
manga,0.0009463171645731353
manga illustration,0.0007327192550977764
marble hourglass,0.0008943621023604816
matte,0.002563264005554238
matte painting,0.0018294520519365615
media collage,0.0005726740805528008
mid century,0.001329669429530773
minogue,2.8683374652630947e-05
mixed media,0.0006477426633039279
modern,0.00021440564932078253
modern art,0.0003406525040806427
movie,0.0013017723155357807
movie poster,0.0012513174865904529
natural scene,0.0005717017863919351
nerevarine,0.0007568878950655906
neuromancer,0.0016392023458225524
oblivion skyrim,2.9013066323096126e-05
octane render,0.0008308738518275506
oil painting,0.0013859503005063695
overcast thunder,0.000874627517443745
pablo picasso,0.0008336674536131564
painted,0.0018890893848832774
painted pablo,0.000753476229542106
painting,0.09183037028923725
painting aesthetic,0.0009496284144511899
painting artstation,0.0014850139134656801
painting beautiful,0.0023018741634230335
painting character,0.001231713325408031
painting chris,4.0234341421408365e-05
painting deviantart,0.0013417569170889663
painting lurid,5.378551042686893e-05
painting lush,0.00010617333311160128
painting peter,8.816203025616734e-05
painting ronny,0.0020424052643885043
painting sargent,0.009446469475797586
painting stalenhag,2.382452649285105e-05
painting unreal,0.00068773926989153
peter,0.0020360395908346905
peter elson,0.0012760556500311545
photo,0.004894192158153609
photo realistic,0.0017714884697634771
photograph,0.0012692881781871067
photograph divine,0.0005985673069207565
photography,0.005032532308344392
photography awards,0.00021202072523533684
photorealistic,0.006296321202871232
photorealistic digital,0.0008095161810305832
phyics entries,0.00037504582801015053
picasso,0.0016751197323259272
picasso hair,0.0009362913064683456
pikachu hannah,0.0001014349077892251
pink bonsai,0.0004564891091637429
pink flamingos,0.0005573548995662409
pixar,0.0007509812391964199
pixie cut,0.0008878763792346154
portrait,0.08992966590890518
portrait extremely,0.000725054557970643
portrait intricate,0.0008780783537098405
portrait male,0.0007110906573665648
portrait painted,0.003038399341523534
portrait painting,0.0009501397549404599
portrait photograph,0.0007226392717272352
portrait sabouts,0.0006081880014923937
portrait scifi,0.0012163856562464224
punk art,0.0006252039521661359
punk portrait,0.0005822835806343352
puppy,0.0012692239165678829
render hyperrealist,0.00023280584721104393
robot,0.000682005169259378
rocksalt lamp,0.0005423762856443509
rpg portrait,0.0014599234078612649
runway,0.0009823978410177187
saitama,0.0010113766282353305
saitama anime,0.0006506953208034441
scene,0.0015337241026690354
scene science,0.0008658559507698327
science,0.0007739630043220847
science fiction,0.0006745846234516557
screenshot,0.0035502061662623214
shade talking,7.207658807682182e-05
skyrim elegant,0.0006696377058347982
sony,0.0010457139131246638
sony world,4.8737940897978356e-05
space,0.0018584006203128795
starmaker,0.0
starmaker matte,2.5869633658773184e-05
stars,0.00027947773043364297
statue,0.0011711287199068295
steampunk,0.0019544843598246786
steampunk butterfly,0.00039596703058265414
steampunk himalayan,0.0007318453923360321
studio ghibli,0.001662907850361544
style contemporary,0.0008274758274168601
style portrait,0.001161439899580843
surreal,0.0018284282528052518
surreal concept,0.0006838808882222622
surreal glimpse,1.736298263541995e-05
surrealism,0.009728011173743157
surrealism surreal,0.0014311654836950828
tall castle,0.0008637482882767437
tracing artstation,0.00020651828887347502
traits painting,0.0007604791254398419
trending artstation,0.00391873409810645
ufo,0.0012708578362386974
ufo ignoring,0.0006301487230955277
ultra realistic,0.0027852002741917065
uncanny painting,6.933486479086825e-05
unreal engine,0.028794422350394627
vallejo frazetta,0.003538259246603748
vivec portrait,0.000754595874288434
volumetric lighting,0.0008669268396675686
wallpaper,0.001162840387224881
wallpaper illustration,0.0010521867657313148
wearing cloud,0.0006852742246046909
wizard,0.0033214003824372485
woman,0.0021658183860025684
wooden churches,0.0005722689434760936
world photography,0.00010800666373472573
