keyphrase,mean_abs_shap
abandoned,0.0011606489136045531
alien,0.004096369909027452
alien planet,0.0010663184842056104
android cyborg,0.0008062473179445086
anime,0.0065808068397460555
anime colors,6.251372112244266e-05
anime epic,0.0014618245110800208
armor daedric,0.0013226604225087125
art,0.008868240868000187
art artgerm,0.0030825658779535573
art city,0.0001394230373156199
art hyperrealistic,0.0
art josan,0.00018639434140381696
art lifelike,8.559001567127016e-05
art punk,0.00014309347554367847
art realistic,0.0010380112896515067
art sharp,0.001662559194232356
art smooth,0.0028124085463131256
art style,0.0016495588005874726
art thorough,0.00048488064006595627
art trending,0.0007560729998094235
artistic,0.0018496565783996217
artistic painting,3.2732417862094553e-05
artstation,0.00514690211027466
artstation cinematic,0.002005315583538381
artstation galaxy,0.0003595386803239277
artstation hyperrealism,0.0010074443074795777
artwork,0.0031991653657388597
atmospheric lighting,0.0014048696459639926
avant garde,0.0013218402919090374
azores,0.0008783618390122233
azores islands,0.0003827720426751023
beautiful landscape,0.001491354356573751
beneath cherry,0.0002866453124893858
bjork,0.0010234545514669164
black,0.0012652608786823684
body manga,0.0016742443949664787
body portrait,60898720531.76458
body shot,0.001113452386650889
bonsai,0.0020041141491871544
bonsai tree,0.001211608429017196
bull looking,0.0010964616107391287
bull modeled,0.000953009603611317
butterfly volumetric,0.00013419169430280313
camera,0.0016184132073940743
candle butterfly,0.0001887744273632064
candle volumetric,0.00028887498660669543
canvas,0.0007064101975288981
castle,0.00020760265757363265
castle enclosed,0.0004293776216859629
cat,0.0025947237355184324
century,0.0012078151473891771
century modern,0.0013494572473836776
character portrait,0.001668733064260719
chris,0.0002932539384443924
chris foss,0.0006501441821385734
churches domes,0.00019823237235844278
cinematic,0.006220969945582002
cinematic composition,0.0026726801811267323
cinematic deviantart,0.0017495836368884759
city,0.004188292403117561
cloud fashion,0.0003855526629053587
clouds,0.002428604451429927
clouds covered,0.0004627788758844329
clouds girl,4.9153003747554006e-05
clouds madeira,0.00012003993752466671
collage canvas,0.00022284332663476534
colors,0.0015960634674588032
colossal,0.0006422465008011141
colossal goddess,0.0011555505357710857
comprehensive art,0.0007777604200211339
concept art,0.003866732082547781
contemporary art,0.00023491938656198294
cute fluffy,0.0013102460949498257
cyberpunk,0.004595652837429327
cyborg,0.0032263299349088092
cyborg body,0.0008602740574110174
cyborg bull,0.0009772251277187039
daedric armor,0.0007091371365748543
dark,0.0006685218090206488
dark uncanny,0.00039540136399589536
detailed painting,0.003924119282945868
detailed portrait,0.0020539051281386967
detailed ultra,60898720531.76663
details intricate,0.000570681572551801
detective pikachu,0.00017012982168617254
deviantart,0.005740099751716656
deviantart hyperrealistic,0.0014074849773646654
deviantart realistic,0.00133518521941803
digital art,0.005345894200649456
digital painting,0.0064244799938661815
digital render,0.001089786276814988
divine,0.00014881044705860631
divine pink,8.10536532638998e-05
dog,0.00016531626160558912
donald,0.001283574020627971
dragon,0.006509429379281378
dramatic lighting,0.0031089503109091457
drawing,0.0012639260606221005
dunmer nerevarine,0.0009426059974717059
einstein,0.0015434851057371639
elf,0.0015459371561487082
elson,0.003254833752974783
emo,5.5750393292499574e-05
emo punk,0.0018672947352819094
engine,0.00023073384117479432
entries sony,4.28996313748012e-05
fantasy art,0.007125975054670285
fantasy painting,0.004441187580416164
fantasy style,4.896076464196749e-05
faroe azores,0.0026957597856302885
fashion clouds,4.2965243879091644e-05
fiction,0.00042373891331291027
fiction film,0.002104296576471047
fifth element,0.0021131762791031126
film,0.01740733035010439
film neuromancer,0.002023617286490332
flamingos,2.6033149494696874e-05
flowers,0.000551516298076851
fluffy,0.0005291329272243442
footage,0.006550974471217126
forest,0.0018661883075776473
frazetta,0.001100821370140421
frazetta fantasy,0.0012269630568243523
frazetta giger,0.0016288879822027524
futuristic,0.0013801830306540944
garden,0.001225581319277501
garden intricate,8.27598555403269e-05
giant digital,0.0001252145341739614
girl clouds,0.0
glamorous sophisticated,0.00043322763425045625
glimpse universe,0.0013177125065079876
goddess,0.0023343316841300484
goddess creative,2.005215067125333e-05
goddess wearing,0.00017874725221250152
gordon,0.004116398096112653
goth,0.0010609937698820378
goth emo,0.001599841413738112
goths,0.00012846273490214446
goths loitering,0.00021617825892941535
gundam,0.0020198053347545847
gundam unreal,0.00043882552982351384
gustav klimt,0.0013277146832849978
hd,0.0012169742663947717
hd goth,0.001138662729889521
hd painting,0.0016861273242680457
hd unreal,0.0005822967894197491
heavy detailed,0.0018462166702442892
high quality,0.00275038317539365
hills slavic,0.0001696258182002998
himalayan,0.0017064124594267822
himalayan rocksalt,0.0013384623732681108
houses,0.0005651311014834171
houses built,0.0003164892953079511
hyper detailed,0.0020811369856103133
illustrated,0.0011231836376076744
illustration,0.002265222211351267
illustration art,0.0074402839043512135
imposing cyborg,0.0010431939691097048
intricate details,0.00014143834716017918
intricate hyper,0.002352991102457394
intricate royo,0.00022883507644234796
intricate volumetric,0.002202112449409669
josan,0.0001421418676939495
josan gonzalez,0.0007617933752874493
knight,0.003606412549379542
kylie,0.00018063063953556807
kylie minogue,0.00010782200078515554
lamp,0.001301069764219197
landscape,0.0012764977096400682
landscape colourful,0.0
lantern candle,0.0009341212299541933
length portrait,0.0010098521492009505
lifelike photorealistic,0.0029197128684287027
lighting,0.0008921911250141989
lighting hd,0.0011208202214473253
lightning intricate,0.0011866916573629513
log houses,0.00021404131677544436
looking camera,0.0009660382447280953
low clouds,0.002104209086747745
madeira faroe,0.0011098810315324722
male dunmer,0.0008066868839242454
manga,0.001815561407890764
manga illustration,0.0011888892888335958
marble hourglass,0.00016248662184885143
matte,0.005064354693008372
matte painting,0.004651122773573412
media collage,2.2947966300726154e-05
mid century,0.001314327402539379
minogue,8.471847733219037e-05
mixed media,7.689019408686392e-05
modern,0.0010668318524216138
modern art,0.0002378561972612541
movie,0.002625655043911169
movie poster,0.0014027708809120597
natural scene,0.002621475046893496
nerevarine,0.0014235192219905527
neuromancer,0.0017979124932284416
oblivion skyrim,0.0009582612492712916
octane render,0.0005289612038430887
oil painting,0.004216774334838113
overcast thunder,0.0017196128528962783
pablo picasso,0.0008546995853541385
painted,0.0028738374594227127
painted pablo,0.0014111773997335481
painting,0.0298913041968935
painting aesthetic,0.00019511211250115864
painting artstation,0.0015458284007355385
painting beautiful,0.0018216226938260391
painting character,0.0004386416396477035
painting chris,0.0006468171035703034
painting deviantart,0.0007585826503526492
painting lurid,0.0010649703155645258
painting lush,0.0009121329389272896
painting peter,5.3059037611518177e-05
painting ronny,0.0014422370803470654
painting sargent,0.0037642474456845575
painting stalenhag,0.000600567726611308
painting unreal,0.0002789230194588807
peter,0.003592624373347995
peter elson,0.0017777576568412672
photo,0.005572832951561849
photo realistic,0.002065857750723753
photograph,0.0015436707965837673
photograph divine,0.00014692650733159188
photography,0.004517073629699625
photography awards,0.00031488181719312397
photorealistic,0.006394835617610814
photorealistic digital,0.0015535061961481347
phyics entries,0.000852728163366249
picasso,0.0016848837556212107
picasso hair,0.0018002901122161036
pikachu hannah,0.00011931559439069101
pink bonsai,0.0008905208182512102
pink flamingos,4.57717308409597e-05
pixar,0.0015140955418768854
pixie cut,0.0011253427107089562
portrait,0.034267680149109046
portrait extremely,0.00033791582372299356
portrait intricate,0.0007443330345010761
portrait male,0.0013126684964933296
portrait painted,0.0011247223759278547
portrait painting,0.0012329099790155773
portrait photograph,0.0005376850767045303
portrait sabouts,0.000692850990476507
portrait scifi,0.0018478949390887136
punk art,0.00022668606246527322
punk portrait,0.0009716167891939027
puppy,0.0006011004291114129
render hyperrealist,0.0005479157906273277
robot,0.0021727304413003503
rocksalt lamp,0.0011089408033919026
rpg portrait,0.0006712572519359962
runway,0.0021874414928886644
saitama,0.002593088530757786
saitama anime,0.0013390160922478569
scene,0.0025118343775013805
scene science,0.0009699328876098058
science,0.00010900878607468992
science fiction,0.0015473103513707813
screenshot,0.003026022575294037
shade talking,0.0001282022493108742
skyrim elegant,0.0013528238208315151
sony,0.0006974671172948545
sony world,3.457921399693927e-05
space,0.0011752659239704557
starmaker,0.0012868773363609047
starmaker matte,0.0016670815365771169
stars,0.0018050563903217718
statue,0.002180615795497019
steampunk,0.002164433890464465
steampunk butterfly,0.0003698008043477415
steampunk himalayan,0.0013339922947554978
studio ghibli,0.0007095968447807668
style contemporary,0.0003283629920032472
style portrait,0.0015537256405869578
surreal,0.0019080594053483356
surreal concept,0.001598745759217991
surreal glimpse,0.0012607232266154203
surrealism,0.00612231887056273
surrealism surreal,0.0037870885974840254
tall castle,0.00028274563903598905
tracing artstation,0.0014276500137111491
traits painting,0.0003191206240983461
trending artstation,0.002784138504766584
ufo,0.0013588435166850912
ufo ignoring,0.0007931249757171045
ultra realistic,0.002671929248123609
uncanny painting,0.0007826428449883273
unreal engine,0.011294734238675656
vallejo frazetta,0.0009612082879683353
vivec portrait,0.0007876236038756911
volumetric lighting,0.00031083961213797435
wallpaper,0.0012011042333341443
wallpaper illustration,0.001609548777930344
wearing cloud,0.0003900656423557652
wizard,0.0025014594257670815
woman,0.0024955162489053396
wooden churches,0.0003361552653111874
world photography,0.0012047052315105995
