keyphrase,adjusted_mean_shap
concept art,2683511827581.85
body manga,2683511827581.848
painting,19160964114.60616
character portrait,19160964114.550114
art,17846970066.82136
hd goth,17846970066.809956
detailed ultra,15224680132.943449
body portrait,15224680132.941992
photorealistic,14793713068.068327
vallejo frazetta,14793713068.063301
portrait,0.05450250740003703
unreal engine,0.016967694002463875
film,0.015054275704752075
digital painting,0.009315066967487825
matte,0.0083216217446752
surrealism,0.0079405177755434
anime,0.0077177662237829505
goddess,0.006984287091541975
fantasy art,0.006883970806917225
artstation,0.0066508664781692
room,0.0063249784158718
painting sargent,0.00628202589170925
footage,0.006218275385839575
illustration art,0.0060378806975172
cyberpunk,0.005468251339827949
photo,0.004905612645953249
matte painting,0.00451055355634605
photography,0.0042461101245666495
deviantart,0.004239553629128925
city,0.004145212466284325
elson,0.0041232445017216
dragon,0.00382996287429105
gordon,0.003638658234623675
cinematic,0.003410862878489525
lifelike photorealistic,0.00338896274052955
fantasy painting,0.0033748506662021997
digital art,0.00336943680807835
screenshot,0.00331564903675475
bernard simunovic,0.003208723266966
clouds,0.003194642005938
trending artstation,0.0030753598387561246
ultra realistic,0.002936826446811325
high quality,0.002815169941773425
sky,0.0028128564290576
film neuromancer,0.002798665372398
steampunk,0.002786976007598775
detailed painting,0.002759516255554975
wizard,0.00265194846184935
beksinski,0.0026483310911578
woman,0.00262027648295235
manga,0.0026126924630335254
puppy sitting,0.0026045200535129
mila kunis,0.0025645963139139
peter elson,0.0025431780705955755
wallpaper illustration,0.002514433752308125
surreal,0.002476472028901825
hyper detailed,0.0024720943375741997
knight,0.0024603472509208335
illustration,0.002428962866704333
oil painting,0.002427463326634425
alien,0.0023778076052649
portrait painted,0.0023463420692805747
artwork,0.002306027850464875
studio ghibli,0.002295988648760975
painted,0.0022834547612083003
portrait scifi,0.002270646217094
landscape,0.0022326104339667747
photo realistic,0.002212722739104975
intricate hyper,0.0022047386055257627
peter,0.0021905971556643
elf,0.0021847253457316813
art artgerm,0.0021807519817553496
donald,0.002074246775321375
artstation hyperrealism,0.0020706877623744
scene,0.00202004171449855
painting beautiful,0.002016854362489075
dramatic lighting,0.0019983844397208354
snowy,0.0019732272739111
painting artstation,0.0019367745356530751
saitama,0.0019314812507342499
himalayan,0.001897143796660225
neuromancer,0.0018817535387525
art smooth,0.0018630443939822
movie,0.0018121067213004998
puppy,0.0018010026639478
surrealism surreal,0.001781043546961925
cinematic composition,0.0017631874860495568
style portrait,0.001754603672339875
fiction film,0.001743117913941025
headshot edwardian,0.0017424038899469
zdzislaw beksinski,0.0017361855267208
forest,0.00169453761161835
ruins,0.0016886611237572
natural scene,0.001672493644112225
bonsai,0.0016150090294983445
photograph,0.001585997949685565
cute fluffy,0.001585835242998975
ufo,0.0015249609316248
painting ronny,0.001524878989825725
blinders photography,0.0015201388787365
stars,0.0015198444536247253
cyborg,0.0015136255229047002
space,0.00151167482176515
madeira faroe,0.0015050016279037001
heavy detailed,0.00146880791800295
ufo ignoring,0.00145438112798795
portrait male,0.0014537404533608415
picasso hair,0.001447079993795725
robot,0.001446386409256425
art style,0.001445010662750525
frazetta giger,0.001443516523355875
painting peter,0.0014422245155333213
castle,0.0014411741514014744
art realistic,0.0014319965941005
