keyphrase,mean_abs_shap
abandoned,0.00014967728859925354
alien,0.00010604720974987404
alien planet,0.00018755137073659487
android cyborg,1.8714932286869456e-06
anime,0.0001939544244183099
anime colors,0.0
anime epic,0.00019334805943231243
armor daedric,0.00016065120894868856
art,0.007124410683324669
art artgerm,7.561901426562775e-05
art city,0.0
art hyperrealistic,7782648894.444014
art josan,0.0002043990590694693
art lifelike,2.5769952231746165e-06
art punk,0.0013664173288947974
art realistic,0.00016508231513345502
art sharp,9.323258698411658e-05
art smooth,0.00018729809720842446
art style,3.7099192584967565e-06
art thorough,0.0
art trending,0.00016594546333637816
artistic,0.00015244805364822347
artistic painting,0.0002048507394308547
artstation,0.0007487798293729373
artstation cinematic,0.00021954230941090622
artstation galaxy,1.290960376584254e-06
artstation hyperrealism,0.00019440301574780728
artwork,0.00016291941488708248
atmospheric lighting,0.000867487405315179
avant garde,0.0002307797488299464
azores,0.00014182597250044282
azores islands,0.00017195381191021598
beautiful landscape,0.00013477874461691796
beneath cherry,0.0017801809193838003
bjork,0.0
black,0.00017307211006839217
body manga,0.003185022880836723
body portrait,0.00022479699744042177
body shot,2.522155250441665e-07
bonsai,0.004096903939622021
bonsai tree,0.0003675137293414899
bull looking,2.943481769376693e-06
bull modeled,0.0
butterfly volumetric,0.0017773493290918045
camera,0.0
candle butterfly,0.00016022873008785578
candle volumetric,0.0
canvas,0.0
castle,0.0
castle enclosed,0.0
cat,0.00016904862710130847
century,0.0015546591835777787
century modern,0.0007789235889019813
character portrait,0.00014884796279579168
chris,0.0001791579512143977
chris foss,0.00024143547702270833
churches domes,4.265885005030234e-06
cinematic,0.003381827885596544
cinematic composition,0.0001700839040209487
cinematic deviantart,2.9282667529841023e-05
city,7782648894.441874
cloud fashion,0.00016939483893697258
clouds,0.0001339984941069477
clouds covered,0.00017439864146379257
clouds girl,0.00039745742696254625
clouds madeira,0.0007244721345243969
collage canvas,0.0004736401779130792
colors,1.8168198528722098e-07
colossal,0.00014219328264241187
colossal goddess,0.00017261792148791103
comprehensive art,0.0015106433258808836
concept art,0.00889651212355773
contemporary art,0.0001567131681869063
cute fluffy,0.0001537035483338916
cyberpunk,0.00011691098680236408
cyborg,0.00021213711173621356
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.00110352766446138
dark,1.8937826176271533e-06
dark uncanny,0.00017485389810388818
detailed painting,0.0026342761287630268
detailed portrait,0.0001669234693055099
detailed ultra,0.0007475306762317728
details intricate,0.0
detective pikachu,0.00031409703162158865
deviantart,0.00018313070299000452
deviantart hyperrealistic,0.0009780890247229393
deviantart realistic,0.002968810432302298
digital art,0.0025374653258434217
digital painting,0.0002119045072597808
digital render,0.00014720834966792476
divine,0.0
divine pink,0.0003911325290677015
dog,0.0
donald,0.0
dragon,0.0002750056807072166
dramatic lighting,0.0
drawing,0.00022046183808364247
dunmer nerevarine,0.0022104467417753794
einstein,0.0015661577293775036
elf,0.0009270470027894372
elson,0.00019530629943451195
emo,0.0001855479964934583
emo punk,0.0001376310529402609
engine,0.0003348488261627195
entries sony,2.4458666364799832e-05
fantasy art,0.0
fantasy painting,0.0008153830362250024
fantasy style,0.00022127835985463772
faroe azores,0.00017381844710335497
fashion clouds,0.00013726375633929435
fiction,0.0
fiction film,0.00018627035702491133
fifth element,0.00011363529107040997
film,0.00023842518448102842
film neuromancer,0.0
flamingos,0.0
flowers,0.00018092488346096216
fluffy,0.00021776247804357153
footage,0.002434668630847224
forest,8.896489471203701e-07
frazetta,4.215552362007923e-06
frazetta fantasy,0.0
frazetta giger,0.0006496612486524872
futuristic,0.00017466606948917274
garden,0.0007292828545709235
garden intricate,0.001603595763200705
giant digital,0.00022426826232374328
girl clouds,0.0007957515007127756
glamorous sophisticated,0.00016684342569094732
glimpse universe,3.7218739545187733e-07
goddess,0.00014791214165390637
goddess creative,1.356233788371868e-06
goddess wearing,0.0001351304876913228
gordon,0.00019216186682670345
goth,0.00015604033921841863
goth emo,0.00022555812952866066
goths,0.0003775101591823077
goths loitering,89060180927.05731
gundam,0.0015959151253189326
gundam unreal,1.2375460340682447e-07
gustav klimt,0.0
hd,0.0
hd goth,0.001668019220358931
hd painting,0.0002094231166221984
hd unreal,2.4083956557152678e-06
heavy detailed,0.0002470786609912727
high quality,0.005452413527908091
hills slavic,0.0
himalayan,0.0
himalayan rocksalt,0.0
houses,3.860936961049804e-06
houses built,0.0005566700223898663
hyper detailed,3.111691035070784e-05
illustrated,0.0002734955728817625
illustration,0.0016544416055393396
illustration art,2.2196745886191284e-05
imposing cyborg,0.0
intricate details,0.00016642720799811404
intricate hyper,1.7021895362261357e-06
intricate royo,0.0
intricate volumetric,5.454489502061224e-07
josan,0.003332187796212141
josan gonzalez,0.00020702032656959925
