keyphrase,mean_abs_shap
abandoned,0.0003689040170547822
alchemical creatures,0.0009179227344864406
alien,0.003260098163641955
alien planet,0.00019161019169005477
android cyborg,0.0020637969569071066
anime,0.007446195198635709
anime colors,0.00034788037231652696
anime epic,0.00012972906629137308
armor daedric,0.0008454453830411003
art,0.01561349193126561
art artgerm,0.0021732819639426974
art hyperrealistic,0.005046597130674044
art lifelike,0.001895018500557926
art punk,0.0010400986089738387
art realistic,0.0022881484761422904
art sharp,0.002792317453750744
art smooth,0.0028571389382946043
art style,0.0016068097740430652
art thorough,0.00412901382057142
art trending,0.0021532045287110595
artistic,0.00030762241457060177
artistic painting,0.002424745672111343
artstation,0.010319063270990836
artstation cinematic,0.0018625363853978305
artstation concept,0.0012070232715730611
artstation galaxy,0.00034995971758186817
artstation hyperrealism,1586994119080.5085
artwork,0.00253534502427163
atmospheric lighting,0.0038006312074390777
azores,0.00195733504954741
barbarella,0.0003077553777047228
beautiful,0.0030539899992257967
beautiful landscape,0.000406419862452188
beksinski,0.0010418315461070264
beneath cherry,0.0004173229459907522
bernard simunovic,0.003286721430439659
bjork,0.00012335671740824105
black,0.001361559222522439
blinders photography,0.0005677374409039313
body manga,0.0029379991513417392
body portrait,0.001805817536735961
body shot,0.0011288146020089634
bonsai,0.008679158727654715
bonsai tree,0.0015372553801912734
bull looking,0.0012988617089162377
bull modeled,0.0015211643164015983
butterfly volumetric,0.0025639661511289947
camera,0.003054827148849698
candle butterfly,0.002897234674653426
candle volumetric,0.0010893386438850902
canvas,0.0032151418429294427
castle,0.0032152141152575055
cat,0.0024913589717263946
century,0.0024901333232636787
century modern,0.0017227420673760288
character portrait,0.003652014618184437
cinematic,0.005648284387994865
cinematic composition,0.002938302048366023
cinematic deviantart,0.0014030908993956492
city,0.00585990847726744
clouds,0.006326894923540394
clouds madeira,0.0019838316117589123
collage canvas,0.0017934562924110816
colors,0.00251912123149666
colossal,0.0011485290574464004
colossal goddess,0.003307381512878676
comprehensive art,0.0018422487360864532
concept art,0.009969197364016398
contemporary art,0.001380311624431579
cosmic,0.0008373147376834844
creatures surreal,0.00142676465292032
cute fluffy,0.0005146187257010482
cyberpunk,0.0040741133715454575
cyborg,0.004424877007052578
cyborg body,0.0012432692202064125
cyborg bull,0.0018225303141605734
daedric armor,0.0006349019441263197
dark,0.0015849904025048674
dark uncanny,0.0010318681988232348
detailed painting,0.005031432442653979
detailed portrait,0.006874166902343372
detailed ultra,0.003061364202999822
detective pikachu,0.0009125650513951781
deviantart,0.004223178541977044
deviantart cinematic,0.0005025327740112498
deviantart hyperrealistic,0.00027636762648076247
deviantart realistic,0.0027102153114874675
digital art,0.006845661102903275
digital painting,0.007269881967928639
digital render,0.0007357320907295795
divine,0.0016629059640330065
divine pink,0.00015933463002740458
dog,0.0008967784504416823
donald,0.0020659091365789165
dragon,0.002183853136233068
dramatic lighting,0.0009885812916771218
drawing,0.003502710398125441
dunmer nerevarine,0.004911968005354236
edwardian photograph,0.0
einstein,0.00336572613059936
elf,0.00377408077741798
elson,0.0015032808353571837
emo,0.0002137305472772755
emo punk,0.0012236102088923576
engine,0.0011675272690994673
entries sony,0.0040464331614537205
fantasy art,0.0028918049690953023
fantasy painting,0.0024563259934135126
fantasy style,0.0005448554905150395
faroe azores,0.0009336168788396658
fiction,0.002359780196489078
fiction film,0.0005053664012755416
fiery alchemical,0.0023776981461879547
fifth element,0.001596878784660013
film,0.006312779857741892
film neuromancer,0.0001492925389804117
flamingos,7.572963897716994e-05
flowers,0.000511351986812181
fluffy,0.0023190955459197827
food photography,0.0005848010297597594
footage,0.002854736534056979
forest,0.0008362158197995814
frazetta,0.0011281656785538112
frazetta giger,0.004130702582114671
futuristic,0.00042150992067994513
garden,0.0024558574818722805
garden intricate,0.001852352877154033
giant digital,0.0033994471250114503
glamorous sophisticated,0.000620698756182814
goddess,0.0024171942396368383
goddess creative,0.0001919699248086507
gordon,0.002675284881292223
goth,0.0029928092263310536
goth emo,0.0020420468000288323
goths,0.001429368880441803
goths loitering,0.00039014996489862726
gundam,0.0016897710544838867
gundam unreal,0.002903186333650503
hd,0.0007624117599819913
hd goth,0.001047323556818335
hd painting,0.0037227613078274434
hd unreal,0.003447755170943267
headshot edwardian,0.0007353121959112553
heavy detailed,0.002068750103977977
high quality,0.00698370916404184
himalayan,0.001457346481407224
himalayan rocksalt,0.0001439910377024252
houses,6.914681574430489e-05
houses built,0.0015423464137772664
hyper detailed,0.0031723931476153786
illustration art,0.003607612168187213
imposing cyborg,0.0010926729815611328
intricate details,0.0006016146917777502
intricate hyper,2.3984322078289243e-05
intricate royo,0.0004980265071073207
intricate volumetric,0.0022212548074244548
jacket black,0.0028822085550196824
josan,0.00025208540628940076
josan gonzalez,0.001994938842824913
kylie,0.0
kylie minogue,0.0003328298160435769
lamp,0.0009300916198396676
landscape,0.0033073456778449878
landscape colourful,0.00012418753645993363
lantern candle,0.002787858152882439
length portrait,0.0035292382964685455
lifelike photorealistic,0.001243527263336018
lighting,0.0009769478934508026
lightning intricate,0.00148304078365307
log houses,0.0013254337132372123
looking camera,0.0011944163798370746
low clouds,0.0028089385986799723
madeira faroe,0.0026116058921932853
male dunmer,0.0032777548446791403
manga,0.0009815390236984991
manga illustration,0.002138473504045127
marble hourglass,0.0024356279024282403
matte,0.0022439668471413016
matte painting,0.002962621802199157
media collage,0.003907035160236451
