keyphrase,mean_abs_shap
abandoned,0.0005691986083269644
alien,0.0013102018313182777
alien planet,9.027429985077976e-07
android cyborg,0.0004968493333797687
anime,0.002015800672029901
anime colors,0.0009383163078251207
anime epic,0.0006619531373653016
armor daedric,9.324745191869897e-05
art,0.01561670294892879
art artgerm,0.0011977486440368518
art city,0.00020358426109692705
art hyperrealistic,0.004855179551458113
art josan,6.222046389217604e-05
art lifelike,0.0005811699367758219
art punk,0.0017706972513367742
art realistic,0.0005139375955289187
art sharp,0.0014866460672395474
art smooth,0.0013755674157120918
art style,0.0008648237720545842
art thorough,0.0011934403827307974
art trending,0.0007496357771172133
artistic,0.0009415748314959433
artistic painting,0.0009201882570328727
artstation,0.004455184718564173
artstation cinematic,0.0010580340328847449
artstation galaxy,0.0006635697797689518
artstation hyperrealism,0.00023293728308952866
artwork,0.0018242894930992485
atmospheric lighting,0.0021499085653569634
avant garde,9.603968631582533e-05
azores,0.000765901250404157
azores islands,0.0008131345181045439
beautiful landscape,4.1398980329920695e-05
beneath cherry,0.0008398417277636398
bjork,0.0005923387639641408
black,0.0003846863398314604
body manga,0.0013399392266328044
body portrait,0.0009500276636640218
body shot,0.000577762156853971
bonsai,0.005041793432001328
bonsai tree,0.0002952725210452818
bull looking,0.0005157816173293482
bull modeled,0.000635148991720729
butterfly volumetric,0.000963996734774825
camera,0.0013292005272104352
candle butterfly,1.6709096591181904e-05
candle volumetric,1.410767453898689e-05
canvas,0.0013982264629952418
castle,0.0018046317492549642
castle enclosed,0.0
cat,0.0006172364557020955
century,0.004353888624978818
century modern,0.0036740668919645076
character portrait,0.0005906844535348674
chris,0.0013888269604776587
chris foss,7.01968773731851e-05
churches domes,7.340557452270116e-05
cinematic,0.005171680544551538
cinematic composition,0.0009988582773511963
cinematic deviantart,0.0006904996371650618
city,0.0036761224481952006
cloud fashion,0.00033270792686454194
clouds,0.0008663474363984403
clouds covered,4.6455764949736713e-05
clouds girl,0.0004892822864284823
clouds madeira,0.0009986573696937173
collage canvas,0.0028032704465229775
colors,0.0010179947725129943
colossal,5.921926715836341e-05
colossal goddess,7.119421208651314e-05
comprehensive art,0.002480667744276895
concept art,0.014321899714588332
contemporary art,0.0018484668049012854
cute fluffy,0.0008446593108172548
cyberpunk,0.00206349738743257
cyborg,0.0023592784887939465
cyborg body,0.0004917109378440188
cyborg bull,0.0005364160901906625
daedric armor,0.00098694533232971
dark,0.0008275224140056845
dark uncanny,0.0008096299410550665
detailed painting,0.004725494663735889
detailed portrait,0.0008088793677946834
detailed ultra,0.0016373735600362144
details intricate,0.00045089529039027117
detective pikachu,0.001054264142597781
deviantart,0.0013970710313913528
deviantart hyperrealistic,0.0007378945494073652
deviantart realistic,0.005352270093371068
digital art,0.003983298868380867
digital painting,0.0033038490046412815
digital render,3.6019681123946555e-06
divine,0.00023292940775497152
divine pink,0.0005458342678891055
dog,0.0002834353245908993
donald,0.0018974804938264572
dragon,0.0010293956608519146
dramatic lighting,0.0003512421669536945
drawing,0.0031405569139677223
dunmer nerevarine,0.0029490210855344493
einstein,0.00251934958746867
elf,0.003555659595648084
elson,0.0007583695616536191
emo,0.00011235522828230099
emo punk,0.0008422314511091297
engine,0.0012172242173189407
entries sony,9.485540467983037e-06
fantasy art,0.0011729144979371305
fantasy painting,0.0029721360977647544
fantasy style,0.0006082723675072138
faroe azores,0.0011187859806906248
fashion clouds,6.436392160393891e-05
fiction,0.0010703385041177147
fiction film,0.0006504977722435406
fifth element,0.00045590716823231797
film,0.0023614733695197553
film neuromancer,0.0007131432928683245
flamingos,0.0006612346994685424
flowers,0.0008287886333591062
fluffy,0.0006145657149632758
footage,0.004282388147880824
forest,0.0004146808068737051
frazetta,0.0007012133613072318
frazetta fantasy,0.0005691454420217173
frazetta giger,0.0020212693618278737
futuristic,0.0001891303958253334
garden,0.0021108803497304094
garden intricate,0.0049904402616191695
giant digital,0.0007891044422260502
girl clouds,0.00031308137907653177
glamorous sophisticated,0.00022811312825424818
glimpse universe,0.00090235714945017
goddess,0.0009276904608451679
goddess creative,0.0001234048302193369
goddess wearing,5.847004299229966e-05
gordon,0.0012818521662756094
goth,0.0005548431620403483
goth emo,0.0004233833914232808
goths,0.0007098338454627187
goths loitering,0.0005590361479380976
gundam,0.003326381872593678
gundam unreal,0.0008413172809140972
gustav klimt,0.001614716030455896
hd,0.0011232852118959497
hd goth,0.0021844035709452634
hd painting,0.0017653910468926975
hd unreal,0.0008900320409539392
heavy detailed,0.0026952150249218093
high quality,0.010272274829231931
hills slavic,0.0
himalayan,0.000864460049508565
himalayan rocksalt,0.000640077134584078
houses,0.00023727016117565028
houses built,0.0012449009397926983
hyper detailed,0.001289033878029332
illustrated,0.0011002919747790595
illustration,0.004045132746556904
illustration art,0.0012422064278905937
imposing cyborg,0.0005728979931642073
intricate details,0.001009713866077335
intricate hyper,0.0006211839921583695
intricate royo,0.0006127354567620581
intricate volumetric,0.00019583552996416166
josan,0.0024652634843598926
josan gonzalez,0.0009636733308484365
knight,0.00012905484517793542
kylie,0.00023185568861266667
kylie minogue,0.00017281996122151214
lamp,0.00048303466127352294
landscape,0.0026173536110747466
landscape colourful,0.0007792249686954679
lantern candle,2.8412212077697148e-05
length portrait,0.00033294672356860855
lifelike photorealistic,0.0017153267336537132
lighting,0.0012178131925913945
lighting hd,0.0006400593306647731
lightning intricate,0.0001386725428962003
log houses,0.0009914373003718112
looking camera,0.001090466378547367
low clouds,0.00013432099251225118
madeira faroe,0.0009197010451664905
male dunmer,0.002245662187968503
manga,0.001063995627042861
manga illustration,0.0008110370652128075
marble hourglass,0.0004892855880932036
matte,0.0021459323289149106
matte painting,0.003465602671689742
media collage,0.0007862716226777768
mid century,0.005592831973518488
minogue,0.00030969959866505403
mixed media,0.0006923402302294455
modern,0.0009090328507779698
modern art,0.0011614672245991264
movie,0.0006110119824703615
movie poster,0.0004761671595109279
natural scene,0.001996237745743675
nerevarine,0.00011669590570558015
neuromancer,0.0008067206057100058
oblivion skyrim,9.50041360025888e-05
octane render,0.002501355599355844
oil painting,0.0021024921402085857
overcast thunder,0.0002138076844521838
pablo picasso,0.0014596092432510646
painted,0.0009169073135084271
painted pablo,0.0006497022838026575
painting,0.011658321592273601
painting aesthetic,0.0011010865698907384
painting artstation,0.004730982858345732
painting beautiful,0.014044362539866274
painting character,0.0008711947567467801
painting chris,0.00012984755479384101
painting deviantart,0.00025059693017593043
painting lurid,0.0008193046191608816
painting lush,0.00038947841425341674
painting peter,0.0009248356917671033
painting ronny,0.00023793480149273788
painting sargent,0.006210606960532306
painting stalenhag,0.002064907508525106
painting unreal,0.0007692638336833218
peter,0.0011563997188621814
peter elson,0.0008021570857811085
photo,0.0025410551656111467
photo realistic,0.0008524852466465003
photograph,0.0005721345484088237
photograph divine,0.0002754168985214396
photography,0.004925022629005124
photography awards,0.000550407463998927
photorealistic,0.005290249587726112
photorealistic digital,0.0006681678408865503
phyics entries,0.0003803137811344193
picasso,0.0008433546985751298
picasso hair,0.0005697213136735077
pikachu hannah,0.0008264020621360782
pink bonsai,8.410589972240635e-05
pink flamingos,0.0005229421624773376
pixar,0.0019511242987452467
pixie cut,0.0007815343139606543
portrait,0.00866981237154139
portrait extremely,0.010825717879217128
portrait intricate,0.00031794126161279054
portrait male,1.9623819378010274e-05
portrait painted,0.0012209609458726843
portrait painting,0.005508886312322486
portrait photograph,0.0010954251021139966
portrait sabouts,0.0
portrait scifi,0.0005280981087632206
punk art,0.0015237441122633968
punk portrait,0.0012666714846365627
puppy,0.0015442572114690533
render hyperrealist,0.0012248653328217184
robot,0.001207721543614028
rocksalt lamp,0.00046917931244275804
rpg portrait,0.0010817104411169204
runway,0.0010844452059623946
saitama,0.0009227088962396596
saitama anime,0.005833853070439587
scene,0.008295895252672113
scene science,0.0005373264649717263
science,0.0008842922391173375
science fiction,0.0006268210403473933
screenshot,0.0007293248158975453
shade talking,0.0019616945148107474
skyrim elegant,0.00021872188795135387
sony,0.002643665857008967
sony world,4.330251728364187e-05
