keyphrase,mean_abs_shap
abandoned,0.0012117284753912585
alien,0.002396391558965041
alien planet,0.000900880178426674
android cyborg,0.00082937681889592
anime,0.0031698997894782422
anime colors,0.0009578294335921982
anime epic,0.0006486250139441725
armor daedric,0.00014991038178164022
art,0.012569090845542977
art artgerm,0.003358417467180394
art city,0.0009526588396943162
art hyperrealistic,0.0022389308622670105
art josan,0.0005024032713403936
art lifelike,0.00019124014726042943
art punk,0.0016883601194278726
art realistic,0.0013055665588228341
art sharp,0.003049066578134641
art smooth,0.004482478667116703
art style,0.0013432170343168801
art thorough,0.0010328186177555193
art trending,0.0017286471693106174
artistic,0.0006713888903062403
artistic painting,0.0009308455991687513
artstation,0.004635562554177978
artstation cinematic,0.0014000651839634233
artstation galaxy,0.0005155823845138293
artstation hyperrealism,0.0010629399794154755
artwork,0.0024026476682846303
atmospheric lighting,0.0015195454471112607
avant garde,0.00019277090612112408
azores,0.00012820833284623692
azores islands,0.0004535326029952444
beautiful landscape,0.0009643676616342598
beneath cherry,0.0006510562128914715
bjork,0.0010635558711439294
black,0.0004787321952095848
body manga,0.0022132734350472907
body portrait,0.0007268470497757622
body shot,0.0005884780539851341
bonsai,0.002913163315885996
bonsai tree,0.0006613586271509746
bull looking,0.0006789116199202498
bull modeled,0.0007166293626156346
butterfly volumetric,0.002434092811929718
camera,0.0011810975241859742
candle butterfly,0.0013199580467405673
candle volumetric,0.0010985778853132902
canvas,0.001371597791721771
castle,0.0008209235899268723
castle enclosed,0.000124753372639779
cat,0.0011768112776716936
century,0.0013747015389085583
century modern,0.0029337946942638027
character portrait,0.0007753023329480863
chris,0.0002509518770902696
chris foss,0.00011932167015948397
churches domes,0.00020491827846252407
cinematic,0.006015198423441658
cinematic composition,0.00032907921296033407
cinematic deviantart,0.0007160562693855834
city,0.003738245102276496
cloud fashion,0.0011130765460092425
clouds,0.0016055064516194918
clouds covered,0.0006345651337700861
clouds girl,0.0007572903724212532
clouds madeira,0.0005435784845362181
collage canvas,0.0015148917559457049
colors,0.0017023526402716988
colossal,0.0008687752945622485
colossal goddess,0.0010388772933697748
comprehensive art,0.001794565640119231
concept art,0.0059550487252551226
contemporary art,0.0016428074917537764
