keyphrase,adjusted_mean_shap
painting beautiful,396748529770.134
artstation hyperrealism,396748529770.12744
matte painting,22265045231.766426
goths loitering,22265045231.764744
surrealism surreal,4338407121.86083
surrealism,4338407121.8603
mixed media,4081315919.053366
painting lush,4081315919.053063
art hyperrealistic,1945662223.6140387
city,1945662223.6137872
art,0.012730924102265449
painting,0.011433834676750451
concept art,0.009785664481854351
unreal engine,0.008174539690931475
portrait extremely,0.0075376026329372755
portrait,0.007495047589881225
scene,0.006798717515337024
high quality,0.0067850027844301
room,0.0062316340263833
painting sargent,0.005480815262035125
steampunk,0.00534008015612625
bonsai,0.005182754853790976
cinematic,0.0050542478103961005
artstation,0.005039647593276425
detailed painting,0.004923808916717675
photorealistic,0.00473776186132055
digital painting,0.0044735271750621
digital art,0.004298842099542625
mid century,0.004070077987207975
trending artstation,0.0038569962490539998
deviantart realistic,0.0037321849595624503
photography,0.0036725099657057498
style portrait,0.003516738101220225
bernard simunovic,0.0032867214304396
saitama anime,0.0032781711925131004
anime,0.003206462521140525
painting artstation,0.003099837849058225
beautiful,0.0030539899992257
uncanny painting,0.0030169049892114002
portrait painting,0.003002534172356125
footage,0.0029135404810224
dunmer nerevarine,0.002894251936682925
film,0.002893467325790725
sony,0.002888001612706
jacket black,0.0028822085550196
elf,0.002850657135581225
statue,0.0028470256222378
illustration,0.0027818811672825332
sky,0.002698840380872
surreal concept,0.00268868151596175
garden intricate,0.0026484589749854
einstein,0.002645058096884
oil painting,0.00258894060021355
gundam,0.0025561097433989747
male dunmer,0.0024446092879233496
century,0.00244334566768215
detailed ultra,0.0024415001263911
painting peter,0.0024410700454003255
body manga,0.0024190586734646
fiery alchemical,0.0023776981461879
peter,0.002373560614205775
detailed portrait,0.0023201815813207252
century modern,0.0022773818106265496
cyborg,0.0022684290706830998
photo,0.0022341040255012996
clouds,0.00223318682641625
art smooth,0.0022256207795829253
wallpaper illustration,0.0021786751337036
uncanny,0.0021471075318743
drawing,0.002146894618289125
deviantart,0.00214165723193955
atmospheric lighting,0.00208439315630555
mila kunis,0.0020502985615472
fantasy painting,0.0020441474159509
frazetta giger,0.0020339897931929
cyberpunk,0.002023135071218025
starmaker,0.001992865887474025
nerevarine,0.00198113918288465
garden,0.001957705279227125
gordon,0.00195240444267675
butterfly volumetric,0.0019348512567312999
ufo ignoring,0.0019318785478280838
comprehensive art,0.0019070313615908003
art sharp,0.0018553156715272294
studio ghibli,0.00183978301234325
landscape,0.0018388590947738751
ultra realistic,0.0017977428638349252
painting stalenhag,0.00178820040903905
natural scene,0.001778473126014225
alien,0.001768184690918725
josan,0.0017670515775541499
artwork,0.0017313004001355999
heavy detailed,0.001709315159849475
art artgerm,0.001701266772356332
spaceship,0.00168699432686
hd painting,0.001675935055066625
collage canvas,0.00164631466819815
illustration art,0.001610256567859748
giant digital,0.0015987836449256753
art thorough,0.0015888182052644
world photography,0.00158264573250275
fantasy art,0.0015684530788311
punk art,0.001551281656685775
media collage,0.0015419666184526
hd goth,0.0015336018820695252
canvas,0.0014962415244115749
photorealistic digital,0.0014948477595576085
hyper detailed,0.001492790839669102
photography awards,0.0014911827518859634
stars,0.001483344125499725
photograph divine,0.001470305056793725
art punk,0.00146639332715825
castle,0.0014601923636097997
peter elson,0.0014520087791046752
matte,0.00144570265833085
creatures surreal,0.0014267646529203
camera,0.001391281300061475
realistic cinematic,0.0013760960494532
octane render,0.0013450619707419751
hd unreal,0.0013436923179468538
robot,0.0013270577076081999
colors,0.0013099125815665968
donald,0.00130583243844935
pixar,0.00130144488633065
character portrait,0.001291712341865725
phyics entries,0.0012897641630446335
gundam unreal,0.0012887812474978017
steampunk himalayan,0.001276517926421875
movie,0.0012673400790738749
contemporary art,0.001257074772318325
painted,0.001253562720429525
length portrait,0.0012489392730073
goddess,0.001244856752315625
woman,0.0012402296193729033
entries sony,0.0012283078663159457
sony world,0.0012211550553310343
lighting,0.0012145939713929074
artstation concept,0.001207023271573
art trending,0.0011993582346187751
saitama,0.001177533000587225
fiction,0.0011686351965997
ufo,0.001156837016695025
goth,0.001151115546836275
colossal goddess,0.0011475177349556784
artstation cinematic,0.0011350444779142
log houses,0.0011307400601004
flowers,0.001129476152116225
artistic painting,0.0011201575669359
lifelike photorealistic,0.001118748021218125
josan gonzalez,0.001118008381941875
cat,0.0011136138330503
intricate details,0.001110306675279225
cinematic composition,0.001109080860674575
marble hourglass,0.0011081481424516195
portrait photograph,0.00110412529995945
painting character,0.0011005530806845
surreal dark,0.0010990815125251
candle butterfly,0.0010985326370182204
wallpaper,0.001097834467380275
manga illustration,0.001094084325307625
portrait scifi,0.00108629244799255
fluffy,0.0010838794839588
houses built,0.00107569164628715
madeira faroe,0.001074033757438075
rpg portrait,0.001072883335800575
art realistic,0.001068183736406825
dragon,0.001063470883464
clouds madeira,0.0010626349001282749
beksinski,0.001041831546107
intricate volumetric,0.0010238393321591016
photo realistic,0.001009465035547025
vivec portrait,0.00099766052320125
traits painting,0.0009787595860129249
pikachu hannah,0.000962750158386925
picasso,0.0009570595869803249
art style,0.0009546401249181991
portrait intricate,0.0009486254035687251
vallejo frazetta,0.000947796497479745
body portrait,0.000926872311904
screenshot,0.000923063823150375
beneath cherry,0.0009221004515073749
alchemical creatures,0.0009179227344864
daedric armor,0.0008980364451772
modern art,0.000895918420634575
surreal,0.00086709218124945
shade talking,0.00086068628901025
pixie cut,0.0008523840014093029
android cyborg,0.0008479736506028468
volumetric lighting,0.00084781007644645
puppy,0.0008475063567441749
engine,0.00084293259707035
portrait male,0.0008396239330166525
cosmic,0.0008373147376834
detective pikachu,0.0008318220319700499
starmaker matte,0.0008292957403370941
manga,0.00081549886931475
lantern candle,0.0008035872691190493
style contemporary,0.0008019155649028499
low clouds,0.0007991392511900753
portrait sabouts,0.0007975461369774
render hyperrealist,0.0007867694809148466
illustrated,0.0007867584795406333
steampunk butterfly,0.0007834758576792
cyborg bull,0.0007671351668657751
goth emo,0.00076445911221405
himalayan,0.00076432234466975
goths,0.000750334658439525
azores,0.0007483176513245251
punk portrait,0.0007396248262047262
girl clouds,0.0007395465142520334
portrait painted,0.00073706657124415
headshot edwardian,0.0007353121959112
looking camera,0.00073502455124875
dark uncanny,0.0007316310746016499
bull modeled,0.0007182356676844501
bonsai tree,0.0007153500644321751
cinematic deviantart,0.0007097323683689852
lighting hd,0.0007068332879091106
divine,0.00070008022338335
cute fluffy,0.0006995234051760751
pablo picasso,0.0006948194939360554
movie poster,0.000685016534425175
scariest looking,0.0006778450595268
photograph,0.00067664908736885
puppy sitting,0.0006747141263836
emo punk,0.0006681884834593
art lifelike,0.0006675013949543187
science fiction,0.0006629778817877948
dark,0.0006596144953498818
gustav klimt,0.0006596050810185333
painting ronny,0.0006566933538812251
fifth element,0.0006558739072322749
deviantart hyperrealistic,0.000637862001352525
modern,0.0006353750677523499
lightning intricate,0.0006340637261942164
imposing cyborg,0.0006334318347425249
overcast thunder,0.00063340979280285
elson,0.0006304824986509476
space,0.0006295407810879687
bull looking,0.0006241246069837691
cyborg body,0.00062262644966285
neuromancer,0.0006117589349811593
landscape colourful,0.0006086937898832
hd,0.000606699904028675
chris,0.0006063122629273666
faroe azores,0.0006025530648807
black,0.0005995124669079
painted pablo,0.0005975202468354751
glamorous sophisticated,0.000597390775471625
food photography,0.0005848010297597
runway,0.0005822213039095804
abandoned,0.000574877097343
picasso hair,0.0005748417189678501
body shot,0.0005738267570932361
blinders photography,0.0005677374409039
frazetta,0.000565450342433402
anime colors,0.000561006528433425
divine pink,0.000560188847710325
fiction film,0.00055766235719125
tracing artstation,0.0005569781130337249
colossal,0.0005546792254523408
candle volumetric,0.0005505060509342968
clouds girl,0.0005480100286040333
cloud fashion,0.0005383931039368667
pink flamingos,0.0005295208093404251
artistic,0.0005182585475052249
wizard,0.00051541993007395
dramatic lighting,0.000512039096276675
lamp,0.000510469345447
oblivion skyrim,0.0005091816147299722
snowy,0.0005043086748098
deviantart cinematic,0.0005025327740112
details intricate,0.0004981436296255333
pink bonsai,0.0004963282338139016
forest,0.0004908657929969051
azores islands,0.0004795403110033
wearing cloud,0.00047061159809873326
glimpse universe,0.0004563337521968173
minogue barbarella,0.0004493910140074
digital render,0.00044767615976659865
bjork,0.00044481283812905
intricate hyper,0.00042719416681587886
skyrim elegant,0.00041757736149767503
ruins,0.0004164098021787
minogue,0.00040885762944942503
anime epic,0.00040841381925825005
scene science,0.00040826518964922275
flamingos,0.00040679682989536745
painting aesthetic,0.00040427880455762624
surreal glimpse,0.0004013082076450337
science,0.0004002416960195729
goddess wearing,0.0003951087590071999
beautiful landscape,0.0003867413122582801
art city,0.0003854143669304
film neuromancer,0.00038409260868115
artstation galaxy,0.0003826007105602711
zdzislaw beksinski,0.0003744757789473
dog,0.0003718810322978
himalayan rocksalt,0.000364445086845075
fantasy style,0.00036309447538672126
knight,0.0003421289680734
rocksalt lamp,0.0003205574520929364
alien planet,0.00032023612096290197
painting deviantart,0.00031257595174225
armor daedric,0.0003123136064224997
barbarella,0.0003077553777047
sitting snowy,0.0003028718176034
goddess creative,0.000301937124859893
clouds covered,0.0002851398467278122
intricate royo,0.00028513477510214727
painting lurid,0.000284644224005125
art josan,0.00025634093143395864
frazetta fantasy,0.0002469702097603
futuristic,0.00024094334135305
painting unreal,0.00023582916171218938
kylie minogue,0.00023008417788215
houses,0.00021831998295846367
kylie,0.00019381618444552502
avant garde,0.00017319678042227512
emo,0.0001603741673341
chris foss,0.00014365134151842838
painting chris,0.00012023801120538372
tall castle,0.00011446268454470001
churches domes,9.419657933007713e-05
fashion clouds,6.720922598104631e-05
wooden churches,4.2895783720300986e-05
castle enclosed,4.158445754656667e-05
hills slavic,3.9687644419866666e-05
edwardian photograph,0.0
