keyphrase,mean_abs_shap
abandoned,0.0
alien,0.00018747473604450364
alien planet,0.0
android cyborg,1.7397567773093674e-06
anime,0.0003900101200465109
anime colors,7.161528409851892e-06
anime epic,0.00017393945854450355
armor daedric,0.0002419849873610337
art,0.002704721179272984
art artgerm,0.00021224132153228002
art city,0.00024506962860229006
art hyperrealistic,0.00032840986399075713
art josan,4.65837456500898e-06
art lifelike,0.00025151253953589286
art punk,0.0008014076619326556
art realistic,0.0001853331622040227
art sharp,0.00019755888144718292
art smooth,0.002656703766721736
art style,0.0002081820097546327
art thorough,0.0002256265848679517
art trending,0.0009594161899037974
artistic,3.4032884789817053e-06
artistic painting,2.8723191119769318e-06
artstation,0.0004995846631312128
artstation cinematic,4.300649334156384e-07
artstation galaxy,1.2105361704885028e-06
artstation hyperrealism,0.002312399436008923
artwork,0.00020613785451708332
atmospheric lighting,1.7746822082913085e-05
avant garde,0.0
azores,0.00017845121347261192
azores islands,0.0
beautiful landscape,1.3160657035078056e-06
beneath cherry,0.0002355907287030055
bjork,1.3710053183175251e-05
black,0.00021847964687804277
body manga,0.00024432862286593633
body portrait,0.0037731101261569903
body shot,0.0
bonsai,0.01193970034812611
bonsai tree,0.0001593609846962943
bull looking,0.0
bull modeled,2.584520318656304e-06
butterfly volumetric,0.0
camera,0.0002848334027678455
candle butterfly,0.00022035343993731022
candle volumetric,0.00020284842021998174
canvas,0.0015135273010174037
castle,0.0010684144654463078
castle enclosed,0.0001768004728401525
cat,0.00022257257032777804
century,0.0
century modern,0.00018743350657309836
character portrait,0.00019859589603667412
chris,3.1572080000837527e-06
chris foss,6.147757730068993e-07
churches domes,0.00021124935520115015
cinematic,0.00023881547927829508
cinematic composition,0.004119215640518444
cinematic deviantart,0.0021581122879372598
city,0.0007789744942081483
cloud fashion,0.0
clouds,0.0016543408104289772
clouds covered,0.0
clouds girl,3.1843180003036633e-07
clouds madeira,0.0030553557793487956
collage canvas,0.00025817870755946276
colors,0.00021551013143656693
colossal,0.00019366275772044966
