keyphrase,mean_abs_shap
abandoned,0.0010183542453566377
alchemical creatures,0.0008320310237650265
alien,0.0024731676090987142
alien planet,8.385618449220723e-05
android cyborg,0.00017324018757437345
anime,0.0054568194205932615
anime colors,0.0017029892477637715
anime epic,0.00010755993581193431
armor daedric,0.00016623287596972958
art,0.014287897255175647
art artgerm,0.0016107262266287763
art hyperrealistic,0.00020626612527547088
art lifelike,0.0028377712694115332
art punk,9.48819689495923e-06
art realistic,0.002578631225206303
art sharp,0.002904867974622541
art smooth,0.0032425622230690763
art style,0.001314732641412746
art thorough,0.0017868249995973348
art trending,0.0026292171831090957
artistic,0.0015907022215436615
artistic painting,0.0014309541679351358
artstation,0.004788986255511748
artstation cinematic,0.0026289686010242917
artstation concept,0.002546579479502175
artstation galaxy,0.0002129224617589743
artstation hyperrealism,0.005138075855459428
artwork,0.002056553430100507
atmospheric lighting,0.0029460090859567533
azores,0.00011580693936803824
barbarella,0.0011447945883001818
beautiful,0.0018593695157448585
beautiful landscape,0.0007159511496816767
beksinski,0.0011608283981341598
beneath cherry,0.00021192466546104098
bernard simunovic,0.0019755208491259043
bjork,0.0032719163916079814
black,0.0004765536578874128
blinders photography,0.003085888441027279
body manga,0.0003096536416355419
body portrait,0.001763616529507938
body shot,0.00010121023505971848
bonsai,0.004632899774290481
bonsai tree,0.00026023321659126604
bull looking,0.00019771930336662973
bull modeled,0.0004972654173090156
butterfly volumetric,0.0015191766703858119
camera,0.0007050095546164335
candle butterfly,3.032716793690182e-05
candle volumetric,0.0022781669039058997
canvas,0.008438850929404475
castle,0.0053906964527893775
cat,0.0030316429712770386
century,0.0018195937800111726
century modern,0.005279897305638408
character portrait,0.002222987823688954
cinematic,0.004616102835481831
cinematic composition,0.007021985384501819
cinematic deviantart,0.0048959061895335046
city,0.0036204114163665784
clouds,0.0073175604071846
clouds madeira,0.0013903462896032832
collage canvas,0.0011426996873380893
colors,0.0008029824265855196
colossal,0.0011801682624850351
colossal goddess,0.0015406429622831577
comprehensive art,0.00403725531352883
concept art,0.009616097293283382
contemporary art,9.176613925049091e-05
cosmic,0.00012010729868561169
creatures surreal,0.00031651606810722524
cute fluffy,0.00271995855322778
cyberpunk,0.003176962323298846
cyborg,0.0030838316326606855
cyborg body,0.0004331003519085437
cyborg bull,0.0005906225456621413
daedric armor,0.0020694470398450984
dark,0.004674119819718934
dark uncanny,0.00022073907581469883
detailed painting,0.0027363605065970193
detailed portrait,0.00221837604588199
