keyphrase,mean_abs_shap
abandoned,0.000628928091164228
alien,0.0007453740506865669
alien planet,0.0006830341344503029
android cyborg,5.027243382170809e-06
anime,0.004463663511595176
anime colors,0.0001349778384222266
anime epic,3.264483211463229e-05
armor daedric,0.0009000136144312862
art,0.01329040136050123
art artgerm,0.0011348893644793218
art city,0.0007686953912246953
art hyperrealistic,0.0008909914312004157
art josan,0.001102605245551693
art lifelike,0.0007256020930018202
art punk,0.0017500137912206375
art realistic,0.0021356602574428007
art sharp,0.00036709076571818264
art smooth,0.0029800214960211003
art style,0.0013036544693796044
art thorough,8.31597791568084e-05
art trending,0.0008684633381221334
artistic,0.0002480147064939698
artistic painting,0.00011810336085449236
artstation,0.0040750330864397725
artstation cinematic,0.0006864952907707129
artstation galaxy,4.7567802648597015e-05
artstation hyperrealism,0.002055733844628213
artwork,0.0009191740773521994
atmospheric lighting,0.0009747014591073422
avant garde,8.442299302800974e-05
azores,0.001306007906513504
azores islands,7.357578028322845e-05
beautiful landscape,0.0006890077363677701
beneath cherry,6.419881677803389e-05
bjork,0.0007229533511072501
black,0.0006631933870722117
body manga,0.0008812035917155565
body portrait,0.004241107586854462
body shot,5.030526215095197e-06
bonsai,0.006889174959307809
bonsai tree,0.0010167595462707035
bull looking,1.055302593638672e-05
bull modeled,3.0560135399242205e-05
butterfly volumetric,0.0006482809709724323
camera,0.0003360497749680393
candle butterfly,0.0010158227527193317
candle volumetric,0.00014471571079774796
canvas,0.0036647437407035374
castle,0.002601723875465626
castle enclosed,2.6404852505255265e-05
cat,0.0022512846061764967
century,0.001347425086783845
century modern,0.0010511246260188078
character portrait,0.0006250129778039349
chris,0.0008466004140064553
chris foss,0.00018485666475148878
churches domes,3.302144880594943e-05
cinematic,0.0017412228822363607
cinematic composition,0.011877781852209685
cinematic deviantart,0.003993780511651296
city,0.002516385477172316
cloud fashion,0.00013546149172996235
clouds,0.003136143717483152
clouds covered,0.0007050611090288778
clouds girl,7.893626811827987e-05
clouds madeira,0.0012848757293724674
collage canvas,0.0011156414854435583
colors,0.0004038276459936487
colossal,0.0006435181726419018
colossal goddess,0.0006020476758605615
comprehensive art,0.0027340806682346784
concept art,0.005244816398537529
contemporary art,0.0017522035793303596
cute fluffy,0.0016698018442222937
cyberpunk,0.001964425122555519
cyborg,0.0009129199816975126
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0011346654096755363
dark,0.0038717103569035297
dark uncanny,0.0015055056711570074
detailed painting,0.0038280484914903156
detailed portrait,0.0011638471095824956
detailed ultra,0.00143213416846103
details intricate,0.0010070035213735936
detective pikachu,0.0005858541397636849
deviantart,0.002052267488642135
deviantart hyperrealistic,0.00020731983562039465
deviantart realistic,0.004411982436868954
digital art,0.007203659101156972
digital painting,0.005962901374225058
digital render,0.0007526292531202946
divine,0.0006029284078002187
divine pink,0.0005494757346302469
dog,0.0015710067246466639
donald,0.0032562760428230127
dragon,0.0014559346225391614
dramatic lighting,0.0005138935727688014
drawing,0.0028657256267838184
dunmer nerevarine,0.000691338385522409
einstein,0.004508920089576394
elf,0.0015825597811112277
elson,0.0007157859421997899
emo,0.00012534274258512836
emo punk,0.0006570195460420256
engine,0.0024039793968759723
entries sony,0.0006255730334959231
fantasy art,0.007524239913955615
fantasy painting,0.0012675581477847638
fantasy style,0.00044251901661079607
faroe azores,0.001660560948223188
fashion clouds,0.0009612234769318599
fiction,0.0014473021544972842
fiction film,0.0008967977205892423
fifth element,0.0005243638336005576
film,0.03942283369331216
film neuromancer,5.971774029636776e-06
flamingos,0.0006794348720312923
flowers,0.0017815257111670015
fluffy,0.0006507921855121042
footage,0.0054325987272376515
forest,0.0014432696961570245
frazetta,0.0015603994456538058
frazetta fantasy,0.0006738159192588044
frazetta giger,0.003318607184718543
futuristic,0.0004034487692337064
garden,0.0017568033524208403
garden intricate,0.0019099626159767432
giant digital,0.0008121015463713239
girl clouds,7.650936813909151e-06
glamorous sophisticated,0.0008839652368814112
glimpse universe,0.00028359243414588156
goddess,0.004449636834212135
goddess creative,0.0006803822017880064
goddess wearing,0.000943079020959849
gordon,6.049165126859427e-05
goth,0.000685144250507219
goth emo,17009495315.012424
goths,0.0
goths loitering,0.00014109045932514226
gundam,0.0031156185628683484
gundam unreal,0.00020306755281451956
gustav klimt,0.002024228543785801
hd,0.0004872258372133695
hd goth,0.001572296477746562
hd painting,0.0006369622634841128
hd unreal,0.0014687659313996045
heavy detailed,0.00020385589185263205
high quality,0.005468291212449427
hills slavic,0.0
himalayan,0.003919728193441098
himalayan rocksalt,0.0005892074776696527
houses,0.001480609322049692
houses built,0.0006146721454042335
hyper detailed,0.0015886237131755205
illustrated,0.00019353835695413426
illustration,0.0007911875518735175
illustration art,0.001958317819237588
imposing cyborg,8.856902226125917e-06
intricate details,0.0016592939303741632
intricate hyper,0.0007757236446320638
intricate royo,0.0010883954785217388
intricate volumetric,0.00047087495123067233
josan,0.0016761823035307407
josan gonzalez,0.0029614685355307314
knight,0.0024075552266969494
kylie,1.962713612033371e-05
kylie minogue,2.8964213252691174e-05
lamp,0.0005466688658021107
landscape,0.001966610551229111
landscape colourful,0.0007886342666202833
lantern candle,0.0009698087351945827
length portrait,0.0007074940522898838
lifelike photorealistic,0.0010320641958030006
lighting,0.00240270417600978
lighting hd,0.002079314714984616
lightning intricate,0.0003927300591740847
log houses,0.0003877581114391752
looking camera,1.630259592783005e-05
low clouds,0.00011752142713783766
madeira faroe,0.0
male dunmer,0.000627668033974169
manga,0.001751128430635516
manga illustration,0.0008395437742960808
marble hourglass,3.5605371167960545e-05
matte,0.0017401350149531033
matte painting,17009495315.026152
media collage,0.0006016392389499691
mid century,0.00044931068498084474
minogue,6.92163086566771e-05
mixed media,0.0005189649812592903
modern,0.0003604801959975207
modern art,0.0007014467417760154
movie,0.003579865744246462
movie poster,0.0015013838342485403
natural scene,0.0011178287868699945
nerevarine,0.0012882517408449154
neuromancer,0.0
oblivion skyrim,0.000750413300072158
octane render,0.0014245183496679973
oil painting,0.00335118496416726
overcast thunder,0.00017108424982443908
pablo picasso,0.0006095122172275881
painted,0.0018575303157471615
painted pablo,0.0006379338114064036
painting,0.012179927632685134
painting aesthetic,5.956171783882709e-05
painting artstation,0.0026841308914366457
painting beautiful,0.0010680399422737345
painting character,9.78572665792077e-05
painting chris,0.00024621129647063567
painting deviantart,6.059767047517585e-05
painting lurid,0.00016901253317127003
painting lush,0.0006707113050231996
painting peter,0.000978097028504143
painting ronny,0.0013671010834736973
painting sargent,0.022622893205985466
painting stalenhag,9.340046959052157e-05
painting unreal,6.717902151661317e-05
peter,0.0008783472748116754
peter elson,0.001932052420767794
photo,0.0013185205691310002
photo realistic,0.001489890034338063
photograph,0.0034258888727879714
photograph divine,0.00021655666614115427
photography,0.007038814066740014
photography awards,3.539651739224242e-05
photorealistic,0.004751116744263789
photorealistic digital,0.0009561033120575431
phyics entries,0.0010295191498958572
picasso,0.001083557630248158
picasso hair,0.0007157750552400433
pikachu hannah,0.0007169484435152381
pink bonsai,0.0008876089525833362
pink flamingos,0.000670774334612787
pixar,0.00040753383353549585
pixie cut,0.0008880994664213483
portrait,0.037353957670460326
portrait extremely,0.0010175440965909147
portrait intricate,0.0025632982765159667
portrait male,0.0022204509530940096
portrait painted,0.0012401154663586695
portrait painting,0.002288429111563586
portrait photograph,0.0010370717643630705
portrait sabouts,0.0003591851263490428
portrait scifi,0.0010482774691852328
punk art,0.0015303258294668053
punk portrait,0.0006658736625127868
puppy,0.0011534458047138016
render hyperrealist,0.0004948280490907714
robot,0.0019486853057789255
rocksalt lamp,0.0005858069283763612
rpg portrait,0.000844929207335509
runway,0.0005936095468818881
saitama,0.000946089205230372
saitama anime,0.0039740264652831404
scene,0.008265751782632358
scene science,0.000533697971963522
science,7.438106698013196e-06
science fiction,0.0006459575853321606
screenshot,0.0011205022392497227
shade talking,0.0011942765071967186
skyrim elegant,0.009519563447718225
sony,0.0009252458181655542
sony world,0.0006152049586468093
space,0.00035597627421596816
starmaker,0.000798989114950332
starmaker matte,0.0006856160452607555
stars,0.0007606334338250641
statue,0.002424564871690591
steampunk,0.010438090500601445
steampunk butterfly,0.0006577898253680544
steampunk himalayan,0.0011511342696408878
studio ghibli,0.001677490030129655
style contemporary,0.0006949321002079359
style portrait,0.0001770158428815293
surreal,0.001820668383985782
surreal concept,0.0007701617105512821
surreal glimpse,0.00028104268552337397
surrealism,0.0007177130780280604
surrealism surreal,0.0008795979236777429
tall castle,0.0
tracing artstation,0.0001192959206456248
traits painting,6.733046383386008e-05
trending artstation,0.00285061299104514
ufo,0.0010744917716687264
ufo ignoring,0.0007574492241174384
ultra realistic,0.005368028347551751
uncanny painting,0.0009607098039748882
unreal engine,0.00267631385231033
vallejo frazetta,0.002721363845051194
vivec portrait,0.00046706729427042193
volumetric lighting,6.591111780896328e-05
wallpaper,0.0014927280466931023
wallpaper illustration,0.0036174872276969077
wearing cloud,0.00010294032171375869
wizard,0.000684120018285592
woman,0.0007388051795592363
wooden churches,2.0172613337425945e-05
world photography,0.0009683232882836279
