keyphrase,mean_abs_shap
abandoned,0.0016092876887975958
alien,0.001366613780828199
alien planet,0.0009561830096626909
android cyborg,0.0006774745304112231
anime,0.00397444956320907
anime colors,0.0010511937581368356
anime epic,0.0007314305505265639
armor daedric,0.00032927210133011414
art,0.007004181906969853
art artgerm,0.0019121426803078195
art city,0.0002338399996130324
art hyperrealistic,0.001355239139467184
art josan,0.00023014854927362044
art lifelike,0.00030859492150289936
art punk,0.0010777075922571953
art realistic,0.0010585518982970813
art sharp,0.001532714707706301
art smooth,0.004798799885689469
art style,0.0017762832877179981
art thorough,0.00048504717865338116
art trending,0.0019053938142639536
artistic,0.0003394983701658754
artistic painting,2.316596536947998e-05
artstation,0.0037651197027090077
artstation cinematic,0.0004727657887220756
artstation galaxy,2.323643526598488e-05
artstation hyperrealism,41764790864.89769
artwork,0.0004718381225861415
atmospheric lighting,0.001628810380116288
avant garde,0.0
azores,0.001871091201570639
azores islands,0.0004143015768484149
beautiful landscape,0.0012467523999538921
beneath cherry,0.0009439603789109217
bjork,0.00025876161512639355
black,0.00022726136878011165
body manga,0.0014659577099879822
body portrait,0.0010998043256213578
body shot,0.0008926023003348499
bonsai,0.003372534828571048
bonsai tree,0.0007821012109340562
bull looking,0.0009037684780666043
bull modeled,0.0009369991187109343
butterfly volumetric,0.0015245638699509802
camera,0.0009971460939682064
candle butterfly,0.00011777399862194575
candle volumetric,0.001178024503280505
canvas,0.0022132907048278165
castle,0.003720874161325745
castle enclosed,0.00023216837543008672
cat,0.0017139964406059343
century,0.0010981816600921022
century modern,0.002551686167607534
character portrait,0.001103787458083239
chris,0.00034444230776551797
chris foss,0.0005469068606980394
churches domes,0.00023033504720404262
cinematic,0.00435433002451221
cinematic composition,0.006831978027911728
cinematic deviantart,0.0007803337239960764
city,0.005027777247882778
cloud fashion,0.0001493361378854646
clouds,0.0027021536739259364
clouds covered,0.0
clouds girl,7.287117058491364e-05
clouds madeira,0.0026339410169058785
collage canvas,0.0012102742593630273
colors,0.002016281942006687
colossal,0.00018879713655369453
colossal goddess,0.00010882093616919934
comprehensive art,0.0014461927643906142
concept art,0.004884714612921458
contemporary art,0.0009546573860038344
cute fluffy,0.0013506766660077417
cyberpunk,0.0012630001234347626
cyborg,0.0029929367573248685
cyborg body,0.0007344659093615057
cyborg bull,0.0009597944539986426
daedric armor,0.0015095998654042252
dark,0.0016854937608476968
dark uncanny,0.0009649277785375529
detailed painting,0.0022051962217069267
detailed portrait,0.0009757280364083261
detailed ultra,0.0015331676836635474
details intricate,0.0008343788150514765
detective pikachu,0.0020953612794635105
deviantart,0.0021229863544770973
deviantart hyperrealistic,0.0006996717271679643
deviantart realistic,0.0034233426254089696
digital art,0.006301228699496712
digital painting,0.0038296143527620117
digital render,0.0005943890708435095
divine,0.00030974529767851785
divine pink,0.0015793410989806355
dog,0.002096318919994172
donald,0.002454008235728427
dragon,0.0012754109305834621
dramatic lighting,0.0013348920762170082
drawing,0.003145286390297105
dunmer nerevarine,0.0004100181351767125
einstein,0.0031816147132149187
elf,0.00789466306868224
elson,0.000982488237058723
emo,8.551286688624022e-05
emo punk,0.0013000817446584584
engine,0.0006433359148937185
entries sony,0.0011002790089867627
fantasy art,0.004461906767095312
fantasy painting,0.0016354932153324682
fantasy style,0.0006650316792359189
faroe azores,0.0018867922349727494
fashion clouds,0.0015945835256161096
fiction,6.179633526221589e-05
fiction film,0.003130987553263096
fifth element,0.0002906505410956651
film,0.01739239686825135
film neuromancer,0.0005188093382996474
flamingos,0.0013835765961011015
flowers,0.0012766504546314274
fluffy,0.0007559482484492342
footage,0.006931953440259232
forest,0.00020830576997365766
frazetta,0.0012313764707504718
frazetta fantasy,0.0009114561630644013
frazetta giger,0.0010084133364684986
futuristic,0.00015831084819760915
garden,41764790864.89649
garden intricate,0.002824323451335414
giant digital,0.00025676128596379175
girl clouds,7.953124485347099e-05
glamorous sophisticated,0.001365137848644225
glimpse universe,0.0013409287683890628
goddess,66893246370.29112
goddess creative,0.0004179129424871913
