keyphrase,adjusted_mean_shap
goddess,16723311592.575891
oil painting,16723311592.575762
artstation hyperrealism,10441197716.226799
garden,10441197716.224838
matte painting,4252373828.7630253
goth emo,4252373828.7541265
portrait,0.032921941774294694
film,0.02621451944024033
painting sargent,0.015586781362039899
scene,0.010705359140993076
steampunk,0.009823302641439225
art,0.009321800425479875
painting,0.00914443203264865
cinematic composition,0.007462740226285376
bonsai,0.006708577477573825
digital art,0.006561874733056275
footage,0.0060205210414802
photorealistic,0.0055805486796599
ultra realistic,0.005390349178973649
concept art,0.004990998870257975
photography,0.00493642936299025
fantasy art,0.0047622233389031255
skyrim elegant,0.004746188313423475
high quality,0.004582307978635575
digital painting,0.0043035458291326
einstein,0.00418109149628745
canvas,0.003957603168988275
elf,0.003928839323337549
peter elson,0.0037625525884233003
clouds,0.0037025496522556252
deviantart realistic,0.003689603871040025
anime,0.00357123565386095
edwardian photograph,0.00348296485409
art smooth,0.0034195218428753
dark,0.00338522608134145
artstation,0.0032821809269478995
headshot edwardian,0.0032442603583325
castle,0.003195427238756725
blinders photography,0.0030858884410272
movie,0.00301561374886655
josan gonzalez,0.0030003467077287247
photograph,0.002986506953118325
city,0.0029858871589074
portrait painting,0.002961227847014625
cinematic deviantart,0.002957033178279475
saitama anime,0.0028531207426426997
gundam,0.0027847364478523
surreal,0.00277129861130965
cinematic,0.0027376178053771247
body portrait,0.002719409642035125
donald,0.0027085598673041245
drawing,0.0026970610160129
painting artstation,0.00268134330068045
unreal engine,0.002615357290743125
artstation concept,0.0025465794795021
detailed painting,0.002495841316654325
food photography,0.0024923227024173
mila kunis,0.0023543129527649
scariest looking,0.0023472981108785
room,0.0023283567956006
trending artstation,0.002301427329636225
century modern,0.002267535401459425
intricate details,0.00225292954544885
sky,0.0022476647044741
painting beautiful,0.00223735241190665
detailed ultra,0.0022274282006008498
lighting,0.002197102538681125
snowy,0.0021393077348493
robot,0.00213273666943495
knight,0.0021290672788516333
comprehensive art,0.002107043155275375
clouds madeira,0.002091129703807525
illustration art,0.00205086768330165
minogue barbarella,0.0020469392215132
bernard simunovic,0.0019755208491259
wallpaper illustration,0.001935945932694675
portrait male,0.001921529362577775
lighting hd,0.0019127993009731665
photorealistic digital,0.00189524911892595
matte,0.0018909731074905
beautiful,0.0018593695157448
hyper detailed,0.0018435759721010748
nerevarine,0.0018341232098315501
length portrait,0.001827994795850725
fiction film,0.001805456457704749
cat,0.0018048741470967499
garden intricate,0.0018047205369211249
cyborg,0.00180029066386245
dragon,0.0017816872583280748
himalayan,0.001781373589328
picasso,0.001779811536256875
puppy sitting,0.0017339344469822
portrait intricate,0.0017108538940730303
dog,0.0017088942513706251
gordon,0.0016928571346307157
frazetta giger,0.0016765442229619
flowers,0.0016673940038280251
deviantart,0.00166691960094215
cyberpunk,0.0016086817603933434
manga,0.0016008329013883502
art trending,0.0015906226313496749
picasso hair,0.001577321681497225
vallejo frazetta,0.001554076374147325
landscape,0.0015503112823225499
science fiction,0.0015498444185389
wallpaper,0.00151074471368735
painting peter,0.0014961452184692752
art realistic,0.0014895441357875249
cute fluffy,0.0014862258325459249
world photography,0.001479463308977425
fantasy painting,0.0014628297891176
studio ghibli,0.0014250212979842248
statue,0.0014122235562958572
atmospheric lighting,0.0013918169368157783
lifelike photorealistic,0.001368190568592825
sitting snowy,0.0013649805337563
glamorous sophisticated,0.0013591263961407957
photo realistic,0.0013291518406948412
peter,0.0013117531439569001
intricate volumetric,0.00130656904452655
shade talking,0.0012947027536089001
hd goth,0.001291594220239925
modern art,0.0012877264900492248
uncanny,0.0012873543677425
manga illustration,0.001284942002747325
movie poster,0.0012636135100149682
forest,0.0012626750398699533
art sharp,0.0012505580823735
portrait extremely,0.0012432628765080998
daedric armor,0.001228289406842925
screenshot,0.0012175795399948
art artgerm,0.001217499898237
phyics entries,0.001196334750614561
portrait scifi,0.00119345265778615
alien,0.00119315754416445
spaceship,0.0011918957532325
hd painting,0.001186842165139675
octane render,0.0011817440655163998
surreal concept,0.0011789578576782667
style portrait,0.0011645634759259
pikachu hannah,0.0011609329931549501
beksinski,0.0011608283981341
painted,0.001159760677186425
detailed portrait,0.0011587931246288751
photo,0.00115139548715265
art style,0.0011507131020662
barbarella,0.0011447945883001
hd unreal,0.00114101731347085
houses,0.001138107960241725
engine,0.0011346481409386
faroe azores,0.001132257386722625
fluffy,0.001130673026200825
elson,0.001122501455237
natural scene,0.001108870676047975
sony,0.0010950137733643749
runway,0.0010782502371655752
bjork,0.0010668353527561439
century,0.0010663001317217499
punk art,0.0010662430146505999
frazetta,0.001057584594085272
character portrait,0.00103759603890315
lantern candle,0.001035966982058925
art lifelike,0.0010308702058629748
overcast thunder,0.001030724978021075
portrait sabouts,0.001006414105793275
portrait painted,0.001005142088130825
portrait photograph,0.000986843626082175
steampunk himalayan,0.00097845499959645
divine,0.0009729720106414258
fantasy style,0.000960562218356875
contemporary art,0.0009588080933634977
candle volumetric,0.0009509388845509749
gustav klimt,0.0009491512529045667
artstation cinematic,0.0009471649363625789
woman,0.000935131977593275
collage canvas,0.0009316985349259749
goth,0.000929035974093575
butterfly volumetric,0.000923005377827275
emo punk,0.0009217402390770751
artwork,0.000913425871138925
rpg portrait,0.0009107425126768751
volumetric lighting,0.0009102430825120907
art punk,0.0009096543105763147
ufo,0.0009086396502697317
style contemporary,0.0008855704704138752
photograph divine,0.0008778353404435
azores,0.000867839315231175
deviantart cinematic,0.0008672658848273
scene science,0.0008651182207519751
detective pikachu,0.00086207718268685
colors,0.00085965053650555
tracing artstation,0.00085879916691705
fashion clouds,0.0008519356675159667
divine pink,0.000851026511246375
traits painting,0.0008483264238442901
painted pablo,0.00083423536073975
alchemical creatures,0.000832031023765
gundam unreal,0.00082785546651465
lightning intricate,0.000816727375810525
abandoned,0.000814142506329575
details intricate,0.0008139392554571333
modern,0.000802177945550475
mid century,0.000799555532509925
fifth element,0.0007967110566939249
pink bonsai,0.000793460440705525
surrealism surreal,0.0007859856559011661
dramatic lighting,0.000779993378751725
josan,0.0007792384055784704
