keyphrase,mean_abs_shap
abandoned,0.0007539170158249493
alien,0.00181701660273177
alien planet,9.4218429317566e-05
android cyborg,0.0
anime,0.0025729139549058038
anime colors,0.00014267986433968586
anime epic,0.00010140974934705129
armor daedric,0.00011442481759083973
art,0.00047391619155397777
art artgerm,0.0008455369350418277
art city,0.0
art hyperrealistic,7.264528170422029e-07
art josan,0.0007592864561532172
art lifelike,2485955755.2744884
art punk,0.0008721757932874786
art realistic,0.00020605696126145095
art sharp,9.39439135931427e-05
art smooth,9.572302254402607e-05
art style,0.0
art thorough,0.0003647609571167691
art trending,0.0002932700229544897
artistic,9.319666704730452e-05
artistic painting,0.00011240731321530323
artstation,9.991014590413746e-05
artstation cinematic,0.00020780441681331232
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.0003455347091665771
atmospheric lighting,1.1224044136653108e-06
avant garde,0.00011880996306317129
azores,0.00011290263891282997
azores islands,0.00018356560574057167
beautiful landscape,0.0001004221463427656
beneath cherry,1.3037381899303023e-08
bjork,0.00017685513035875668
black,0.0016187199786818127
body manga,0.00018375718307806735
body portrait,0.0004601334891480772
body shot,0.0
bonsai,0.00019839670909023986
bonsai tree,0.0001518989101956209
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0008945215255729915
camera,0.0
candle butterfly,0.00015780686695430883
candle volumetric,0.0
canvas,0.002054309966453514
castle,0.0
castle enclosed,7.088250074477426e-06
cat,0.00030392717514361636
century,0.001368329468624523
century modern,0.00676393268406231
character portrait,0.00013791271279904344
chris,0.00010209346026057562
chris foss,0.00013015430911096756
churches domes,0.0
cinematic,0.0018168048311934088
cinematic composition,0.00012729002204983189
cinematic deviantart,0.0006321818007826426
city,0.00021383167321547064
cloud fashion,0.0
clouds,0.0036029377162457763
clouds covered,1.2684445517712048e-05
clouds girl,1.8803374577669564e-06
clouds madeira,0.00011149903849585911
collage canvas,0.0014855323363462604
colors,0.00012827870382925812
colossal,2.245653319070329e-06
colossal goddess,1.4927070924560256e-06
comprehensive art,1.749380090573446e-05
concept art,0.00041120228213308246
contemporary art,0.0013274768643817174
cute fluffy,0.003970577349948405
cyberpunk,0.00023759922259158304
cyborg,0.0003506639477054138
cyborg body,0.0
cyborg bull,0.00010306785803089471
daedric armor,0.0005207730232979663
dark,9.058048839913474e-05
dark uncanny,0.00042185907128084295
detailed painting,0.00010677447435189246
detailed portrait,0.0016195928545585533
detailed ultra,0.00015980387970419464
details intricate,0.00010126725360182547
detective pikachu,0.0008169754109197783
deviantart,0.0003672908549198248
deviantart hyperrealistic,0.0004625107906434969
deviantart realistic,0.0011897849360236992
digital art,0.00011924154507738722
digital painting,0.0009468411360529569
digital render,9.258021656524044e-05
divine,0.00011248076951672273
divine pink,9.764415948177115e-05
dog,9.387123573206205e-05
donald,0.0
dragon,0.00010218231691759998
dramatic lighting,0.0011328186588944345
drawing,0.0014555440463772215
dunmer nerevarine,0.00013236823064534075
einstein,8.478960487113192e-05
elf,17518268661.253403
elson,1.4531562797438146e-06
emo,0.0005123599409175832
emo punk,0.00011419298687491762
engine,1.8396375228791038e-06
entries sony,7.439752148151587e-05
fantasy art,0.00010276070511818756
fantasy painting,2.3362718189263474e-06
fantasy style,0.000263183110058491
faroe azores,0.011013214100360437
fashion clouds,0.0011879414922150477
fiction,9.79494325167322e-05
fiction film,0.00010246355836661627
fifth element,0.00013916774949337038
film,0.0005679964111568109
film neuromancer,0.00013594479735240167
flamingos,0.0001191998252011033
flowers,0.0002937542103549195
fluffy,0.00048661825459220135
footage,1.3521387496331527e-06
forest,0.0001015744239053268
frazetta,1.3415933893765034e-06
frazetta fantasy,0.0001724331057126816
frazetta giger,0.0002303159030458062
futuristic,0.00034815683074937654
garden,0.00047045378011255346
garden intricate,0.00015594908302692714
giant digital,7.099044997800634e-07
girl clouds,0.0
glamorous sophisticated,1.1167013463486499e-05
glimpse universe,0.0
goddess,0.0005167464195919953
goddess creative,0.0
goddess wearing,0.000729152620759552
gordon,0.0002237452745336979
goth,0.00046110983706856097
goth emo,0.00011892685711068189
goths,0.0
goths loitering,5.62958888014122e-07
gundam,0.00016858082942865227
gundam unreal,0.00012371917719786597
gustav klimt,0.0
hd,0.000657541138695107
hd goth,0.00020049258690445988
hd painting,0.0
hd unreal,7.496569108313993e-05
heavy detailed,0.0006515120628864662
high quality,0.00010438338200311506
hills slavic,1.3087673073457724e-05
himalayan,1.114921765822125e-06
himalayan rocksalt,0.0
houses,0.0
houses built,0.0008202729526505528
hyper detailed,0.00023454052833197644
illustrated,0.00012824831457528758
illustration,0.00010649969984298781
illustration art,0.004145217385666357
imposing cyborg,0.0
intricate details,0.0034883699670201908
intricate hyper,0.0001001470093626937
intricate royo,2.488441372319147e-08
intricate volumetric,8.931851224879018e-05
josan,0.00010442379092605735
josan gonzalez,0.00010023957323398267
knight,3.475720705185455e-05
kylie,8.893875636005586e-07
kylie minogue,0.0
lamp,0.0
landscape,0.0001328443134158627
landscape colourful,0.0001275194137421011
lantern candle,0.0001409939164181035
length portrait,0.00011960779181614932
lifelike photorealistic,0.002389185919661881
lighting,0.00010977973880166756
lighting hd,0.0
lightning intricate,0.0005092469759545603
log houses,0.000997676471533568
looking camera,9.301747856028815e-05
low clouds,0.00010063454349041634
madeira faroe,9.767973774654117e-05
male dunmer,9.287787875895872e-05
manga,0.00014247711242564286
manga illustration,0.00011289560750169668
marble hourglass,0.00013681998068810976
matte,0.00015934418524451521
matte painting,0.0001074927728482845
media collage,0.00016084083597976662
mid century,0.00021415489016348994
minogue,0.0
mixed media,0.0
modern,0.0002074036894505899
modern art,8.421399313540749e-05
movie,9.20622318329412e-05
movie poster,0.0
natural scene,0.00010824149212615989
nerevarine,2.6527071313469855e-06
neuromancer,2485955755.2752476
oblivion skyrim,0.0001025255546243349
octane render,0.0011521262680883188
oil painting,0.0011404062221802378
overcast thunder,0.00010889988129755589
pablo picasso,0.00018607495350380355
painted,0.0
painted pablo,0.004017964919461362
painting,0.0029125259690946734
painting aesthetic,0.0
painting artstation,0.0005919976516635384
painting beautiful,8.349046273200275e-05
painting character,0.0001350752227477851
painting chris,0.00012703922510401696
painting deviantart,0.0001981388055791062
painting lurid,8.721218721546978e-05
painting lush,0.00014895549520522973
painting peter,0.0006493561585160826
painting ronny,0.00016925275165577609
painting sargent,0.0001232881911235797
painting stalenhag,0.001037491668094752
painting unreal,6.494127698919832e-07
peter,0.00280977906730025
peter elson,0.0006616330706885791
photo,0.00011767732421008626
photo realistic,0.0
photograph,0.00010700692867538491
