keyphrase,mean_abs_shap
abandoned,0.003815297502115706
alchemical creatures,0.001985387562618472
alien,0.004419770918252737
alien planet,0.0019063384354504342
android cyborg,0.00023681022783383576
anime,0.003414453546431473
anime colors,0.0014130816177978834
anime epic,0.00028820724027080576
armor daedric,0.0021364740578640132
art,0.020010704735112655
art artgerm,0.00335007983824123
art hyperrealistic,0.00022121256267118616
art lifelike,0.0015140449827073196
art punk,8.861997498756246e-05
art realistic,0.001906335854277355
art sharp,0.0024055127012570345
art smooth,0.00453797245953711
art style,0.00235037702986814
art thorough,0.006149735268356209
art trending,14215720052.882174
artistic,0.0033643932739915255
artistic painting,0.004154816754389179
artstation,0.0050247579578239785
artstation cinematic,0.0019716396292433114
artstation concept,0.0009884290729475856
artstation galaxy,0.0016711894850426699
artstation hyperrealism,0.0018690462837219733
artwork,0.0064931106514230855
atmospheric lighting,0.0013433182233148291
azores,0.0028987369593001734
barbarella,0.0005394204336783527
beautiful,0.0003945836849233303
beautiful landscape,0.003206953848153056
beksinski,0.0003857514821435894
beneath cherry,0.0028669940944113814
bernard simunovic,0.002586440824843979
bjork,0.0011544545697461113
black,0.004555313658100173
blinders photography,0.0011619689932535553
body manga,0.0005326449705562904
body portrait,0.011334462080516623
body shot,0.00030499277342892607
bonsai,0.0025842210353563557
bonsai tree,0.0016344459647675217
bull looking,8.510195428533985e-05
bull modeled,0.0
butterfly volumetric,0.007750364954106465
camera,0.0006403459853277434
candle butterfly,0.004983434148014438
candle volumetric,0.0011113030628344068
canvas,0.004496055083646057
castle,0.0024559173805095117
cat,0.0015687336750200402
century,0.0037239619539210294
century modern,0.004366840963412057
character portrait,0.0027911472837211515
cinematic,0.00598747023593979
cinematic composition,0.005780116906188794
cinematic deviantart,0.005087009423013781
city,0.003546462875652254
clouds,0.00400159126230983
clouds madeira,0.0018559703153775275
collage canvas,0.0014183161490325244
colors,0.002924993308655626
colossal,0.002039459948055659
colossal goddess,0.0019519433460788822
comprehensive art,0.0037856303588094616
concept art,0.010169602538207409
contemporary art,0.0009038816036475601
cosmic,0.00027869537025957287
creatures surreal,0.0016660950750385258
cute fluffy,0.006672014713091396
cyberpunk,0.0019029496110570673
cyborg,0.002812838839325812
cyborg body,0.0001338991903406031
cyborg bull,0.0006167788966511072
daedric armor,0.0025270246334478546
dark,0.0016819941030251767
dark uncanny,0.0015624314900629396
detailed painting,0.0012864269929447377
detailed portrait,0.002944078669130919
detailed ultra,0.0036660927111941788
detective pikachu,0.0031278865936648264
deviantart,14215720052.889652
deviantart cinematic,0.0008431272540323375
deviantart hyperrealistic,0.003222221011061771
deviantart realistic,0.004605821673923746
digital art,0.003890647878060518
digital painting,0.024990095613651564
digital render,0.0018570743504487995
divine,0.0006771604972157007
divine pink,0.0
dog,0.0021426547807371753
donald,0.0005200188011281907
dragon,0.0008950128666176738
dramatic lighting,0.0023633909340229934
drawing,0.005781344373262481
dunmer nerevarine,0.002052180874048983
edwardian photograph,0.0002887342186090522
einstein,0.0021384079253699345
elf,0.001886453282501598
elson,0.010846526708785404
emo,0.0023590856717134877
emo punk,0.0019397910591139546
engine,0.0007363424356396169
entries sony,0.0009051506168769963
fantasy art,0.002670496663821431
fantasy painting,0.0021082281359213885
fantasy style,0.0016868731885287063
faroe azores,0.0035666096975025224
fiction,0.00041523489702760633
fiction film,0.0016963405349987102
fiery alchemical,0.0026159529308510186
fifth element,0.0010798298516642413
film,0.005854558569250046
film neuromancer,0.0005972758721381328
flamingos,0.00021193461006838534
flowers,0.0033627904728566874
fluffy,0.0024219020748145526
food photography,0.001461219132074744
footage,0.0016873257542051564
forest,0.0014179445794064464
frazetta,0.0007292272415973379
frazetta giger,0.0023261236147260793
futuristic,0.001864555784832699
garden,0.0028534869986335397
garden intricate,0.0025106068898611816
giant digital,0.001856821688523376
glamorous sophisticated,4.059031224949585e-05
goddess,0.007824349389232276
goddess creative,0.0007301651260983108
gordon,0.004242054104475701
goth,0.0060594849030173505
goth emo,0.0024535197532519564
goths,0.00140775640756919
goths loitering,0.0017615872997914688
gundam,0.0017902748190348145
gundam unreal,0.0027144382929451287
hd,0.004046951867993749
hd goth,0.0034352059927757477
hd painting,0.0020075580618017274
hd unreal,0.0023187519763770053
headshot edwardian,0.0001590093041124763
heavy detailed,0.005710970705485758
high quality,0.0028238322356433877
himalayan,0.002624973070201975
himalayan rocksalt,0.00032446636005864385
houses,0.00250966710552699
houses built,0.0005951106262529889
hyper detailed,0.002685702776555023
illustration art,0.010397476427340062
imposing cyborg,6.758761279543647e-05
intricate details,0.001567260541809835
intricate hyper,0.003876128382118099
intricate royo,0.0035944067126442683
intricate volumetric,0.004378834615453663
jacket black,0.0012343116122611718
josan,0.002879157058328569
josan gonzalez,0.0004242217952181652
kylie,4.6093516973645974e-05
kylie minogue,0.0004583248785302835
lamp,0.001327998643944516
landscape,0.0041090457782561275
landscape colourful,0.001502683527205807
lantern candle,0.002444994654310734
length portrait,0.0016434517015001457
lifelike photorealistic,0.0014887096131795076
lighting,0.004308539852573439
lightning intricate,0.0029137023725423687
log houses,0.0008890555828147955
looking camera,8.266125563163987e-05
low clouds,0.0019515220263597258
madeira faroe,0.001534473960776059
male dunmer,0.003316032541595712
manga,0.00134875129742571
manga illustration,0.0004456076911573213
marble hourglass,0.0003741301968181385
matte,0.005064729110271697
matte painting,0.009151347325087876
media collage,0.0024274799834880347
mid century,0.0027522335638854602
mila kunis,0.0020270608882050154
minogue,0.0002411809334443708
minogue barbarella,0.001705451483619485
mixed media,0.0
modern,0.00024551116334272136
modern art,0.0038780815829275086
movie,0.0022273129926333266
movie poster,0.0006923647650515949
natural scene,0.0016597619997574201
nerevarine,0.005244121080922713
neuromancer,0.00223053733413517
oblivion skyrim,0.0015932248943796774
octane render,0.0025240997761394497
oil painting,0.002867208009330789
overcast thunder,0.0013024049414132215
pablo picasso,0.0016967361466567676
painted,0.0011361345681364604
painted pablo,0.0021977452318246225
painting,0.02930363626735073
painting aesthetic,0.0
painting artstation,0.0038876141841601565
painting beautiful,0.00550308696585524
painting character,14215720052.883383
painting deviantart,0.00174240198478362
painting lurid,0.0018286937353014599
painting lush,0.003957342815253212
painting peter,0.0037869872241207947
painting ronny,0.0016797486346834388
painting sargent,0.002014923536565273
painting stalenhag,0.0060577018295532485
painting unreal,0.0001573502773858356
peter,0.007352168985225525
peter elson,0.008586821332724068
photo,0.003585139157697807
photo realistic,0.0014866245923267165
photograph,0.00048541114738422894
photograph divine,0.0011238923869530658
photography,0.0034808149929578796
photography awards,0.00010199135808232156
photorealistic,0.004294924847723169
photorealistic digital,0.0013158646756855294
phyics entries,0.00022137686535095825
picasso,0.009556665175441577
picasso hair,0.004872256482859657
pikachu hannah,0.002688932145849652
pink bonsai,0.0017544702618556862
pink flamingos,0.0004249400589589882
pixar,0.0018994046831694322
pixie cut,0.0009214138113887233
portrait,0.01012960619950872
portrait extremely,0.0015717446470625955
portrait intricate,0.00103094047102221
portrait male,0.0013935087351314836
portrait painted,0.0011568756628088422
portrait painting,0.00342049688387086
portrait photograph,0.0030906904513621557
portrait sabouts,0.0006174440499358273
portrait scifi,0.0032569376317240794
punk art,0.0001204285224501579
punk portrait,0.0025349272921369706
puppy,0.0018670365405222744
puppy sitting,0.0012558802204211963
realistic cinematic,0.0010288305069647043
render hyperrealist,0.003023357885053518
