keyphrase,mean_abs_shap
abandoned,0.004654993994272342
alien,0.0042351309256863715
alien planet,6.685808707009612e-05
android cyborg,0.00024622425016108365
anime,0.0029945580702210295
anime colors,0.0006527257669409752
anime epic,0.00045489162410695065
armor daedric,0.00024818459433141235
art,0.011035133447737917
art artgerm,0.002238612565279012
art city,0.0005775879672878347
art hyperrealistic,0.0005005771185569003
art josan,0.0014760383920973262
art lifelike,0.0001332155931158194
art punk,0.002793592443695646
art realistic,0.0014839601506288758
art sharp,0.0007232359312420982
art smooth,0.0025791211780438433
art style,0.0008560267551824301
art thorough,0.0018012418540264486
art trending,0.0017686545754346471
artistic,0.0001723651084671537
artistic painting,3.8357369089140075e-05
artstation,0.0035586017698225345
artstation cinematic,0.0005705883865321647
artstation galaxy,0.0010495982035815122
artstation hyperrealism,9.961378597040842e-05
artwork,0.003385298314747389
atmospheric lighting,0.00011711116834200468
avant garde,0.0006243666042121894
azores,9.07565691493591e-05
azores islands,0.00012012043829097714
beautiful landscape,3.3461984373032445e-05
beneath cherry,9.168015543876063e-05
bjork,0.0010860177798599463
black,0.0038370558345911495
body manga,0.0006267903695727472
body portrait,0.0017555373437917866
body shot,6.354481568333198e-05
bonsai,0.0010152715480043113
bonsai tree,0.0003036960343790084
bull looking,0.0002869076621567819
bull modeled,0.0003264126659226018
butterfly volumetric,0.0015000286130377302
camera,0.0010932560394043632
candle butterfly,0.0005215443720326988
candle volumetric,0.000263784756204405
canvas,0.003851689544074926
castle,0.0010580942464428653
castle enclosed,8.20073212861189e-05
cat,0.0015696653157143187
century,0.001965969044751859
century modern,0.006387555116039589
character portrait,0.0013548265381609173
chris,0.00018196236592320266
chris foss,3.458026629827907e-05
churches domes,0.000234319874184193
cinematic,0.004844395442045466
cinematic composition,0.0020018142197870594
cinematic deviantart,0.0015624418279993825
city,0.0024401755351347817
cloud fashion,0.0006694242277314648
clouds,0.006074392316029599
clouds covered,0.0009590876551097545
clouds girl,0.00048676893993374867
clouds madeira,0.00024521378547218115
collage canvas,1442287658734.691
colors,0.0002993705123555308
colossal,0.0005792672006894466
colossal goddess,0.0005416752759116275
comprehensive art,0.0009643487832306079
concept art,0.005681165540723704
contemporary art,0.0023023294864240626
cute fluffy,0.0066987131967501425
cyberpunk,0.0033820823644735557
cyborg,0.002109688825780343
cyborg body,6.66279451297369e-05
cyborg bull,7.028316246653344e-05
daedric armor,0.0014506929660551566
dark,0.00024629676828658676
dark uncanny,0.0009362354012331483
detailed painting,0.0016862613298399987
detailed portrait,0.002609526117625549
detailed ultra,0.000752284285860775
details intricate,0.0006144676705712712
detective pikachu,0.0017376374684951134
deviantart,0.0036290385598433668
deviantart hyperrealistic,0.00020292962351331714
deviantart realistic,0.0022404057598118202
digital art,0.00193154792981383
digital painting,0.0037650260078520943
digital render,4.223548421272333e-05
divine,0.00039003796530452607
divine pink,8.837278006497029e-05
dog,0.0015827075149684592
donald,0.0011056607523993985
dragon,0.0005745481643001084
dramatic lighting,0.0017249352485909633
drawing,0.0027750591992099167
dunmer nerevarine,0.0006719749081857631
einstein,0.002239372523749966
elf,0.0018911176656331464
elson,0.003970303394877062
emo,0.0015918022835288046
emo punk,0.0010128091215814206
engine,0.0003397136597041356
entries sony,5.412865967986897e-05
fantasy art,0.001609735262692716
fantasy painting,0.0011689524727572203
fantasy style,0.0008754957548157245
faroe azores,0.006189316154697021
fashion clouds,0.00265452278887096
fiction,0.0003198886994731298
fiction film,0.0007095157097893463
fifth element,0.00035561792200009744
film,0.0036037399681698814
film neuromancer,0.0008955220027709767
flamingos,9.89237455755083e-05
flowers,0.0013013356211722372
fluffy,0.0006232460321116272
footage,0.0017800274110642501
forest,0.0010805833185523704
frazetta,0.000970485846026585
frazetta fantasy,0.0006607607924109072
frazetta giger,0.001533529378935902
futuristic,0.0023157062529176415
garden,0.003033926157401084
garden intricate,0.00022357372107083032
giant digital,1442287658734.689
girl clouds,0.0004951824608912895
glamorous sophisticated,0.0006189584765741414
glimpse universe,0.00019631608864462873
goddess,0.003444087445344159
goddess creative,0.0007529862112912979
goddess wearing,0.0022375172612095957
gordon,0.001201899350158007
goth,0.000942309590287588
goth emo,0.0012892056172505106
goths,5.5438692187025e-05
goths loitering,8.658235999365585e-05
gundam,0.0013578142509132088
gundam unreal,0.001019893593499803
gustav klimt,0.0006612898841510392
hd,0.0028071189269900376
hd goth,0.0009649522760396505
hd painting,0.00015639951666939815
hd unreal,0.0012699252555021258
heavy detailed,0.0019881916289519234
high quality,0.0020987883833164384
hills slavic,0.000137046076981598
himalayan,0.00044475974631231124
himalayan rocksalt,3.953572028371488e-05
houses,0.0006522902478180724
houses built,0.001646968748376832
hyper detailed,0.0018185983260326864
illustrated,0.0006952546646809117
illustration,0.0013875002559929391
illustration art,0.007509884782826853
imposing cyborg,0.000286217118174244
intricate details,0.0020496994992052543
intricate hyper,0.0008517276977504078
intricate royo,0.0005853291577611541
intricate volumetric,0.0016496712713839888
josan,0.0005810005447655258
josan gonzalez,0.00017306312648820906
knight,0.003201815914072141
kylie,0.0006192491090596791
kylie minogue,0.0004274362779067716
lamp,2.6703168071684833e-05
landscape,0.000936843310718558
landscape colourful,0.00015548802618192193
lantern candle,0.00014439823710050577
length portrait,0.002516001341230155
lifelike photorealistic,0.001148118981654796
lighting,0.0012257658971670804
lighting hd,0.0001161009611639419
lightning intricate,0.0019337146490755943
log houses,0.00209736516101172
looking camera,7.817065437540237e-05
low clouds,0.0006197526502620686
madeira faroe,1.4881468626053223e-05
male dunmer,0.0004748933288930753
manga,0.000585006925144801
manga illustration,0.0004972427807674279
marble hourglass,0.00065223215089286
matte,0.0009424948089208077
matte painting,0.0010944469639889221
media collage,0.0018431984710029288
mid century,0.0012873528872956084
minogue,0.00034234697650908366
mixed media,0.000430246269116336
modern,0.00033708035393515383
modern art,0.002117440903925928
movie,0.001642173495979529
movie poster,0.001494088304895907
natural scene,4.139074273770309e-05
nerevarine,0.0002635938860893477
neuromancer,0.0005152482917387497
oblivion skyrim,0.00014881101622503547
octane render,0.002214963392274684
oil painting,0.0043192679938706775
overcast thunder,0.0005339054565633202
pablo picasso,0.00020773035303943055
painted,0.0007324014589218947
painted pablo,0.005691603016707692
painting,0.011481749307052657
painting aesthetic,0.0014278296081825007
painting artstation,0.0023567497831726934
painting beautiful,0.0009921198681847546
painting character,8.47199080242044e-05
painting chris,1.3668268441967689e-05
painting deviantart,0.0009753501464763642
painting lurid,0.0001387800013451193
painting lush,1.8850785413938447e-05
painting peter,0.002479427678397797
painting ronny,0.00038668961108630754
painting sargent,0.0009525884875934345
painting stalenhag,0.003503430202617307
painting unreal,0.00048795290683988215
peter,0.007620767912760931
peter elson,0.002312753505618542
photo,0.002391638832402671
photo realistic,0.0006790837270101521
photograph,0.0009098025364139713
photograph divine,0.0002018273035036351
photography,0.001483583959516957
photography awards,0.001086257869226378
photorealistic,0.0056623276500510624
photorealistic digital,0.0007141609583706658
phyics entries,0.00048608677327196403
picasso,0.004574407240995065
picasso hair,0.0015557613076872573
pikachu hannah,0.00148490070828245
pink bonsai,0.0012049691935915386
pink flamingos,6.652848958776891e-05
pixar,0.0008969106123460854
pixie cut,0.0004885390903997189
portrait,0.008854473288367084
portrait extremely,0.0003692649276340113
portrait intricate,0.0008605748624264997
portrait male,0.0005020615063880836
portrait painted,0.0022997379361648666
portrait painting,0.0025685697689424047
portrait photograph,0.0006156073278279411
portrait sabouts,7.94047547312582e-06
portrait scifi,0.0020230332699416524
punk art,0.0024791424985836723
punk portrait,0.0014565820651392147
puppy,0.0005792773171841186
render hyperrealist,0.00470431088117555
robot,0.0006096867887351559
rocksalt lamp,3.811704951836662e-05
rpg portrait,0.0008236529255165665
runway,0.0012424851425080579
saitama,0.0009127273803849537
saitama anime,0.004191255612366448
scene,0.003315954719125559
scene science,0.0005862271870164813
science,0.0004271973888793052
science fiction,0.000939202434272926
screenshot,0.00020321189493942372
shade talking,0.0006747440706304256
skyrim elegant,0.0006993170724709946
sony,0.0008566211807063711
sony world,0.00015252691807777618
space,0.002200883316627051
starmaker,0.0007365093117682821
starmaker matte,0.000516040076096838
stars,0.0029743044706192576
statue,0.0011464120703814356
steampunk,0.001857134783590385
steampunk butterfly,0.00010665448237199566
steampunk himalayan,0.0004123241558528135
studio ghibli,0.0006667967102239916
style contemporary,0.0005468085829352064
style portrait,0.0026830136145260335
surreal,0.0010331274132018358
surreal concept,0.002940803406367325
surreal glimpse,0.0002379068616031796
surrealism,0.0036313153622606477
surrealism surreal,0.0006919790667254704
tall castle,9.036353136185064e-05
tracing artstation,0.0007553445277191817
traits painting,7.876582626663376e-05
trending artstation,0.0012754760497831743
ufo,0.0001010310399906926
ufo ignoring,0.00021200925774087498
ultra realistic,0.001914449059003994
uncanny painting,0.004666808708269662
unreal engine,0.011029916519002519
vallejo frazetta,0.0009159919328617189
vivec portrait,0.00042357801019724775
volumetric lighting,0.0002556398933811117
wallpaper,0.0003124346133419742
wallpaper illustration,0.00010079183884389143
wearing cloud,0.0005385746264536524
wizard,0.0009166445343632829
woman,0.0012229335329192077
wooden churches,0.00014857091408323705
world photography,0.00011981781013572781
