keyphrase,mean_abs_shap
abandoned,0.0027027952150192242
alien,0.009153162517546417
alien planet,0.0002116926525399463
android cyborg,2.773205529693521e-05
anime,0.0026963993610233214
anime colors,0.00037877020084515356
anime epic,0.0007749943203425299
armor daedric,0.0006602288437679173
art,0.009662082343251143
art artgerm,0.0026527126468859686
art city,0.00010417438042267315
art hyperrealistic,0.00021793791669067231
art josan,0.0007336581400484924
art lifelike,0.0009053600606705054
art punk,0.0008149137871171227
art realistic,0.0022706536603182568
art sharp,0.0017496017847797001
art smooth,0.001257598205205933
art style,0.00194823897186118
art thorough,0.0016320380804466345
art trending,0.0010147362795690105
artistic,0.0010479950858333267
artistic painting,0.0013158552782675608
artstation,0.00427124130644448
artstation cinematic,6.57399213493185e-05
artstation galaxy,0.00011410233764341881
artstation hyperrealism,0.00011855500663561084
artwork,0.002805588421268115
atmospheric lighting,0.000656911991330444
avant garde,0.0007437997431342848
azores,0.0015156447009912265
azores islands,0.0
beautiful landscape,0.00037750443993743926
beneath cherry,0.0001887790268885368
bjork,0.0015179069305883484
black,0.0022566594892588043
body manga,0.0004898019289615615
body portrait,0.0008400758947172373
body shot,3.1615845742044656e-05
bonsai,0.0007250267687050479
bonsai tree,0.00015214048981096681
bull looking,3.7059138624962867e-05
bull modeled,4.5496465097747065e-05
butterfly volumetric,0.0009005852513845641
camera,0.00027716582616701106
candle butterfly,0.0004976758005643745
candle volumetric,0.0012348236080221711
canvas,0.0071212903284764316
castle,0.0017046934572603886
castle enclosed,0.00020566713557215304
cat,0.0010332616880408606
century,0.0018975685074696265
century modern,0.0036487891200916766
character portrait,0.0002241579856592661
chris,0.0008307241155234324
chris foss,0.0003392424874796856
churches domes,0.00018266300414674475
cinematic,0.002503708503583696
cinematic composition,0.0009893097694308984
cinematic deviantart,0.001887896837329528
city,0.0017091881355960693
cloud fashion,0.0001543133771689509
clouds,0.004313957077203525
clouds covered,0.0006171449680587435
clouds girl,0.000401142547638867
clouds madeira,0.0015396237807384539
collage canvas,0.0011292096803634155
colors,0.0009620393484638728
colossal,9.027474656548662e-05
colossal goddess,8.256529278739933e-05
comprehensive art,0.0003218805770271429
concept art,0.0034868119945866078
contemporary art,0.0009108762455587291
cute fluffy,0.0037595264143452847
cyberpunk,0.002733797836911097
cyborg,0.001504374753550999
cyborg body,2.9781081029515978e-05
cyborg bull,3.7496238556451436e-05
daedric armor,0.00040172617931226483
dark,0.00020994789545369024
dark uncanny,0.0016663715063352643
detailed painting,0.0023002332923881246
detailed portrait,0.001371692614149361
detailed ultra,0.001300130959463339
details intricate,0.00020300143282883738
detective pikachu,0.0014139815200923365
deviantart,0.0023592544174102234
deviantart hyperrealistic,0.0003288683491125533
deviantart realistic,0.00162886608778914
digital art,0.002360540866474845
digital painting,115066580316.80962
digital render,0.00024669761651753563
divine,0.0005867382052694742
divine pink,9.37103743319276e-05
dog,0.0022589004052237494
donald,0.0007374139729514587
dragon,0.0009241509532964102
dramatic lighting,0.0012041014351729983
drawing,0.0017668672852136033
dunmer nerevarine,0.00012890058637906183
einstein,0.003018448089888332
elf,0.001097095494869911
elson,0.0011660723620111346
emo,0.0013478740918379068
emo punk,0.0009585244986112665
engine,0.001368591288795422
entries sony,0.0006532020862663435
fantasy art,0.0016486213060157287
fantasy painting,0.0016406509206161597
fantasy style,0.0002853708036924709
faroe azores,0.0031114223876299073
fashion clouds,0.0011517460236606266
fiction,0.00048045224680043363
fiction film,0.0007739864409325761
fifth element,0.0012018744690302148
film,0.002767179793140572
film neuromancer,0.00024181483380980435
flamingos,9.911473785922118e-05
flowers,0.0006086712736500146
fluffy,0.0005035598953275476
footage,0.0006797300514313318
forest,0.0021250441534004716
frazetta,0.0005443031215560015
frazetta fantasy,0.0016611630755601178
frazetta giger,0.002740708112273642
futuristic,0.0013281028634280487
garden,0.0026773673485875863
garden intricate,8.422677457199985e-05
giant digital,7.783160540308923e-05
girl clouds,0.0002891924802005685
glamorous sophisticated,0.0002496330675111396
glimpse universe,0.0009407023159764783
goddess,0.0013591691189201627
goddess creative,0.00022580844816957028
goddess wearing,0.0007521136607533556
gordon,0.0024805030490701414
goth,0.0012859265433802095
goth emo,0.0008928161508451727
goths,9.912274347279531e-05
goths loitering,0.000217351397043567
gundam,0.0022740058331423476
gundam unreal,0.0007862466069555009
gustav klimt,0.0004049151697551407
hd,0.0005896495431748767
hd goth,0.0007429436613976937
hd painting,0.00044391412264385726
hd unreal,0.0002587092541534841
heavy detailed,0.0007350143938041541
high quality,0.0023291100793877717
hills slavic,0.00017591852033301523
himalayan,0.00032586186351293215
himalayan rocksalt,7.36746440855357e-05
houses,0.000514676503208648
houses built,0.0007571332506989878
hyper detailed,0.002397878635518918
illustrated,0.0008250656553143875
illustration,0.0012848270605182103
illustration art,0.005099682256908334
imposing cyborg,7.004548151939747e-05
intricate details,0.002072560734650067
intricate hyper,0.00031440532727507897
intricate royo,0.000389852908970278
intricate volumetric,0.0015215602928698591
josan,0.00075983937422975
josan gonzalez,0.0006320889063635269
knight,0.001478960428311119
kylie,0.0005497554976725575
kylie minogue,0.0005135592860568962
lamp,5.9766057075513413e-05
landscape,0.0018481618655052184
landscape colourful,3.884098531182062e-05
lantern candle,4.23046148515906e-05
length portrait,0.000977739608719636
lifelike photorealistic,0.002256223401030014
lighting,0.0021388528676886624
lighting hd,0.0007941856528795988
lightning intricate,0.0031951235098068593
log houses,0.0007191643818710439
looking camera,2.2353535566124527e-05
low clouds,0.0007978685680143648
madeira faroe,8.126917341336822e-05
male dunmer,0.00018251940065062717
manga,0.0009559802436841904
manga illustration,4.6311135581606134e-05
marble hourglass,0.0006083118874589571
matte,0.002631006920725813
matte painting,115066580316.80669
media collage,0.0007056636402131014
mid century,0.0005848868501058239
minogue,0.0005454356996564856
mixed media,6.677356456280111e-06
modern,0.00020623290575174567
modern art,0.0031307482562933603
movie,0.002763063790719745
movie poster,0.0017765625927488417
natural scene,0.0004478279339405667
nerevarine,0.0003996757040015227
neuromancer,0.0006692328317202031
oblivion skyrim,0.0003497877272077277
octane render,0.0015721162518204349
oil painting,0.0029894979114571886
overcast thunder,1.9397096979859318e-05
pablo picasso,0.0015024483009167574
painted,0.000816442232474954
painted pablo,0.0020773444715381493
painting,0.007532338668485
painting aesthetic,0.0005539643777753011
painting artstation,0.0027595589998910554
painting beautiful,0.0014288160757454536
painting character,0.0003248890474723159
painting chris,0.0003260471352390476
painting deviantart,0.00032451374139796794
painting lurid,0.000763522021821036
painting lush,3.328586821581815e-05
painting peter,0.0008702735441771677
painting ronny,0.000700452213902127
painting sargent,0.001817500225133806
painting stalenhag,0.0014164294205922941
painting unreal,0.0006372367006608825
peter,0.0030828229611045413
peter elson,0.0027041532592353102
photo,0.004348462429815478
photo realistic,0.001544083368259394
photograph,0.00039521524576267576
photograph divine,0.0005093845143945908
photography,0.0022043010308539844
photography awards,0.000934018793610013
photorealistic,0.00364050290537443
photorealistic digital,0.0014708787710209623
phyics entries,0.0009372237639050901
picasso,0.003075911765838336
picasso hair,0.0023096542770114064
pikachu hannah,0.001381448133507168
pink bonsai,0.0007738960576721849
pink flamingos,4.96748929108035e-05
pixar,0.001363213476580309
pixie cut,9.571694946085907e-06
portrait,0.005394958967921519
portrait extremely,0.0016716665830224917
portrait intricate,0.0003000978952349666
portrait male,0.0002388625560300975
portrait painted,0.0008160333017918317
portrait painting,0.001767612914271626
portrait photograph,0.00036541696486890133
portrait sabouts,0.0
portrait scifi,0.0012062899560824271
punk art,0.0010073337939119056
punk portrait,0.0014926293597137873
puppy,0.00018453279235657147
render hyperrealist,0.0037019808927844225
robot,0.0008861133940969214
rocksalt lamp,4.753259225464554e-05
rpg portrait,0.0005426805048652808
runway,0.0007782594203429295
saitama,0.0008245782615891017
saitama anime,0.0018174704171567218
scene,0.003613930396944714
scene science,0.0009696589535123327
science,7.291012865602151e-05
science fiction,0.0005643254663388662
screenshot,3.503324553328282e-05
shade talking,0.0004582647824260441
skyrim elegant,0.0015025263834527217
sony,0.0009307496459063492
sony world,0.0006394641812339614
space,0.0006569255255108776
starmaker,0.00043963162682425803
starmaker matte,0.00012240237495107108
stars,0.001419802765019246
statue,0.0013375961652025306
steampunk,0.001776731434571093
steampunk butterfly,0.0002011582528202651
steampunk himalayan,0.0007582588959442861
studio ghibli,0.00024364498929217127
style contemporary,0.00014495538952373932
style portrait,0.0015148443848767117
surreal,0.0011647377619136772
surreal concept,0.0015294549659202203
surreal glimpse,0.0008672684464979536
surrealism,0.0024600152427647092
surrealism surreal,0.000878073396031022
tall castle,0.00023705068860803926
tracing artstation,0.0008440339013242422
traits painting,0.0002697627896818353
trending artstation,0.0022971363620060783
ufo,0.0022896593845233132
ufo ignoring,0.0009107640908179955
ultra realistic,0.0019776947109499945
uncanny painting,0.0021962593830086056
unreal engine,0.005547377357923395
vallejo frazetta,0.000592816102851253
vivec portrait,5.153023741180415e-05
volumetric lighting,0.0012273718787514478
wallpaper,0.00022128559969430918
wallpaper illustration,0.0006929129523441395
wearing cloud,0.00013379259454936792
wizard,0.000439456734525106
woman,0.0011100736770649836
wooden churches,0.00014256457656142466
world photography,0.0010111223352933592
