keyphrase,adjusted_mean_shap
collage canvas,360571914683.67377
giant digital,360571914683.6727
digital painting,28766645079.20983
matte painting,28766645079.20426
photorealistic,4379567165.317008
elf,4379567165.31457
unreal engine,3553930013.226806
deviantart,3553930013.2240024
art trending,3553930013.2213125
painting character,3553930013.220982
neuromancer,621488938.8196658
art lifelike,621488938.8192602
painting,0.012807562552995725
art,0.010295459179413876
illustration art,0.006788065213185351
portrait,0.006195278381963074
faroe azores,0.005970140585047449
century modern,0.00529177947090135
cute fluffy,0.0052752079185337504
peter,0.005216384731597775
concept art,0.004937195588912676
alien,0.0049062702410542745
picasso,0.004832415726089625
uncanny painting,0.004555197292528275
clouds,0.004498219592947125
canvas,0.0043808362306627
zdzislaw beksinski,0.0043521714832881
elson,0.003996088905488311
cinematic,0.003788094753190525
body portrait,0.003597552202043375
peter elson,0.0035663402920665752
painted pablo,0.0034961644098829
style portrait,0.0033820544816241496
render hyperrealist,0.0033265837014279497
goddess,0.003286088093272075
artwork,0.003257383024151225
artstation,0.0032386277949987344
film,0.003198368685429275
black,0.00306693724015795
ruins,0.0030052215157277
painting stalenhag,0.00300376328021435
abandoned,0.0029817509318080253
drawing,0.0029447037260157747
anime,0.002919581233145375
oil painting,0.00282909503420965
butterfly volumetric,0.0027613750860253756
scene,0.002728519060108025
saitama anime,0.002721759605639975
fiery alchemical,0.002615952930851
photo,0.00261072943603145
bernard simunovic,0.0025864408248439
art thorough,0.0024869440399864747
deviantart realistic,0.00241621961438705
steampunk,0.0024007634724342248
painting artstation,0.0023989801547218003
modern art,0.002302621184070527
intricate details,0.002294472685671275
cinematic deviantart,0.0022923824722812748
art artgerm,0.002271735496361975
heavy detailed,0.002271422197782025
garden,0.002258808571183625
century,0.002238957243691725
cinematic composition,0.0022246327293640746
picasso hair,0.0022185139886713497
surreal concept,0.0022053882870069746
matte,0.0021993937562906746
goth,0.002187207718438375
lightning intricate,0.002137946876844775
detailed portrait,0.00213622256386605
art smooth,0.0021176037163327063
