keyphrase,mean_abs_shap
abandoned,3.5047411598413303e-06
alien,0.0002548871616403168
alien planet,0.00023738174201004235
android cyborg,2.4910583563046967e-06
anime,0.0007379447572808605
anime colors,0.0002280600253851849
anime epic,0.0003263326110701749
armor daedric,0.0002650728498187418
art,0.0010863471370415679
art artgerm,0.001723048657714515
art city,6.040063917505064e-06
art hyperrealistic,0.0002842404802561466
art josan,0.0
art lifelike,3.790361214262956e-06
art punk,0.001761089424550308
art realistic,0.0003516627254256669
art sharp,5.418284895651573e-05
art smooth,0.002246218481231
art style,0.00022503394981503044
art thorough,0.00021053764342763805
art trending,0.0002742870821515003
artistic,0.0
artistic painting,0.0
artstation,0.0003485083286256894
artstation cinematic,0.0011374942543612204
artstation galaxy,0.0002868150479176921
artstation hyperrealism,0.0035190386714380904
artwork,0.000274450305923894
atmospheric lighting,0.0
avant garde,4.308219562857204e-07
azores,0.0002576087962657466
azores islands,6.300368728698629e-06
beautiful landscape,0.00021526328672721824
beneath cherry,0.0017003757011703267
bjork,0.0
black,0.0
body manga,0.0002714052659490407
body portrait,0.00027834825592706474
body shot,0.0
bonsai,0.0037448712091221166
bonsai tree,2.2470417038847035e-06
bull looking,0.0
bull modeled,8.868919293192904e-06
butterfly volumetric,0.0002714839084061336
camera,0.0002780214443941826
candle butterfly,5.614052545857158e-06
candle volumetric,0.0002680469158338473
canvas,0.0003770092703198764
castle,0.00033443971155492345
castle enclosed,2.52894988205155e-06
cat,0.0
century,0.000246909200457939
century modern,0.00023221210874970112
character portrait,0.0003717107368331259
chris,0.00027520664677246854
chris foss,7.295752413274621e-05
churches domes,1.4866942902443147e-06
cinematic,0.0003605291611726539
cinematic composition,0.004330273709938007
cinematic deviantart,0.00020198012856954934
city,0.0010705546769332944
cloud fashion,0.0
clouds,0.0013991427844073866
clouds covered,0.0
clouds girl,1.6246432672019367e-06
clouds madeira,0.0020243882795049446
collage canvas,0.0003433790366211957
colors,0.00038039420150915245
colossal,1.1085010394312259e-05
colossal goddess,0.0
comprehensive art,0.0002965934822912455
concept art,0.00035524531056227324
contemporary art,0.001062995379005317
cute fluffy,4.861474634303419e-05
cyberpunk,2.066852451425019e-05
cyborg,0.0005130169440245743
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0002656194242288368
dark,0.0037415836023498277
dark uncanny,0.00024241273891108156
detailed painting,0.002621459509006692
detailed portrait,1.5885980391309137e-06
detailed ultra,0.002865928142582517
details intricate,0.0006940527829277641
detective pikachu,0.000797270785773063
deviantart,0.004414128448049252
deviantart hyperrealistic,0.000250040694236959
deviantart realistic,0.0043528803284256
digital art,0.0022226140450057378
digital painting,0.0005188818815021766
digital render,0.00034226698059556236
divine,2.0080733150808427e-06
divine pink,0.0007028385778560991
dog,0.0
donald,0.004097724814762977
dragon,4.392216228001941e-06
dramatic lighting,2.656525508423636e-06
drawing,0.00042757343281588496
dunmer nerevarine,0.0003494389321233636
einstein,0.003876367538900783
elf,0.00028107079900687067
elson,7.804923081719997e-06
emo,0.0007138515117008772
emo punk,0.0002952272561902317
engine,2.5285257668484065e-06
entries sony,0.0
fantasy art,0.0003818545905728478
fantasy painting,0.00023286956763825882
fantasy style,0.00019641701677837117
faroe azores,0.0003077007278933101
fashion clouds,8.312140419882093e-07
fiction,0.0
fiction film,0.00024876800414845053
fifth element,0.00035799500513740645
film,0.05502143266927901
film neuromancer,4.0999048680603024e-05
flamingos,0.0
flowers,0.0017358935210148713
fluffy,0.0
footage,0.0033977097957265954
forest,6.00389032274022e-05
frazetta,0.0
frazetta fantasy,0.0006733972596727097
frazetta giger,9.799955888199747e-07
futuristic,0.0002750405215291801
garden,0.0
garden intricate,0.00010885023479964157
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,0.0
glimpse universe,0.0002659224055955007
goddess,0.00035505032914817647
goddess creative,2.6963208962253194e-05
goddess wearing,3.759149129227018e-08
gordon,0.00022933327866012465
goth,0.0004394278119352652
goth emo,0.0003495197272207471
goths,0.000321204349013168
goths loitering,0.0009624982929538096
gundam,0.0025292240619078613
gundam unreal,6.818595743601014e-06
gustav klimt,0.0008498748821242186
hd,1.541667774955874e-06
hd goth,0.00024251192041223595
hd painting,0.00034950275337756445
hd unreal,2.156806423397672e-06
heavy detailed,1.936739420003684e-06
high quality,0.004980738938706943
hills slavic,7.930635051533675e-06
himalayan,0.0015234848435637528
himalayan rocksalt,0.0
