keyphrase,mean_abs_shap
abandoned,0.001683471680298319
alchemical creatures,0.0015132911662749083
alien,0.0023484410334517164
alien planet,0.0009587834929896823
android cyborg,4.965743365652903e-05
anime,0.003747084597568156
anime colors,0.002289177534315771
anime epic,0.0017063390216676478
armor daedric,0.0002582673831550382
art,0.013764076620651967
art artgerm,0.0022810904728860037
art hyperrealistic,0.0010150456009416417
art lifelike,0.0002817561615005763
art punk,0.0009670199063097488
art realistic,0.0014510515404253053
art sharp,0.0023590859308604347
art smooth,0.001645549494319059
art style,0.0019575614387339823
art thorough,0.002497607966577392
art trending,0.002804008257647281
artistic,0.0012975151327432844
artistic painting,0.0013036411048639915
artstation,0.004469168582029783
artstation cinematic,0.003581142161142224
artstation concept,0.00029235726104962563
artstation galaxy,0.0004673634097900152
artstation hyperrealism,0.005236857957731352
artwork,0.00165454764557064
atmospheric lighting,0.0009543545553068197
azores,0.0003273146950507329
barbarella,0.0002609445238988786
beautiful,0.0006353297867012962
beautiful landscape,6346905772240.613
beksinski,0.0014436594508212008
beneath cherry,0.0022620140122366515
bernard simunovic,0.0027806025420918
bjork,0.0019517805306609678
black,0.00047575956926301544
blinders photography,0.0015863591628342273
body manga,0.0015644182408213682
body portrait,0.0009644518282186591
body shot,4.87578621409569e-06
bonsai,0.001865617138903212
bonsai tree,7.486066637965051e-05
bull looking,4.570375305832888e-06
bull modeled,0.0009405271176188571
butterfly volumetric,0.0026050670381667575
camera,0.00044240046119068375
candle butterfly,0.0007902329789248142
candle volumetric,0.0003034796103429147
canvas,0.004030901200384527
castle,0.004601449294962965
cat,0.0033887120649847544
century,0.003714656373597298
century modern,0.005145390990241997
character portrait,0.0013266222038907497
cinematic,0.004411634262026556
cinematic composition,0.008327558073810698
cinematic deviantart,0.0032097814415273265
city,0.0023008116865334237
clouds,0.006177200991810149
clouds madeira,0.00014813079250883057
collage canvas,0.002324040790507668
colors,0.0004063119653390825
colossal,0.00027879487432028616
colossal goddess,0.0010109046032239265
comprehensive art,0.004054323885477607
concept art,0.009581206468958305
contemporary art,0.0012644960992095782
cosmic,0.0005822029008462797
creatures surreal,0.0011261276121058916
cute fluffy,0.0035076766603174287
cyberpunk,0.004982553548306583
cyborg,0.003202966975539445
cyborg body,0.00021914472101418065
cyborg bull,0.00031934826378524653
daedric armor,0.0003980773707735634
dark,0.004064061229411246
dark uncanny,0.0017329503205007872
detailed painting,0.002671721261681832
detailed portrait,0.002833151923785948
detailed ultra,0.0015553444003109395
detective pikachu,0.0016356778192869775
deviantart,0.002816206244033459
deviantart cinematic,0.0004982626737017712
deviantart hyperrealistic,0.0020408672181969002
deviantart realistic,0.006211619306433804
digital art,0.010805842526200716
digital painting,0.00815043948638731
digital render,0.0009967644497433238
divine,0.0021680310618393908
divine pink,0.001913307725843919
dog,0.0017285922835309948
donald,0.0030794377930028374
dragon,0.0016802079755821383
dramatic lighting,0.0025577031457741047
drawing,0.00381047824060129
dunmer nerevarine,0.00020590981187025995
edwardian photograph,0.0018574962810582387
einstein,0.004198609989956923
elf,0.002164162168542004
elson,0.0032055240375539573
emo,0.0014278832802918245
emo punk,0.0011666405003496563
engine,0.0020828398012022785
entries sony,7.815124630155903e-05
fantasy art,0.0017115219893839597
fantasy painting,0.0024487855694234313
fantasy style,0.0010103223370951145
faroe azores,0.003602243190407265
fiction,0.001248442183029004
fiction film,0.004112076717769012
fiery alchemical,0.0015368850134255055
fifth element,0.00156198323955012
film,0.018328672950186947
film neuromancer,0.0017108615157760104
flamingos,0.0012292656225648929
flowers,0.0012871077091056583
fluffy,0.0013844460343861791
food photography,0.0019538611594077508
footage,0.005578892422404735
forest,0.003465099331057727
frazetta,0.0014892152738300356
frazetta giger,0.00035498722840552786
futuristic,0.0014830385163016944
garden,0.001713865962160085
garden intricate,0.0004385605348737004
giant digital,7.871681168435982e-05
glamorous sophisticated,0.0019261864523589074
goddess,0.004657798718997057
goddess creative,0.0
gordon,0.0029622145815538918
goth,0.0010853376257464033
goth emo,0.0023024873820465938
goths,0.002325274426094694
goths loitering,0.0029234706387284448
gundam,0.0071994954349335226
gundam unreal,0.0026580409128209984
hd,0.000423457543565579
hd goth,0.001505121501656679
hd painting,0.0005616302358036148
hd unreal,0.0014497067653259817
headshot edwardian,0.001814711135979981
heavy detailed,0.0034017579069802717
high quality,0.008443132209671907
himalayan,0.001540457198163806
himalayan rocksalt,0.0018543565228708772
houses,3.957104658227678e-05
houses built,0.0002887705302565123
hyper detailed,0.0016260874284679064
illustration art,0.004395792593530529
imposing cyborg,0.0
intricate details,0.002095217998769434
intricate hyper,0.0018897298590836054
intricate royo,0.0003939861759655598
intricate volumetric,0.0005987071230974405
jacket black,0.00014962115382086258
josan,0.0013479015046812305
josan gonzalez,0.0048293915045165645
kylie,410927974489.64545
kylie minogue,0.0011087854016640752
lamp,0.0009039770513862315
landscape,0.0025488178723728785
landscape colourful,7.942388408586894e-05
lantern candle,0.0005741121288016534
length portrait,0.0002949557823715215
lifelike photorealistic,0.001157595737780511
lighting,0.003204196260717276
lightning intricate,0.0019659150573176055
log houses,0.001491416244371319
looking camera,0.0001759747325732468
low clouds,3.349773617580276e-05
madeira faroe,0.002561429246631337
male dunmer,5.6451222022392826e-05
manga,0.0061894977982445394
manga illustration,0.0022825536356816567
marble hourglass,0.0004559046578143794
matte,0.0069832448030900576
matte painting,0.015325643623039942
media collage,0.0009355606917006832
mid century,0.0016150428112748525
mila kunis,0.0016409395411281066
minogue,0.0012806425218949585
minogue barbarella,9.79265099593183e-05
mixed media,0.0010478617508763194
modern,0.000924736765318047
modern art,0.0020939595861776254
movie,0.005043804806327371
movie poster,0.002715813312446512
natural scene,0.002515729831663509
nerevarine,410927974489.6452
neuromancer,0.002024077464022676
oblivion skyrim,7.609176656127627e-05
octane render,0.0019979549842852264
oil painting,0.0042426897843490284
overcast thunder,0.003013494426386424
pablo picasso,0.0025896196826711466
painted,0.0019345601650488937
painted pablo,0.0012113818301308112
painting,0.015144120378725775
painting aesthetic,0.00047812277450991615
painting artstation,0.0029971760988388753
painting beautiful,0.002512363160771922
painting character,0.0015988885974367265
painting deviantart,0.0014310712712183855
painting lurid,0.0016894603623230644
painting lush,0.0023482547490848676
painting peter,0.0012415352729390494
painting ronny,0.0012444604673097098
painting sargent,0.013574497165268162
painting stalenhag,0.0007071840556509743
painting unreal,0.00029171653081740834
peter,0.007046908167649107
peter elson,0.013036116668118311
photo,0.003193674624692894
photo realistic,0.0035759126030344254
photograph,0.004452007162370008
photograph divine,0.0038645248491980164
photography,0.005268532766474503
photography awards,0.00035063773410627967
photorealistic,0.010856748353927345
photorealistic digital,0.00586678405629287
phyics entries,0.0024480694594678277
picasso,0.005973154744244495
picasso hair,0.0024415693915381263
pikachu hannah,0.0032438520721763857
pink bonsai,0.0014303857559675253
pink flamingos,0.0017726135610850288
pixar,0.0015997968539818112
pixie cut,0.0005171423558302952
portrait,0.019268819871311498
portrait extremely,0.001037006780882266
portrait intricate,0.003347050304260832
portrait male,0.00014800730148856856
portrait painted,0.00333658980893397
portrait painting,0.0015542498725330646
portrait photograph,0.0017522468099834612
portrait sabouts,0.0006509823635831936
portrait scifi,0.004051802753488556
punk art,0.0019525604766664933
punk portrait,0.0011278005676898777
puppy,0.0017107334123283792
puppy sitting,0.002374570264033443
realistic cinematic,0.0017325726614403824
render hyperrealist,0.0018024759471670035
robot,0.004846599591972894
rocksalt lamp,0.00173026075836318
room,0.0019691560407821464
rpg portrait,0.0011881266784505068
ruins,0.0007733081525868661
runway,0.0005615231113125319
saitama,0.0016189809085470734
saitama anime,0.002414956530021379
scariest looking,0.0006777940424804847
scene,0.013293075837176635
scene science,0.003511246724791237
science,6.583552874978854e-05
science fiction,0.0030895235219185395
screenshot,0.0007922204494800841
shade talking,0.0024205459778960897
sitting snowy,0.0024773180269436514
sky,0.002019887891442454
skyrim elegant,0.0017188264006753854
snowy,0.0012115483721765413
sony,0.0014966777822861142
sony world,9.230742115591732e-05
space,0.003070481420386977
spaceship,0.0006572453970119764
starmaker,0.0012970311693225793
starmaker matte,0.0017307870834565899
stars,0.002943243399466463
statue,0.0024391278891682357
steampunk,0.007582739164906228
steampunk himalayan,0.0041109039778479215
studio ghibli,0.002555313365647594
style contemporary,0.0019309270434289428
style portrait,0.004793398182089549
surreal,0.0061657666466702135
surreal concept,0.0003973821690336182
surreal dark,0.0011954417537231553
surrealism,0.0004648846101586363
surrealism surreal,0.0006381780813057167
tracing artstation,0.00035167436269605587
traits painting,0.0025393718812009186
trending artstation,6346905772240.615
ufo,0.002535049804608124
ufo ignoring,0.0015501845092166418
ultra realistic,0.0038549588510550367
uncanny,0.002569292374883139
uncanny painting,0.0034117376949344158
unreal engine,0.006135204982164785
vallejo frazetta,0.0022185058358784224
vivec portrait,7.615953191033017e-06
volumetric lighting,0.0008726426084534279
wallpaper,0.0018893917576147065
wallpaper illustration,0.000582596975939065
wizard,0.0010052508861079356
woman,0.0009700287662264234
world photography,0.004898237516161753
zdzislaw beksinski,0.0022496294914842
