keyphrase,mean_abs_shap
abandoned,0.0001379369407031958
alien,0.0005312876965860219
alien planet,0.0005360935429919307
android cyborg,0.0008803336047590965
anime,0.003720487158436848
anime colors,0.00018710712674044076
anime epic,0.0003999984395503591
armor daedric,5.482495910927025e-05
art,0.011744248431336882
art artgerm,0.002865675986388313
art city,2.386315045983084e-05
art hyperrealistic,4.293243808702524e-05
art josan,0.0007292274740115825
art lifelike,0.00047666693389592646
art punk,0.0008408011914715522
art realistic,0.0005033633361934092
art sharp,0.001207200719061574
art smooth,0.0026186725969846673
art style,0.0019534471642406234
art thorough,0.000713603543901673
art trending,0.0007187964381756166
artistic,8.402562366726354e-05
artistic painting,0.00019969627122033386
artstation,0.003723193142416504
artstation cinematic,0.0023911416658327655
artstation galaxy,2.2712770661444463e-05
artstation hyperrealism,0.005245664944131733
artwork,0.0016053560114401234
atmospheric lighting,0.0008502911191885117
avant garde,0.0011948137442762696
azores,0.0009444801559795854
azores islands,0.0006345979291221182
beautiful landscape,0.0007923756616095367
beneath cherry,0.0006397462686662888
bjork,0.00048180223536517037
black,0.0008481077011781416
body manga,6.351979289982045e-05
body portrait,0.00014628202997505067
body shot,0.0006636061329259644
bonsai,0.006630371622862499
bonsai tree,0.0019601446920994303
bull looking,0.0005785032588150653
bull modeled,0.0007584386637573094
butterfly volumetric,0.0005448090873282242
camera,0.0020123310683598686
candle butterfly,0.000579146819815101
candle volumetric,9.867145246355511e-05
canvas,0.0027604420358823697
castle,0.003907290280842017
castle enclosed,0.0007648055491041256
cat,0.002448254692441232
century,0.0013773745803321875
century modern,0.001289125494511381
character portrait,0.0005353968883095175
chris,2.5404407766881932e-05
chris foss,0.0002488165405814387
churches domes,0.00048663737517481146
cinematic,0.0028220764012809353
cinematic composition,0.006205447127495808
cinematic deviantart,0.002865773289304646
city,0.0023769765404043288
cloud fashion,0.0004929236095506471
clouds,0.0035508732902636364
clouds covered,0.000372411790208019
clouds girl,0.0010515866523775007
clouds madeira,0.001008382971462612
collage canvas,0.0010255970363939474
colors,0.0004489371677627776
colossal,1.039729825974453e-05
colossal goddess,2.91235824276797e-05
comprehensive art,0.0018692348077188289
concept art,0.003711495093281872
contemporary art,0.001147203553749948
cute fluffy,0.0006545244810536225
cyberpunk,0.0018420257680060394
cyborg,0.0034521316767339967
cyborg body,0.0005270921993649776
cyborg bull,0.0006443008179216848
daedric armor,0.00024498481762811697
dark,0.004546896106253438
dark uncanny,0.0005689788471913713
detailed painting,0.004554896931615905
detailed portrait,0.0013663587094217566
detailed ultra,0.0026067927723423248
details intricate,0.0016841222163197845
detective pikachu,0.0007234956313777168
deviantart,0.002716880035241835
deviantart hyperrealistic,0.0005147600358170519
deviantart realistic,0.008183155928558393
digital art,0.008956881476735234
digital painting,0.0035868681447684095
digital render,0.0006179544978365888
divine,0.00013321994620398163
divine pink,0.0004526483654692324
dog,0.0007955079739050111
donald,0.003606226628415902
dragon,0.000811315684537778
dramatic lighting,0.001196582177016831
drawing,0.003583823756713601
dunmer nerevarine,2.4680776459366883e-06
einstein,0.003945649065738052
elf,0.0005354887897338035
elson,0.0014039033479148354
emo,0.00014185005637015725
emo punk,0.0005823638242694844
engine,0.0011445268386394674
entries sony,0.00041767977203459035
fantasy art,0.0026824322210178128
fantasy painting,0.0014901284429443403
fantasy style,0.0006941532713727055
faroe azores,0.0010189700891724137
fashion clouds,0.0005991113214983307
fiction,0.0015168103371643803
fiction film,0.0007258712074091041
fifth element,0.0013887087910707438
film,0.03776920502880187
film neuromancer,0.0007715751926488068
flamingos,0.0005898574907759885
flowers,0.0023069993092322077
fluffy,0.0010594679515890883
footage,0.004949158560910851
forest,0.0013257019872367883
frazetta,0.0018913156018533488
frazetta fantasy,0.0012302911775494705
frazetta giger,0.0007256533287898131
futuristic,0.0005844334072935426
garden,0.0013560712226898667
garden intricate,0.0008871511896076364
giant digital,5.658020096543716e-05
girl clouds,0.0005254777430802693
glamorous sophisticated,0.00034880782386911374
glimpse universe,8.865230002356582e-05
goddess,0.0012649944204016815
goddess creative,2.32430948373066e-05
goddess wearing,0.0006049591041397224
gordon,9.946440152033857e-05
goth,0.0007268172365755098
goth emo,0.0004816611033255331
goths,0.0
goths loitering,0.0011635296377753564
gundam,0.0066132858540587066
gundam unreal,0.0006322240808894238
gustav klimt,0.0017843493514764623
hd,0.0005308355549814922
hd goth,0.0006152561920312939
hd painting,1.3030726262614869e-05
hd unreal,0.0005092588012332876
heavy detailed,0.000453845979698463
high quality,0.01119142800675516
hills slavic,0.0005359943319607713
himalayan,0.0028555778116538585
himalayan rocksalt,0.0009012063859395703
houses,0.0027483713885424615
houses built,0.0007848843259210536
hyper detailed,0.0017466133302587012
illustrated,0.0006719037796188308
illustration,0.0008168549466908629
illustration art,0.0011431458021715127
imposing cyborg,0.0005349304411501007
intricate details,0.0027640836018095216
intricate hyper,0.0006725601782820371
intricate royo,0.0010130538689041612
intricate volumetric,0.0008014552076881948
josan,0.0012730999034186036
josan gonzalez,0.0015574488609984003
knight,0.002227100530021519
kylie,1.551663724624569e-05
kylie minogue,2.9872286353590594e-05
lamp,0.0008158962002065117
landscape,0.0007863816176118401
landscape colourful,0.0005860329901946997
