keyphrase,mean_abs_shap
abandoned,0.001389381912560975
alien,0.0012897814338864169
alien planet,0.0011065002398026533
android cyborg,0.0003505810450459861
anime,0.0021754186517351976
anime colors,0.00014334257985968633
anime epic,3.6400167766344684e-05
armor daedric,0.0010294529787553935
art,0.00537762782468023
art artgerm,0.001504094863337198
art city,0.00021905185988161022
art hyperrealistic,0.0
art josan,0.0007089274188910834
art lifelike,3.570544539424934e-05
art punk,0.000738155136850121
art realistic,0.002174847091358257
art sharp,0.0026171309730366812
art smooth,0.0033951528471603027
art style,0.0011223754477177484
art thorough,0.0013969182827855344
art trending,0.0023804220355339994
artistic,0.0010883649008238464
artistic painting,0.0012041547243144765
artstation,0.0031601388478663976
artstation cinematic,0.001331800434421339
artstation galaxy,3.8689851423707994e-05
artstation hyperrealism,0.0036647322541061922
artwork,0.0026140713110474824
atmospheric lighting,0.00014987938191014834
avant garde,0.0004315069643830116
azores,0.0012712442108429006
azores islands,0.0004688319072462288
beautiful landscape,0.0012375780310461696
beneath cherry,0.002351837245380551
bjork,0.00023345633307441657
black,0.0003623458564284915
body manga,0.00017919171222085945
body portrait,0.0008461397698454343
body shot,0.0003083362553852872
bonsai,0.0026084828813547037
bonsai tree,3.568280960003862e-05
bull looking,0.0002584371112175374
bull modeled,0.00020099095321369782
butterfly volumetric,0.0019332405970229583
camera,0.000985642344886692
candle butterfly,0.0003080266293705022
candle volumetric,0.00017402789090827683
canvas,0.0011943969312352884
castle,0.0022810978933301834
castle enclosed,0.00010619712728819271
cat,0.0034471129017482316
century,0.0013310379899280167
century modern,0.00248665963689228
character portrait,32694457655.039745
chris,0.00011146009563637857
chris foss,0.0009661748958645739
churches domes,0.00012477515381430562
cinematic,0.0025114249253252938
cinematic composition,0.009181429703926536
cinematic deviantart,0.0014622643156768256
city,0.0011916826953467703
cloud fashion,0.0
clouds,0.0027449891823848943
clouds covered,1.3620885012895234e-05
clouds girl,0.00026948061088360146
clouds madeira,0.0009215848293876811
collage canvas,0.0007797617302015137
colors,0.00045747288776719743
colossal,9.199503438246304e-05
colossal goddess,0.0
comprehensive art,0.001134761916644056
concept art,0.003799153705472437
contemporary art,0.0005841226349264087
cute fluffy,0.0007182628937421966
cyberpunk,0.0020209320468350615
cyborg,0.005649957269144956
cyborg body,0.00016275730300355402
cyborg bull,0.0002900412299917435
daedric armor,0.0016602613781845727
dark,0.0033800791946216623
dark uncanny,0.0014550023489499592
detailed painting,0.00312735046905466
detailed portrait,0.0014731765730136446
detailed ultra,0.0031744652205019054
details intricate,0.0019951896936455755
detective pikachu,0.001132588942451736
deviantart,0.002183726336967028
deviantart hyperrealistic,0.0004719780590585166
deviantart realistic,0.004738699431847433
digital art,0.005606438210937044
digital painting,0.0034798316231178347
digital render,0.0007849559232538171
divine,0.00016348145562404266
divine pink,0.0003777768593367898
dog,0.001118974805454204
donald,0.005146308443128612
dragon,0.001568131263042382
dramatic lighting,0.0005420598555471591
drawing,0.001629920403829869
dunmer nerevarine,0.0008711712466602323
einstein,0.0033540667162003297
elf,0.002922993711589405
elson,0.001671472587787117
emo,0.0007878587437980124
emo punk,0.0009249141193378635
engine,0.001824292803183586
entries sony,0.0006784390972169154
fantasy art,0.0029210880671834472
fantasy painting,0.0002014689866731991
fantasy style,0.0014131172164335533
faroe azores,0.003121453055403639
fashion clouds,0.00033994638055592704
fiction,0.0013404975679607997
fiction film,0.004266461073185928
fifth element,0.000703787905389925
film,0.021844261812417855
film neuromancer,0.0009450200583345954
flamingos,0.00040591162952217523
flowers,0.001707649186451776
fluffy,0.001182821847216274
footage,0.00382368404443201
forest,0.0013901172983314162
frazetta,0.001102165721889558
frazetta fantasy,0.002268878426686335
frazetta giger,0.0002555867697390291
futuristic,0.00039195457819728407
garden,0.0009059944575564806
garden intricate,0.0015229844227339364
giant digital,5.6210726532827036e-05
girl clouds,0.00018614291067402743
glamorous sophisticated,0.0017000978966334199
glimpse universe,0.0004103220852188529
goddess,0.001281857160696044
goddess creative,0.00013046627365991855
goddess wearing,4.872809847181302e-05
gordon,0.0008225890504652697
goth,0.0008230045165491198
goth emo,0.0007499947183392323
goths,0.0008652871510681483
goths loitering,0.0021507130390817216
gundam,0.004959694945653232
gundam unreal,0.0008076771632283647
gustav klimt,0.0014945945582181264
hd,0.00034364719834037975
hd goth,0.0016991960867102204
hd painting,0.0013332975026580788
hd unreal,0.0009136546540038121
heavy detailed,0.00014832023693753607
high quality,0.006147259783660206
hills slavic,8.455997897690157e-05
himalayan,0.001421167734968719
himalayan rocksalt,0.0013520169049822109
houses,0.0008168495716132991
houses built,0.0005920176658499826
hyper detailed,0.0011514246485095012
illustrated,0.0008492629933776248
illustration,0.00125056712847641
illustration art,0.003281343429297961
imposing cyborg,0.0001626088541082541
intricate details,0.0038370484945686643
intricate hyper,0.0010025167907300962
intricate royo,0.00036053587958836573
intricate volumetric,0.00011263888897440153
josan,0.0013434851990086938
josan gonzalez,0.0021091696761855665
knight,0.0026863121293369536
kylie,0.000620860074142031
kylie minogue,0.0007349827944280767
lamp,0.0011923068927491363
landscape,0.0015225566145259536
landscape colourful,0.0008024927590019972
lantern candle,4.567078838140328e-05
length portrait,0.001321799962158386
lifelike photorealistic,0.0018070761858883272
lighting,0.002264905797594231
lighting hd,0.0009510952721384103
lightning intricate,0.0004155214221038826
log houses,0.0005022887021391049
looking camera,0.0001325945549054109
low clouds,0.0007509676453213097
madeira faroe,0.00034835258343483507
male dunmer,0.0009220860374242734
manga,0.002945593707991981
manga illustration,0.000522427307076027
marble hourglass,5.945606646215655e-05
matte,0.001847169062285824
matte painting,0.008541177215326627
media collage,9.04394078368288e-05
mid century,32694457655.040485
minogue,0.0007497349705106079
mixed media,0.00040552577408767396
modern,0.0010472078038088943
modern art,0.002186556625006838
movie,0.0027848186624318933
movie poster,0.001905857551147296
natural scene,0.0009865366827437453
nerevarine,0.0010384384752574005
neuromancer,0.0010759489478581322
oblivion skyrim,0.0006377091822925841
octane render,0.0014502033190624218
oil painting,0.0036578993905062793
overcast thunder,0.0016670014624479896
pablo picasso,0.0001961233546442108
painted,0.0014318711676138734
painted pablo,0.0006693589273855369
painting,0.02219999085328758
painting aesthetic,0.0007657484263232123
painting artstation,0.003280475388111409
painting beautiful,0.0016140596817621742
painting character,0.0009348924431912967
painting chris,0.0009025773339500265
painting deviantart,0.0021928352228686755
painting lurid,6.67165371436415e-06
painting lush,0.0007936179803917854
painting peter,0.0013756116923665845
painting ronny,0.0015570220674344267
painting sargent,0.011382223623933234
painting stalenhag,0.0011584612135400493
