keyphrase,adjusted_mean_shap
trending artstation,1586726443060.1553
beautiful landscape,1586726443060.1538
nerevarine,102731993622.4116
kylie,102731993622.41153
mid century,8173614413.760968
character portrait,8173614413.760495
film,0.03324089311517137
portrait,0.023686202700406323
painting sargent,0.02090984313105007
matte painting,0.015498258341950925
painting,0.0149779380854
scene,0.0133548062414428
art,0.0079930750034276
high quality,0.007690639734698525
steampunk,0.0076522138912465
cinematic composition,0.0070111771537927255
digital art,0.00689794406471965
peter elson,0.005956269295330075
deviantart realistic,0.005871588748816275
gundam,0.0053254250741383
photorealistic,0.004836039011130425
photography,0.00460049564902285
footage,0.0044373612058685
artstation hyperrealism,0.004416573456851775
concept art,0.004361775144568675
donald,0.0039824244198275495
digital painting,0.0039340052839439
dark,0.0039331550331590005
einstein,0.0038436733276989753
bonsai,0.0037123357130606
clouds,0.00346805156221645
robot,0.00333063101432425
movie,0.0032797333942726
detailed painting,0.003243857042839725
ultra realistic,0.0032338575768129
cyborg,0.003204518216360675
intricate details,0.003114027329726275
manga,0.0030648214056476254
deviantart,0.00303273526607285
skyrim elegant,0.003004653807365675
portrait painted,0.002947817842086775
artstation,0.0029252522252345248
unreal engine,0.002906756808281225
photograph,0.0028587219804868252
oil painting,0.0028536295457530997
castle,0.0027810692951724747
bernard simunovic,0.0027806025420918
surreal,0.002754038784197675
painting artstation,0.0027533990457333252
anime,0.0025952337912552
matte,0.00258961775993895
portrait scifi,0.0025763635821625247
uncanny,0.0025692923748831
detailed ultra,0.0025506326339344004
cinematic,0.0025264161874513
sitting snowy,0.0024773180269436
art smooth,0.0024763983549237253
picasso,0.0024561095227831004
puppy sitting,0.0023745702640334
drawing,0.0023629489584901
fiction film,0.0023382942506281
cat,0.002321019914793525
century modern,0.002288347057598775
illustration art,0.0022737647211988
steampunk himalayan,0.002251453312412725
zdzislaw beksinski,0.0022496294914842
cyberpunk,0.0022165449719154374
peter,0.002209399987732004
josan gonzalez,0.002152901712961575
artstation cinematic,0.00211039462893935
art artgerm,0.002093477495081475
canvas,0.0020906873594554497
sky,0.0020198878914424
photorealistic digital,0.0020184818361139
faroe azores,0.002012591765719125
room,0.0019691560407821
food photography,0.0019538611594077
cinematic deviantart,0.0019349497937695501
fantasy art,0.001924224217039475
lighting,0.0019232321574459
goddess,0.001889925157310675
edwardian photograph,0.0018574962810582
comprehensive art,0.0018387285230329002
himalayan,0.0018351718970874998
headshot edwardian,0.0018147111359799
goths loitering,0.0018000529021348
flowers,0.001759412431451075
uncanny painting,0.0017469864636521
beneath cherry,0.0017384933068634
city,0.0017350063998044
realistic cinematic,0.0017325726614403
knight,0.0017297948472332332
style portrait,0.0017081407997582751
photo,0.0016867734658013753
century,0.0016674945360787999
sony,0.0016420654958040001
mila kunis,0.0016409395411281
scene science,0.0016311815963640632
world photography,0.0016193489654565854
puppy,0.001607346312521875
overcast thunder,0.0015947066205195999
blinders photography,0.0015863591628342
shade talking,0.0015733759038843247
elson,0.0015721762240843802
forest,0.0015602393799633006
art sharp,0.0015594001179787538
art trending,0.0015443784533770502
artwork,0.001537106318495475
fiery alchemical,0.0015368850134255
science fiction,0.001531057404394425
alchemical creatures,0.0015132911662749
modern art,0.0015035824842785249
photo realistic,0.0015033677264159999
wallpaper,0.001497045615896125
elf,0.001475928867218
portrait intricate,0.0014746868326081545
pikachu hannah,0.00147330017910155
photograph divine,0.001468551203149769
details intricate,0.0014577882309643002
beksinski,0.0014436594508212
studio ghibli,0.001437927797196175
movie poster,0.0014274886166858
detailed portrait,0.0014185689510650829
painting deviantart,0.0014034435028201248
frazetta fantasy,0.0013908556213027999
octane render,0.001386787141338725
gustav klimt,0.0013762729306062333
saitama anime,0.001346246269816
butterfly volumetric,0.0013386501577309748
space,0.001333678286147025
portrait extremely,0.0013176001775975252
ufo,0.0013150835195491748
art style,0.0013146045001267998
painting beautiful,0.00129380540114345
landscape,0.0012858814797061249
natural scene,0.001266907523268925
engine,0.0012635469921979871
vallejo frazetta,0.001258699843954275
cute fluffy,0.0012322696953640335
snowy,0.0012115483721765
art thorough,0.0012046668591730002
surreal dark,0.0011954417537231
lighting hd,0.0011828993590228666
pixar,0.0011789468273752032
saitama,0.001162132521520675
hyper detailed,0.0011321776120528848
creatures surreal,0.0011261276121058
painted,0.0011219594163174725
frazetta,0.0011206741493932
art realistic,0.0011202311733506248
collage canvas,0.001118194648431025
alien,0.0011060993313911
fantasy painting,0.00109331314166975
phyics entries,0.0010880388117066207
houses,0.0010870617333116192
art punk,0.0010767664147954001
dramatic lighting,0.0010747504259616058
lifelike photorealistic,0.0010723320192440751
detective pikachu,0.001072258294722325
gordon,0.0010284003280498597
himalayan rocksalt,0.0010268949534481251
fiction,0.0010264375220385
gundam unreal,0.0010261901881705503
clouds madeira,0.001025621718215975
dragon,0.0010160117848475256
hd goth,0.00101552142520255
contemporary art,0.001014704416722775
render hyperrealist,0.001012627043227362
painting lush,0.0010041683665024
fifth element,0.001003118735287025
heavy detailed,0.001001465215759026
dark uncanny,0.000999836063888225
garden,0.00099398291060155
glamorous sophisticated,0.00099377304321535
josan,0.0009911216517771
traits painting,0.000977291209354
punk art,0.000975248853623675
neuromancer,0.0009744173562412499
goth emo,0.000970915732732975
rocksalt lamp,0.0009669846862889
statue,0.0009647279471961456
intricate hyper,0.0009468655290725749
pablo picasso,0.0009339122411730999
painting ronny,0.0009335927540304501
portrait painting,0.0009298741274639251
camera,0.0009295988297077752
dog,0.000910768765722525
fluffy,0.000906683958297825
rpg portrait,0.000897084638842675
madeira faroe,0.0008951714521910775
goths,0.00087794148154395
ufo ignoring,0.000877335523735
film neuromancer,0.0008671139538599757
divine pink,0.00086164288212645
modern,0.0008579380591287749
painting character,0.000857613203285675
wallpaper illustration,0.0008462325686284383
picasso hair,0.0008338851001949997
fantasy style,0.0008285024604199
stars,0.0008278420706947499
deviantart hyperrealistic,0.000819411501827325
painting peter,0.000817015988681775
abandoned,0.0008035738186805354
woman,0.0007959953356409749
manga illustration,0.0007859369392248642
pink flamingos,0.0007853693694910751
runway,0.0007796276268249
ruins,0.0007733081525868
goth,0.00076864679770155
emo,0.0007678608980401751
starmaker matte,0.000745159080556275
emo punk,0.0007422864250367499
garden intricate,0.0007393865955037
lightning intricate,0.0007378762888580249
lamp,0.0007285471741837008
pink bonsai,0.000727361226254125
punk portrait,0.00072498301184675
hd unreal,0.0007186942567465743
surrealism surreal,0.00071694879139855
anime colors,0.0007119218165751999
alien planet,0.000709689754448525
azores,0.0007001619645347
illustration,0.0006891406917223999
digital render,0.0006854854628572749
futuristic,0.0006836167558303501
starmaker,0.000679364162763575
scariest looking,0.0006777940424804
artistic painting,0.0006768730250996499
painted pablo,0.000670228291279575
log houses,0.0006672648511866
bjork,0.0006667597747751
spaceship,0.0006572453970119
daedric armor,0.000642235747703725
beautiful,0.0006353297867012
photography awards,0.0006182424851267499
artistic,0.0006174764143085659
anime epic,0.0006172675600135863
divine,0.0006166851342455702
painting aesthetic,0.000615285017202975
style contemporary,0.0006055952642387545
portrait sabouts,0.0006045482615699999
cosmic,0.0005822029008462
portrait photograph,0.0005731241753566356
hd painting,0.0005643653045254287
painting lurid,0.0005616572161799691
body portrait,0.0005588054709915
flamingos,0.0005562586857157001
avant garde,0.0005422505102051618
painting unreal,0.0005331708802755999
wizard,0.000527466600076725
screenshot,0.000523980303501
surreal concept,0.000519902345693075
body manga,0.0005196337529727301
bonsai tree,0.0005182338024457434
minogue,0.0005121133993016433
pixie cut,0.0005117848635822499
illustrated,0.0005082357033293878
surrealism,0.0005004284860026499
deviantart cinematic,0.0004982626737017
atmospheric lighting,0.00048863126410135
intricate volumetric,0.00048215370057252494
art josan,0.0004793849643008334
bull modeled,0.00047720641347072325
