keyphrase,mean_abs_shap
abandoned,0.00038108237749673605
alien,2.1726308542663323e-07
alien planet,0.00028802749005050587
android cyborg,0.0
anime,0.0011700340476106413
anime colors,2.8109230197864208e-06
anime epic,5.761338820384435e-06
armor daedric,0.0
art,0.0006509148556604565
art artgerm,1.0067948629961725e-05
art city,0.00023346149107716433
art hyperrealistic,0.000194633307329697
art josan,0.00019247862331065442
art lifelike,0.0
art punk,0.0018323151783960997
art realistic,0.0034180419256683663
art sharp,0.0046757218786919385
art smooth,1.986193202524565e-05
art style,0.004886331659208694
art thorough,0.00020238797583100137
art trending,0.0001989007603095124
artistic,0.0
artistic painting,7.672921194829446e-06
artstation,0.003089637471644675
artstation cinematic,9.396184726342361e-05
artstation galaxy,0.0
artstation hyperrealism,0.00018456490386719262
artwork,0.00018624927445668802
atmospheric lighting,0.0007931191664788826
avant garde,0.0
azores,0.00022966268240173166
azores islands,0.0
beautiful landscape,0.0003065260774691403
beneath cherry,0.00016530163325916773
bjork,0.0
black,1.0493721954849954e-07
body manga,0.0018438311604689471
body portrait,1.8386294627224493e-05
body shot,8.502454352990676e-05
bonsai,0.0001778374256076727
bonsai tree,0.00018407727029520345
bull looking,1.0262281971254174e-05
bull modeled,6.977199664259698e-05
butterfly volumetric,6.439920245481994e-05
camera,5.206063431473923e-07
candle butterfly,0.0
candle volumetric,0.00023892731499848674
canvas,0.00035421597140304276
castle,0.004785158738706205
castle enclosed,0.0
cat,0.0
century,0.00018024703648651858
century modern,0.0047258986003215105
character portrait,0.0033971284066826937
chris,0.0
chris foss,0.0005757835154682818
churches domes,0.0
cinematic,0.0014899971364707052
cinematic composition,9.472726964756745e-06
cinematic deviantart,0.00018830564766990956
city,0.00022377657492399239
cloud fashion,0.00016356555340462842
clouds,0.00021829692574180888
clouds covered,0.00012670792959054133
clouds girl,0.00018067431702421948
clouds madeira,0.0003066587970847042
collage canvas,0.001890592987756753
colors,8.257314689642609e-05
colossal,1.3076053700393228e-06
colossal goddess,0.00016091909161112242
comprehensive art,0.00034752503556585636
concept art,0.00033528478106734756
contemporary art,0.0006501304976591286
cute fluffy,0.00023572801582603768
cyberpunk,0.0002556774905541542
cyborg,4.946023912892228e-07
cyborg body,0.0
cyborg bull,1.5690639540333293e-06
daedric armor,1.1549567058891624e-05
dark,0.0
dark uncanny,0.005463497672051669
detailed painting,0.00016089074549698412
detailed portrait,0.0
detailed ultra,0.00026007088010516615
details intricate,8.325285647554566e-08
detective pikachu,0.0006675091475685646
deviantart,0.0006834176372818269
deviantart hyperrealistic,2.8878703404249555e-06
deviantart realistic,0.00022157828376631036
digital art,0.0021001153771159683
digital painting,0.0035206337102400517
digital render,0.0002184467189929174
divine,0.0
divine pink,8.697648356402302e-06
dog,1.619097135676678e-06
donald,0.0001972921883633417
dragon,0.00248453417648468
dramatic lighting,0.0
drawing,0.00034477349745380985
dunmer nerevarine,0.0016402464177284507
einstein,0.00018620457500240822
elf,0.0012006562563229308
elson,0.00018719579438160208
emo,0.0
emo punk,0.00019149657046352888
engine,0.00020115686578026746
entries sony,1.1086096573513768e-05
fantasy art,0.0020498362791249855
fantasy painting,0.0008252531194396735
fantasy style,0.0
faroe azores,0.000822041303976106
fashion clouds,0.00016416521682509986
fiction,0.00018681329329794174
fiction film,0.00020133478689485874
fifth element,0.0
film,0.0002020145226450618
film neuromancer,0.0
flamingos,5.412042012113244e-06
flowers,0.00020898529733861696
fluffy,0.0
footage,0.0
forest,0.0006228320022136782
frazetta,0.0026019734777468313
frazetta fantasy,0.0002448646747657509
frazetta giger,0.010072889105520037
futuristic,0.0009262187937934926
garden,0.0001868100088505856
garden intricate,0.008266755467264467
giant digital,3.2550196278566407e-06
girl clouds,0.0001720268991588874
glamorous sophisticated,6.686457255711531e-06
glimpse universe,0.0
goddess,0.0001908310951906057
goddess creative,0.0002009650067233171
goddess wearing,0.00022298683361434666
gordon,0.007246240224148701
goth,0.00020327762128045614
goth emo,0.00020362968340381939
goths,0.0001913504322948164
goths loitering,0.0002121099797193477
gundam,0.0003048245895338866
gundam unreal,0.0010982992617302584
gustav klimt,0.00024002191993744576
hd,0.0
hd goth,0.00016065920542632665
hd painting,0.0
hd unreal,0.0002022377058924166
heavy detailed,0.0006155397671404042
high quality,0.0003090294133106427
hills slavic,0.0
himalayan,0.00019680883888410956
himalayan rocksalt,0.000247477019809474
houses,0.00020888019489114125
houses built,0.0
hyper detailed,0.0005575032029306408
illustrated,2.384425537653914e-07
illustration,0.0001497640954153021
illustration art,0.0003012137222845105
imposing cyborg,0.0001797090598078075
intricate details,3.1225409144344256e-06
intricate hyper,0.0002745799891672677
intricate royo,0.00019783460415819757
intricate volumetric,0.00021049564776601083
josan,0.000187811601823725
josan gonzalez,0.00019612253845229086
knight,8.797890521116162e-05
kylie,0.0001545695624300372
kylie minogue,0.00048240289074699927
lamp,0.00017334770074617253
landscape,0.00018207671837105707
landscape colourful,0.0002108288683954168
lantern candle,0.001419970461821971
length portrait,4.730622452065884e-06
lifelike photorealistic,0.00045475888842890064
lighting,0.0012036819932687193
lighting hd,0.0
lightning intricate,0.00022827905345839118
log houses,3.961001225571151e-06
looking camera,8.94041591042379e-05
low clouds,0.00015860914900565044
madeira faroe,0.0
male dunmer,0.001056128909355527
manga,0.0006963848547461511
manga illustration,0.00021662571090968485
marble hourglass,0.00037154382741845765
matte,0.0013832720654042012
matte painting,0.00038809877442662463
media collage,0.0001953189218786563
mid century,0.0026965188573241394
minogue,0.0004963221539982137
mixed media,0.0
modern,0.0
modern art,0.000514667019007245
movie,0.00023644711623630976
movie poster,0.0003832690683014476
natural scene,0.00021003092050733975
nerevarine,2.0658587587989645e-05
neuromancer,0.0004654206782241494
oblivion skyrim,0.0
octane render,0.0027419788989827675
oil painting,0.00027191536779084857
overcast thunder,3.78151224909792e-06
pablo picasso,0.00044207952258443607
painted,0.00019925811496806223
painted pablo,0.00017638803715096707
painting,0.012847403056009806
painting aesthetic,0.00028943874040930043
painting artstation,0.00017508094428482252
painting beautiful,0.0034268362188421596
painting character,0.00024100054808426613
painting chris,0.0004057462321534178
painting deviantart,1.5697526300050333e-05
painting lurid,1.4979516053858612e-06
painting lush,0.00020976483967080823
painting peter,0.00017966550643407986
painting ronny,0.0006906327996446416
painting sargent,0.0002057706142587539
painting stalenhag,0.0
painting unreal,0.00016874841639935904
peter,0.004266315218114483
peter elson,0.0005443393501905343
photo,0.004671319236623454
photo realistic,0.00015512243453836815
photograph,0.0
photograph divine,0.0022496652790151175
photography,0.002104513061726151
photography awards,8.541466491963148e-06
photorealistic,0.00018556393133144778
photorealistic digital,3.4953379021486803e-07
phyics entries,0.0
picasso,0.00042040672591518214
picasso hair,0.00021983402359562466
pikachu hannah,0.001228078226055
pink bonsai,0.00026704698446591786
pink flamingos,9.531917092923805e-06
pixar,0.00028642260727106757
pixie cut,0.0
portrait,0.0007016193643734091
portrait extremely,0.0013244994486231898
portrait intricate,0.0
portrait male,1.0637536984244322e-05
portrait painted,0.0002048463659068262
portrait painting,0.00016615396827459908
portrait photograph,1.540363982126364e-05
portrait sabouts,6.009223664014808e-06
portrait scifi,1.7740569624567943e-06
punk art,0.001190112285616996
punk portrait,0.0002487479073451995
puppy,0.00047129807252880234
render hyperrealist,0.0001682716429549337
robot,0.00016087306947627983
rocksalt lamp,0.0002249259329006151
rpg portrait,0.00016918853006586717
runway,0.00016594174577173038
saitama,0.0
saitama anime,0.007627290696317951
scene,0.00020253259056201824
scene science,0.00028592738472600225
science,0.0002155726557171386
science fiction,0.00014539713360186405
screenshot,6.147868409506799e-06
shade talking,0.00014886037672928295
skyrim elegant,4.94994027304193e-05
sony,3.540485751058505e-06
sony world,0.0
space,0.0002604690883884274
starmaker,0.0018725173308452741
starmaker matte,0.0002551875165527149
stars,2.588991567126012e-06
statue,0.00020696643261572484
steampunk,0.0019124379341759867
steampunk butterfly,0.0
steampunk himalayan,0.0001728475306519783
studio ghibli,0.0005788702530161449
style contemporary,0.00019000207255156606
style portrait,0.0002517665737451408
surreal,0.001326396204729128
surreal concept,0.0
surreal glimpse,0.0
