keyphrase,mean_abs_shap
abandoned,0.005098959589728301
alchemical creatures,7.869794216275502e-05
alien,0.0023712429565725056
alien planet,0.0012893431232199727
android cyborg,0.0
anime,0.005782407234790679
anime colors,0.001075934948203161
anime epic,0.0015839437898287692
armor daedric,0.0011629931815297211
art,0.010424450552299975
art artgerm,0.0039413232535685135
art hyperrealistic,0.005025952332120373
art lifelike,0.0022877440934664663
art punk,0.0018704489547289344
art realistic,0.005415792418389612
art sharp,0.004406498938173067
art smooth,0.0018571369960964938
art style,0.006791205633058509
art thorough,0.0047647223088586686
art trending,0.002843190423340483
artistic,0.0033051997742381844
artistic painting,0.003106983732053011
artstation,0.005781498570750376
artstation cinematic,0.0019412468971932266
artstation concept,0.002195709947704662
artstation galaxy,0.0010599875737499968
artstation hyperrealism,0.002596829643076376
artwork,0.003204388703291317
atmospheric lighting,0.0014012195168940048
azores,0.00488564073987461
barbarella,0.0013318253575680247
beautiful,0.0022565302684965007
beautiful landscape,0.005256332668776576
beksinski,0.004055794126460325
beneath cherry,0.0012850783642725802
bernard simunovic,0.001604783380845409
bjork,0.0014601142087921337
black,0.001245177545353209
blinders photography,0.0015879221593072057
body manga,0.0010479175540608256
body portrait,0.0030957088402855507
body shot,0.0005776144265300598
bonsai,0.00036669862558195916
bonsai tree,0.0008573557989907389
bull looking,0.00045204066625429426
bull modeled,0.0013949764299216335
butterfly volumetric,0.00017470202725954027
camera,0.0021336409940400725
candle butterfly,0.0013991220734385537
candle volumetric,0.0008482120215601728
canvas,0.002459836930640289
castle,0.008472078498916224
cat,0.0019342728791913863
century,0.000648427455829734
century modern,0.002746309566749246
character portrait,0.0024869700965898193
cinematic,0.007532880180404985
cinematic composition,0.0012902637762485436
cinematic deviantart,0.0003369314723199961
city,0.004206541837073234
clouds,0.0027230561260129776
clouds madeira,0.001608157743960062
collage canvas,0.0011168863140598973
colors,0.0029264322441838737
colossal,0.0004443894751860478
colossal goddess,0.0007540523061351079
comprehensive art,0.004479591672356921
concept art,0.009033809158191106
contemporary art,0.002784813021118662
cosmic,0.0017753433107311001
creatures surreal,0.0
cute fluffy,0.001395186231368644
cyberpunk,0.0043251140513028965
cyborg,0.0011355226334902292
cyborg body,3.671344733738961e-05
cyborg bull,0.0
daedric armor,0.0010235173622444485
dark,0.0009180714296199865
dark uncanny,0.001407526412422017
detailed painting,0.0041871940673375
detailed portrait,0.004833995378482046
detailed ultra,0.006234623103764533
detective pikachu,0.0009163949891828896
deviantart,0.0044890838254901776
deviantart cinematic,0.0022081268791259013
deviantart hyperrealistic,0.0019678228177492465
deviantart realistic,0.003142779784717057
digital art,0.006310823944094904
digital painting,0.008533210576582276
digital render,0.0010656535276104447
divine,0.0001723197376397351
divine pink,0.0016969686742118394
dog,0.0036364038982849233
donald,0.0015097757445673306
dragon,0.004219733747683525
dramatic lighting,0.0014763625942918847
drawing,0.003359592148595206
dunmer nerevarine,0.002427085768665488
