keyphrase,mean_abs_shap
abandoned,0.002483927216104267
alien,0.0015712643689495861
alien planet,0.000757334766585283
android cyborg,0.00022535601203737749
anime,0.0018299965264094319
anime colors,6.638536416297145e-05
anime epic,0.0009280978997160757
armor daedric,0.0006973136534195481
art,0.010956328481813927
art artgerm,0.0017055754943621612
art city,0.0017395814104130744
art hyperrealistic,0.0001116111892858696
art josan,0.0007395907908432441
art lifelike,0.0006460267401233382
art punk,0.002110342880957382
art realistic,0.006456506113568162
art sharp,0.007363321168482457
art smooth,0.0015270712056007704
art style,0.0055038440712310704
art thorough,0.00017576021300687902
art trending,0.0007308016922985163
artistic,0.00012544344461863793
artistic painting,3.3619047666178063e-05
artstation,0.006788097778458744
artstation cinematic,0.00032351329265642355
artstation galaxy,7.522312528664503e-06
artstation hyperrealism,0.00014073474683642015
artwork,0.0011121351433739483
atmospheric lighting,0.0016104744875384117
avant garde,6.531974768791233e-05
azores,0.0001511002031745465
azores islands,8.536398900532757e-05
beautiful landscape,0.0009913030544994876
beneath cherry,0.0005573380494605982
bjork,9.849209116816554e-05
black,0.000530355838329122
body manga,0.0011218786104233737
body portrait,0.0008063748989854401
body shot,0.00020986156163148862
bonsai,0.00012887066936826948
bonsai tree,8.506368599682831e-05
bull looking,0.00012589673870914503
bull modeled,0.00023263560973774169
butterfly volumetric,0.00011372675462540142
camera,0.00040566606798801236
candle butterfly,2.3428666821106582e-05
candle volumetric,0.0008402952343256349
canvas,0.0026844458515337274
castle,0.008833753677698807
castle enclosed,0.0
cat,0.0006499426999936991
century,0.0013222841223714693
century modern,0.004422519231834813
character portrait,0.005751449137474344
chris,0.0008075129593552913
chris foss,0.0004080529466474875
churches domes,0.0
cinematic,0.004513199087731069
cinematic composition,0.0002624854727764585
cinematic deviantart,0.001425167051929775
city,0.0019050899548953113
cloud fashion,4.049135135715573e-05
clouds,0.0016933633182868344
clouds covered,0.00018569417289281544
clouds girl,8.91077701957131e-06
clouds madeira,5.578976758515293e-05
collage canvas,0.0015146370451006982
colors,0.0013557721638009074
colossal,0.00016314359682114015
colossal goddess,0.00034578406916631197
comprehensive art,0.0011720753728154743
concept art,0.0065634716684838
contemporary art,0.0018670082022343264
cute fluffy,0.001256239851444258
cyberpunk,0.0025275574903863146
cyborg,0.0011151695213505574
cyborg body,0.0003135963216851557
cyborg bull,0.00012727697599345528
daedric armor,0.0006844037036769908
dark,0.0013898335675064867
dark uncanny,0.006300973564922389
detailed painting,0.0004271434236098011
detailed portrait,0.0013686484776494416
detailed ultra,0.0008497729130486929
details intricate,0.0015005449134827828
detective pikachu,0.0026878888462057273
deviantart,0.003004436653481973
deviantart hyperrealistic,0.0007666021945753264
deviantart realistic,0.0008820281620735527
digital art,0.007015169496161971
digital painting,0.008286953194942841
digital render,0.0005492040656441019
divine,0.0001764661130626809
