keyphrase,mean_abs_shap
abandoned,0.0022735361464874355
alien,0.00031386612545553376
alien planet,0.0006102520095623597
android cyborg,6.5522018117221e-05
anime,0.0033247542268818506
anime colors,4.840853746761131e-05
anime epic,0.00047076675500007327
armor daedric,0.00015620417899341944
art,0.007203272753350043
art artgerm,0.002065969672472023
art city,0.001180773528912425
art hyperrealistic,0.0010172791685304507
art josan,0.0002702539788532927
art lifelike,0.00034256474714042555
art punk,0.0009152080324951061
art realistic,0.0030795928288632015
art sharp,0.005045911361107092
art smooth,0.002561725275205617
art style,0.005212568356071514
art thorough,0.0008424851255273748
art trending,0.0010473224435945
artistic,0.0010086970799709019
artistic painting,0.0004517549834717735
artstation,0.005017296520948372
artstation cinematic,0.0005264439405586101
artstation galaxy,0.0
artstation hyperrealism,0.0010263871105157549
artwork,0.0012111329881722519
atmospheric lighting,0.0010237813502938086
avant garde,0.0016145268720497246
azores,0.0011179019751486744
azores islands,0.0007016185197206876
beautiful landscape,0.0012214008699299738
beneath cherry,1.991209753627716e-05
bjork,9.417176866203343e-05
black,0.0009879971666773963
body manga,0.0014975965665957772
body portrait,0.0003364230364339699
body shot,2.874680133710004e-05
bonsai,0.0012789595645440281
bonsai tree,0.0010054492148952265
bull looking,4.6124666752348056e-05
bull modeled,1.983760988790543e-05
butterfly volumetric,0.0007844700023790229
camera,9.222278533144683e-05
candle butterfly,0.0012569280906302327
candle volumetric,0.0004656567462652163
canvas,0.0006465912292602915
castle,0.0037572131574055414
castle enclosed,0.00012967086957083664
cat,0.0005719002537395879
century,0.0014129589007380392
century modern,0.0023553686283351223
character portrait,0.0024614643494859584
chris,0.0005109433695781906
chris foss,0.0006127044072789576
churches domes,4.647187573848801e-05
cinematic,0.002958132400948227
cinematic composition,0.0014044288285111847
cinematic deviantart,0.00014544917316699495
city,0.0004858217280297192
cloud fashion,7.451657754752347e-05
clouds,0.0015014611610034555
clouds covered,1.7668735651562115e-05
clouds girl,0.00015649842170271765
clouds madeira,0.0007969771633450667
collage canvas,0.0007636356889888429
colors,0.0016543010913397745
colossal,0.0002317544793833287
colossal goddess,0.00036713946997621094
comprehensive art,0.0011215821563891485
concept art,0.003578024632661392
contemporary art,0.0008582113400536548
cute fluffy,0.0029046067658980695
cyberpunk,0.0032205166600011072
cyborg,0.00180557191180559
cyborg body,2.1574190155788082e-05
cyborg bull,4.66191414237439e-05
daedric armor,0.00022660595882825074
dark,0.0022146387986630963
dark uncanny,0.002588406812347524
detailed painting,0.002977428931737775
detailed portrait,0.0026500398964860194
detailed ultra,0.0014272025511225005
details intricate,0.0009086337769079157
detective pikachu,0.0012243851956416823
deviantart,0.0016647337336541063
deviantart hyperrealistic,0.00017973585052476855
deviantart realistic,0.003703765056786128
digital art,0.003652651880293665
digital painting,0.006838058326757586
digital render,0.0008274719765011827
divine,0.0009660600399928043
divine pink,0.0002366578773946983
dog,0.0019106019178800162
donald,0.0005308125257634012
dragon,0.0031420706121530547
dramatic lighting,0.0007231856054567922
drawing,0.0005751325259302258
dunmer nerevarine,0.0008760084619234154
einstein,0.0008180078103685697
elf,0.004185996038073876
elson,0.0016473318884302182
emo,0.0007076059337216759
emo punk,0.0008989227773526493
engine,0.0004379532276022871
entries sony,0.0008118391911192107
fantasy art,0.0033285157007520373
fantasy painting,0.0027455909656324174
fantasy style,0.0007411053108862467
faroe azores,0.0021628848098265243
fashion clouds,7.285892954005985e-05
fiction,0.000874966588557202
fiction film,0.0011253524124713947
fifth element,0.001576624717459034
film,0.002799611426683551
film neuromancer,0.00032394338878331423
flamingos,0.0001874960604182933
flowers,0.0007786807582609112
fluffy,0.0009764065530559007
footage,0.0014067967341701599
forest,0.0032586016955048177
frazetta,0.002575587553800671
frazetta fantasy,0.001027313788677608
frazetta giger,0.0033071434149257607
futuristic,0.0008827817439209608
garden,0.003498728243808613
garden intricate,0.003413826136417372
giant digital,0.0009472464214809495
girl clouds,5.328691621784074e-05
glamorous sophisticated,0.0009276057199317543
glimpse universe,0.0012926058120551283
goddess,0.0018375390431919283
goddess creative,0.00018981678383444918
goddess wearing,7.28491705558078e-05
gordon,0.005273836737648002
goth,0.0012569731264949115
goth emo,0.000759779688136402
goths,4.062770350401532e-05
goths loitering,0.0
gundam,0.0016955539709352285
gundam unreal,0.0009554718558666873
gustav klimt,0.0006640826247597483
hd,0.0005062879734021253
hd goth,0.0012719929822755792
hd painting,0.0002458444003074839
hd unreal,0.0012424855319395404
heavy detailed,0.0015145790822034427
high quality,0.001483382971199914
hills slavic,5.202472807492095e-05
himalayan,0.0006667244035525736
himalayan rocksalt,0.00071049397876309
houses,0.00043882998295473677
houses built,5.41448492940921e-05
hyper detailed,0.0013167900342132613
illustrated,0.0005621433826252134
illustration,0.00048154307397993624
illustration art,0.007213700304969791
imposing cyborg,9.266671057807586e-05
intricate details,0.00048704191175747753
intricate hyper,0.0012743451110499451
intricate royo,0.0006952670336425428
intricate volumetric,0.0014840189140960928
josan,0.0002825124621246797
josan gonzalez,0.00028551353952795355
knight,0.0032283439754347207
kylie,0.0018728859460810704
kylie minogue,0.0015460947810246775
lamp,0.0007316252966274655
landscape,0.0020139241081788143
landscape colourful,0.0012470369732943026
lantern candle,0.0017851764867826071
length portrait,0.0008464625646664378
lifelike photorealistic,0.00024574982579686147
lighting,0.0019319446056897565
lighting hd,0.00038709038512694816
lightning intricate,0.00038675713274290667
log houses,6.144567402850317e-05
looking camera,3.646438049990448e-05
low clouds,0.0013728020425697867
madeira faroe,0.001055478344577949
male dunmer,0.0011593779680373743
manga,0.003876760114436644
manga illustration,0.002087568194927602
marble hourglass,0.0009648430581291162
matte,0.002106019979682373
matte painting,0.0015743092274569652
media collage,0.000855662713477014
mid century,0.0009661839134606565
minogue,0.001723476137392062
mixed media,2.5895291811619118e-05
modern,0.0015450990610377708
modern art,0.0004332696026274655
