keyphrase,adjusted_mean_shap
painting,25676782331.218845
houses built,25676782331.200096
portrait,0.010092889248919075
gordon,0.007591011481379975
art,0.007308741660781051
digital painting,0.006794713952130624
castle,0.006462051018181675
frazetta giger,0.006314214665799925
photography,0.006216919329469651
photo,0.006151505873912375
mila kunis,0.0061247333454844
saitama anime,0.0060940641657474
garden intricate,0.00600177962790835
art style,0.0055984874298924
painting beautiful,0.005567694035693625
ultra realistic,0.0054404898685461245
art sharp,0.005372863336613576
artstation,0.005169132585450475
concept art,0.004877647560100875
peter,0.0048347778941302
digital art,0.004769690174416575
unreal engine,0.0047561211780187745
fantasy art,0.004633086822216599
art realistic,0.0045924833216223
uncanny,0.0045480035827559
cinematic,0.0041235522013887
elf,0.004095555384176126
beksinski,0.0040557941264603
photorealistic,0.0039956171849171995
dark uncanny,0.00394010111543585
century modern,0.0035625240068101497
dragon,0.003560239514718225
illustration art,0.0035276403554628747
character portrait,0.00352425299755815
frazetta,0.00346839675713755
ruins,0.0033679086950721
film,0.00336048920361665
trending artstation,0.003243995566985225
steampunk,0.00317062343679545
photograph divine,0.0030690713500035253
anime,0.0030267980089231
manga,0.002947295444010725
runway,0.0028896787781783
fantasy painting,0.0028732310179823
matte,0.002867518816057875
sky,0.002784028389866
octane render,0.0027701865036942
oil painting,0.002750876827865025
woman,0.00258396805751575
cyberpunk,0.002582216423061075
ufo,0.0025674330528587
abandoned,0.00255937633245415
forest,0.002559202189655225
hd unreal,0.0025206867139282753
peter elson,0.002465700998340725
deviantart,0.002460417962476975
garden,0.0024288973283367
surreal,0.002407602932758525
matte painting,0.00238137729040745
pablo picasso,0.0023339141382315498
zdzislaw beksinski,0.002333504603411
scariest looking,0.0023297156617095
beautiful,0.0022565302684965
portrait extremely,0.0022542165501461004
detailed portrait,0.0022131709381543498
deviantart cinematic,0.0022081268791259
headshot edwardian,0.0022076139479213
artstation concept,0.0021957099477046
detailed ultra,0.0021929173620101753
dunmer nerevarine,0.0021820536445347747
male dunmer,0.0021811288111148997
high quality,0.0021742553732272
mid century,0.00215751390724365
faroe azores,0.002151988718925625
ufo ignoring,0.0021500813089623
movie,0.0020977305568867
scene,0.0020666079725041
puppy,0.00203865254012735
photograph,0.0020220818453779753
deviantart realistic,0.001987537821835725
jacket black,0.0019523354770763
beautiful landscape,0.0019438906676687252
lighting,0.0019417055313792
detailed painting,0.0019381642920454749
art artgerm,0.0019307340922581403
vallejo frazetta,0.001895702628748025
landscape,0.001894327178211675
studio ghibli,0.0018456610164184753
painting artstation,0.001842912716448625
movie poster,0.0018340703411799252
gundam unreal,0.00180991789700115
pikachu hannah,0.00179451132644025
comprehensive art,0.0017801935592818
cosmic,0.0017753433107311
oblivion skyrim,0.0017459029116325998
dog,0.001743762798796669
gundam,0.0017389849803358
uncanny painting,0.0017311967786983002
intricate details,0.0017307073761812337
painting stalenhag,0.001706609612805775
city,0.0017053075237305252
futuristic,0.001705228189088125
portrait scifi,0.0017041858052551143
painting peter,0.0016982847379411001
painting sargent,0.00169514619241035
art punk,0.0016820787616443251
starmaker,0.0016753519964392
goth emo,0.0016495500583951748
world photography,0.0016426587452807002
knight,0.001632483367051887
bernard simunovic,0.0016047833808454
azores,0.00159607640014985
science fiction,0.0015903256185927999
blinders photography,0.0015879221593072
art hyperrealistic,0.001587368999316525
josan,0.001577869903946525
realistic cinematic,0.0015594036634782
painting ronny,0.00155415394533875
contemporary art,0.0015400407652663998
canvas,0.0015362724957092748
