keyphrase,mean_abs_shap
abandoned,0.0
alien,0.0007112081514717871
alien planet,0.0
android cyborg,0.0005377164256810693
anime,0.000834195514621565
anime colors,9.320084353935897e-06
anime epic,2.2455781617482964e-05
armor daedric,0.0007134349317415449
art,0.025290286999888802
art artgerm,0.0030206626309825665
art city,0.000687294005146147
art hyperrealistic,0.000489979202994176
art josan,5.04156058875802e-05
art lifelike,0.0015559804854481255
art punk,0.0007614027663343085
art realistic,3.692821851398956e-05
art sharp,0.000625523780736514
art smooth,0.0005831316839599269
art style,0.0
art thorough,4.387053850459566e-06
art trending,0.0012168788214260264
artistic,0.00012474343965496748
artistic painting,0.0
artstation,0.011715460930179698
artstation cinematic,0.0
artstation galaxy,0.0
artstation hyperrealism,0.0022535771697578862
artwork,0.0009260796165551249
atmospheric lighting,0.0007137665971351466
avant garde,0.0007118997758487637
azores,0.0006804802779596147
azores islands,0.0
beautiful landscape,112654346712.73999
beneath cherry,0.0006759234022984497
bjork,0.0006645709915615609
black,0.0
body manga,1.2841377627113264e-05
body portrait,0.0007143016435557967
body shot,0.0006654899257840962
bonsai,0.0014607840381909301
bonsai tree,0.0006305554156270158
bull looking,0.0007620885666118276
bull modeled,0.0007404938653918057
butterfly volumetric,0.0004923388482152291
camera,0.0013046257662452966
candle butterfly,3.315165094772028e-06
candle volumetric,0.0005810414907818183
canvas,0.0006962003808408076
castle,0.007281474054340098
castle enclosed,0.0
cat,0.0007491631321390093
century,0.0
century modern,0.0007302980833091607
character portrait,0.0017892113166103978
chris,0.0
chris foss,0.0
churches domes,0.0
cinematic,0.0006152005919060204
cinematic composition,0.0006216841208425507
cinematic deviantart,0.0005852699144908961
city,0.0008292848333404497
cloud fashion,0.0007079663928708524
clouds,0.002594100993762905
clouds covered,0.0007356467525658802
clouds girl,0.0004973108189436795
clouds madeira,5.90148808546198e-06
collage canvas,0.0007104734947674778
colors,3.3696392216152934e-06
colossal,0.0006248851765429028
colossal goddess,0.0006711134027677993
comprehensive art,1.8365405112647107e-06
concept art,0.012629218295699109
contemporary art,0.0006233888719360233
cute fluffy,0.0
cyberpunk,0.008229065878100291
cyborg,0.0011106786716556386
cyborg body,0.0006235433039510433
cyborg bull,0.0007658388213832064
daedric armor,0.0011345636655009704
dark,0.0008266164125418315
dark uncanny,0.0
detailed painting,4.940417408550229e-06
detailed portrait,112654346712.73929
detailed ultra,0.004755298699339439
details intricate,0.0
detective pikachu,0.0
deviantart,0.014356529375535805
deviantart hyperrealistic,1.1925313945175128e-05
deviantart realistic,0.001883247060448087
digital art,0.0018842826197582566
digital painting,0.04416688839436542
digital render,0.0
divine,0.0004172035033695084
divine pink,0.0
dog,0.0
donald,0.00020503880964367296
dragon,0.0
dramatic lighting,4.2261472198587496e-05
drawing,0.0
dunmer nerevarine,0.0007972089564708109
einstein,0.0006884850596804892
elf,0.0016877796980322712
elson,0.0007385717130579539
emo,0.0006477956506062476
emo punk,0.0007393049897251956
engine,1.9777110416216915e-05
entries sony,0.0006149014318296224
fantasy art,0.0025794449047975205
fantasy painting,0.0005620402731692104
fantasy style,9.090107000221718e-06
faroe azores,0.0007214623981903621
fashion clouds,0.0006041471062563045
fiction,0.0005785082695702189
fiction film,9.141980552214924e-05
fifth element,0.0006249090332113998
film,0.006817021988437317
film neuromancer,0.0
flamingos,0.0
flowers,0.0
fluffy,0.0007407815448960697
footage,0.0022820137266015956
forest,0.0007750170040808937
frazetta,2.820636814584095e-05
frazetta fantasy,0.0
frazetta giger,0.0
futuristic,4.488867336024911e-06
garden,0.0007310916290784676
garden intricate,0.002759217305838597
giant digital,0.0008410373009577691
girl clouds,0.0005979613631940016
glamorous sophisticated,0.0005631405020274704
glimpse universe,0.0006917948423016766
goddess,0.005936053586626303
goddess creative,0.0009592555722646673
goddess wearing,0.0007516985530253011
gordon,0.002462296076037281
goth,0.0006254806303151912
goth emo,0.0009376222845476048
goths,0.0006498351542616005
goths loitering,0.00082676758952777
gundam,0.0009974008989131642
gundam unreal,0.0
gustav klimt,0.00018533230123969944
hd,0.0
hd goth,0.0007620186089313498
hd painting,0.0005307709963081005
hd unreal,0.0
heavy detailed,0.0007011136373984221
high quality,0.0006412321989313956
hills slavic,3.2479478473506897e-06
himalayan,0.0
himalayan rocksalt,0.0
houses,6.416882246305585e-06
houses built,0.0
hyper detailed,0.0038055728506805127
illustrated,6.9071011997002075e-06
illustration,8.599904108419709e-06
illustration art,0.0008836684048617541
imposing cyborg,0.0005962770156293554
intricate details,0.0017487461791748616
intricate hyper,0.0005594146857464095
intricate royo,0.0
intricate volumetric,0.0006290893235870829
josan,1.1595087797064898e-05
josan gonzalez,0.0
knight,0.0
kylie,0.0
kylie minogue,0.0
lamp,2.143800806965107e-05
landscape,0.0028734582983413835
landscape colourful,3.1674605168100215e-06
lantern candle,126269722370.4708
length portrait,0.0008073449836928461
lifelike photorealistic,0.0007058149666614084
lighting,0.0005151414075445663
lighting hd,0.0015765550039924738
lightning intricate,0.0006129675619343462
log houses,4.779628742790098e-06
looking camera,0.0006188310752033122
low clouds,126269722370.47046
madeira faroe,5.3804810083054336e-05
male dunmer,0.0005608236762598284
manga,0.00011905912750431112
manga illustration,2.8395735786100238e-06
marble hourglass,0.0005824487287358607
matte,0.0014024197502371723
matte painting,0.006912401346399248
media collage,0.0005465832152570864
mid century,0.0022775474250676907
minogue,0.0
mixed media,0.0007856687865199824
modern,0.0
modern art,0.0015741229295540664
movie,0.0005916558046314309
movie poster,7.043062084065707e-05
natural scene,1.3653515200755584e-05
nerevarine,0.0
neuromancer,1.4804459170431218e-05
oblivion skyrim,0.0006194700275245513
octane render,0.0
oil painting,0.0005908440243113461
overcast thunder,0.0007122274190776401
pablo picasso,0.0
painted,0.0
painted pablo,1.3340277226238067e-05
painting,0.13264946488972246
painting aesthetic,0.0008733771453537017
painting artstation,0.0007986537392552858
painting beautiful,0.0035582892985017824
painting character,0.0007358193901173425
painting chris,6.000403052505336e-06
painting deviantart,0.0008760893569635511
painting lurid,0.0
painting lush,0.0
painting peter,0.0004999943213719495
painting ronny,0.0
painting sargent,0.0017170632883632376
painting stalenhag,1.338139147677781e-05
painting unreal,0.0007397602021147444
peter,0.0006803428589169935
peter elson,0.0039022328052804667
photo,0.0006234893307024142
photo realistic,0.0018776123935973358
photograph,0.0
photograph divine,0.000323648942685757
photography,0.0007213126371377476
photography awards,0.0006901943294872028
photorealistic,0.0058673115655069105
photorealistic digital,0.0006434351476529289
phyics entries,0.0
picasso,1.3386933775739826e-05
picasso hair,7.693797040563143e-06
pikachu hannah,0.0
pink bonsai,0.00059455613580972
pink flamingos,3.2214128425474717e-06
pixar,1.9614237769335716e-06
pixie cut,0.0007199503084310426
portrait,0.08731478410931917
portrait extremely,0.0006285108897363923
portrait intricate,8.450627694799757e-06
portrait male,0.0007300629162131426
portrait painted,0.003370919648930456
portrait painting,0.0006345820784683416
portrait photograph,2.3990604166079655e-05
portrait sabouts,0.0
portrait scifi,0.0005913934498618658
punk art,0.0004974428327343598
punk portrait,0.000955323836745395
puppy,0.0
