keyphrase,mean_abs_shap
abandoned,0.001369865096934488
alchemical creatures,0.0018180856230240803
alien,0.004214821932088187
alien planet,0.006196520240107428
android cyborg,0.002024616150051888
anime,0.007846512260017865
anime colors,2.35011739205541e-05
anime epic,0.0005716905700422617
armor daedric,0.0020784358832991855
art,0.01959691344482907
art artgerm,0.010176774792309676
art hyperrealistic,0.0019452853977996018
art lifelike,0.009946206673003454
art punk,0.00016092855454346577
art realistic,0.0008751071595084482
art sharp,0.0041260130067643265
art smooth,0.010526270351505452
art style,0.003364606416206802
art thorough,0.0017645099070921855
art trending,0.002565926763592491
artistic,0.005664188422405771
artistic painting,0.002406101383364293
artstation,0.01611674086420928
artstation cinematic,0.0001151553259397276
artstation concept,0.0005517082449136017
artstation galaxy,0.0007099921832773106
artstation hyperrealism,0.004998798800906853
artwork,0.007272227308749347
atmospheric lighting,0.0
azores,0.005576968249656674
barbarella,0.00024503476333024904
beautiful,0.0006927952947542762
beautiful landscape,0.004126703339863145
beksinski,0.0007292513531238055
beneath cherry,0.0
bernard simunovic,0.0010002933010412132
bjork,0.00406495082396619
black,0.0027028673546710133
blinders photography,0.00013172467341818252
body manga,0.001242447134945175
body portrait,0.0008510332322378375
body shot,0.0023776012367261587
bonsai,0.0009523674704756997
bonsai tree,0.00023813721599929595
bull looking,0.0022713549542310836
bull modeled,0.0021330759858347727
butterfly volumetric,0.0006975445414215141
camera,0.0027866958015088637
candle butterfly,0.00042026872837720014
candle volumetric,0.0003186698660530769
canvas,0.0026180457282972435
castle,0.009162397547575257
cat,0.0015021062424725468
century,0.00032876873860091747
century modern,0.001124924594105719
character portrait,0.005174815975597938
cinematic,0.004572190903587454
cinematic composition,0.0020401356717768787
cinematic deviantart,0.0006688679407631102
city,0.00463507565744373
clouds,0.0046352139115476585
clouds madeira,0.0027255831588862372
collage canvas,0.00019853425547433583
colors,0.0010692100934837489
colossal,0.001747130884533888
colossal goddess,0.0023608105108321323
comprehensive art,0.004749390863644194
concept art,0.037007390418490924
contemporary art,0.000322321872107092
cosmic,0.0010976841618548074
creatures surreal,0.0021580003832080315
cute fluffy,0.0010099974058693727
cyberpunk,0.0075926420230025705
cyborg,0.003511671950450399
cyborg body,0.0023264701315321348
cyborg bull,0.0027697960299314342
daedric armor,0.0020528302307027935
dark,0.0006741051418462065
dark uncanny,0.001849770433432424
detailed painting,0.0026276261498167012
detailed portrait,0.00914727707301155
detailed ultra,0.005124941842388821
detective pikachu,8.647137005592532e-05
deviantart,0.00551338670339008
deviantart cinematic,0.0011367627816736428
deviantart hyperrealistic,0.0009192753370040241
deviantart realistic,0.0005567176383892064
digital art,0.010426919271881274
digital painting,0.012682306153616674
digital render,0.004198259119533768
divine,0.0033548724398121425
divine pink,0.00024805111384516875
dog,0.0005180699382435739
donald,0.001290981554723832
dragon,0.005074510475204223
dramatic lighting,0.009874867462421208
drawing,0.00038578384914859037
dunmer nerevarine,0.00015469299209951168
edwardian photograph,0.00029894652781579337
einstein,0.003743592489763904
elf,0.011244442344767331
elson,0.004296522608223943
emo,0.00028648511176146077
emo punk,0.0023072944009199636
engine,0.0038655425429845384
entries sony,0.0027239330416228185
fantasy art,0.014041722049638806
fantasy painting,0.005200823579885101
fantasy style,0.0007082421107660878
faroe azores,0.003065610624136601
fiction,0.003168035799892196
fiction film,0.0039767382114513136
fiery alchemical,0.0021848894377364124
fifth element,0.0021575050593144285
film,0.005978053416605441
film neuromancer,0.0023790391442339324
flamingos,0.0
flowers,0.0009327407788440155
fluffy,0.000296144761331442
food photography,3.004862860883352e-05
footage,0.0035491857525160285
forest,0.0013638706233468861
frazetta,0.0023728903678844693
frazetta giger,0.0024464808568842953
futuristic,0.0007539706282001539
garden,0.0029574019048140363
garden intricate,0.0010833259057554802
giant digital,0.0030577853614348525
glamorous sophisticated,0.0012040605290138677
goddess,0.018595945558261984
goddess creative,0.0021140785591924707
gordon,0.005023861914717725
goth,0.0026544606291477087
goth emo,0.0026899004234544888
goths,0.0006985860307245038
goths loitering,0.00020615198370113486
gundam,0.002762291166478834
gundam unreal,0.0014292372888049596
hd,0.0012893500729934712
hd goth,0.0031318819729496193
hd painting,0.002106409836610136
hd unreal,0.005476949568427234
headshot edwardian,0.0010725346078470752
heavy detailed,0.00019165320694281343
high quality,0.005000734492786781
himalayan,0.002082865684811485
himalayan rocksalt,2.686441278048389e-05
houses,0.0002977038895974994
houses built,0.0008720330898327272
hyper detailed,0.005157430498260088
illustration art,0.008977019596606657
imposing cyborg,0.0024295381508332163
intricate details,0.004813824805110157
intricate hyper,0.0005665838948795521
intricate royo,0.002309723507517212
intricate volumetric,0.0010315319935565487
jacket black,0.00035554528076390987
josan,0.0047479798633404575
josan gonzalez,0.004419188314538569
kylie,0.0008384738468912867
kylie minogue,0.0
lamp,6.782391020236674e-05
landscape,0.01296088352374802
landscape colourful,0.002375781658135509
lantern candle,0.0021807879934865235
length portrait,0.0001851247540534016
lifelike photorealistic,0.002376038172573385
lighting,0.0003858634712570166
lightning intricate,0.0008373322814543238
log houses,0.0005889036787599124
looking camera,0.002417802111480749
low clouds,0.002098762729207598
madeira faroe,0.004879097228594799
male dunmer,0.0006315671088032777
manga,0.0018483366600491925
manga illustration,7.921090264209518e-05
marble hourglass,0.001769303417796716
matte,0.011950414644806914
matte painting,0.013688704294866549
media collage,0.0009097887654973558
mid century,0.0033512592753212286
mila kunis,0.007779622502964717
minogue,0.0007876468949448836
minogue barbarella,0.0
mixed media,0.00020152983645052935
modern,0.00018969433310294582
modern art,0.0019719947170417523
movie,0.004072094001725178
movie poster,0.003100108517211783
natural scene,0.0037554270193303147
nerevarine,0.007752768243736743
neuromancer,0.0020774792416014044
oblivion skyrim,0.0012913786733605528
octane render,0.0008213220145831162
oil painting,0.01155686961702333
overcast thunder,0.0007342028336290914
pablo picasso,0.0021733071966651427
painted,0.002435535067089406
painted pablo,0.0022746270624847084
painting,0.04117801916833422
painting aesthetic,0.0021592056117705704
painting artstation,0.003279631280052157
painting beautiful,0.01046008747846656
painting character,5.710134360253235e-05
painting deviantart,0.003136598930241532
painting lurid,0.0028237402416521158
painting lush,0.0017045719763369243
painting peter,0.0025665889507236186
painting ronny,0.004321233801959921
painting sargent,0.010298142944315905
painting stalenhag,0.0004091516186854522
painting unreal,5.324847705465689e-05
peter,0.0035127268887236896
peter elson,0.00924415100916462
photo,0.0028266382434003674
photo realistic,0.004066676957052176
photograph,0.000735758573600623
photograph divine,0.0026637733922432903
photography,0.005070094731747827
photography awards,0.00221916528665707
photorealistic,0.007977366559111307
photorealistic digital,0.0028155421846787726
phyics entries,0.00012813238993473512
picasso,0.004815914377977645
picasso hair,0.0025417274789243344
pikachu hannah,0.0006511176239475957
pink bonsai,0.0012589197233091186
pink flamingos,0.0
pixar,0.0019940829490543623
pixie cut,0.002705576827382411
portrait,0.048458464004369484
portrait extremely,0.005080802051257586
portrait intricate,9.877582000336458e-05
portrait male,0.004416203003225817
portrait painted,0.01076105272972923
portrait painting,0.0031709550775674772
portrait photograph,0.0024842757583625713
portrait sabouts,0.0015604883324367835
portrait scifi,0.007375753163154962
punk art,2.9028009612940737e-05
punk portrait,0.002716516898928437
puppy,0.0014576788445845354
puppy sitting,0.001964202573500392
realistic cinematic,0.0031588820180461215
render hyperrealist,0.0012589299731920781
robot,0.0004098295346293829
