keyphrase,mean_abs_shap
abandoned,0.001554703096619673
alien,0.001664516853481172
alien planet,0.0011791687939689038
android cyborg,0.0011151740178105664
anime,0.004575820577118649
anime colors,0.0017792923258376754
anime epic,0.0011824130016306433
armor daedric,0.0012144696451208033
art,0.012845806240509143
art artgerm,0.005002557072700768
art city,0.0010762495512897652
art hyperrealistic,0.0007824874878089242
art josan,0.0010751101173758486
art lifelike,3.545748008274311e-05
art punk,1.613526945740355e-05
art realistic,0.0003147510266563608
art sharp,0.001093370551485484
art smooth,0.0015696959431930667
art style,0.0017991384401822353
art thorough,0.0003181477818771306
art trending,0.0013564048874807268
artistic,0.0005579813456517193
artistic painting,5.88482860212387e-05
artstation,0.026749820081447946
artstation cinematic,0.0011861623739222677
artstation galaxy,0.00020159498610035915
artstation hyperrealism,0.0
artwork,0.0012672704223203434
atmospheric lighting,0.00025959919308654405
avant garde,0.001294298151317833
azores,0.00026079958093482497
azores islands,0.0
beautiful landscape,0.0019280315890958229
beneath cherry,0.0
bjork,0.0012181602277428305
black,0.0017775487134774498
body manga,0.0013866432249655409
body portrait,0.0010613943705877545
body shot,0.0014400050466424996
bonsai,0.002086842116772252
bonsai tree,0.0013310372412627361
bull looking,0.0013454864390166899
bull modeled,0.0011947635174897216
butterfly volumetric,0.001425741276623345
camera,0.0013413066510698313
candle butterfly,0.0011417117543911558
candle volumetric,0.00012677441511437526
canvas,0.0013882922704811372
castle,0.01383829007261364
castle enclosed,0.0013159750603496598
cat,0.0017436603054316864
century,0.00021230812120369574
century modern,0.0018284553429575906
character portrait,0.0013933250854594266
chris,0.0013658988641057003
chris foss,0.0017080734595648673
churches domes,0.0013465996321422654
cinematic,0.003067286850030308
cinematic composition,0.0008857271297742176
cinematic deviantart,0.0011815370696839395
city,0.0011162496179904255
cloud fashion,0.0
clouds,0.0032339708678726705
clouds covered,1.8424650254089003e-05
clouds girl,0.0
clouds madeira,3.4825065212532944e-05
collage canvas,1.3295972406584232e-05
colors,0.0018842686948356245
colossal,0.001207766737790916
colossal goddess,0.0014990146947447193
comprehensive art,0.0012842542096644636
concept art,0.04106383627441777
contemporary art,1.9395167887029714e-05
cute fluffy,0.0024996890793491243
cyberpunk,0.025733266209997246
cyborg,0.0021871736640471074
cyborg body,0.0011278761993864833
cyborg bull,0.0013552172730722147
daedric armor,0.0017137606102264084
dark,0.0
dark uncanny,3.9359644077534024e-05
detailed painting,0.002896011521378072
detailed portrait,0.001672197208099843
detailed ultra,0.00511314787637293
details intricate,0.00012787968137476755
detective pikachu,0.0010078276369603607
deviantart,0.005815893075105275
deviantart hyperrealistic,0.0010892920675948234
deviantart realistic,0.0032138011062000835
digital art,0.00403747399439095
digital painting,0.08671992215915954
digital render,0.0012550759166784732
divine,0.0011759125449224532
divine pink,0.0013190552831517516
dog,0.0005665238580800004
donald,0.000939206775433545
dragon,0.00025451635489705585
dramatic lighting,0.0023545712852368673
drawing,0.00020435114869818776
dunmer nerevarine,0.001383676062577245
einstein,0.0010726003817573642
elf,0.006378425392997879
elson,0.0034311149700137966
emo,1.9864200218402968e-06
emo punk,0.0015786447669746367
engine,0.0019358450281532792
entries sony,0.0012051462105764955
fantasy art,0.005906403093577757
fantasy painting,0.00295409202865109
fantasy style,4.524066940969754e-05
faroe azores,0.00017879991527683628
fashion clouds,0.0001470757107424946
fiction,0.0007158064655845358
fiction film,0.001560348438108108
fifth element,7.114588124310121e-05
film,0.0032048971272714455
film neuromancer,7.1706883906023694e-06
flamingos,0.0012416100944212102
flowers,0.0014370437567425554
fluffy,0.0001153138213320722
footage,0.002644407821822971
forest,0.0012659484529347073
frazetta,8.80962065631698e-05
frazetta fantasy,0.0009840206112750327
frazetta giger,8.689906382886274e-05
futuristic,0.00041212760951387327
garden,0.0008103474062577334
garden intricate,0.0012593685853561803
giant digital,0.0
girl clouds,0.0
glamorous sophisticated,9.509036680447258e-05
glimpse universe,0.0
goddess,0.0071150335892683336
goddess creative,0.0011019520070970786
goddess wearing,4.4338975421547646e-05
gordon,0.0028247240448779185
goth,0.0013937189267310237
goth emo,0.0014787214920577798
goths,6.167834821175025e-05
goths loitering,1.4816350154828081e-05
gundam,0.0008798399610713066
gundam unreal,0.00017046976872490464
gustav klimt,0.0010234278535723612
hd,0.0004582295308772664
hd goth,0.0010398620698085542
hd painting,0.0
hd unreal,0.0012546266742669353
heavy detailed,0.0010017342163563465
high quality,0.0025166843814954654
hills slavic,0.0010235430428668906
himalayan,9.440333243648684e-05
himalayan rocksalt,1.4498786330150855e-05
houses,0.001259900146613829
houses built,0.0009457826248274325
hyper detailed,0.0066983833104439765
illustrated,0.0011750203894851903
illustration,0.00034785888927466675
illustration art,0.0036026476440302758
imposing cyborg,0.0010927049854149644
intricate details,0.0014027430051254597
intricate hyper,0.0011606018973171833
intricate royo,0.0
intricate volumetric,8.860771114124152e-05
josan,0.0017652948781887727
josan gonzalez,0.0018778956949537702
knight,0.001019437549160378
kylie,1.9037639995195034e-05
kylie minogue,2.1291229561134682e-05
lamp,0.0
landscape,0.004761669189290402
landscape colourful,0.0
lantern candle,0.003572379711684788
length portrait,0.0013944862167936567
lifelike photorealistic,0.0019473034772047092
lighting,0.00026139990376399327
lighting hd,0.0004057574348638493
lightning intricate,0.000165665478138673
log houses,0.0011559420030783866
looking camera,0.0013903877361714056
low clouds,0.001787301294266485
madeira faroe,0.00012885812788841032
