keyphrase,mean_abs_shap
abandoned,0.0
alien,0.00197318127421498
alien planet,0.002934127648859504
android cyborg,0.0009625752845181169
anime,0.004089578590354198
anime colors,0.0012711181874402158
anime epic,0.001382525190923893
armor daedric,0.0013767943333658518
art,0.016824294010253045
art artgerm,0.0107215135414053
art city,7.322752147126306e-05
art hyperrealistic,0.0024736358802344596
art josan,0.0006460531311157188
art lifelike,0.0018310404520894235
art punk,0.0013944627319058924
art realistic,0.0036048952716336577
art sharp,0.001401397816089655
art smooth,0.002227208388452651
art style,0.002607105325454751
art thorough,0.0021362838841499764
art trending,0.003113421446423807
artistic,0.0025287012751440087
artistic painting,0.0013224967431925989
artstation,0.0142646837675094
artstation cinematic,0.00041383106686465376
artstation galaxy,0.0012804618936039034
artstation hyperrealism,0.0032770869900058766
artwork,0.0005931830265925505
atmospheric lighting,0.000629844991656333
avant garde,0.0010382154214442737
azores,0.00279474141104972
azores islands,0.0014187568008810177
beautiful landscape,0.004384855151627488
beneath cherry,0.0016260392864427943
bjork,0.00035149357441445906
black,0.0018640537817786547
body manga,0.0019912475848566672
body portrait,0.0016553607706051312
body shot,0.0011045800524038462
bonsai,0.0017194637718375022
bonsai tree,0.0012981342006012598
bull looking,0.0014222133041444562
bull modeled,0.001172585927576477
butterfly volumetric,0.001514680765774729
camera,0.0018970601830248317
candle butterfly,0.001323057533347811
candle volumetric,0.00017728863012748494
canvas,0.0013284050278315228
castle,0.004204177808853966
castle enclosed,0.000261996778096351
cat,0.0023907881559420015
century,0.001599714309976027
century modern,0.00210398875859553
character portrait,0.002496713338449691
chris,0.0006706341906194091
chris foss,0.00013591651221161837
churches domes,0.0002572864126255742
cinematic,0.0028484951244136343
cinematic composition,0.002147087407356069
cinematic deviantart,0.00313871637797739
city,0.0009759968304709155
cloud fashion,0.0012156545388350346
clouds,0.0031182513996946834
clouds covered,0.0015757993900703988
clouds girl,0.001676585764122007
clouds madeira,0.0012748988976056322
collage canvas,0.0013917647280669158
colors,0.0018236635683990675
colossal,0.00056248122765098
colossal goddess,0.00025776578757217303
comprehensive art,0.0036039140110588406
concept art,0.011132160621972939
contemporary art,0.0012176128683992675
cute fluffy,0.0014072848017033285
cyberpunk,0.00860304526033441
cyborg,0.0031263265161077945
cyborg body,0.0009711421151348391
cyborg bull,0.001114384374866689
daedric armor,0.0014761044251442887
dark,0.0005025773926447082
dark uncanny,0.0003710150522211755
detailed painting,0.002840500377492781
detailed portrait,0.004400694980354902
detailed ultra,0.003311902344388633
details intricate,0.0029045271681134295
detective pikachu,0.002224845493389114
deviantart,0.006851095543114598
deviantart hyperrealistic,0.0013985245602186743
deviantart realistic,0.0034862881502331407
digital art,0.007120805317554058
digital painting,0.023559191590468466
digital render,0.0029195205355716496
divine,0.0011837209278087678
divine pink,4.271998122293196e-05
dog,0.0003582759036897325
donald,0.0021559650665307433
dragon,0.003053961707008995
dramatic lighting,0.0030683654372145905
drawing,0.0016219847381247102
dunmer nerevarine,0.001374828296764628
einstein,0.0003658058631506189
elf,0.0033302177508765826
elson,0.0038658702967360715
emo,7.8048479073831e-05
emo punk,0.0005267077930099822
engine,0.00115612245959349
entries sony,0.0014694256577705543
fantasy art,0.0044182313675130685
fantasy painting,0.0034590118289847213
fantasy style,3.997860825851028e-05
faroe azores,0.0033115144061643172
fashion clouds,0.0
fiction,0.00013861590537547996
fiction film,0.002179071950703007
fifth element,0.0017283949010400057
film,0.00404300906384333
film neuromancer,0.0009570882498938494
flamingos,0.0
flowers,0.0004670840625068749
fluffy,0.0016524167432866355
footage,0.0032438854452028877
forest,0.0019402883238861192
frazetta,0.001154246688885426
frazetta fantasy,0.00014235350791364036
frazetta giger,0.0023211116799251104
futuristic,0.0003577703259191197
garden,0.001525909207729283
garden intricate,0.002729115465202665
giant digital,0.0005470202456428364
girl clouds,0.0013834707294283358
glamorous sophisticated,0.0012906452854035259
glimpse universe,0.0012290117078017542
goddess,0.003932480429589335
goddess creative,0.0
goddess wearing,0.0012326224405857322
gordon,0.004281292910162825
goth,0.0011867863404218925
goth emo,0.0005430378102382957
goths,0.0009106039632968703
goths loitering,0.0011855694685385095
gundam,0.0024185097411525886
gundam unreal,0.0012816178563730828
gustav klimt,0.0003939950917013849
hd,0.0019526700855526289
hd goth,0.000478823608298042
hd painting,0.000986432145447892
hd unreal,0.001428544304685216
heavy detailed,0.001320498515305444
high quality,0.0016105791544676034
hills slavic,0.00016634133364791268
himalayan,5.862224853663926e-05
himalayan rocksalt,0.0001278079008671389
houses,8.358400251440393e-05
houses built,0.00036262688896031607
hyper detailed,0.00405507875206429
illustrated,0.0021564422640684795
illustration,0.0007262530639796112
illustration art,0.007579922338551156
imposing cyborg,0.0013355220033177762
intricate details,0.0034700848654820545
intricate hyper,0.00010706392524026617
intricate royo,0.0011541406058837975
intricate volumetric,0.0016658925027256096
josan,0.001455086018487514
josan gonzalez,0.000346480507510631
knight,0.002645837192146238
kylie,0.0013669510812500734
kylie minogue,0.0008290098948780671
lamp,0.00013254011040703023
landscape,0.014967218460541295
landscape colourful,0.0011743605237586206
lantern candle,0.0020397203265851848
length portrait,0.0012056090946333958
lifelike photorealistic,0.0014444664752555313
lighting,0.0007061686964840997
lighting hd,0.0010186858284970297
lightning intricate,0.00010671434003960752
log houses,0.000334658152683556
looking camera,0.0013223447055082972
low clouds,0.0018753297660118976
madeira faroe,0.002132731169556837
male dunmer,0.0012664189658104941
manga,0.001812307110331619
manga illustration,0.0012859982616633477
marble hourglass,0.001081847774144286
matte,0.0072687644759658965
matte painting,0.010964812809106966
media collage,0.00115676978385189
mid century,0.0031695710027970715
minogue,0.0011696730583782432
mixed media,0.00024006637053276781
modern,0.0009995222265472199
modern art,0.0025596221444553102
movie,0.002272752766076408
movie poster,0.0013037251899610048
natural scene,0.0025539538223119137
nerevarine,0.0004234311999396851
neuromancer,0.001182902213502492
oblivion skyrim,0.0020649742826931087
octane render,0.0006733254764414727
oil painting,0.00552464948606072
overcast thunder,0.0014672186812014034
pablo picasso,0.00014542534885166075
painted,0.0003250408716407354
painted pablo,9.008505365557074e-06
painting,0.05378179346952993
painting aesthetic,0.0007173272756576849
painting artstation,0.0015781350486846998
painting beautiful,0.007040707850910397
painting character,4.923047717928535e-05
painting chris,9.809661011319773e-05
painting deviantart,0.0035436678247301612
painting lurid,0.0011528001481330506
painting lush,0.0015531044206342165
painting peter,0.001439893435946031
painting ronny,0.0009493458998126213
painting sargent,0.0049252218871870136
painting stalenhag,0.00011591801800345917
painting unreal,0.0
peter,0.0034359418293495605
peter elson,0.00406140471548226
photo,0.0019615309191556214
photo realistic,0.012550168800096847
photograph,0.0019818330788798633
photograph divine,0.001541277089007966
photography,0.003349059355014337
photography awards,0.0010513169728329369
photorealistic,0.004579798674189655
photorealistic digital,0.0006631249059019713
phyics entries,0.0029759608378479483
picasso,0.00037804096301616974
picasso hair,8.67224836280405e-05
pikachu hannah,0.0015814993781025075
pink bonsai,0.0023128256279601267
pink flamingos,0.0
pixar,0.0015781186830978204
pixie cut,8.798206764400963e-05
portrait,0.06706357253408289
portrait extremely,7.817978865943154e-05
portrait intricate,9.113141018634692e-05
portrait male,0.001089913002443326
portrait painted,0.0030539108430223155
portrait painting,0.0024604420968618976
portrait photograph,0.0018299772210415887
portrait sabouts,0.0
portrait scifi,0.0013305427751977004
punk art,0.0015188242425671834
punk portrait,0.0009147538379559294
puppy,0.0003193015745342495
render hyperrealist,0.00046933088434386404
robot,0.00019942291987378233
rocksalt lamp,0.00012903243812173212
rpg portrait,0.0009652142405805222
runway,0.001566582007444888
saitama,0.0011251150302170165
saitama anime,0.0018638039898347335
scene,0.0034784358732399307
scene science,0.001442865333052275
science,0.0012247459415020566
science fiction,0.0009413373012115492
screenshot,0.004777364556017965
shade talking,0.0020271580641494807
skyrim elegant,0.0023233473443174855
sony,0.003122678344186238
sony world,0.00166230569617146
space,0.0013369310369175684
starmaker,0.00110534087687977
starmaker matte,0.002485204454974008
stars,0.0011489295460321673
statue,0.0007719042226141369
steampunk,0.001652086843257967
steampunk butterfly,0.0017531011629149439
steampunk himalayan,0.0007566530246269958
studio ghibli,0.0020338240654869198
style contemporary,0.0014698186885153499
style portrait,0.002543482136251458
surreal,0.005267057402600562
surreal concept,0.003234573184611385
surreal glimpse,0.001231312489596074
surrealism,0.008590420791320313
surrealism surreal,5.600960455229856e-06
tall castle,0.00016450571857336944
tracing artstation,0.00043534563960178995
traits painting,3.624055917243692e-05
trending artstation,0.00322991113704449
ufo,0.0012493650657926711
ufo ignoring,0.001625127713408834
ultra realistic,0.002935883132684854
uncanny painting,0.00088333782984518
unreal engine,0.01327606194888973
vallejo frazetta,0.0017519628163176185
vivec portrait,9.622333812904461e-05
volumetric lighting,0.0007843844576265616
wallpaper,0.0020030349225941264
wallpaper illustration,0.0005013800201040355
wearing cloud,0.0008926247029092307
wizard,0.0009566967569174782
woman,0.012363380239066343
wooden churches,0.00015919273040191173
world photography,0.0016127448123461202
