keyphrase,adjusted_mean_shap
lantern candle,31567430592.619648
low clouds,31567430592.619057
detailed portrait,28163586678.18862
beautiful landscape,28163586678.187607
portrait,0.08194197849594102
painting,0.07922562576796975
digital painting,0.04178207707440248
concept art,0.025458151402645155
art,0.018639325173869976
surreal,0.017749960175575424
artstation,0.017211676410836527
cyberpunk,0.012539504842858575
unreal engine,0.0103862464949287
matte painting,0.009313236440228325
goddess,0.00889487829093645
landscape,0.008890807367980225
castle,0.008621584870845675
deviantart,0.008134226174286375
mila kunis,0.0077796225029647
art artgerm,0.007230377009349524
fantasy art,0.00673645035388175
painting beautiful,0.006518494176056975
photorealistic,0.0063584965476487
surrealism,0.005991586129572275
digital art,0.005867370300896076
photo realistic,0.005747897509434901
portrait painted,0.0057168699360900755
elf,0.00566021629666845
matte,0.005534189535500225
painting sargent,0.005451010422777099
woman,0.0053495450534740245
illustration art,0.0052608144960124
oil painting,0.005199679068453725
film,0.00501074539903935
hyper detailed,0.00492911635286215
peter elson,0.0048600264470435
screenshot,0.00466017727150645
detailed ultra,0.0045763226906224246
anime,0.004336526735528
dramatic lighting,0.003835016414267772
room,0.0038104990209549
art smooth,0.003726576591777725
gordon,0.0036480437364489
trending artstation,0.003614145371267875
clouds,0.003395384293219425
sky,0.0033709430929719
art lifelike,0.003342171272655911
ruins,0.0032833606168117
realistic cinematic,0.0031588820180461
ultra realistic,0.0031228013555349996
elson,0.0030830198970078753
fantasy painting,0.0030439919276725002
footage,0.0029298731865358
intricate details,0.002858849713723075
surreal dark,0.0028576009959822
mid century,0.0027831947965093
cinematic,0.002775793367484325
photography,0.0027401114098929502
portrait scifi,0.00272963035661675
character portrait,0.0027135164290293
scene,0.002700100933402925
artstation hyperrealism,0.0026323657401675997
starmaker matte,0.0025782054291305498
alien planet,0.00257745417073395
peter,0.002566605977466975
surreal concept,0.0025477664037359
zdzislaw beksinski,0.0025413795025733
style portrait,0.0025255424034879748
artwork,0.0025146900935542997
cyborg,0.002483962700565175
high quality,0.00244230755692025
comprehensive art,0.002409848906219641
stars,0.002380081226152893
uncanny,0.0023374822788928
azores,0.002328247379900175
deviantart realistic,0.0022850134888175748
movie,0.002242076351150375
