keyphrase,mean_abs_shap
abandoned,0.0
alien,0.00037918060685182683
alien planet,0.0
android cyborg,0.0
anime,0.0004530991606247259
anime colors,0.0002665892563493736
anime epic,0.000293922485092677
armor daedric,0.0003077837886308115
art,0.0004128739151084788
art artgerm,0.005046547214931087
art city,0.0
art hyperrealistic,0.000351964931354649
art josan,0.0
art lifelike,0.00021803322659565957
art punk,0.0003467817307738064
art realistic,3.1727830498791983e-06
art sharp,0.0009094635331700714
art smooth,0.0011098896322475032
art style,0.0003789578706439533
art thorough,7.720911109998505e-06
art trending,0.000795908201394187
artistic,0.000304511999906027
artistic painting,0.00031104412280528424
artstation,0.0006698237434671699
artstation cinematic,0.00042846245951096954
artstation galaxy,8.748336368621823e-06
artstation hyperrealism,0.0017779214568260499
artwork,0.0014145189424096293
atmospheric lighting,0.0
avant garde,3.1075956363341104e-06
azores,7.456521315756057e-06
azores islands,4.936895497181217e-06
beautiful landscape,4.655407616309995e-06
beneath cherry,0.0016170893060574963
bjork,0.0
black,0.0004392934046016633
body manga,0.00026245297370677064
body portrait,0.0003255621322982735
body shot,6.454705186338384e-05
bonsai,0.0007334905626703118
bonsai tree,0.00030477514257940425
bull looking,0.0
bull modeled,4.094500513617172e-06
butterfly volumetric,0.0003058512524650419
camera,0.000531871493154665
candle butterfly,0.00025340527796274625
candle volumetric,0.00023465336604661617
canvas,0.001541517763886617
castle,0.00031630961179513275
castle enclosed,0.0
cat,0.0019563594802220565
century,1.32342582142998e-06
century modern,9.015106926561436e-06
character portrait,0.00028388628565457043
chris,0.0
chris foss,0.0002612211592966421
churches domes,0.0
cinematic,0.0013200347464728541
cinematic composition,0.0031718416857908173
cinematic deviantart,0.002652774569866683
city,0.00024262519937955372
cloud fashion,1.6028239041776629e-06
clouds,0.0012376073735190795
clouds covered,5.709954590559885e-06
clouds girl,0.0
clouds madeira,1.5558038353039654e-06
collage canvas,0.0002805073549729149
colors,0.0
colossal,0.0
colossal goddess,7.340835258281294e-06
comprehensive art,0.0002578075243285493
concept art,0.0008450031333236902
contemporary art,0.0002942889052189805
cute fluffy,0.0023116808434441045
cyberpunk,0.005348901495512291
cyborg,0.0009762342118058208
cyborg body,0.00011264613478415213
cyborg bull,3.837532781564442e-06
daedric armor,0.00023832499490419176
dark,0.0017645222249156594
dark uncanny,0.0022494783587720868
detailed painting,0.0019519214793934769
detailed portrait,7.83761578141665e-07
detailed ultra,0.000531900196203498
details intricate,0.00014666647438560347
detective pikachu,0.0005138115166084911
deviantart,0.005504502166026404
deviantart hyperrealistic,0.00023726638594571037
deviantart realistic,0.000717271540824133
digital art,0.0004930297191571144
digital painting,0.0004557532586343379
digital render,8.206962112426845e-06
divine,0.00028642764237241455
divine pink,0.0005414863323570543
dog,3.0465522265294395e-06
donald,0.0012971807820334957
dragon,0.0006600937057318688
dramatic lighting,0.0002822081976877123
drawing,0.0
dunmer nerevarine,0.0002869256895953591
einstein,0.0017415610655480954
elf,0.0003428986878389161
elson,2.653155022763384e-06
emo,0.0004002470322911719
emo punk,0.0002671678606780914
engine,1.9808390257382004e-06
entries sony,0.0
fantasy art,3.8017372938813607e-06
fantasy painting,0.0002912978943467265
fantasy style,0.00030377710398896715
faroe azores,0.0
fashion clouds,0.0004125842300827887
fiction,279933430169.1055
fiction film,0.0005990538029697597
fifth element,2.1053542732458854e-06
film,0.03503972079706156
film neuromancer,0.00012398000517861488
flamingos,0.000616711799669094
flowers,0.0007203589163744526
fluffy,0.00034962108168547316
footage,0.0015915072581864278
forest,0.0001748436648794999
frazetta,0.00037235981018802567
frazetta fantasy,0.0
frazetta giger,1.392696636739019e-05
futuristic,0.0
garden,0.00020296834129851824
garden intricate,0.00031450585398684426
giant digital,2.3043598691255565e-06
girl clouds,0.0
glamorous sophisticated,0.0014315924098921135
glimpse universe,0.0
goddess,0.005364957712856566
goddess creative,6.539436180837766e-05
goddess wearing,0.0002660585537565556
gordon,0.0002887527950512825
goth,0.0002704022494010746
goth emo,0.00029422837056032066
goths,1.3666536594126386e-05
goths loitering,0.000832085814490369
gundam,0.001764152518529542
gundam unreal,7.619133217046578e-06
gustav klimt,0.001628321161705417
hd,0.00013155216492008744
