keyphrase,mean_abs_shap
abandoned,0.002370092853669977
alchemical creatures,0.0007943903935055833
alien,0.004005018152354507
alien planet,0.0029105838533587487
android cyborg,5.4852615132537154e-06
anime,0.004173037995680449
anime colors,0.0017096593936340313
anime epic,0.0040837793172289315
armor daedric,0.0005821799701187365
art,0.013523101136032466
art artgerm,0.003301389388272404
art hyperrealistic,0.001177221338726313
art lifelike,0.0023418805076782503
art punk,0.002406403245669912
art realistic,0.0008379240648246694
art sharp,0.0040898062123433335
art smooth,0.005690708911992118
art style,0.00244056868804253
art thorough,0.0018911961628322693
art trending,0.0038936876766416475
artistic,0.0013342596871424334
artistic painting,0.0033867579714867285
artstation,0.005338023926424786
artstation cinematic,0.0021917591726690992
artstation concept,0.0019382689538505534
artstation galaxy,0.001860208018202242
artstation hyperrealism,0.0058744850055229185
artwork,0.004266073526636545
atmospheric lighting,0.000350524405558158
azores,0.001429488274992848
barbarella,0.0013026157322560024
beautiful,0.0018985510856382446
beautiful landscape,0.0016913293650395807
beksinski,0.001532841501286125
beneath cherry,0.002776075241222686
bernard simunovic,0.001439599205523285
bjork,0.001044805484015305
black,0.0048968470820146045
blinders photography,0.0021156666396338858
body manga,0.0021236450244956446
body portrait,2.596595503208244e-05
body shot,1.4400585874484756e-05
bonsai,0.0023893421677163864
bonsai tree,0.0009195709461099593
bull looking,0.0
bull modeled,0.0008729584996295932
butterfly volumetric,0.0034262916462574127
camera,0.0025139242012789513
candle butterfly,0.0028792810255657917
candle volumetric,0.0005824758426521277
canvas,0.006603838117395001
castle,0.00385822406572241
cat,0.00200721449818633
century,0.002094740522555593
century modern,0.0041632964304115965
character portrait,0.004099706431000064
cinematic,0.003940092314854431
cinematic composition,0.006147993207614225
cinematic deviantart,0.001703867797155724
city,0.003479606434578862
clouds,0.005154306394868833
clouds madeira,0.0010026515439009627
collage canvas,0.0011541772596886054
colors,0.0013564429486304227
colossal,0.001211399723564261
colossal goddess,0.0010970952619474698
comprehensive art,0.0040936690671752535
concept art,0.009135188943667546
contemporary art,0.0014730260088120875
cosmic,0.0019162088194223021
creatures surreal,0.00011801420843856995
cute fluffy,0.0019337407383007092
cyberpunk,0.007372911564515819
cyborg,0.0029937404817486383
cyborg body,0.0
cyborg bull,4.916646957226557e-05
daedric armor,0.0005781010789755764
dark,0.004027833839199653
dark uncanny,0.00021761344956207525
detailed painting,0.005380870036577873
detailed portrait,0.0022168859159170055
detailed ultra,0.001504288792458796
detective pikachu,0.0011649745259458917
deviantart,0.005250826417328761
