keyphrase,mean_abs_shap
abandoned,0.002398626552011309
alien,0.0012003188812787248
alien planet,0.000606975249936645
android cyborg,0.0
anime,0.003365281662109186
anime colors,3.955156611572082e-05
anime epic,0.0001244833664130968
armor daedric,0.0013215182501454701
art,0.007442995127229222
art artgerm,0.005166774978779836
art city,1.76586590109615e-05
art hyperrealistic,0.0
art josan,8.757000572299186e-06
art lifelike,0.0006955683585896272
art punk,0.0002523593171601887
art realistic,0.0014511476671811264
art sharp,0.0008987589595742453
art smooth,0.0011717705107690832
art style,0.001020486923697803
art thorough,0.000656171390970118
art trending,0.0011517129888691845
artistic,0.0007864850221014791
artistic painting,0.0008140430812814522
artstation,0.006022302544350739
artstation cinematic,0.0012181670155968808
artstation galaxy,0.0007537476909848323
artstation hyperrealism,0.001748618368922528
artwork,0.005091786748721843
atmospheric lighting,0.0006997772366212075
avant garde,0.0007071703639455438
azores,8.952623634014766e-05
azores islands,0.00011518336620949223
beautiful landscape,0.0008492409779925869
beneath cherry,0.000706822550484028
bjork,0.0005954754636004095
black,0.0019650856283263025
body manga,0.00014520305052535126
body portrait,0.0006199519298008898
body shot,1.749808450812646e-06
bonsai,0.0013671166638930545
bonsai tree,0.00012952221459741958
bull looking,8.414141917520283e-06
bull modeled,0.0
butterfly volumetric,0.00017078125810764762
camera,0.0013329038942239966
candle butterfly,5.2813783145277945e-06
candle volumetric,0.0
canvas,0.0030846830894087217
castle,0.00197900482255293
castle enclosed,1.2519128902952402e-05
cat,0.0027572520043243976
century,0.0006488748199993688
century modern,0.001239016994761122
character portrait,0.0012900474437688046
chris,0.0005134764249219006
chris foss,5.805825377984817e-05
churches domes,4.1694394729205754e-05
cinematic,0.0016177327790483054
cinematic composition,0.006477755632309844
cinematic deviantart,0.0032650010678287613
city,0.001706100153058148
cloud fashion,1.4772457272428525e-05
clouds,0.0033005858899847035
clouds covered,0.00013016351918686126
clouds girl,5.798587772883376e-05
clouds madeira,4.362456978259193e-05
collage canvas,0.00018195876133242323
colors,0.0007280707430334379
colossal,0.0
colossal goddess,2.3269921689139348e-05
comprehensive art,0.002495682929733458
concept art,0.004827377217973896
contemporary art,0.00013995891948329902
cute fluffy,0.0022265001349077366
cyberpunk,0.0072837284991906885
cyborg,0.0054996047505859146
cyborg body,0.0
cyborg bull,9.6359182520051e-06
daedric armor,0.0019097349230644553
dark,0.002663699862291295
dark uncanny,0.0010559173623350905
detailed painting,0.010142780579594739
detailed portrait,0.0011609280518976289
detailed ultra,0.0016245772345561582
details intricate,0.0008484220505853546
detective pikachu,0.0012058603327932433
deviantart,0.006292836195075815
deviantart hyperrealistic,0.0
deviantart realistic,0.0033075189019161778
digital art,0.005070494535064159
digital painting,0.009097777082352716
digital render,0.0007353787402645623
divine,0.00011306310617901255
divine pink,0.0005233907302287806
dog,0.0011030941822001378
donald,0.0039707749103767625
dragon,0.001650923672446843
dramatic lighting,0.001556162889652545
drawing,0.00021340600762886797
dunmer nerevarine,76140761798.7258
einstein,0.0033577381693381033
elf,0.0006691210173220778
elson,0.0007972928910677073
