keyphrase,mean_abs_shap
abandoned,0.0013346447920865774
alien,0.000500405474080565
alien planet,0.0010696568662952963
android cyborg,0.0009140760452662161
anime,0.003717448042202864
anime colors,9.872860217734927e-05
anime epic,0.0012435222261826713
armor daedric,0.0003248003655833961
art,0.005289780175893268
art artgerm,0.005033634191907857
art city,0.00024891958974207885
art hyperrealistic,0.0010966965749809978
art josan,4.0788045596090654e-05
art lifelike,0.0004528222468661594
art punk,0.0011717286025597824
art realistic,0.0005961602248134982
art sharp,0.004167404149463338
art smooth,0.0036081072632055348
art style,0.0006137865976680154
art thorough,0.0010017429220835804
art trending,0.0009826114039294407
artistic,0.001044400879131415
artistic painting,0.0009038810266633023
artstation,0.008276723022979238
artstation cinematic,0.0016003310522356654
artstation galaxy,0.0009132038721965791
artstation hyperrealism,0.00197147496772272
artwork,0.009025780888636573
atmospheric lighting,0.0008142173531264487
avant garde,0.0011765590456047697
azores,0.00042842679444654575
azores islands,0.00022969029855108636
beautiful landscape,0.0010115054401683375
beneath cherry,0.0014835669369280768
bjork,0.001734995656973083
black,0.0026295424956164774
body manga,6.038394003268164e-05
body portrait,0.0008554885524089738
body shot,0.000918072342804382
bonsai,0.002302401121401369
bonsai tree,0.0007740306269042584
bull looking,0.001039129059815629
bull modeled,0.0012449208116126805
butterfly volumetric,0.0005514809582308554
camera,0.0014879402805799235
candle butterfly,0.0008546205082968367
candle volumetric,0.0009308879378020466
canvas,0.003491651385216579
castle,0.0008728606492627568
castle enclosed,5.1369306946141595e-05
cat,0.004253328518684886
century,0.0030312983997711606
century modern,0.003569438155408905
character portrait,0.0004910374466126566
chris,0.00030417812632068834
chris foss,0.0008621420962700284
churches domes,2.720697340863839e-05
cinematic,0.0035109845842856463
cinematic composition,0.005589794894424201
cinematic deviantart,0.0019573350257744734
city,0.001521948595936873
cloud fashion,0.0
clouds,0.004641782926783228
clouds covered,0.00023853589442491811
clouds girl,6.802702377406882e-05
clouds madeira,0.00036934205623054386
collage canvas,0.0012433065778807146
colors,0.0010470167349281804
colossal,0.0017064667117236243
colossal goddess,0.0017887255677245398
comprehensive art,0.0018538811606470058
concept art,0.004306335558258824
contemporary art,0.0013151571273548486
cute fluffy,0.0016523711139485825
cyberpunk,0.008424087876799371
cyborg,0.002920903460054805
cyborg body,0.001713752647723884
cyborg bull,0.0011767988184396229
daedric armor,0.0005966674259462655
dark,0.0037558986577919075
dark uncanny,0.002575269644510717
detailed painting,0.005584014046770581
detailed portrait,0.0007335002522981502
detailed ultra,0.0012549125470876022
details intricate,0.0016421252127792581
detective pikachu,0.0020663015452525683
deviantart,0.002114560294163481
deviantart hyperrealistic,0.0005357071402711815
deviantart realistic,0.0041187204876669764
digital art,0.006032056066998542
digital painting,0.004641740412244452
digital render,0.001023325654017782
divine,0.00043653791100031585
divine pink,0.00034214065039683687
dog,0.0028312367314197
donald,0.004219773949562056
dragon,0.002146571983630518
dramatic lighting,0.002441101702650743
drawing,0.00035163790110440585
dunmer nerevarine,0.00010792303963043503
einstein,0.0037377096696305026
elf,0.004852717644793393
elson,0.00027764797987999063
emo,0.0003289770395684162
emo punk,0.0008814835645493176
engine,0.0011600122811118202
entries sony,0.0009382564931720066
fantasy art,0.0028480466297219707
fantasy painting,0.0010843012527183614
fantasy style,0.0012410435302796375
faroe azores,0.0007667123543997074
fashion clouds,0.0008783542038002766
fiction,0.0008101748081530137
fiction film,0.0027060665330366357
fifth element,0.0014331294729633527
film,0.012663778030406955
film neuromancer,0.0018810397748184496
flamingos,0.0005074197566715726
flowers,0.001085648249573647
