keyphrase,adjusted_mean_shap
surreal,69983357542.27971
fiction,69983357542.27698
oil painting,19035190449.684143
dunmer nerevarine,19035190449.68157
einstein,2865840577.1633973
octane render,2865840577.1610146
portrait,0.04753033881934858
painting,0.036439940371304824
film,0.024419218895717947
painting sargent,0.009854584215074475
scene,0.008620362330361
high quality,0.007559269402290476
matte painting,0.007481100119881225
cyberpunk,0.007107407359004475
art,0.0066671875885658
digital painting,0.0062565905055888
goddess,0.005799438887467475
detailed painting,0.005764896535584099
digital art,0.0054414164272223245
cinematic composition,0.00534684635503475
photorealistic digital,0.0053326789094364
steampunk,0.005324818986325775
painting artstation,0.005119129402704824
artstation,0.005076718309305425
artwork,0.0049495400266011
deviantart,0.004790681268148575
concept art,0.004778476213305925
art artgerm,0.00463708644347275
photorealistic,0.0044794656174157
sky,0.0041991825296816
footage,0.0041048469800601005
photo,0.0040805002381349
peter elson,0.004072759297543125
photography,0.00398556326241625
canvas,0.0036804225889767
clouds,0.0035835706462889255
manga,0.00345644094797065
food photography,0.0033602434692458
picasso,0.003346330600449525
lighting,0.0032920601081488
portrait painted,0.0032057113022193502
cyborg,0.003097620726048775
dark,0.003052988646049575
donald,0.00298521895036935
anime,0.0029272167151542503
art smooth,0.002895119079553525
edwardian photograph,0.0028518115142741
artstation hyperrealism,0.002843124949748525
knight,0.0028167687332249663
saitama anime,0.00281286539795735
cat,0.00274353862535435
portrait scifi,0.00271890478271415
gordon,0.002713248326760175
deviantart realistic,0.0026635441542723253
gustav klimt,0.0026250399245500663
cinematic,0.002597211106165275
gundam,0.0025656280786837253
ultra realistic,0.0025556203518067753
art sharp,0.0025163582136376998
fiction film,0.002499506352516925
black,0.002482692152639725
illustrated,0.002482604670077233
unreal engine,0.002464302973045025
movie,0.002451611089504976
cinematic deviantart,0.00239474461515635
illustration art,0.002382779745810425
trending artstation,0.0023076449607682
natural scene,0.0022986394958685753
world photography,0.002263286614290425
scariest looking,0.0022599847502194
century modern,0.0022451916718770155
photograph,0.002206760179421675
intricate details,0.0021840309773850253
comprehensive art,0.0021752601704710254
elf,0.002153469016350675
blinders photography,0.0021156666396338
mila kunis,0.0021134355835969
neuromancer,0.0020758821550359748
landscape,0.002068053965858475
painting deviantart,0.002066405698736
cute fluffy,0.00203107320765025
fantasy art,0.0020099037412295954
deviantart cinematic,0.0020047552382753
style portrait,0.0019963095631217254
dragon,0.0019420770395981
artstation concept,0.0019382689538505
cosmic,0.0019162088194223
skyrim elegant,0.0019135634547954251
pikachu hannah,0.0019087787359833748
dramatic lighting,0.001908057812481075
beautiful,0.0018985510856382
studio ghibli,0.0018630887321412748
sony,0.001826786476914575
robot,0.001818630006096925
castle,0.001756599787333275
city,0.0017375700957383
art trending,0.0017059800677085499
spaceship,0.0017036842486379
bonsai,0.001698087628920225
glamorous sophisticated,0.0016877341603172
matte,0.00168248695416675
painted,0.0016822366776871002
lifelike photorealistic,0.00166843637827465
beneath cherry,0.0016458885086729999
fifth element,0.0016383947107298865
jacket black,0.0016375145861093
uncanny painting,0.00161964871566405
space,0.0016015663561025
frazetta,0.001587109540789225
nerevarine,0.001565770644180375
