keyphrase,mean_abs_shap
abandoned,0.000440042995366836
alien,0.00023792502672965982
alien planet,0.00025726001043760335
android cyborg,7.196516747939802e-06
anime,0.0003358382419996386
anime colors,0.0002463413130027629
anime epic,0.00020567705164194146
armor daedric,5.880855855659084e-06
art,0.0005566274100056085
art artgerm,0.006098926794054794
art city,0.0
art hyperrealistic,0.0001898355030378034
art josan,1.5248367518338838e-06
art lifelike,2.912000254712857e-06
art punk,0.0002030729348887901
art realistic,0.00019599267873293076
art sharp,2581764264.51031
art smooth,0.0003590950365149336
art style,0.0016808801078694589
art thorough,0.00017598843236171915
art trending,0.00019898654720150474
artistic,0.00023909927541731178
artistic painting,0.00017449877116679872
artstation,0.006457923990438255
artstation cinematic,1.1274096922627755e-05
artstation galaxy,0.00024600274803830295
artstation hyperrealism,0.0010373786242464094
artwork,0.006853699587378429
atmospheric lighting,0.0
avant garde,0.00020784100138362326
azores,0.00018284776121887223
azores islands,0.00021428212584902946
beautiful landscape,0.00019111256168677845
beneath cherry,0.0011282751949625346
bjork,0.0
black,1.4393607587320873e-06
body manga,0.00039557435163015586
body portrait,0.00031537548419321884
body shot,0.0
bonsai,0.00021420309431249322
bonsai tree,0.0002090480239911512
bull looking,5.581185550318084e-06
bull modeled,1.957443908134847e-06
butterfly volumetric,1.5063683793989867e-06
camera,0.0023787979605540584
candle butterfly,0.00023513426202304374
candle volumetric,0.00046586622149627846
canvas,0.0013125918003093619
castle,0.00022856259104167914
castle enclosed,0.0
cat,0.0013027503996417456
century,0.00018766510245645814
century modern,6.196287377677229e-05
character portrait,0.0035193452256463576
chris,8.11326254849831e-07
chris foss,0.0
churches domes,0.0
cinematic,0.00028607886642011485
cinematic composition,0.0037737037645116525
cinematic deviantart,5.700692064932086e-05
city,2581764264.5102706
cloud fashion,1.3382550648800066e-05
clouds,0.0015710129516154274
clouds covered,8.024522324265714e-06
clouds girl,0.0
clouds madeira,0.0002287912932079832
collage canvas,0.00024706231712201245
colors,0.00026769597004210136
colossal,0.0
colossal goddess,0.0
comprehensive art,0.00025606426640454
concept art,0.0002328027643910247
contemporary art,0.0001965895314829806
cute fluffy,0.0
cyberpunk,0.009733997162251592
cyborg,0.00021302464120609898
cyborg body,0.0
cyborg bull,0.00013897075678812642
daedric armor,1.6178951359745263e-06
dark,0.0008813600032613191
dark uncanny,0.0005382036379017507
detailed painting,0.00024668572418802374
detailed portrait,0.0001947015775392953
detailed ultra,0.00024118997463623248
details intricate,0.0003882043280740112
detective pikachu,0.0
deviantart,0.00036681260426477304
deviantart hyperrealistic,0.0004174199174414553
deviantart realistic,0.0002887366432067786
digital art,0.0003134848615823992
digital painting,0.0025436056231185507
digital render,0.00022496403045670324
divine,0.0
divine pink,0.0
dog,9.277079537678385e-05
donald,0.0019159841129060638
dragon,0.0002823091608203965
dramatic lighting,0.0
drawing,0.0006648392936739328
dunmer nerevarine,0.0002102017283951217
einstein,0.0019824803581950166
elf,0.00017411666459067417
elson,0.00023117201203101177
emo,0.00016190148998197908
emo punk,0.00029960272794363836
engine,0.0001929915075738496
entries sony,0.00022977622954085632
fantasy art,2.287864364624162e-06
fantasy painting,1.9226335668851194e-06
fantasy style,3.5556692034360215e-06
faroe azores,0.00028127449120402356
fashion clouds,0.0005126937584709493
fiction,0.00037272964249848495
fiction film,0.010037083036402208
fifth element,0.00025576739270659316
film,0.015215665195122335
film neuromancer,0.0007954744932677331
flamingos,9.407106519460551e-07
flowers,3.933963072266955e-06
fluffy,0.0
footage,0.0018650561161004408
forest,0.00026509450545368743
frazetta,0.00026377861091396427
frazetta fantasy,3.8784407232054195e-06
frazetta giger,0.0022476899908742726
futuristic,0.0
garden,0.00020060110632843237
garden intricate,0.00019214700306073156
giant digital,0.00042172638435343973
girl clouds,0.0
glamorous sophisticated,0.0028148912097882123
glimpse universe,0.0009517638772171176
goddess,0.00401226853597091
goddess creative,3.6034880218671016e-06
goddess wearing,0.0
gordon,0.0
goth,0.00019294340735509264
goth emo,0.00024099474645871086
goths,0.0002678022014599288
goths loitering,0.0014931636575119364
gundam,0.0030332075782510425
gundam unreal,0.0002321226618236217
gustav klimt,0.0023483999960424874
hd,0.00020444258109698912
hd goth,0.00024529266311312505
hd painting,0.0004048294968802124
hd unreal,0.0
heavy detailed,0.0010928708716035442
high quality,0.0031017642354773615
hills slavic,1.9610720780714235e-05
himalayan,0.00022070375014585596
himalayan rocksalt,0.0003098896069356216
houses,1.010000103532533e-06
houses built,4.1644420845518166e-05
hyper detailed,0.00016107815988566595
illustrated,0.0005416769490140097
illustration,0.0
illustration art,0.006316728256186782
imposing cyborg,0.0
intricate details,0.0
intricate hyper,0.0002501019248544871
intricate royo,8.198267789489225e-05
intricate volumetric,0.00026318937492734746
josan,8.294620056153205e-05
josan gonzalez,0.0019511994874167134
knight,0.000782133145845088
kylie,2.887679794021247e-06
kylie minogue,2.9717602094188854e-06
lamp,0.00024931425743894076
landscape,0.0021091466691007324
landscape colourful,0.0006697664979818714
lantern candle,0.0003421742477797274
length portrait,0.00016976855454722183
lifelike photorealistic,2.4436880994239156e-06
lighting,0.0008592514983750645
lighting hd,1.1544967701340943e-06
lightning intricate,2.0357002718824517e-06
log houses,0.0002536787110946005
looking camera,1.7060128761748206e-06
low clouds,0.0002363679759497283
madeira faroe,0.0002205743377616985
male dunmer,0.0002593038916022896
manga,0.0024091028106364176
manga illustration,0.00023342614562138627
marble hourglass,3.912573993376103e-06
matte,0.00021724283020336022
matte painting,0.002500481508894087
media collage,0.0002299284649433972
mid century,0.0005442767885848655
minogue,5.630754755423243e-06
mixed media,0.00020884806272612882
modern,4.484727461662334e-05
modern art,6.733261283796773e-06
movie,0.0
movie poster,3.657586082406461e-06
natural scene,0.0068462033794629545
nerevarine,0.00020372122674620796
neuromancer,0.0012376721769061633
oblivion skyrim,3.06013564586311e-06
octane render,0.0
oil painting,9.756891545951779e-05
overcast thunder,0.00024101514675767673
pablo picasso,0.0002446955127929076
painted,3.7267921451254077e-06
painted pablo,0.00023751580116478793
painting,0.012137482622199677
painting aesthetic,0.0
painting artstation,0.004460957175800536
painting beautiful,0.0
painting character,0.000247466017918846
painting chris,0.0
painting deviantart,0.0007622704205487783
painting lurid,0.00024446151519104083
painting lush,0.00022664547591189654
painting peter,0.00022453576307662632
painting ronny,0.0003473801627172654
painting sargent,0.00019718923181036614
painting stalenhag,7.324963542976947e-06
painting unreal,5.2215061864258705e-06
peter,0.0001671781747488285
peter elson,0.0003004099044825576
photo,0.0007549134792832345
photo realistic,0.00024667905938095987
photograph,0.001440089284168023
photograph divine,3.958281263638665e-06
photography,0.0004762182602912187
photography awards,0.00024623826481281905
photorealistic,0.0003060433912663716
photorealistic digital,1.0111414712516534e-06
phyics entries,0.00025303269385721733
picasso,0.0010611911227749763
picasso hair,0.00020539914239456585
