keyphrase,mean_abs_shap
abandoned,0.004576873218028669
alchemical creatures,0.0023498813029789755
alien,0.004521946249633245
alien planet,0.0003835408751010237
android cyborg,2.6782177092316182e-05
anime,0.0031477514630444433
anime colors,0.00021561049671220842
anime epic,0.006698666084341251
armor daedric,0.001090226140026919
art,0.014409324306153787
art artgerm,0.005157142851608695
art hyperrealistic,0.0002785600946544364
art lifelike,0.001490277189913784
art punk,9.065479773470917e-05
art realistic,0.0004541203307445782
art sharp,0.004982538646910093
art smooth,0.002569959309901547
art style,0.005000420800201492
art thorough,0.0006700396834053147
art trending,0.0026432721289455594
artistic,0.0015902215569717113
artistic painting,0.0020592109973442563
artstation,0.010904270031236757
artstation cinematic,0.00015834421586194072
artstation concept,0.0033699768670053397
artstation galaxy,0.000667346347726548
artstation hyperrealism,0.003451758407071428
artwork,0.006387258267396943
atmospheric lighting,0.0005912733176648182
azores,1.5971464576087222e-05
barbarella,0.0013533972552617977
beautiful,0.0009332902007618859
beautiful landscape,0.002406350328977319
beksinski,0.0015599757297640713
beneath cherry,0.0021015887387810205
bernard simunovic,0.0009546024243680002
bjork,0.0014396550603166791
black,0.0017579878849743969
blinders photography,0.0028806995808534027
body manga,0.0036463670902462065
body portrait,0.0002084295357199372
body shot,8.769738781030374e-05
bonsai,0.0011026661837417046
bonsai tree,0.00018325257705747254
bull looking,0.0
bull modeled,0.0009576286862859757
butterfly volumetric,0.0011256103518581366
camera,0.0009126631351784259
candle butterfly,0.002118239834992313
candle volumetric,0.0008190765220501351
canvas,0.006054196707223453
castle,0.002572864989697479
cat,0.002265416186452105
century,0.001324480200968829
century modern,0.003951679069117615
character portrait,0.004337639301229986
cinematic,0.003583213348868955
cinematic composition,0.004822989566202238
cinematic deviantart,0.0017601396718971536
city,0.0024445376055212257
clouds,0.005678939298204678
clouds madeira,0.0032638068349075356
collage canvas,0.0015212210120555782
colors,0.0023421613140172035
colossal,0.0014223724981127616
colossal goddess,0.0014670688262811715
comprehensive art,0.0033066785032271405
concept art,0.007935880338536382
contemporary art,7.991033850741435e-05
cosmic,0.0012164790815093122
creatures surreal,0.0015609130810940227
cute fluffy,0.0033380045754890244
cyberpunk,0.007897412555901226
cyborg,0.0017108926171062356
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0004480641192722608
dark,0.0038626213606680836
dark uncanny,0.0016543627563609961
detailed painting,0.003481372703878381
detailed portrait,0.0023456551491037496
detailed ultra,0.0028080114730716157
detective pikachu,0.001491590738000835
deviantart,0.004903493407026334
deviantart cinematic,0.001912164885792552
deviantart hyperrealistic,0.0014221202754158822
deviantart realistic,0.0057966278457499305
digital art,0.00880408281799437
digital painting,0.00784267895557427
digital render,0.0002311862646629433
divine,0.0005119587906049869
divine pink,0.00045205286073505044
dog,0.002077662727196208
donald,0.0033179899821780936
dragon,0.0013142580987926345
dramatic lighting,0.003734694724743485
drawing,0.003309771746543056
dunmer nerevarine,0.0004447337440819548
edwardian photograph,0.0026663227189582966
einstein,0.005890985694824304
elf,0.0027768844087891547
elson,0.0014526037154185302
emo,0.00033044542693206914
emo punk,0.0010454210353862809
engine,0.0017305237000854008
entries sony,0.0019890592369383306
fantasy art,0.003775369473028052
fantasy painting,0.0011104168395000967
fantasy style,0.00019974472735627012
faroe azores,0.0016538933966668743
fiction,0.00030740062864437954
fiction film,0.006808046570266586
fiery alchemical,0.0015754064787317603
fifth element,0.00329220322924684
film,0.007276392219780724
film neuromancer,0.004045289118571872
flamingos,0.0002603604642132996
flowers,0.0009016524904924457
fluffy,0.0024361376714149828
food photography,0.0029490432117246605
footage,0.005408389061755102
forest,0.00401418205529422
frazetta,0.0011177326108885142
frazetta giger,0.00042752295302440506
futuristic,0.002231206718225913
garden,0.0009806391284831043
garden intricate,0.001681220626126019
giant digital,0.0010918101822559145
glamorous sophisticated,0.003259541803504166
goddess,0.0038253136427246035
goddess creative,0.0020955501297533694
gordon,0.002072140889982637
goth,0.003778743950119707
goth emo,0.001495523272429988
goths,0.0007668775444510921
goths loitering,0.002448178830038533
gundam,0.003261456338408556
gundam unreal,0.00011843163471985273
hd,0.0032152159440989136
hd goth,0.0030945895065566478
hd painting,0.0008175645007459087
hd unreal,0.0008331221022965774
headshot edwardian,0.0019617427934646337
heavy detailed,0.004736341839037089
high quality,0.0030291686455297755
himalayan,0.0013353369850846975
himalayan rocksalt,1.8478812361102806e-05
houses,0.0019935530613505617
houses built,0.002837624192571267
hyper detailed,0.003831670534893638
illustration art,0.008273377879417456
imposing cyborg,0.00010718424114256659
intricate details,0.0015884510059401289
intricate hyper,0.0020552952564387114
intricate royo,0.00045238303483301104
intricate volumetric,0.0007753381062339641
jacket black,0.002230113913819555
josan,0.003207441248595244
josan gonzalez,0.0009361960719476273
kylie,0.0019033299454564163
kylie minogue,0.0012395071403572336
lamp,0.0009308868597178647
landscape,0.004658939359343098
landscape colourful,0.003612766005144728
lantern candle,0.0008692781395198845
length portrait,0.0017880581251455436
lifelike photorealistic,0.0012878131532177695
lighting,0.004213235664435978
lightning intricate,0.001305182511222726
log houses,0.002355274081889294
looking camera,0.0006430245192037631
low clouds,0.0002407163908137319
madeira faroe,0.0014243592369706322
male dunmer,0.0005440196591070775
manga,0.008302827400506326
manga illustration,0.0015961689202397672
marble hourglass,0.002708661396164876
matte,0.006849150078738093
matte painting,0.0045139120477875215
media collage,0.0002782330309844184
mid century,0.0063406099193914454
mila kunis,0.00223934085496441
minogue,0.0010432897449899477
minogue barbarella,0.0013886985576907521
mixed media,0.0007774546098018227
modern,0.002185940460702993
modern art,0.0007416001756655951
movie,0.004967374216819086
movie poster,0.002342930892935069
natural scene,0.004330470076593839
nerevarine,0.0021667231602043907
neuromancer,0.004484073076987081
oblivion skyrim,0.0004977318910841053
octane render,0.0010306955515717042
oil painting,0.005084674703463115
overcast thunder,0.0014814658489281955
pablo picasso,0.0001241324531300041
painted,0.0008690184365155554
painted pablo,3.687737907255294e-05
painting,0.029624312959803945
painting aesthetic,0.001160040320859622
painting artstation,0.008220971134346855
painting beautiful,0.0015424701530457445
painting character,2.746513077565446e-06
painting deviantart,0.0005479486892670084
painting lurid,0.0005621851442207424
painting lush,0.00025659280493119753
painting peter,0.003120718268992389
painting ronny,0.0016194536211490075
painting sargent,0.002128198405937959
painting stalenhag,0.004763153611549634
painting unreal,0.0021500106339408884
peter,0.0009354200346768497
peter elson,0.00862282252781272
photo,0.0063631014700485
photo realistic,0.0009910195840205046
photograph,0.0025496768902553463
photograph divine,0.00018919355938688684
photography,0.005420194747127738
photography awards,0.0011488306910358741
photorealistic,0.0056776220319865
photorealistic digital,0.0015770105594841374
phyics entries,0.0002616505187746213
picasso,0.0035874602186482998
picasso hair,0.0008753497082029443
pikachu hannah,0.00210825908060892
pink bonsai,0.0007949164024137619
pink flamingos,0.00020122042440257144
pixar,0.0030009684200980615
pixie cut,0.00010275109760399472
portrait,0.03407715008221379
portrait extremely,0.0011504869066804395
portrait intricate,0.002435749162524907
portrait male,4.277153953673572e-06
portrait painted,0.011504421350300142
portrait painting,0.010069893346730915
portrait photograph,0.000803957020184854
portrait sabouts,0.0014052712577687708
portrait scifi,0.001358220539367883
punk art,0.00010663817810449281
punk portrait,0.0012801870882772962
puppy,0.0015064781543998875
puppy sitting,0.001700661497635551
realistic cinematic,0.0014134349467266772
render hyperrealist,0.0025787502637528137
robot,0.0018751387806548085
rocksalt lamp,0.00014555749004283662
room,0.0018750623464215074
rpg portrait,0.002952027751448339
ruins,0.0005925187402845248
runway,0.0027078986267459154
saitama,0.007025451866150438
saitama anime,0.0018527929295393878
scariest looking,0.002593480083417292
scene,0.005939678508751249
scene science,0.003715547075087823
science,0.0017280058650866819
science fiction,0.0011158636582444205
screenshot,0.0019709321688537442
shade talking,0.00010644084821059398
sitting snowy,0.0033265053319608833
sky,0.0014182615394347374
skyrim elegant,6.693270484397958e-05
snowy,0.001841475261403348
sony,0.0016366534670578658
sony world,0.0015406285204692923
space,0.002116863530110799
spaceship,0.0006958848957175382
starmaker,0.0011418196714781947
starmaker matte,0.0003747520232586932
stars,0.0005377683880441805
statue,0.0009621201064130765
