keyphrase,mean_abs_shap
abandoned,0.00382262551550205
alien,0.002335228554629116
alien planet,0.0005984418782751678
android cyborg,0.00021635409305160796
anime,0.0021243151677283693
anime colors,0.00026923853259910435
anime epic,0.0013193942224662915
armor daedric,0.001018006880424667
art,0.0053964167189251774
art artgerm,0.005797368447482479
art city,0.0009884522488590505
art hyperrealistic,0.0010203126578236374
art josan,9.1035879494937e-05
art lifelike,0.0006923302953794889
art punk,0.0008269736679759405
art realistic,0.00037490126677053683
art sharp,0.00253971660295869
art smooth,0.00118636312132655
art style,0.0023151410154109327
art thorough,0.00010809180989967528
art trending,0.0006335683719669823
artistic,0.000559096098720245
artistic painting,0.0011882708933496824
artstation,0.007978515528232383
artstation cinematic,0.0001749271754051775
artstation galaxy,0.0007380071159212528
artstation hyperrealism,0.0018931188332343188
artwork,0.00496339525074976
atmospheric lighting,0.0003633022168860713
avant garde,0.0007092126870968548
azores,0.0008343399289935198
azores islands,0.0005025395997647427
beautiful landscape,0.0004362893461460083
beneath cherry,0.0027019967540714285
bjork,0.0018505334094995668
black,0.0010532362461613488
body manga,0.0012840974220741225
body portrait,0.0016557655726478506
body shot,0.000244712484167395
bonsai,0.001862618676747373
bonsai tree,0.0011260553687293545
bull looking,0.00020398381146561264
bull modeled,0.00027388706963915843
butterfly volumetric,0.0002915007826818798
camera,0.0010893132832894092
candle butterfly,0.0013649306730709034
candle volumetric,0.00023982607798878175
canvas,0.0031680414369466003
castle,0.0016302092091189826
castle enclosed,5.937220021470727e-05
cat,0.0027751287726828265
century,0.0011301799569700178
century modern,0.0017608831142898271
character portrait,0.0014549194108646381
chris,0.0008973864281140001
chris foss,0.0014734400978368251
churches domes,1.575104796425658e-05
cinematic,0.003578485697767844
cinematic composition,0.005630936217128589
cinematic deviantart,0.0001799413422367463
city,0.003743231297845338
cloud fashion,0.0
clouds,0.00182369983892989
clouds covered,0.0002067134466117987
clouds girl,0.0
clouds madeira,0.0017214490909443466
collage canvas,0.000833776857682943
colors,0.001521225345459515
colossal,0.0015209628173609734
colossal goddess,0.0014462604114878238
comprehensive art,0.00045145055248195086
concept art,0.0025215770089604826
contemporary art,0.0007749095412303152
cute fluffy,0.0012582151601150168
cyberpunk,0.010572312863616111
cyborg,0.0010783300194458466
cyborg body,0.00021051350808869705
cyborg bull,0.0002312147137527753
daedric armor,0.0009550058633492268
dark,0.0023581754367371743
dark uncanny,0.0018982287981653182
detailed painting,0.0023294240740459196
detailed portrait,0.0009822538643864875
detailed ultra,0.0017371139451845374
details intricate,0.000818618619038456
detective pikachu,0.0002660856989032193
deviantart,0.0022858592986578436
deviantart hyperrealistic,0.0012029942875293157
deviantart realistic,0.0028440569946465077
digital art,0.0027785694998170617
digital painting,0.011055592752358852
digital render,0.0006424359390714695
divine,0.00019088747084016673
divine pink,0.00019737089152082818
dog,0.0007031915668195286
donald,0.0013293679615134111
dragon,0.002082336023348855
dramatic lighting,0.0013871105131927097
drawing,0.0025643261065263125
dunmer nerevarine,0.001201487379222384
einstein,0.005776453973657467
elf,0.002041976398330156
elson,0.0008159957953625261
emo,0.0001035086780981076
emo punk,0.0010876521523498122
engine,0.000939449445787218
entries sony,0.0008091825474222238
fantasy art,0.003126418290930714
fantasy painting,0.0014381244529148524
fantasy style,0.0006800305920293251
faroe azores,0.0010089991802706099
fashion clouds,0.0011216215758173033
fiction,0.0006991850081227868
fiction film,0.005619056861260316
fifth element,0.0014386606977047172
film,0.01135491716881583
film neuromancer,0.0018953865681855487
flamingos,0.0001819778778572959
flowers,0.0019466500080618618
fluffy,0.0012549517643233063
footage,0.0028259750393429617
forest,0.0009915825567204666
frazetta,0.00017024257108724257
frazetta fantasy,0.000743002560285884
frazetta giger,0.0023474938180809216
futuristic,0.001128282618982288
garden,0.0006064935702230371
garden intricate,0.0010784792654046102
giant digital,0.001449352751640048
girl clouds,2.6293444607391933e-05
glamorous sophisticated,0.001814560270683294
glimpse universe,0.0027840323966490037
goddess,0.0018323582665376661
goddess creative,0.0010665489871665127
goddess wearing,0.000440821444807102
gordon,0.001721564177794609
goth,0.001790355118349541
goth emo,0.0006887203768069184
goths,0.00015264499823702728
goths loitering,0.0025017546306596253
gundam,0.0017108995857905386
gundam unreal,5.4024472080581417e-05
gustav klimt,0.0039159832393047215
hd,0.001701543479874663
hd goth,0.0011749382814696312
hd painting,0.0024984190539370237
hd unreal,0.001308003447639406
heavy detailed,0.0006918242940451765
high quality,0.005722626486725724
hills slavic,0.0
himalayan,0.0012747877447881913
himalayan rocksalt,4.245056439623237e-05
houses,0.0006442308728622731
houses built,0.000614851335470763
hyper detailed,0.0022676093586537125
illustrated,0.0018086973991957005
illustration,0.0011483562637710013
illustration art,0.0053631619811832405
imposing cyborg,0.00015952505979822192
intricate details,0.0009636947163002188
intricate hyper,0.001169938847980217
intricate royo,0.0011654976980687828
intricate volumetric,0.0003166058345019279
josan,0.0015482830478345322
josan gonzalez,0.0016288263283255632
knight,0.00518812799609642
kylie,0.0005946430752349646
kylie minogue,0.0004908167368325654
lamp,2.9871882769739956e-05
landscape,0.003840986274815171
landscape colourful,0.0017870996163724866
lantern candle,0.00098166729215024
length portrait,0.0009730857152488797
lifelike photorealistic,0.0006696461245063776
lighting,0.003724479715810059
lighting hd,8.502582419442913e-05
lightning intricate,0.0009510092106630749
log houses,0.0006717585739613942
looking camera,0.00030614150727778386
low clouds,0.0009404449123225279
madeira faroe,0.00024357920645304686
male dunmer,0.0013331370405906878
manga,0.004684723968705579
manga illustration,0.0007777402772242375
marble hourglass,0.0005958053854701183
matte,0.003065995607980272
matte painting,0.003937347287333398
media collage,0.0009241482568152216
mid century,0.004374390088578002
minogue,0.0004450392138269122
mixed media,0.001268002224580741
modern,0.0018945138605738212
modern art,0.0014563771156764823
movie,0.0028268878379183434
movie poster,0.0009892677976344277
natural scene,0.002410872345917882
nerevarine,0.0009955492465166685
neuromancer,0.002105164996729616
oblivion skyrim,0.0009411756432026877
octane render,0.0007228090426202984
oil painting,0.00288179909219508
overcast thunder,0.0015555557648569511
pablo picasso,0.0012171012440776424
painted,0.0009414152624191893
painted pablo,0.001362541332796801
painting,0.02074716789827062
painting aesthetic,0.0012466618098782294
