keyphrase,adjusted_mean_shap
beneath cherry,21736303232.428238
armor daedric,21736303232.426853
portrait,19127223976.559147
deviantart hyperrealistic,19127223976.51613
city,645441066.1296182
art sharp,645441066.1294719
painting,0.023582450203931023
film,0.01413894647340245
cyberpunk,0.0110739069288524
fiction film,0.008621687088215224
artstation,0.008191452026191426
art,0.0071340686142913005
illustration art,0.006840270848721799
surreal,0.006719974433308675
digital painting,0.006628269214994725
natural scene,0.006297090756557325
artwork,0.005910925722362551
art artgerm,0.005902981642608325
scene,0.005251230446294676
manga,0.005003010053645275
cinematic composition,0.0049765519568032
portrait painted,0.004911605098281775
photography,0.00488196013150525
painting artstation,0.004742708804675849
photo,0.004497389955225775
high quality,0.004126749860664975
matte painting,0.0041098411981493254
einstein,0.004032436624066301
goddess,0.00380627385854265
canvas,0.003764652054720875
style portrait,0.00352532182779595
uncanny painting,0.00350499062385305
gustav klimt,0.0034359042092428995
unreal engine,0.003412366282738
photorealistic,0.0033953857342298496
mid century,0.00339356087719875
footage,0.003384628871656175
artstation concept,0.0033699768670053
sitting snowy,0.0033265053319608
digital art,0.0033202233500571
concept art,0.003278030169343725
landscape,0.0032409435380722
peter elson,0.0032234882194488255
clouds,0.0032151063680283753
character portrait,0.003097331785941225
art style,0.003088647633350775
portrait painting,0.0030298240419511253
glamorous sophisticated,0.0030151067854665248
food photography,0.0029490432117246
blinders photography,0.0028806995808534
matte,0.0028551684778708245
picasso,0.0028140420804092753
movie,0.002800797135816725
abandoned,0.0027699936084160503
lighting,0.00271683048628025
deviantart,0.0027011523962726753
alien,0.002696095751831725
trending artstation,0.002689995236103925
edwardian photograph,0.0026663227189582
photograph,0.0025955521473871247
scariest looking,0.0025934800834172
knight,0.002583209959631133
deviantart realistic,0.0025607370537064503
gundam,0.002523993673325075
donald,0.0024806573034026
dark,0.0024642315551200496
oil painting,0.0024126499068748797
drawing,0.0023682878232536503
alchemical creatures,0.0023498813029789
anime epic,0.0022751651142318753
cat,0.00226032937527115
neuromancer,0.0022557594610698997
saitama,0.00224900971824985
cinematic,0.002244330479604675
painting deviantart,0.0022422744919108
mila kunis,0.0022393408549644
jacket black,0.0022301139138195
fantasy art,0.002163433494199956
heavy detailed,0.0021485453321386
frazetta giger,0.0021298008103633
painting stalenhag,0.002110461011773694
goths loitering,0.002067540159335725
anime,0.002022718872039575
film neuromancer,0.0019820296998477997
headshot edwardian,0.0019617427934646
vallejo frazetta,0.0019455235952048498
ultra realistic,0.0019217454087765752
deviantart cinematic,0.0019121648857925
world photography,0.0019058176394553248
scene science,0.0018909474914276998
landscape colourful,0.001884581395056225
room,0.0018750623464215
surreal concept,0.0018722595632395854
hyper detailed,0.0018467037116176501
snowy,0.0018414752614033
surreal glimpse,0.0018377874823634333
glimpse universe,0.0018152545779533
artstation hyperrealism,0.00180763979108205
pixar,0.00180717684714095
steampunk,0.001768533044427025
dramatic lighting,0.0017222288351862749
detailed painting,0.001720356966212875
century modern,0.001718338275632543
surrealism,0.0017158650400689907
puppy sitting,0.0017006614976355
goth,0.00168398823622595
forest,0.00168040175731775
hd,0.001650750878975725
elf,0.0016486701751285751
castle,0.001637162224797475
detailed ultra,0.0015977038264057002
camera,0.0015770606839323998
fiery alchemical,0.0015754064787317
creatures surreal,0.001560913081094
beksinski,0.001559975729764
cyborg,0.0015477690373090999
fifth element,0.001531218999736575
clouds madeira,0.00151152783907025
body manga,0.00145332617005175
uncanny,0.001448703779714
josan gonzalez,0.001434012071059425
tracing artstation,0.0014327894680478748
rpg portrait,0.0014310741765824501
sky,0.0014182615394347
saitama anime,0.0014176164565461499
portrait scifi,0.0014174353906068
realistic cinematic,0.0014134349467266
cute fluffy,0.001402637193723
dragon,0.001400753133476225
sony,0.0013961943200923748
dark uncanny,0.001389666295450025
minogue barbarella,0.0013886985576907
modern,0.0013843066429904058
josan,0.001370543858606083
barbarella,0.0013533972552617
hd painting,0.001345290276652675
illustrated,0.0013435171912512002
ufo,0.0013368936557634499
comprehensive art,0.001332310392483575
space,0.001296438001430675
hd goth,0.001270457134224
art smooth,0.001269379649671575
cosmic,0.0012164790815093
painting sargent,0.0011986117923595751
colors,0.001192439019201925
log houses,0.0011697464191728
dog,0.0011639962365015458
houses built,0.0011627506940509295
painting peter,0.001159682519988425
fluffy,0.001156880326992025
intricate details,0.001150320689858675
art trending,0.0011327834211500999
gordon,0.001119918886678825
painting unreal,0.0011178370452933064
painting ronny,0.0011134081146979
detailed portrait,0.0011075315680973501
surreal dark,0.0010925445363796
candle volumetric,0.0010577747546387751
wallpaper,0.00104510577693355
black,0.0010310298665206579
intricate hyper,0.0010310041264911252
science fiction,0.00102891651786675
movie poster,0.0010240150323040766
