keyphrase,mean_abs_shap
abandoned,0.0
alien,0.00018981164945731043
alien planet,0.00013425060460501233
android cyborg,0.00013752159235563317
anime,0.0002862971385278621
anime colors,0.0001626798993435681
anime epic,0.0001336743705268559
armor daedric,0.00012901849638949893
art,0.0005692142655324678
art artgerm,0.00017275169125491628
art city,0.0
art hyperrealistic,2.407806725850208e-06
art josan,0.0001445941661978555
art lifelike,0.0001390669932090537
art punk,0.0
art realistic,0.00022645838154101598
art sharp,1.204091524547708e-05
art smooth,0.00018380365059483274
art style,0.0012809128790135533
art thorough,0.00015031627876709212
art trending,0.0
artistic,0.00012504423367849473
artistic painting,0.0001587428066497739
artstation,0.0021005863295605067
artstation cinematic,1.2205114707274982e-07
artstation galaxy,0.00018035521562814166
artstation hyperrealism,0.0
artwork,0.006719230710872048
atmospheric lighting,0.00017537357051444048
avant garde,0.00016147003082073787
azores,0.00185523764821342
azores islands,0.0
beautiful landscape,0.0002126582268774757
beneath cherry,0.000159654638660606
bjork,0.000271557593768931
black,0.004488773961353162
body manga,0.00015754979364910959
body portrait,0.0005222878635856153
body shot,0.00013156231850191925
bonsai,0.00014876578822712458
bonsai tree,0.0007209864531144115
bull looking,0.00017574009873457097
bull modeled,0.00012680715364175385
butterfly volumetric,0.0
camera,0.002144134397037834
candle butterfly,5.705937001177581e-05
candle volumetric,0.0001358457029357815
canvas,3.1640520962114925e-06
castle,0.0006114136757360861
castle enclosed,2.2035778312163197e-07
cat,0.0003442676542522704
century,0.00018069668338825188
century modern,0.0002762193666734076
character portrait,0.0010536151626519752
chris,0.0002104308195033892
chris foss,1.308958543846535e-06
churches domes,1.9885433858760255e-05
cinematic,0.0003097342960707347
cinematic composition,0.00037906872416026543
cinematic deviantart,0.0
city,0.0
cloud fashion,0.0
clouds,0.0019289491557837478
clouds covered,0.0
clouds girl,2.676871952072359e-06
clouds madeira,0.0
collage canvas,0.0
colors,0.00014414004578583916
colossal,0.00023628326951370882
colossal goddess,0.0006902231586431321
comprehensive art,0.00031211720409786973
concept art,0.00032243962758720626
contemporary art,0.0
cute fluffy,0.002383979141249014
cyberpunk,0.00019590957784970537
cyborg,0.000173301669703514
cyborg body,0.00016339140736364806
cyborg bull,0.00015508652275025693
daedric armor,0.00014133952923836966
dark,6.9096947688272706e-06
dark uncanny,0.0001507005816192957
detailed painting,0.00011529427617276518
detailed portrait,4.4952194134008073e-07
detailed ultra,0.008129541297788118
details intricate,0.0
detective pikachu,0.0
deviantart,0.00013661134855741058
deviantart hyperrealistic,0.0
deviantart realistic,0.0016840252399487274
digital art,0.00025332109447481684
digital painting,0.0005610954313980129
digital render,0.00019467135711274594
divine,0.0
divine pink,0.0
dog,2.52149262411424e-06
donald,0.0
dragon,3.0808261395497446e-06
dramatic lighting,8.105194881126794e-05
drawing,0.003428470469158606
dunmer nerevarine,0.00015055055819041254
einstein,0.0004635727701697591
elf,0.0008512589820641734
elson,0.004325377593358525
emo,0.0004373458422463912
emo punk,2.755268414881956e-06
engine,0.0002566942660857221
entries sony,0.0002676927228188872
fantasy art,0.0003128696696229213
fantasy painting,0.00031973613615059627
fantasy style,0.00014200435014003328
faroe azores,1.725615316914607e-06
fashion clouds,0.00016042614309753743
fiction,0.000135392464489792
fiction film,0.005142701483724589
fifth element,0.0012657225118698308
