keyphrase,mean_abs_shap
abandoned,0.002250081705136301
alchemical creatures,0.00044107596116875063
alien,0.0019112700532048935
alien planet,0.0011674455383206923
android cyborg,0.001805132928489751
anime,0.0040131631335024055
anime colors,6.197987974431299e-05
anime epic,0.002560086561032972
armor daedric,0.0005180808729813289
art,0.01715845542562941
art artgerm,0.004317508343359093
art hyperrealistic,0.000203622455030494
art lifelike,0.0019053982387004641
art punk,0.00026212080981202914
art realistic,0.002181088126373649
art sharp,0.003364381987172257
art smooth,0.0025911610300874037
art style,0.0064315523676235775
art thorough,0.0010359207636311152
art trending,0.0006499632786930227
artistic,0.00196427968087451
artistic painting,0.002517858331668307
artstation,0.0088851065468446
artstation cinematic,0.000842117331007625
artstation concept,0.004212631805267038
artstation galaxy,0.00024441671657307216
artstation hyperrealism,0.0004904512825270361
artwork,0.004085097340417022
atmospheric lighting,0.0009277700123362078
azores,0.0026237288188060096
barbarella,0.001661790877930781
beautiful,0.0024190705128810178
beautiful landscape,0.001481523584396564
beksinski,0.001030376536553443
beneath cherry,0.0022032404633236073
bernard simunovic,0.0003969593685964112
bjork,0.0005657695389522476
black,0.010406575231398743
blinders photography,0.0016416312132175015
body manga,0.0050645838170726406
body portrait,0.0003470974801093937
body shot,0.001363320535668189
bonsai,0.00425263988898809
bonsai tree,0.0014483233797186375
bull looking,0.0015232296254605393
bull modeled,0.001009763176828062
butterfly volumetric,0.0013585790899379457
camera,0.0028173126190103007
candle butterfly,0.0003131957982407085
candle volumetric,0.0004416679136482442
canvas,0.0003019622970206468
castle,0.0018385994008779886
cat,0.0027693831493288286
century,0.0009008880916980182
century modern,0.002441990796747078
character portrait,0.0015718832561232407
cinematic,0.006859735752944933
cinematic composition,0.004048148046344189
cinematic deviantart,0.0019062358395567417
city,0.0020777411673069345
clouds,0.0038704954132275046
clouds madeira,0.0014336234199938314
collage canvas,0.00016157464203095376
colors,0.0036872736952814713
colossal,0.0038943506091937783
colossal goddess,0.002379789750887208
comprehensive art,0.001221468701112631
concept art,0.007843913947115921
contemporary art,0.0
cosmic,0.0012015706127205805
creatures surreal,5.8083186598738366e-05
cute fluffy,0.0029590424428220905
cyberpunk,0.0075906285043738945
cyborg,0.0027057489858647696
cyborg body,0.0020345400309032396
cyborg bull,0.0023090818735739004
daedric armor,0.0013415128547482915
dark,0.0018761875214618551
dark uncanny,0.0021212727304333813
detailed painting,0.004195295433428392
detailed portrait,0.008327281325515627
detailed ultra,0.004722791604254614
detective pikachu,0.0017080401373818486
deviantart,0.005135750551588101
deviantart cinematic,0.0012280142302290465
deviantart hyperrealistic,0.0014104289330115723
deviantart realistic,0.005017686799065543
digital art,0.0050495533218642315
digital painting,0.007837780942320682
digital render,0.0011693259950515257
divine,0.0027320033751503346
divine pink,0.0014052244940045997
dog,0.002387153502610272
donald,0.0013753648739226818
dragon,0.0027809312275114424
dramatic lighting,0.0014913249535789149
drawing,0.004928629314936049
dunmer nerevarine,0.0017482717450992952
edwardian photograph,0.0005511838118408553
einstein,0.003244415767661879
elf,0.0014182017080117439
elson,0.00540967370794449
emo,0.0028877230672709393
emo punk,0.00046328724267684417
engine,0.0018229819305801585
entries sony,0.002604397634412726
fantasy art,0.007344869350669315
fantasy painting,0.0012140076101737234
fantasy style,0.00042567715920168814
faroe azores,0.00025446358882937704
fiction,0.0002574456357156242
fiction film,0.008337240023741881
fiery alchemical,0.00039125822783553436
fifth element,0.003022148224707339
film,0.004886558563399354
film neuromancer,0.0002474310550675069
flamingos,0.001490573512104383
flowers,0.005500970576918871
fluffy,0.0008863325761974253
food photography,0.003422522341575227
footage,0.001331577769181627
forest,0.0034096805725310677
frazetta,0.0013218405321898674
frazetta giger,0.0025430272870107886
futuristic,0.00172804045904109
garden,0.001831212184749578
garden intricate,0.0005582712624949915
giant digital,0.0025347673096956093
glamorous sophisticated,0.0051248477028153815
goddess,0.004805821775291321
goddess creative,8.233351326900759e-05
gordon,0.006501906309070889
goth,0.0010740885111736492
goth emo,0.0005709785684991152
goths,0.0015563443591795512
goths loitering,0.0013528759592655345
gundam,0.00457451794828244
gundam unreal,0.0019121363165700727
hd,0.003253071587026896
hd goth,0.00040205806715964206
hd painting,0.0016309734161721102
hd unreal,0.0013070340057242235
headshot edwardian,5.704513264539793e-05
heavy detailed,0.0015292546955899893
high quality,0.003865559021281887
himalayan,0.00261741747287443
himalayan rocksalt,0.001367887565985569
houses,0.0019811925682603677
houses built,0.00046469332702001693
hyper detailed,0.00772293369442449
illustration art,0.01428584508239241
imposing cyborg,0.0015149832294982938
intricate details,0.002360915115436964
intricate hyper,0.0029564048276192207
