keyphrase,mean_abs_shap
abandoned,0.0023508673126182017
alien,0.0018153621572809997
alien planet,2.3659382024675062e-05
android cyborg,1.9980800661169646e-05
anime,0.002597924863975274
anime colors,3.487033627614084e-05
anime epic,4.8944752771671e-05
armor daedric,4.175024691051104e-05
art,0.007189065560560103
art artgerm,0.0022812503201829273
art city,0.000721812111230147
art hyperrealistic,0.0006727433633974844
art josan,8.731686153428256e-05
art lifelike,0.000661917755821097
art punk,0.0010359107065189789
art realistic,0.0013067278800723376
art sharp,0.0012034870468046136
art smooth,0.001331116116433547
art style,0.0044641831360189696
art thorough,0.0008503501805068659
art trending,0.0007531502248166014
artistic,0.0007390407788619246
artistic painting,0.0006011233870221692
artstation,0.004537246969197323
artstation cinematic,0.0011305538661884136
artstation galaxy,0.0010851150353810238
artstation hyperrealism,0.00011152644309227823
artwork,0.0069003457499885925
atmospheric lighting,4.917224804475985e-06
avant garde,0.0014286337388128543
azores,0.001699839226525502
azores islands,7.975238572528859e-05
beautiful landscape,1.0153606338349303e-05
beneath cherry,0.00017390974524894709
bjork,0.0004043758559074272
black,0.03488268733509554
body manga,0.0006824666337188859
body portrait,0.0009912847765731
body shot,3.8549628266465585e-05
bonsai,0.0006037728172626183
bonsai tree,0.0013064445382115954
bull looking,0.0
bull modeled,4.761994364943658e-05
butterfly volumetric,1.545196753026791e-05
camera,0.005691396477158818
candle butterfly,5.38719381111764e-05
candle volumetric,0.0005570469128132818
canvas,0.00011369263384451914
castle,0.0021941328532760276
castle enclosed,0.0
cat,0.0006940239912366477
century,0.0002490133572222458
century modern,0.002730172384055624
character portrait,0.0033676719771143287
chris,0.0008118273865319711
chris foss,0.00017261098328822446
churches domes,0.0
cinematic,0.002669410486000231
cinematic composition,0.0026860770532217155
cinematic deviantart,0.0008850752018372655
city,0.0028159714689887498
cloud fashion,0.0006345666200430379
clouds,0.003306933708359063
clouds covered,0.0007288897795236947
clouds girl,0.0007241964450339075
clouds madeira,0.0013060942522324934
collage canvas,0.0006233483357290081
colors,0.0008982115790215089
colossal,0.0009703128699930572
colossal goddess,0.001210832466003107
comprehensive art,0.001128999761376935
concept art,0.006136780765372446
contemporary art,0.0005980907230948156
cute fluffy,0.004052675551568651
cyberpunk,0.0019458595582355883
cyborg,0.0007153432880749463
cyborg body,0.0
cyborg bull,7.101071430056111e-05
daedric armor,0.0002064893790234127
dark,0.001250915930102362
dark uncanny,0.0017845211060585502
detailed painting,0.0010255491320433274
detailed portrait,0.0007320106093361272
detailed ultra,0.005513677694986337
