keyphrase,mean_abs_shap
abandoned,0.001432006819433436
alien,0.0017453206547861006
alien planet,0.0001249531106220724
android cyborg,0.000224299240402759
anime,0.0017031512337518427
anime colors,0.0008661400742379114
anime epic,5.2673100007736544e-05
armor daedric,0.0009735890532082644
art,0.010545470703702119
art artgerm,0.0020305692067859246
art city,0.00014477636836116248
art hyperrealistic,0.0010033399142094063
art josan,0.0007500979880396046
art lifelike,0.00011470426748822439
art punk,0.0008018615883128778
art realistic,0.001113999023275919
art sharp,0.0016672143776599012
art smooth,0.00033162639038378494
art style,0.004725868547098161
art thorough,0.0008143139849734481
art trending,0.0011201469032095983
artistic,0.0008803868920846446
artistic painting,0.0008935334800086482
artstation,0.0042567226303731965
artstation cinematic,0.0012664950682957415
artstation galaxy,0.0008541503239941141
artstation hyperrealism,0.0014056317013439441
artwork,0.008031730608507953
atmospheric lighting,0.0011390724441796723
avant garde,0.0005899070239369561
azores,0.0028131180694676845
azores islands,0.0005664752088693527
beautiful landscape,3.6352820899060716e-05
beneath cherry,0.00038640764649800483
bjork,0.0016950527965366195
black,0.007454893995608942
body manga,0.001753422755617417
body portrait,0.0014896710098159032
body shot,0.00023396723782515122
bonsai,0.0021343301597605184
bonsai tree,0.001132284135731215
bull looking,0.00023831309823410882
bull modeled,0.0002012939675000107
butterfly volumetric,0.00024069950749942357
camera,0.0017830685273476509
candle butterfly,9.159901925506475e-05
candle volumetric,0.0010087943898612784
canvas,5.29926516735781e-05
castle,0.0009846141860642263
castle enclosed,1.9609082596518937e-05
cat,0.0005241075898596612
century,0.0005187349526727936
century modern,0.0017870033190692824
character portrait,0.0016091408123055238
chris,0.001509314295896381
chris foss,0.000727854756479843
churches domes,4.0768088531301823e-05
cinematic,0.003154355220688808
cinematic composition,0.003829395913311133
cinematic deviantart,0.0011147006011033448
city,0.0016181106593035177
cloud fashion,5.835603669038823e-05
clouds,0.002133309904728496
clouds covered,0.00017813596536723686
clouds girl,0.00012064161486890273
clouds madeira,0.001566559862055485
collage canvas,0.0005807073902481233
colors,0.0013698221937166316
colossal,0.0011251875009702264
colossal goddess,0.0008569164876200266
comprehensive art,0.00182666278581795
concept art,0.004178849485500661
contemporary art,0.0005988700376545594
cute fluffy,0.005509095919951365
cyberpunk,0.0019139278415197256
cyborg,0.0004713358077164792
cyborg body,0.00022389935819352544
cyborg bull,0.0001379593432216546
daedric armor,0.0011001921683352024
dark,0.0015299786623464544
dark uncanny,0.00257801808608996
detailed painting,0.0026269821046773253
detailed portrait,0.001090322943825592
detailed ultra,0.004062207985843501
details intricate,0.0009061007958545397
detective pikachu,0.0013982413349966276
deviantart,0.0016795667186721309
deviantart hyperrealistic,4.9241316541835575e-05
deviantart realistic,0.004576627054874082
digital art,0.006167768750973051
digital painting,0.003271668049111101
digital render,0.00012530971248174002
divine,0.00020670107135450856
divine pink,0.0008559491378710176
dog,0.0003514222321544502
donald,0.0005797453359409668
dragon,0.0014727545345459394
dramatic lighting,0.001119535819113468
drawing,0.0061913953177725484
dunmer nerevarine,0.0016897955881665543
einstein,0.00199174721782772
elf,0.0006938921777057922
elson,0.004354070127976898
emo,0.0017226669678552958
emo punk,0.00014804293420737238
engine,0.0012222135345585545
entries sony,0.0013484503580030419
fantasy art,0.00516665307809225
fantasy painting,0.00072347262038109
fantasy style,0.00020549848586691333
faroe azores,0.001083735622456472
fashion clouds,0.0004890873061840665
fiction,0.0007139009293316321
fiction film,0.004406206352009748
fifth element,0.001952140471113991
film,0.006915221454844347
film neuromancer,1.2046670955814767e-05
flamingos,0.001175320370602987
flowers,0.0024453441326125398
fluffy,0.00041370800463037274
footage,0.0002772435712665528
forest,0.0020712133389600676
frazetta,0.0011274726284964363
frazetta fantasy,1.005806916717456e-05
frazetta giger,0.0010355042275864033
futuristic,0.0016560029496566055
garden,0.0013820385987113868
garden intricate,0.0008036684227839049
giant digital,0.0003821652414895018
girl clouds,9.14483185642401e-05
glamorous sophisticated,0.0026611376091436024
glimpse universe,0.0011168361445413175
goddess,0.0003508019205228781
goddess creative,3.867024755970352e-05
goddess wearing,0.000521533475908931
gordon,0.004104930811956134
goth,0.0001685233123534334
