keyphrase,adjusted_mean_shap
painting,41876640388.06306
painting artstation,41876640388.036125
black,0.01430823263086405
portrait,0.011552158483708925
art,0.008865551488856
peter,0.008307311507289375
photography,0.007927067362008676
mid century,0.007776966373447825
fiction film,0.007036896979725576
artwork,0.006434101102446349
illustration art,0.0063947650595286495
painting sargent,0.00613058749504445
uncanny painting,0.0057763376393400005
detailed ultra,0.005607054645718125
manga,0.005165088282629425
drawing,0.0049758222428736495
artstation,0.004944915618993875
surrealism surreal,0.004755236120184625
gordon,0.004712590871847525
film,0.004687487772463525
portrait painting,0.0046615613704665505
elson,0.004654882367426776
concept art,0.004620495956394025
photograph,0.0044739885049439754
digital art,0.00444040721252435
digital painting,0.00440112741505565
art style,0.004225629232438501
artstation concept,0.004212631805267
movie,0.0041567120628124505
oblivion skyrim,0.0037379370243398997
cute fluffy,0.003726198263897725
knight,0.0036977690290672335
mila kunis,0.0036836724455592
deviantart realistic,0.0036771790408472753
fantasy art,0.0035564358325364
food photography,0.0034225223415752
photorealistic,0.003402415898821825
glamorous sophisticated,0.00333037929934925
cinematic,0.00324830893892615
painting stalenhag,0.0032210745011237
gundam,0.0031788255607854247
portrait scifi,0.0031398272442401593
painting beautiful,0.0031341769693289
camera,0.003108978005138625
cyberpunk,0.002911581370494675
lightning intricate,0.002879885401320825
room,0.0028733125925959
painting character,0.002848391025973975
unreal engine,0.0028253395831449
clouds,0.00280992204552465
cinematic composition,0.002735672434259275
spaceship,0.0026787259909845
forest,0.0026718145202180997
hd,0.002597617731252675
wallpaper illustration,0.002561047807279475
detailed portrait,0.002537516100154635
peter elson,0.002535494812667075
photo,0.0025060928326596206
sky,0.0024799595344083
hyper detailed,0.002448671457762425
oil painting,0.002424774347339675
beautiful,0.002419070512881
matte,0.002344604146941875
scene,0.0023442520039217434
puppy sitting,0.0023322605136808
azores,0.002247980940753125
fifth element,0.002240658478317475
statue,0.002208392297930075
flowers,0.002208267370378025
art artgerm,0.0022005198903956753
uncanny,0.0021981815415056
goddess,0.002177673661344825
scariest looking,0.0021622810449359
anime,0.0021501340924393
length portrait,0.002149169246278575
starmaker,0.002130701605346925
landscape,0.0020877022336165062
skyrim elegant,0.002081544028821075
ultra realistic,0.00207573075690485
deviantart,0.002041363994437625
vallejo frazetta,0.00203939317916895
trending artstation,0.002032972917028472
einstein,0.002024460869258725
surrealism,0.0020142376507757747
josan gonzalez,0.0020136022101997
detailed painting,0.0019907802365804
illustration,0.0019849396448667
world photography,0.001950293414662375
high quality,0.0019192000153480503
body manga,0.001914505750014475
portrait painted,0.0019144559553338
character portrait,0.001900577802048725
lighting,0.001894504074744575
volumetric lighting,0.001892465085181675
century modern,0.0018088464666363002
bonsai,0.0017848771635595503
wallpaper,0.0017618661416105251
traits painting,0.0017397266535585
ufo,0.00172326826807625
houses,0.0016941744660212
sony world,0.0016921968914095252
barbarella,0.0016617908779307
dark uncanny,0.001658628126050225
matte painting,0.0016458956935370749
blinders photography,0.0016416312132175
city,0.0016279558238997747
lifelike photorealistic,0.0016259642220560998
emo,0.001612945326362625
art sharp,0.0015617810817205443
surreal,0.00155839819700965
colossal,0.0015565335624176501
surreal concept,0.0015456447808907749
colors,0.001524861878451325
intricate details,0.0015239419186792252
abandoned,0.001508238959296975
intricate volumetric,0.0014927594320779751
sony,0.0014470917462520749
portrait male,0.0014161201604583249
alien,0.001415441128682275
futuristic,0.0014152048671102
castle,0.0014071900289885251
intricate hyper,0.0013998224630633249
steampunk,0.00139534032848605
minogue barbarella,0.0013936054091259
pixar,0.0013773007107263
steampunk himalayan,0.001375197455217825
robot,0.001373081488965325
elf,0.0013694371826923249
photograph divine,0.001364942026099
picasso,0.0013513997654998288
entries sony,0.0013485680551969998
colossal goddess,0.00128444046578835
starmaker matte,0.0012554743236437
hd unreal,0.0012513755834461038
phyics entries,0.0012422783432027
portrait sabouts,0.001232419725747975
deviantart cinematic,0.001228014230229
scene science,0.001224225215562075
rpg portrait,0.0012156717058425751
dragon,0.0012100882777078873
art realistic,0.0012070683528156998
octane render,0.0012031188909595346
cosmic,0.0012015706127205
painting peter,0.0011946608837320395
stars,0.001191714987688325
dark,0.001165997952169832
zdzislaw beksinski,0.0011618866209343
bonsai tree,0.001152009626693925
photorealistic digital,0.0011511826877771414
garden,0.001148397128164175
dunmer nerevarine,0.0011465043489208501
josan,0.00114110464211205
painting deviantart,0.001140765953953252
comprehensive art,0.0011223121131013
manga illustration,0.0011184332197755776
painting ronny,0.0011100800089260251
art smooth,0.00110942679687485
style contemporary,0.001106895866020875
cat,0.0010829455961693
himalayan,0.001077054648917575
clouds madeira,0.0010765693835704001
movie poster,0.0010664039285569608
gustav klimt,0.0010643181908198
fantasy painting,0.001062863507017025
photo realistic,0.0010616892623868251
puppy,0.0010555083820177245
frazetta giger,0.001047933238294675
artistic painting,0.001042814501337175
portrait photograph,0.00104170535724965
saitama anime,0.0010374466424669
beksinski,0.0010303765365534
pixie cut,0.001029016195976425
cyborg,0.001016432437839875
snowy,0.0010006008056992
painting lurid,0.000978018752007375
painted,0.00097653935610995
cinematic deviantart,0.0009765029106243
frazetta,0.0009706692156797
engine,0.0009620647019782
woman,0.0009525762933468249
male dunmer,0.0009519195112662501
kylie,0.0009344374085405153
pink flamingos,0.0009305576645689576
dramatic lighting,0.000928389428964792
ruins,0.0009273861792174
artistic,0.0009271878963748501
detective pikachu,0.000914893510669625
natural scene,0.0009128797019241834
studio ghibli,0.000906181157346175
glimpse universe,0.0009009173156033001
divine,0.0008969943547505
portrait extremely,0.0008956296791949001
rocksalt lamp,0.000881519148598575
surreal glimpse,0.0008637157774005333
runway,0.000858344891051325
chris,0.0008438575006438333
body portrait,0.000837585282520975
