keyphrase,mean_abs_shap
abandoned,0.00030024320733721235
alien,2.3337008745381228e-06
alien planet,0.0
android cyborg,0.00045922288984477666
anime,0.00033728488298476
anime colors,0.0
anime epic,0.0002902490366855207
armor daedric,0.0
art,0.0003966136658050031
art artgerm,0.002864185145536551
art city,0.0002941791951382347
art hyperrealistic,0.0
art josan,0.0
art lifelike,0.0002901911577541445
art punk,0.0
art realistic,3.1972372584966475e-06
art sharp,0.0006379412730297461
art smooth,0.0002704637207306335
art style,0.0003261514963329355
art thorough,0.00034222656624217804
art trending,0.0021340077867267803
artistic,5.404165063936804e-06
artistic painting,6.315719320265161e-06
artstation,0.0005924843606966186
artstation cinematic,0.0008722330065059896
artstation galaxy,0.0
artstation hyperrealism,0.005286899527943044
artwork,0.002750798514242737
atmospheric lighting,8.766334076637995e-07
avant garde,9.844823726915778e-05
azores,9.723923364340812e-07
azores islands,0.0
beautiful landscape,0.0
beneath cherry,4.826340663550687e-06
bjork,0.0
black,0.0004873377588417515
body manga,0.00033706960066613495
body portrait,0.0003971893317213703
body shot,0.00028096119049829757
bonsai,0.0003376801720075545
bonsai tree,0.0003319713017747151
bull looking,0.00039635863900092046
bull modeled,0.0002939459087355789
butterfly volumetric,0.0
camera,0.0003384763029115847
candle butterfly,0.0003192353673144804
candle volumetric,3.387040290476428e-06
canvas,0.001480798906786787
castle,0.00031275447157170074
castle enclosed,471550008741.8306
cat,0.0008021511189416697
century,0.0007968742098887121
century modern,0.000228649215317107
character portrait,0.0003294004360224522
chris,0.0
chris foss,0.0002443226833566535
churches domes,0.00030255865781901207
cinematic,0.0016107942714728494
cinematic composition,0.003930159072217231
cinematic deviantart,471550008741.8307
city,0.004442054605417978
cloud fashion,0.0
clouds,0.0012263634712895448
clouds covered,7.159060980035379e-08
clouds girl,0.0
clouds madeira,0.0010805292641273493
collage canvas,2.8709844100334456e-06
colors,4.851114149277592e-08
colossal,0.0
colossal goddess,0.0
comprehensive art,0.00047628256975475067
concept art,0.00023991102726701594
contemporary art,0.0
cute fluffy,0.0005095499084790857
cyberpunk,0.00038502116999424187
cyborg,0.00023371507547473167
cyborg body,0.00034456627633457933
cyborg bull,0.0003050616163764695
daedric armor,0.00029672352507060097
dark,0.00046095877952643594
dark uncanny,0.00037971215986160576
detailed painting,0.00034922018237518
detailed portrait,0.0003206142264917203
detailed ultra,0.00417918917493778
details intricate,0.0008081439277234766
detective pikachu,0.0
deviantart,0.0007800241879964238
deviantart hyperrealistic,0.00038329226470147333
deviantart realistic,0.0016548109065554618
digital art,28816136992.954308
digital painting,0.002620036422093646
digital render,0.0
divine,0.00033924098188073686
divine pink,0.0
dog,5.732028766090077e-06
donald,0.0021813714424213848
dragon,0.0005969486976697151
dramatic lighting,0.0003608279903793472
drawing,0.0018664633506277816
dunmer nerevarine,0.00029812379559926276
einstein,0.0014024068201186734
elf,0.0
elson,0.00032837653946387127
emo,0.00032610190896861
emo punk,0.00030732179574654184
engine,0.00036929513004767945
entries sony,7.429530850591009e-06
fantasy art,0.00039262491024101613
fantasy painting,0.00030038820735516896
fantasy style,0.0002809264912443379
faroe azores,0.0
fashion clouds,0.0
fiction,0.0
fiction film,0.001998979382166977
fifth element,0.0005304930222331104
film,0.023301194668159865
film neuromancer,0.0006098049904173412
flamingos,2.801225046723936e-05
flowers,0.0009540058505290038
fluffy,4.168464224610842e-06
footage,0.005463594146712208
forest,6.800435284296576e-06
frazetta,0.000863702595149417
frazetta fantasy,0.0017487912528535896
frazetta giger,0.0002740464978741431
futuristic,0.00020784937768108996
garden,2.2228253989521084e-06
garden intricate,0.00029894024286549825
giant digital,3.5194650017331315e-06
girl clouds,3.463648321503443e-06
glamorous sophisticated,5.2188989119447585e-08
