keyphrase,mean_abs_shap
abandoned,0.0020158135187818426
alchemical creatures,0.000223406257238894
alien,0.0004230647857525915
alien planet,0.0012671296831095998
android cyborg,0.0013864818534144716
anime,0.0032357413044562062
anime colors,0.0017283312641222367
anime epic,0.0024769713295888646
armor daedric,0.0006670224431807656
art,0.0095730098829923
art artgerm,0.0025250602411775254
art hyperrealistic,0.0010111268321227635
art lifelike,0.0015289989752554755
art punk,0.002812925084954194
art realistic,0.0005305074502192275
art sharp,0.003361672592335328
art smooth,0.0013281638165329088
art style,0.004122538624505156
art thorough,0.002932898387947066
art trending,0.004761052404710044
artistic,0.0004158900761044181
artistic painting,0.0012178287864901063
artstation,0.0035222386832791126
artstation cinematic,0.004180297935307763
artstation concept,0.0016049806549326313
artstation galaxy,0.002108407512603092
artstation hyperrealism,0.011181199056080563
artwork,0.005738821195346178
atmospheric lighting,0.00018992604127792708
azores,0.0003252225888676323
barbarella,0.0005369190446165107
beautiful,0.0009185066132670786
beautiful landscape,0.0011948652907671322
beksinski,0.0010259718938629623
beneath cherry,0.001420840161074791
bernard simunovic,0.0040620067000640345
bjork,0.0011070709473835236
black,0.001811262544999131
blinders photography,0.0007103053533754553
body manga,0.0018875085447855754
body portrait,0.0018376988415149348
body shot,0.0011640731023040594
bonsai,0.003916023447765333
bonsai tree,0.0011728036483897935
bull looking,0.00116230613652233
bull modeled,0.0018865431260960683
butterfly volumetric,0.0019471477985951405
camera,0.0014110673734960277
candle butterfly,0.0011909152728638106
candle volumetric,0.0014658877644834895
canvas,0.007307485177454683
castle,0.0033673049802248663
cat,0.0023821504769869304
century,0.0028500969838806175
century modern,0.005593324683813271
character portrait,0.0034226241172005704
cinematic,0.003350763944312147
cinematic composition,0.005342201355977882
cinematic deviantart,0.004341571399843095
city,0.0032640380915442365
clouds,0.007768025498520625
clouds madeira,0.001130949759869739
collage canvas,0.0009016447237251955
colors,0.000585455843730346
colossal,0.001238878767020088
colossal goddess,0.0025351435533465527
comprehensive art,0.0022094905919155913
concept art,0.01300585844388081
contemporary art,0.0022613529874508645
cosmic,0.0012666610374467637
creatures surreal,7.669322597340014e-05
cute fluffy,0.0022493951278074287
cyberpunk,0.004202292313764604
cyborg,0.0035547979893717457
cyborg body,0.0012071967876759562
cyborg bull,0.0010578752126673729
daedric armor,0.0005846024286176565
dark,0.0023246173479887985
dark uncanny,0.00019763847712232793
detailed painting,0.0023264724200789694
detailed portrait,0.001600427497605012
detailed ultra,0.006906770675600025
detective pikachu,0.00040788737524679637
deviantart,0.004070613611027178
deviantart cinematic,0.0004695031951893759
deviantart hyperrealistic,0.0019810420640253485
deviantart realistic,0.0037798678163075846
digital art,0.011519505749749921
digital painting,0.006140794535350499
digital render,0.0008043666977735638
divine,0.0023795776286366856
divine pink,0.0014623057498669098
dog,0.0016782933415956894
donald,0.0038783840165506067
dragon,0.00319818962113601
dramatic lighting,0.0012027315257503801
drawing,0.004226853143622162
dunmer nerevarine,0.0018836678542881354
edwardian photograph,0.0009632527264188065
einstein,0.0036534692009226096
elf,0.003181641809861642
elson,0.005581190946427574
emo,0.00047287516425426556
emo punk,0.00042849158420117276
engine,0.0008541871064810043
entries sony,0.0010836077255349597
fantasy art,0.0029407231095160222
fantasy painting,0.0017731016749172835
fantasy style,0.0002843309745710418
faroe azores,0.0020648779245341
