keyphrase,mean_abs_shap
abandoned,0.0015453989034432151
alien,0.0008339823510791195
alien planet,0.0
android cyborg,0.0006625277832036366
anime,0.0016170466821747514
anime colors,0.0002503416887527306
anime epic,2.697406888106031e-05
armor daedric,0.00018432500245384723
art,0.004878685813472704
art artgerm,0.003477305694605329
art city,6.138561353730879e-06
art hyperrealistic,0.0007166430948232807
art josan,0.0007532568838256758
art lifelike,3.229788629637231e-05
art punk,0.0007288118846064763
art realistic,0.00026762741824756407
art sharp,0.0015088992433919856
art smooth,0.0021820949496320526
art style,0.003117948279964856
art thorough,3.6932120670969546e-05
art trending,0.002862563488533436
artistic,0.00013113807531835796
artistic painting,4.190904357736438e-05
artstation,0.0027795662421973857
artstation cinematic,0.0030635973716590377
artstation galaxy,5.127917384441619e-05
artstation hyperrealism,0.011262518498480832
artwork,0.005320323931788607
atmospheric lighting,2.7259168241925346e-05
avant garde,0.0009407330121683868
azores,0.0011425569129239906
azores islands,0.0005154956896504393
beautiful landscape,9.23557287528848e-05
beneath cherry,1.7260019397946124e-05
bjork,1.9802593347712236e-05
black,0.0014779893603902822
body manga,0.00015754266377518842
body portrait,0.001271177225002441
body shot,0.0007520255195147826
bonsai,0.0007298713788886639
bonsai tree,0.0007979994271645287
bull looking,0.0008175870368639724
bull modeled,0.0007388004456049768
butterfly volumetric,0.00046265373254264795
camera,0.0017848049977457045
candle butterfly,0.0006245618426041409
candle volumetric,0.00022556081162256145
canvas,0.002352855726365742
castle,0.0019379360033797892
castle enclosed,0.0004994822901342446
cat,0.0021867205072948637
century,0.0030542305662307396
century modern,0.001062196777474934
character portrait,0.0014795637103694238
chris,0.00020470508074900092
chris foss,0.0008391129306376805
churches domes,0.0006838554845263502
cinematic,0.003965199668621124
cinematic composition,0.004738478133844824
cinematic deviantart,0.001734422756426171
city,0.003059115902721531
cloud fashion,1.876835698349878e-05
clouds,24460044148.882313
clouds covered,0.0001277612064798028
clouds girl,0.00012297408877308112
clouds madeira,0.0011055907096748164
collage canvas,0.0009621074299286473
colors,0.0008079268723089716
colossal,2.2661477811827968e-05
colossal goddess,3.241560647145186e-05
comprehensive art,0.0011439872771062823
concept art,0.0031581694108231712
contemporary art,0.0008233761707401843
cute fluffy,0.0006757425475956068
cyberpunk,0.0016493562201537791
cyborg,0.0024113286539928598
cyborg body,0.0006310743164374245
cyborg bull,0.0006853642537352103
daedric armor,0.0016289212714802688
dark,0.0017058402069489043
dark uncanny,4.790196383339762e-05
detailed painting,0.0029568352436067347
detailed portrait,0.0009516029906000339
detailed ultra,0.0032529336890712245
details intricate,0.001117409020733718
detective pikachu,0.0002566643665212709
deviantart,0.0010821846299509858
deviantart hyperrealistic,0.0003211968620846333
deviantart realistic,0.002992978756144863
digital art,0.01107843774771994
digital painting,0.0033209085967276925
digital render,1.101154617024222e-05
divine,0.0002185849654858072
divine pink,0.0001009540285532599
dog,0.0004903547351582804
donald,0.00330199542921013
dragon,0.0031484170062236892
dramatic lighting,0.001453203092166163
