keyphrase,mean_abs_shap
abandoned,9.721808664218207e-05
alien,0.0011298808346441023
alien planet,0.0010513258611775799
android cyborg,0.0009113715437608405
anime,0.0021554224568839093
anime colors,0.0001587989178008347
anime epic,0.0007601102676571463
armor daedric,0.000484064889940578
art,0.003060385481637884
art artgerm,0.0017000217249058056
art city,0.0010232672465473318
art hyperrealistic,9.966932460862087e-06
art josan,2.2802156942037795e-05
art lifelike,3.288680266268287e-05
art punk,4.685816224577541e-05
art realistic,0.00022694939661607543
art sharp,0.003379477643210646
art smooth,0.004131661514481235
art style,0.0015489716302000008
art thorough,0.0011684646124602012
art trending,0.003238404776841516
artistic,0.0010158476896984208
artistic painting,0.000892575377560008
artstation,0.0030971041729376337
artstation cinematic,0.001225231071137561
artstation galaxy,4.579996362860227e-05
artstation hyperrealism,0.002670089945237161
artwork,0.0046085953278717185
atmospheric lighting,5.301649514246512e-05
avant garde,0.001190535640381785
azores,0.0016323552753586782
azores islands,0.0
beautiful landscape,166394976835.42776
beneath cherry,0.00015799058080931335
bjork,8.587193234144105e-06
black,0.005290636446907599
body manga,0.0011724071149248742
body portrait,0.0013271554319290307
body shot,0.0011010050174705508
bonsai,0.0016348463539247115
bonsai tree,0.0010031470148978826
bull looking,0.0008339971891210204
bull modeled,0.0012002614184450724
butterfly volumetric,0.0005611703922937383
camera,0.001516717709819039
candle butterfly,0.0008134707826877611
candle volumetric,0.0010370504924628599
canvas,0.0013082195042665157
castle,0.002574948081587938
castle enclosed,0.0007335313513459137
cat,0.006469032507936298
century,0.0017269363457825724
century modern,0.0017005702861123562
character portrait,0.0016558386580160093
chris,0.0003494428407371459
chris foss,0.0008438139541967272
churches domes,0.001091702259718919
cinematic,0.004004944814889073
cinematic composition,0.004949227461774005
cinematic deviantart,0.0011696115777284522
city,0.0026000298624639555
cloud fashion,0.0008364529531846296
clouds,0.003669277119090784
clouds covered,0.0001212237250552562
clouds girl,0.0009847358266698554
clouds madeira,0.0017860589820715338
collage canvas,2.3754579406422712e-05
colors,0.0006737156531618755
colossal,0.0008838926451810177
colossal goddess,0.0008133834963016547
comprehensive art,0.0014114225514701795
