keyphrase,adjusted_mean_shap
castle enclosed,157183336247.27728
cinematic deviantart,117887502185.45947
painting,63818124461.547806
intricate hyper,63818124461.53046
illustration art,41598744208.85909
beautiful landscape,41598744208.85726
digital art,7204034248.246376
hyper detailed,7204034248.238845
film,6115011037.246913
clouds,6115011037.223745
matte,5150572624.028433
garden,5150572624.02685
portrait,0.04382432089780982
painting sargent,0.01352274687122065
matte painting,0.011048755365809251
high quality,0.010541269523127974
scene,0.01037208257007295
photograph divine,0.007662642473216099
artstation hyperrealism,0.0076001767569353505
steampunk,0.0061338711861864004
oil painting,0.0058525983292942495
footage,0.00544602157650155
concept art,0.005215652266013424
cinematic composition,0.004740016505953451
artwork,0.004604634742312276
detailed ultra,0.004497138379933975
art,0.00447717371097695
bernard simunovic,0.004062006700064
digital painting,0.003843818901661025
movie,0.003610071426360525
ultra realistic,0.0034009645632198495
city,0.0033413096155368747
spaceship,0.0033385649809105
drawing,0.00331651696413135
wallpaper,0.0032825111426952
art trending,0.0032490071142028997
cinematic,0.00323292567482375
portrait painting,0.0031587521428084503
fiction film,0.0031215890617924
canvas,0.0031123398287183747
photorealistic,0.0030822857680242247
donald,0.003024557598158375
cat,0.002960013652789875
statue,0.00295443197592025
photography,0.0029383975278915
intricate details,0.002804912327349725
deviantart realistic,0.002802837911995275
saitama anime,0.002781780103737275
neuromancer,0.0027240751467662505
trending artstation,0.0026832354935015746
art artgerm,0.002641643201556275
mid century,0.0025447732533917253
artstation,0.00249784836477765
himalayan,0.0024689716642678
einstein,0.002446496541196675
cyberpunk,0.00238571093006765
sony,0.002356984520889375
food photography,0.0023543245276027
unreal engine,0.0023436862481208747
artstation cinematic,0.002335339846152525
gundam,0.00231386062995845
dragon,0.002301149337197125
art style,0.0022789025077507
black,0.002266806527784625
cyborg,0.002245737379737025
art sharp,0.002221997687991875
realistic cinematic,0.0022125564208086
robot,0.002206126747779525
octane render,0.002197826809633025
nerevarine,0.002183815554102615
phyics entries,0.0021665772517148974
peter elson,0.002163326988239425
elson,0.00215201212680225
century modern,0.002146185240679375
puppy sitting,0.002145517419044
century,0.002107034526445625
portrait painted,0.00210173857929605
film neuromancer,0.0020896298558523247
photo,0.00206389359846435
detailed painting,0.00205153490437255
castle,0.002048235884191025
frazetta,0.0020265573185877252
skyrim elegant,0.00201471307820375
portrait intricate,0.0019879487201416753
fifth element,0.0019792264646942
art smooth,0.0019780960003441747
lighting,0.001933889278799675
fantasy art,0.0019179797825064249
deviantart,0.001874113449697675
world photography,0.0018438304342185082
style portrait,0.001839643999366725
forest,0.001836424005212074
anime,0.001836373831624875
illustration,0.0018326704616766665
painting artstation,0.00182715100895295
sky,0.0017940002291648
heavy detailed,0.0017859819826441829
zdzislaw beksinski,0.0017849902175556
surreal,0.001780766900205275
josan gonzalez,0.001736228594791225
character portrait,0.001721856730402075
peter,0.0017184453708330985
madeira faroe,0.001667343965044775
intricate volumetric,0.001659531954659775
bonsai,0.001654605338146525
photograph,0.0016427386457264499
room,0.0016212086148941
elf,0.0016065626636175
frazetta fantasy,0.0016061763421763
artstation concept,0.0016049806549326
dark,0.0015776468199973249
photorealistic digital,0.0015547923005331749
modern art,0.001554353579007775
hd unreal,0.0015399882922462749
scene science,0.0015238468794684002
snowy,0.0015125320150094
faroe azores,0.001481073819393125
rpg portrait,0.0014658097618306001
knight,0.0014635233286127668
details intricate,0.0014355961163064334
flowers,0.00142079489038825
goddess,0.0013972732865115709
surreal concept,0.0013947039593990769
studio ghibli,0.001373732625575175
wizard,0.0013621703761961758
picasso,0.001327699644443625
comprehensive art,0.001310295747561625
modern,0.001306468924140325
log houses,0.0013048178945758249
fantasy painting,0.0012943690040038498
stars,0.00128947293771305
shade talking,0.0012874102652069251
hd painting,0.001278116076379975
clouds madeira,0.001275782178935825
cosmic,0.0012666610374467
camera,0.0012627665959930499
gundam unreal,0.001215103185902975
body portrait,0.0012083052075419001
gordon,0.0011979964914208
himalayan rocksalt,0.0011754644563339001
surrealism,0.001167809494403275
tracing artstation,0.00115126812767345
movie poster,0.0011339495597965472
render hyperrealist,0.001130054161444425
painted pablo,0.001129745847052075
landscape,0.001128925664423275
futuristic,0.0011288862605392251
art thorough,0.0011201304218300674
manga,0.0011137045230916998
style contemporary,0.0010929468495578
painting stalenhag,0.001089649782434775
woman,0.0010589854808317751
sitting snowy,0.0010464491572845
portrait photograph,0.001042331451423175
photo realistic,0.001040425118275425
cute fluffy,0.001035839235967475
houses built,0.0010342098433687502
portrait male,0.0010300874750051
bull modeled,0.00102988772472035
beksinski,0.0010259718938629
picasso hair,0.0010251183389755499
science fiction,0.0010149482908805
rocksalt lamp,0.001005994588851925
jacket black,0.0009996559806298
abandoned,0.0009896684290510954
dramatic lighting,0.00098363618604265
illustrated,0.0009650371344032
edwardian photograph,0.0009632527264188
painting beautiful,0.0009593107573662499
divine,0.00095926185343395
ufo,0.0009586217410724797
painting deviantart,0.0009551512257634001
beautiful,0.000918506613267
photography awards,0.0009159812528011664
dunmer nerevarine,0.0009077655178223751
manga illustration,0.0009077641895984372
looking camera,0.000906489983193825
art punk,0.0008971487829515689
deviantart hyperrealistic,0.000889185043255325
body manga,0.000888631981037875
anime epic,0.0008885761757031151
garden intricate,0.000885145870021125
goth,0.0008601879814771
imposing cyborg,0.00085790805670525
android cyborg,0.0008549010175558751
scariest looking,0.0008534807508387
fiction,0.0008510878830043
runway,0.0008493628363636201
daedric armor,0.000849129976645425
colossal goddess,0.0008452356640298879
puppy,0.000843334707547325
painting lurid,0.000832630408032296
portrait scifi,0.0008309478015299
vivec portrait,0.0008278246315208001
male dunmer,0.000827415153175325
bonsai tree,0.0008264803480566749
painting aesthetic,0.000825832116681175
body shot,0.00082451620744685
frazetta giger,0.0008224870923101751
dog,0.0008147188569439976
pink flamingos,0.0008109353981817749
flamingos,0.0008108947946743932
painted,0.0008042053685399596
bull looking,0.000802562250377025
uncanny,0.0008022097558997
overcast thunder,0.000799983814611625
steampunk himalayan,0.0007986191429190102
cyborg bull,0.0007949264806873999
saitama,0.00079226660279365
ruins,0.0007919566265488
contemporary art,0.0007859389272321512
pablo picasso,0.0007825166801564999
azores,0.0007752767923716335
sony world,0.0007664646104116855
emo punk,0.0007619064631011251
cyborg body,0.000758770864721475
divine pink,0.0007503258344973001
avant garde,0.0007432389632730527
detailed portrait,0.0007430027412221635
butterfly volumetric,0.0007427429808578499
candle butterfly,0.0007370458163674999
tall castle,0.0007342002284572001
houses,0.0007295786372145
surrealism surreal,0.00071855979682425
blinders photography,0.0007103053533754
pikachu hannah,0.00070458227411315
churches domes,0.0006927054673547334
pixie cut,0.000686259926400993
candle volumetric,0.0006829715272147941
emo,0.00067564163022785
hd goth,0.0006635440601338251
painting peter,0.0006599366918895108
starmaker matte,0.000655787563066075
lifelike photorealistic,0.000647734190970725
chris foss,0.0006424165227303
wallpaper illustration,0.00064173801975815
traits painting,0.0006388574468571833
natural scene,0.0006363717422776187
gustav klimt,0.0006329320560117332
josan,0.000632689541031175
goths,0.0006226766053207145
hd,0.000620773562666925
engine,0.0006202004746147999
wooden churches,0.0006182256223494333
portrait extremely,0.0006168020937900071
lightning intricate,0.0006152877426990914
starmaker,0.0006137049020058
hills slavic,0.0006121768826108
alien,0.0005973154180875595
lamp,0.000593825004207867
fluffy,0.0005923489490721527
mila kunis,0.0005910098528066
goth emo,0.000587332404730425
painting chris,0.0005850070846235
alien planet,0.00057961388607175
detective pikachu,0.0005763995001202
painting ronny,0.0005747391317092124
space,0.000566881630220475
entries sony,0.0005628901162029978
artstation galaxy,0.0005513716625190047
glamorous sophisticated,0.0005460231475051049
volumetric lighting,0.0005429379781382082
painting unreal,0.00054184419740265
artistic painting,0.0005396572317369324
fantasy style,0.0005377694268538751
barbarella,0.0005369190446165
colossal,0.0005363582225032071
anime colors,0.000534367967668925
giant digital,0.0005299691381870379
steampunk butterfly,0.0005201983290233
colors,0.0005167867200856232
punk portrait,0.00050899560737135
goths loitering,0.000491958098785725
pink bonsai,0.000489253424944075
pixar,0.0004744509818477415
collage canvas,0.00047259442936753904
art lifelike,0.00047109370549213884
deviantart cinematic,0.0004695031951893
ufo ignoring,0.00045594086694642866
screenshot,0.0004450957143324522
art city,0.00044119500101307696
digital render,0.00043691865764928557
art hyperrealistic,0.0004344342148516905
punk art,0.0004225402861189416
goddess creative,0.0004141971869770552
intricate royo,0.000402779723263075
beneath cherry,0.0004002292754863742
painting lush,0.000393574255133996
length portrait,0.0003933793367657
artistic,0.0003920700015462592
lantern candle,0.00038001816955015
science,0.00037837654108368994
portrait sabouts,0.0003776769741052446
clouds girl,0.00036923663848093327
girl clouds,0.00036362758140953444
surreal glimpse,0.0003617961118755333
glimpse universe,0.0003612879244332984
painting character,0.00035763230539221334
low clouds,0.0003491973285661733
armor daedric,0.00033385308389375
media collage,0.00033196222353300405
lighting hd,0.0003237888865424817
vallejo frazetta,0.000310227141374525
wearing cloud,0.00030114313553341937
mixed media,0.00029815964563581954
cloud fashion,0.00028507377005603294
bjork,0.0002838651834913391
goddess wearing,0.00028368887480427783
kylie,0.0002716037287914999
fashion clouds,0.00026860069171702364
art josan,0.0002586863469225459
art realistic,0.00025707037558529917
minogue barbarella,0.0002492898627583
landscape colourful,0.0002286874224215903
alchemical creatures,0.0002234062572388
dark uncanny,0.0002210931776773244
chris,0.00018471597382869998
marble hourglass,0.00018299816462726297
headshot edwardian,0.0001820756256554
minogue,0.00018137624076323402
kylie minogue,0.00017530464156498827
azores islands,0.00017183189655013332
surreal dark,0.0001081272594392
uncanny painting,0.00010246677211402815
clouds covered,8.301884071493346e-05
creatures surreal,7.669322597340014e-05
atmospheric lighting,6.776958451748856e-05
oblivion skyrim,6.2321322358525e-05
fiery alchemical,0.0
