keyphrase,mean_abs_shap
abandoned,0.00013995058643050318
alien,0.0001897472494875734
alien planet,0.0001532867567442981
android cyborg,2.1804414534540802e-06
anime,0.00043204805303743727
anime colors,0.00012194433724113726
anime epic,0.00016807236588421806
armor daedric,0.00011750129360989806
art,0.00023911636519932634
art artgerm,0.0016210140946412437
art city,1.0706988094180482e-06
art hyperrealistic,0.000148203326108385
art josan,0.0
art lifelike,1.924678879618963e-06
art punk,0.00021903874737559312
art realistic,5.076970630570502e-08
art sharp,0.0001347461296728614
art smooth,0.0031498293457457825
art style,0.00016951968085691244
art thorough,0.00012048323006938373
art trending,0.0003336652907159195
artistic,0.00015943027614428765
artistic painting,0.00015303974335613242
artstation,0.00024870675954864556
artstation cinematic,0.0025274853379923566
artstation galaxy,0.00020991543356154845
artstation hyperrealism,0.0008277782704641749
artwork,0.0001332038591121016
atmospheric lighting,6.789548081328549e-06
avant garde,0.0
azores,0.0
azores islands,8.469393051778121e-06
beautiful landscape,0.00020228756389352917
beneath cherry,0.0
bjork,0.0009226173149571914
black,0.0
body manga,0.0002537861794200015
body portrait,0.0013903089213663867
body shot,2.064386047671996e-06
bonsai,0.0010130704873842359
bonsai tree,0.0001585238967698858
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.0
camera,2.957344866170266e-07
candle butterfly,0.0002659713028162904
candle volumetric,0.0
canvas,0.005974872621330807
castle,0.0009536562966634886
castle enclosed,0.0
cat,4.367130901325044e-07
century,1.034057591671212e-06
century modern,0.0027793805864694456
character portrait,0.0014561295329235627
chris,0.0
chris foss,0.0
churches domes,2.778695619670308e-06
cinematic,0.00020748809022125527
cinematic composition,0.015642041775395004
cinematic deviantart,0.0001461333226690893
city,0.0002992092496366926
cloud fashion,0.0001330133732867781
clouds,0.001013959411894308
clouds covered,0.0
clouds girl,0.00012759278753326155
clouds madeira,0.00023219025552078832
collage canvas,0.00018763121864634694
colors,0.000212439882360605
colossal,0.0
colossal goddess,4.684573713709433e-06
comprehensive art,0.00011684523856973078
concept art,0.0005243965861289262
contemporary art,0.0007182315743918578
cute fluffy,0.00017761899167673828
cyberpunk,0.0018002560021926598
cyborg,8.778203358971078e-07
cyborg body,0.0
cyborg bull,1.7289815352968928e-06
daedric armor,0.00014873747379582305
dark,0.0009414342835813548
dark uncanny,0.0004744795486878975
detailed painting,0.00011330035878975786
detailed portrait,0.0002312564194941815
detailed ultra,0.0003791894506760491
details intricate,0.0008880537346541695
detective pikachu,0.0
deviantart,0.0001583557378684496
deviantart hyperrealistic,0.001386120068228259
deviantart realistic,0.0001757745827441947
digital art,0.0006344292147413512
digital painting,0.001235779093422508
digital render,0.0001895161333833843
divine,0.0001412706269378759
divine pink,0.00012797819532379774
dog,0.0002456878178702406
donald,0.001607085844166056
dragon,6.75020851269959e-05
dramatic lighting,2.4173617199286425e-06
drawing,0.0009078442266639748
dunmer nerevarine,0.00014787769391175939
einstein,0.0029288360884846243
elf,0.00012722640877387825
