keyphrase,mean_abs_shap
abandoned,9.386901653541397e-05
alchemical creatures,0.0
alien,0.0013327685941719183
alien planet,0.0009766849490340159
android cyborg,0.0
anime,0.003916663734730644
anime colors,0.0005497014356782636
anime epic,0.0015682317881428127
armor daedric,0.0008663541168575071
art,0.02123957052982878
art artgerm,0.002456602258641135
art hyperrealistic,0.0
art lifelike,0.0004285685478344514
art punk,0.002032553470272786
art realistic,0.0013414373006774129
art sharp,0.0020791636280497725
art smooth,0.0020723588877330436
art style,0.004445288329938858
art thorough,0.0024999213427538084
art trending,0.0009479785893980539
artistic,0.001973656788292526
artistic painting,0.00206858395168946
artstation,0.008004196786110827
artstation cinematic,0.0036978177287748768
artstation concept,0.0021868611611609527
artstation galaxy,0.0018878352669900438
artstation hyperrealism,0.002802699775579804
artwork,0.002305535150234087
atmospheric lighting,0.0
azores,0.0005533754539418649
barbarella,2.2773150221623532e-05
beautiful,0.0016873938520816892
beautiful landscape,0.0026323648551457644
beksinski,0.0015541034763079799
beneath cherry,0.00010558997176042761
bernard simunovic,0.0043740906089756474
bjork,0.0029607353095172026
black,0.0012976631042849508
blinders photography,0.0010029643778312555
body manga,0.00034853731795865615
body portrait,0.0031973456128109343
body shot,1.3555686870939652e-05
bonsai,0.0016790046425311249
bonsai tree,0.0013515969677463852
bull looking,4.6304936433490066e-05
bull modeled,0.0004498863866668565
butterfly volumetric,0.0016035378850193518
camera,0.000681708127030835
candle butterfly,0.0022415515681115388
candle volumetric,0.0018809804611333429
canvas,0.01684193499458281
castle,0.0024774554516266895
cat,0.00032812551276778924
century,0.0005817951986320741
century modern,0.017591660114469023
character portrait,0.005403041006064198
cinematic,0.007287105661324766
cinematic composition,0.003088657430833761
cinematic deviantart,0.001592876476070045
city,0.004417261231724587
clouds,0.00687972199057316
clouds madeira,0.0010397579817882129
collage canvas,0.0007047060574792971
colors,0.0018412266570589806
colossal,0.00018477945742419774
colossal goddess,0.0005212319114455034
comprehensive art,0.007476540515071361
concept art,0.010746648240616564
contemporary art,0.0009440122511773382
cosmic,0.0008887950537439244
creatures surreal,2.2990262602186807e-05
cute fluffy,0.0005346276038434665
cyberpunk,0.004053988784033419
cyborg,0.0020845747127868045
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.00018348703692858034
dark,0.0051360144336186145
dark uncanny,0.002288827279423133
detailed painting,0.0026657414411843843
detailed portrait,0.0016303833132332122
detailed ultra,0.0024619950293684805
detective pikachu,2.3812078821051355e-05
deviantart,0.008654541593347385
deviantart cinematic,0.0025430169514384514
deviantart hyperrealistic,0.004081921587619761
deviantart realistic,0.0037348256247337537
digital art,0.006005248573462562
digital painting,0.014593884838360346
digital render,0.002682737065404701
divine,0.0012451052360864618
divine pink,0.0008986975230748002
dog,0.0010752959809449535
donald,0.002386568842734747
dragon,0.003074757457946542
dramatic lighting,0.0035187740740117257
drawing,0.0020770926139715854
dunmer nerevarine,0.0009820024698158074
edwardian photograph,0.0008981765577320281
einstein,0.003180909871080128
elf,0.0027705539325434056
elson,0.003973654051223078
emo,0.002671269938037088
emo punk,0.00123729346052927
engine,0.0007257402283729573
entries sony,0.001112118376405869
fantasy art,0.0036894225593368814
fantasy painting,0.0013581666462244135
fantasy style,0.002175404316795119
faroe azores,0.003586483012741377
fiction,0.0005777691032809207
fiction film,0.005741961323770199
fiery alchemical,0.0002563134051327709
fifth element,0.003146415804405315
film,0.015340177429702386
film neuromancer,0.0019253670480351493
flamingos,4.865258861245628e-05
flowers,0.0015995710252408196
fluffy,0.0007273155971944302
food photography,0.003601905848151778
footage,0.006816447178404576
forest,0.0013870962478919075
frazetta,0.0028451880791773563
frazetta giger,0.003831185729748418
futuristic,0.0018014369350806037
garden,0.0022383781432488603
garden intricate,0.004779201680939219
giant digital,0.0016936589595954318
glamorous sophisticated,0.0010382622792422598
goddess,0.004787897501987565
goddess creative,0.00040394808232370927
gordon,0.00707578445375121
goth,0.002651369991140482
goth emo,0.0026315526852647513
goths,0.0037017764843521503
goths loitering,0.0005863024436393711
gundam,0.005355639767155178
gundam unreal,0.0011262138195074784
hd,0.0009345917831510633
hd goth,0.0014923905623409155
hd painting,0.004324700139055437
hd unreal,0.002043496252657772
headshot edwardian,0.0013201301049960855
heavy detailed,0.004527171154493017
high quality,0.0031544315060668426
himalayan,0.00039513314588757664
himalayan rocksalt,0.0013207705078697835
houses,0.0
houses built,0.00141873430862718
hyper detailed,0.0038597470793026475
illustration art,0.00363478181840355
imposing cyborg,0.0
intricate details,0.003098999901409563
intricate hyper,0.0029113361702349945
intricate royo,0.0008228378112178942
intricate volumetric,0.0057270221837318344
jacket black,0.001579519427716694
josan,0.00040078525096460497
josan gonzalez,0.0060895380684166224
kylie,0.0008755355317993299
kylie minogue,4.4067695193726055e-05
lamp,0.0005240551765943556
landscape,0.004101283061624705
landscape colourful,0.005698468004458691
lantern candle,0.0012425835246094661
length portrait,0.0005367656526590429
lifelike photorealistic,0.00014958628966617007
lighting,0.0027176863964018458
lightning intricate,0.0035297059976541105
log houses,0.0023294885360650454
looking camera,0.0004124185510537508
low clouds,0.0013269798257460354
madeira faroe,0.0024054621004307906
male dunmer,0.0012052248302288956
manga,0.001988929707496997
manga illustration,0.0015757799749912401
marble hourglass,0.0006645394501167571
matte,0.002015804960262397
matte painting,0.0037352897838155296
media collage,0.0003043420308136235
mid century,0.0041612954069676035
mila kunis,0.0015121856312057386
minogue,0.00011126340000230856
minogue barbarella,0.00021002161859831796
mixed media,0.000982489153860245
modern,0.0030549256659109713
modern art,0.0034491168632726763
movie,0.007558281103180067
movie poster,0.0033778173691210176
natural scene,0.005790896694267669
nerevarine,0.0027153284571684467
neuromancer,0.00414202570688509
oblivion skyrim,0.0
octane render,0.00201677826554293
oil painting,0.005337889495303469
overcast thunder,0.0012659447125964519
pablo picasso,0.0034484554255249864
painted,0.0023417058211780014
painted pablo,0.001192807791143722
painting,0.017918442317117148
painting aesthetic,0.0007085806890724616
painting artstation,0.0023361580782500454
painting beautiful,0.0016659857705163938
painting character,0.001943697724479927
painting deviantart,0.0044828728221290625
painting lurid,0.0027264753241781504
painting lush,0.004169189206502996
painting peter,0.0011906925767557815
painting ronny,0.0020598514459078793
painting sargent,0.006242030504444135
painting stalenhag,0.0018501246636924867
painting unreal,0.0017894377855440585
peter,0.002258551225519385
peter elson,0.010018884134435954
photo,0.0032960648176193082
photo realistic,0.001769715331627706
photograph,0.003528123785082556
photograph divine,0.000598848497701197
photography,0.004614289935040593
photography awards,0.003800925419121918
photorealistic,0.007646621336018418
photorealistic digital,0.005257835278380945
phyics entries,0.0029651531102594343
picasso,0.008756886792256452
picasso hair,0.0018209035446961274
pikachu hannah,0.00037027353845335445
pink bonsai,0.003652115704572787
pink flamingos,0.0002533194343616184
pixar,0.0012242450685311034
pixie cut,0.002042011300598182
portrait,0.017645182500948188
portrait extremely,0.0021566683611711247
portrait intricate,0.004163705974945029
portrait male,0.0025639342598029443
portrait painted,0.005578116512990335
portrait painting,0.013573011677390539
portrait photograph,0.0005496407151465327
portrait sabouts,0.0027657857797683655
portrait scifi,0.0005187453387808172
punk art,0.0008625109799098677
punk portrait,0.0009039382063508973
puppy,0.0010848386635035254
puppy sitting,0.00035776521732907245
realistic cinematic,0.0018676570481418844
render hyperrealist,0.00028321646483320506
robot,0.0038157553484553645
rocksalt lamp,0.00014775713040097294
room,0.0010912621242810635
rpg portrait,0.001153963175914862
ruins,0.0015232310323983322
runway,0.004493961358315767
saitama,0.0016864375524003985
saitama anime,0.005946448686827451
scariest looking,0.0006354572267068917
scene,0.00554624955887513
scene science,5.043564944469801e-05
science,0.0004885747259615278
science fiction,0.0
screenshot,0.003142301114536349
shade talking,0.0013415002686787106
sitting snowy,0.001475094372909303
sky,0.003931543214785024
skyrim elegant,0.0049036983247665936
snowy,6.755389960111648e-05
sony,0.0009749423417676334
sony world,0.0018118529545401475
space,0.0008798842375202735
spaceship,0.00039338432446278865
starmaker,0.005672765443683484
starmaker matte,0.0029380738545697264
stars,0.004833186109060828
statue,0.0016237206535194334
steampunk,0.008729293821806447
steampunk himalayan,0.000989573241976374
studio ghibli,0.0005083467638104547
style contemporary,0.0014195785276503714
style portrait,0.0019144322095242408
surreal,0.001127240996513631
surreal concept,5.180593226364688e-05
surreal dark,0.0002498086112242432
surrealism,0.0015911749001214501
surrealism surreal,0.0034857100633235508
tracing artstation,0.0004464650572726931
traits painting,0.005791688671160741
trending artstation,0.005475737364989961
ufo,0.0026082261649307326
ufo ignoring,0.003694688013009425
ultra realistic,0.003697844140232275
uncanny,0.0003278647965746349
uncanny painting,0.0020803563271378964
unreal engine,0.006716046505757381
vallejo frazetta,0.002387635285193863
vivec portrait,0.0014876730677081374
volumetric lighting,0.0011249260547816816
wallpaper,0.0028423638599376316
wallpaper illustration,0.0014241805557925983
wizard,0.0009594853499763589
woman,0.0010152678265017982
world photography,0.0035144534763284527
zdzislaw beksinski,0.0013679070303000865
