keyphrase,mean_abs_shap
abandoned,0.0006933721182098744
alien,0.0012866043137246892
alien planet,5.808964084481323e-05
android cyborg,0.0005503330427858623
anime,0.005675427958861892
anime colors,0.0007188012448560624
anime epic,2.5634732586115823e-05
armor daedric,5.68187128079119e-05
art,0.01012987322519937
art artgerm,0.0017119034647066482
art city,0.0002018264711115904
art hyperrealistic,0.0
art josan,0.000575629872649935
art lifelike,0.00013630233327892026
art punk,0.0004342814172424552
art realistic,0.0007537198600283096
art sharp,0.0006805488033583311
art smooth,0.004200647485488272
art style,0.0010689665799126005
art thorough,0.0006407281151171926
art trending,0.0006604376316975603
artistic,0.0003317692491439077
artistic painting,0.0008423106180204353
artstation,0.00656176461968906
artstation cinematic,0.0046623046066864866
artstation galaxy,0.0008572586002056448
artstation hyperrealism,0.0011108274597783556
artwork,0.0008110808797534129
atmospheric lighting,4.480643987013955e-05
avant garde,0.00011123503310022722
azores,0.00010266306058844205
azores islands,0.0
beautiful landscape,3.5795775932848944e-05
beneath cherry,0.0005880690559317452
bjork,0.0017414456242485887
black,0.0010304541281661375
body manga,0.0011467090157144958
body portrait,0.0023298532361007126
body shot,0.0005838384011480882
bonsai,0.0014947453620923286
bonsai tree,0.0002548383323624673
bull looking,0.0005484829683629688
bull modeled,0.000746775940021976
butterfly volumetric,0.00041770112208690155
camera,0.001747774388045047
candle butterfly,0.00028895075506595876
candle volumetric,0.0001804382405618277
canvas,0.026549019036727253
castle,0.003183766119825525
castle enclosed,2.0498681090907017e-05
cat,0.0003850951895389578
century,0.00018697776932526035
century modern,0.0031450263576290618
character portrait,0.0014965183710609522
chris,8.460427061381784e-05
chris foss,0.00010088448082274961
churches domes,1.0138010949163712e-05
cinematic,0.0025594017860661434
cinematic composition,0.0040859803934615154
cinematic deviantart,0.0012042158087263854
city,0.0016489237064404305
cloud fashion,0.0005647430961617496
clouds,0.006550889363290859
clouds covered,0.0005720004783499706
clouds girl,0.0006169813668920908
clouds madeira,0.00022010597270727107
collage canvas,0.0007863360078342943
colors,0.0013936107860950573
colossal,0.0
colossal goddess,0.0005973929205607048
comprehensive art,0.0010098869291170268
concept art,0.003478588228620966
contemporary art,0.0007396854731538889
cute fluffy,0.0007273121807486173
cyberpunk,0.0042533830285284985
cyborg,0.0015190167681711788
cyborg body,0.0004948157508685252
cyborg bull,0.000800245475103229
daedric armor,8.862086592981817e-05
dark,0.003506684631586357
dark uncanny,0.0011881451827934965
detailed painting,0.0010883658505899591
detailed portrait,0.001015750868012134
detailed ultra,0.001732595511003732
details intricate,0.0018980997492823366
detective pikachu,0.0002610306889916517
deviantart,0.001901299389972281
