keyphrase,mean_abs_shap
abandoned,0.0009629990075438989
alien,0.0020433939118524
alien planet,0.0009112298632299208
android cyborg,0.00033288299686535237
anime,0.0027008952141744473
anime colors,0.0012051704468380863
anime epic,0.00011999886627507057
armor daedric,0.0003909153319939017
art,0.005959154776045447
art artgerm,0.002024355552182659
art city,0.0008141645125266922
art hyperrealistic,0.0008221849202373604
art josan,8.152378153419391e-05
art lifelike,0.00018253004888415687
art punk,0.00168391479769093
art realistic,0.0014279070500660793
art sharp,0.0009757587791210592
art smooth,0.002474240085652414
art style,0.001205840933440139
art thorough,0.0002095409128597113
art trending,0.0003132008619169715
artistic,0.0011439887860329506
artistic painting,0.0010016822924167345
artstation,0.006110681146078007
artstation cinematic,0.0025325346392314923
artstation galaxy,0.0001007111224998495
artstation hyperrealism,0.0009197196725410084
artwork,0.0014597124049696157
atmospheric lighting,6.672917466244823e-05
avant garde,0.0010919618441414987
azores,0.0003010478000739219
azores islands,0.0
beautiful landscape,0.0007654695375356904
beneath cherry,0.001101937780554488
bjork,0.0017746382249607
black,0.0014811283132390653
body manga,0.0012943100484330578
body portrait,0.002032213605026011
body shot,0.00022907853792113398
bonsai,0.0010971813411176066
bonsai tree,0.0
bull looking,0.0002980154646274165
bull modeled,0.0002030210566301902
butterfly volumetric,0.0005484006015764882
camera,0.000734709800175825
candle butterfly,0.000684999695742949
candle volumetric,0.0010063572107419556
canvas,0.004623235390135742
castle,0.001669571560720566
castle enclosed,0.0002156925030597991
cat,0.0012272350517815288
century,0.0012355510232762562
century modern,0.004098145459350276
character portrait,27030293142.851547
chris,0.0008425654900101063
chris foss,0.0008823584995395437
churches domes,3.507502010395639e-05
cinematic,0.0026085431333993294
cinematic composition,0.003635515580429099
cinematic deviantart,0.0002447506218507152
city,0.0022064393501728067
cloud fashion,0.00032773785647408283
clouds,0.0012470978501719107
clouds covered,0.0001531502809967974
clouds girl,4.518998629969317e-05
clouds madeira,0.0005074883512126553
collage canvas,0.0016548054764288927
colors,0.002033501085205332
colossal,0.0005756699269078538
colossal goddess,44388482842.42436
comprehensive art,0.0009859629018774635
concept art,0.004425528941897355
contemporary art,0.0017628207298618674
cute fluffy,0.0008215387281949666
cyberpunk,0.0036684946523815373
cyborg,0.001241425910112752
cyborg body,0.0001750472841915094
cyborg bull,0.00015978498379235251
daedric armor,9.126341319939648e-05
dark,0.002077481652441034
dark uncanny,0.0013791929893125173
detailed painting,0.0016828895075149623
detailed portrait,0.000813994160239505
detailed ultra,0.0016334453420749908
details intricate,0.0027376240562574975
detective pikachu,0.0003197343607318276
deviantart,0.0030047043609410934
deviantart hyperrealistic,0.0004844603027035852
deviantart realistic,0.0010453680162688724
digital art,0.0037236097392413163
digital painting,0.004873213307052432
digital render,0.0008007650983201543
divine,0.0011050558378888002
divine pink,0.0011010350713347788
dog,0.0007561402611998886
donald,0.0009427748650166829
dragon,0.0027097077371857283
dramatic lighting,0.0013246433042354813
drawing,0.0019870861656396794
dunmer nerevarine,0.001172483436175075
einstein,0.00360744358707994
elf,0.0021745623715309984
elson,0.0012444235799764145
emo,0.00012773029089592768
