keyphrase,adjusted_mean_shap
painting,23459463403.85874
fantasy painting,23459463403.822243
forest,11097120710.607014
colossal goddess,11097120710.60637
character portrait,6757573285.714975
portrait scifi,6757573285.713284
movie,3098226724.71106
scene science,3098226724.706153
film,0.022518039673749275
canvas,0.013497265510694125
art,0.009391928724068176
portrait,0.00822029956699565
painting sargent,0.007962182849049926
picasso,0.00729106765221905
century modern,0.0069035531294794
cinematic composition,0.0066130487950298
digital painting,0.006410616324327049
steampunk,0.005278707935201524
artstation,0.0052313373278566
concept art,0.0047937904993159
gordon,0.0047607792885792245
fiction film,0.00450762509126785
saitama anime,0.0044463633483249245
bernard simunovic,0.0043740906089756
portrait painted,0.0043626302294735245
gundam,0.00431677827989245
skyrim elegant,0.0043083238224452
portrait painting,0.00416763872247345
photography,0.004166288313512575
matte painting,0.0040433844061362
sky,0.003931543214785
clouds,0.003922917153982525
frazetta giger,0.00387050413850875
pablo picasso,0.0036957418443759747
food photography,0.0036019058481517
photorealistic,0.003481434781884175
cyberpunk,0.0034440306167839753
deviantart,0.0034297252705322253
artstation cinematic,0.003355035578171225
digital art,0.003326575930996875
josan gonzalez,0.0032494456320284497
footage,0.003240055635967325
einstein,0.003239937047840825
peter elson,0.0032280668458805
anime,0.0031812587402010504
cinematic,0.003165634667752825
trending artstation,0.003159453629455375
unreal engine,0.0029961324870032
art smooth,0.0029742689511548254
painting artstation,0.0029391985097101496
dark,0.0029154037503067998
intricate volumetric,0.002827514406449402
oil painting,0.0027740325989222252
starmaker,0.002691135688825625
low clouds,0.0026490440281354
scene,0.0026105043507602997
hd painting,0.0025861029580785747
deviantart cinematic,0.0025430169514384
ultra realistic,0.0025280778008419753
photograph,0.002484592447167675
comprehensive art,0.00239730889615885
high quality,0.002395519778786875
landscape colourful,0.00236291726981785
landscape,0.0023400874950852
goddess,0.002251491138129025
body portrait,0.002237430343825975
illustration art,0.002233888707159075
portrait intricate,0.002229832822353225
painted,0.0022070944669157003
fantasy art,0.002194150115539725
artstation concept,0.0021868611611609
city,0.0021429583844935754
drawing,0.0020890306180928247
robot,0.002079311372045275
castle,0.0020711123572089997
stars,0.00205934790048195
hyper detailed,0.0020539815124351515
screenshot,0.002048837546686025
natural scene,0.0020482270833008004
film neuromancer,0.002043766406998075
neuromancer,0.002034672930901225
modern,0.001971833810862425
art artgerm,0.001953468842542875
wallpaper,0.0019219448028218
surrealism,0.001921543480780375
heavy detailed,0.001916696799625325
photo,0.00190900805270235
realistic cinematic,0.0018676570481418
knight,0.0018594260900977998
elf,0.001850467422384525
bjork,0.0018498591184208748
details intricate,0.0018412591800646
donald,0.0018230274072017503
mid century,0.001819843254456375
dragon,0.001812389528706774
intricate details,0.001806801866255825
lighting,0.0017639722524677
painting deviantart,0.0017294327120933252
art style,0.0017224038810371
deviantart hyperrealistic,0.001693359271466775
beautiful,0.0016873938520816
deviantart realistic,0.0016842709558708
elson,0.00167643751792785
photorealistic digital,0.001672945237636408
traits painting,0.0016642595065582584
painting ronny,0.0016558546035227
surrealism surreal,0.0016024757627141806
fifth element,0.001598796610510575
jacket black,0.0015795194277166
runway,0.0015541622199147002
beksinski,0.0015541034763079
detailed ultra,0.00155180633328075
portrait male,0.0015470060202096001
illustration,0.0015324920744375665
matte,0.001531396513292875
ruins,0.0015232310323983
mila kunis,0.0015121856312057
gustav klimt,0.0014908843215686001
sitting snowy,0.0014750943729093
flowers,0.0014714542390697751
style portrait,0.00146657401315725
painting lush,0.0014431011708734346
lightning intricate,0.0014358193030631749
dramatic lighting,0.0014329113349596072
artstation hyperrealism,0.0014152562945907998
log houses,0.001391587781469825
detailed painting,0.0013875742895197
photo realistic,0.0013715559963975751
colors,0.0013701946026799501
zdzislaw beksinski,0.0013679070303
sony,0.0013537655306839502
movie poster,0.0013537531333754748
dark uncanny,0.0013326612500541997
statue,0.0013250190571491075
bonsai,0.0013210004582813002
headshot edwardian,0.001320130104996
garden intricate,0.001303253997750775
modern art,0.001296432908239171
goths,0.0012950129392465752
garden,0.001274614828985475
world photography,0.0012463809756997025
octane render,0.00123612104770325
alien,0.0012131285173091
cyborg,0.0012114738028516244
painting lurid,0.00120643885419675
frazetta,0.001201888362322975
wallpaper illustration,0.001182620044774825
artwork,0.0011773830735172751
manga,0.001150478340592375
vallejo frazetta,0.0010970050360031992
art punk,0.001092447108145375
faroe azores,0.0010914430865636337
room,0.001091262124281
houses built,0.00109025247894205
pink bonsai,0.001088387223330775
starmaker matte,0.0010802010459269001
hd unreal,0.001073426820375925
nerevarine,0.00106786487015715
goth,0.001064206101262825
portrait sabouts,0.0010488702764543411
contemporary art,0.001041187507146175
phyics entries,0.001025795296403425
madeira faroe,0.00101979898266155
artistic painting,0.0010164041513706502
ufo ignoring,0.001014660287450775
blinders photography,0.0010029643778312
pixie cut,0.00099404090232275
photography awards,0.000989685267995751
peter,0.00098167524876655
futuristic,0.000976981725244125
portrait extremely,0.0009759287365113749
art sharp,0.0009675543350504501
black,0.0009523113864225001
painting unreal,0.0009436869968175328
digital render,0.0009350290751707521
houses,0.0009229800069526499
detailed portrait,0.0009228461902447251
ufo,0.0009103087625034
goth emo,0.00091002174552525
beautiful landscape,0.0009089794331269122
painting beautiful,0.0009085221825484
artistic,0.000902211274903375
punk art,0.0009020885682476
edwardian photograph,0.000898176557732
giant digital,0.0008962950758413923
cosmic,0.0008887950537439
art realistic,0.0008807787451195015
candle butterfly,0.000870368330434125
art thorough,0.0008676684001999751
painting peter,0.00086535929011505
intricate hyper,0.0008490738630020855
uncanny painting,0.0008423394432708002
hd,0.000839599545809825
engine,0.0008379810088926501
collage canvas,0.000833369690097125
pixar,0.00083155735999635
studio ghibli,0.0008247677679830501
glamorous sophisticated,0.000812814896897825
emo,0.00081179140042635
fantasy style,0.0008117737345892785
woman,0.0007983422178308788
cinematic deviantart,0.000796994057329
illustrated,0.0007961163036824667
surreal,0.000791947347894425
camera,0.0007911220124345543
manga illustration,0.00078663689490685
frazetta fantasy,0.0007793398770492612
candle volumetric,0.00076694397810925
overcast thunder,0.0007647149929749799
artstation galaxy,0.000763930105814225
body manga,0.0007608356403815
male dunmer,0.000737374829095525
volumetric lighting,0.000724808571562275
intricate royo,0.0007236433723678249
picasso hair,0.0007222796005667834
painting character,0.0007189706489766506
shade talking,0.0007162411958678757
hd goth,0.0007137095543344001
divine,0.0007104306134228
rpg portrait,0.0007052765152476749
length portrait,0.000703178910560125
josan,0.0007014186391540467
dunmer nerevarine,0.00069644740684365
wizard,0.0006941358382460999
tracing artstation,0.0006835519711244501
science,0.0006799702896793
anime colors,0.000648904366153325
butterfly volumetric,0.00064240990217065
saitama,0.0006393427452801189
scariest looking,0.0006354572267068
steampunk himalayan,0.0006325483348746
goths loitering,0.0006253168452670911
dog,0.0006217030793879751
divine pink,0.000585274213863
style contemporary,0.0005761557613247581
cute fluffy,0.0005652743761159
art trending,0.000563820593432075
surreal concept,0.000552802282615512
painting stalenhag,0.0005492838438989065
surreal glimpse,0.0005484371778751
kylie,0.00054504236512255
sony world,0.0005392701386933628
glimpse universe,0.0005385061395096
alien planet,0.0005248228024632283
gundam unreal,0.000522749671735077
punk portrait,0.00052234094209975
himalayan,0.00052139254386395
painted pablo,0.000517602081077395
emo punk,0.00051746626039025
puppy,0.00050622347614175
century,0.0005013395122062678
clouds madeira,0.000499885640307175
vivec portrait,0.0004909182957937585
fluffy,0.000488536652115575
space,0.00048546334117986485
cat,0.00048522311679455814
lifelike photorealistic,0.0004726248117477346
abandoned,0.0004725476821798785
anime epic,0.00047048443822202894
kylie minogue,0.0004682733591413815
portrait photograph,0.000467389463333
beneath cherry,0.000448899202061625
bonsai tree,0.000441239799219625
mixed media,0.0004367074848527
science fiction,0.000425410427541775
himalayan rocksalt,0.00041843925553545515
photograph divine,0.0004181488325846508
painting aesthetic,0.00041798547282630036
fiction,0.00041351960312198193
avant garde,0.0004010656257472
marble hourglass,0.0004010645516704575
spaceship,0.0003933843244627
fashion clouds,0.0003869711954920334
minogue,0.00037708141959652504
lantern candle,0.0003650874106641889
armor daedric,0.00035789736381727793
puppy sitting,0.000357765217329
entries sony,0.0003513120149939222
bull modeled,0.0003499208458297
cloud fashion,0.00034183144197413336
painting chris,0.0003406921405282666
art city,0.00033902056081583934
wearing cloud,0.0003307832202948667
uncanny,0.0003278647965746
chris foss,0.0003277476601207334
flamingos,0.0003191832395420391
render hyperrealist,0.000314530744176425
looking camera,0.00031208108195745
pink flamingos,0.00031183042641885
chris,0.00030905658687463926
goddess wearing,0.0003085884409240333
media collage,0.000304031106639175
girl clouds,0.0003003931206831502
goddess creative,0.0002811379381479765
imposing cyborg,0.0002657894073930322
clouds girl,0.0002632547135749644
fiery alchemical,0.0002563134051327
surreal dark,0.0002498086112242
art hyperrealistic,0.00024259706158639998
clouds covered,0.00024171691978219998
cyborg bull,0.00024043986010769926
azores,0.00023927157865102498
pikachu hannah,0.00023809689254937502
bull looking,0.00022320084235594753
android cyborg,0.00022134912027613852
art josan,0.00021905121806136462
minogue barbarella,0.0002100216185983
body shot,0.0002071342529969279
colossal,0.00019011234608297498
art lifelike,0.00018733140221925473
lamp,0.00018484085759109707
cyborg body,0.000167465758765
detective pikachu,0.00015114428213611284
daedric armor,0.00012802719746337867
rocksalt lamp,0.00011824208155302929
steampunk butterfly,0.00010304475938040002
wooden churches,9.430093767475414e-05
tall castle,8.781912396798735e-05
castle enclosed,7.873039471686901e-05
hills slavic,7.699129205808118e-05
snowy,6.755389960111648e-05
oblivion skyrim,4.410729698125e-05
atmospheric lighting,2.9581290653479082e-05
creatures surreal,2.2990262602186807e-05
barbarella,2.277315022162353e-05
churches domes,1.5997242224263467e-05
lighting hd,7.085490525421448e-06
azores islands,2.8231310172593736e-06
alchemical creatures,0.0
