keyphrase,mean_abs_shap
abandoned,4.172263151880807e-06
alien,0.00046535368426184673
alien planet,0.00045081181048740475
android cyborg,0.0003598409449295458
anime,0.000496161540676782
anime colors,7.837147274185899e-05
anime epic,0.0005979876015394115
armor daedric,0.0
art,0.01198471286128091
art artgerm,0.002699515087350433
art city,0.0
art hyperrealistic,0.0
art josan,0.00044667217247731786
art lifelike,0.0003461378901289272
art punk,0.0
art realistic,0.0
art sharp,0.00048361089050113414
art smooth,0.00040095802253886415
art style,0.0004155254505587066
art thorough,2.2095410609649754e-05
art trending,8.939821228411397e-06
artistic,7.1839181628141e-06
artistic painting,0.00045008081774611106
artstation,0.01374309154082816
artstation cinematic,0.00010857937541681494
artstation galaxy,0.0
artstation hyperrealism,0.0
artwork,0.0009736879807379396
atmospheric lighting,0.002350015253582465
avant garde,0.0
azores,0.0004196874102590395
azores islands,0.0006251268650858102
beautiful landscape,0.0005037643929564048
beneath cherry,0.00039012860500767146
bjork,8.036303966822177e-06
black,0.0006227278623226026
body manga,0.0003908284467955906
body portrait,0.0
body shot,0.00040963463038917877
bonsai,0.0005578573878581462
bonsai tree,0.0
bull looking,0.00040631816679749565
bull modeled,0.00048439312747255005
butterfly volumetric,0.0
camera,0.0004755161488326296
candle butterfly,2.0494055591274497e-05
candle volumetric,0.00030044171314769577
canvas,5.246050903443794e-06
castle,0.0036090556829915257
castle enclosed,0.0
cat,7.433474522240992e-06
century,3.755047360246997e-05
century modern,0.000646564346109721
character portrait,0.0
chris,0.0
chris foss,0.00040333652106979074
churches domes,2.273178337448603e-06
cinematic,0.0012689958257146566
cinematic composition,0.0
cinematic deviantart,1.774006374266727e-05
city,3.019058428002644e-05
cloud fashion,9.302423698791862e-05
clouds,0.0068253966554415405
clouds covered,0.0
clouds girl,0.0
clouds madeira,0.0004885108398908083
collage canvas,0.0
colors,0.0
colossal,0.0005060645502781857
colossal goddess,0.00045562542931112287
comprehensive art,0.00376758133711539
concept art,0.025931779074416222
contemporary art,3.2475288141801554e-06
cute fluffy,0.000586617850473206
cyberpunk,0.00032380460180897117
cyborg,0.00037482617382499875
cyborg body,0.0005094035323015042
cyborg bull,0.000370637959263373
daedric armor,0.0
dark,0.0004107125910162619
dark uncanny,0.0
detailed painting,2.4798251586463674e-06
detailed portrait,0.0005668904382839838
detailed ultra,0.0005187047158913815
details intricate,8.450446305806185e-07
detective pikachu,0.0004931080679315159
deviantart,0.008269301646731885
deviantart hyperrealistic,0.00047585574954229175
deviantart realistic,0.0030264729562572384
digital art,0.012793365367182577
digital painting,0.059484570332255716
digital render,0.0004930903665255969
divine,0.0003567368574592519
divine pink,0.000528140135036644
dog,0.0
donald,0.0012961961908652517
dragon,0.0004528862335523037
dramatic lighting,0.0005422684893789841
drawing,0.0
dunmer nerevarine,8.843205428529037e-06
einstein,0.00034265801588840764
elf,0.0
elson,0.00048785280561849053
emo,0.0003732961943728688
emo punk,1.9164457377849365e-05
engine,0.0004145284225171641
entries sony,0.0011410310577961802
fantasy art,0.0024919580594772385
fantasy painting,0.0012423925157445236
fantasy style,0.00038179020603513466
faroe azores,0.0005058879167475245
fashion clouds,0.0
fiction,0.0004852510078310816
fiction film,0.000463150542986997
fifth element,0.0
film,0.010564881064816853
film neuromancer,0.0005702017121346866
flamingos,0.0004046436750239114
flowers,0.0
fluffy,2.352599478819991e-05
footage,0.004482944720515926
forest,0.0
frazetta,0.0005534166400568604
frazetta fantasy,4.239965115825934e-06
frazetta giger,0.0003774112636628208
futuristic,0.0
garden,6.30787801609451e-06
garden intricate,0.0004898862753141348
giant digital,0.0004800116252247003
girl clouds,2.812821823404165e-05
glamorous sophisticated,0.00042219589560016303
glimpse universe,0.0003919285302751433
goddess,0.005695114208335937
goddess creative,0.0004961534133521314
goddess wearing,0.0008408340914791853
gordon,0.0012304520495864592
goth,0.0032219874617255327
goth emo,0.0
goths,0.0005263083595695419
goths loitering,0.0005109090088319998
gundam,0.0005070375827273723
gundam unreal,0.0
gustav klimt,0.0024620113900468616
hd,0.0004884418678027624
hd goth,1.0422762757504088e-05
hd painting,0.0023929960993241133
hd unreal,0.0004904690342932936
heavy detailed,7.209225742044144e-06
high quality,2.925961041547259e-06
hills slavic,0.0
himalayan,0.0005880120066699784
himalayan rocksalt,0.0
houses,1.5642700623129268e-06
houses built,3.963352134162651e-06
hyper detailed,0.008879911590492005
illustrated,0.00018212096016618703
illustration,0.000272089446355848
illustration art,0.000411021682926994
imposing cyborg,0.0004880071697336953
intricate details,5.77899044285379e-06
intricate hyper,6.180661184362905e-05
intricate royo,0.0003384364189453926
intricate volumetric,0.000403014590510742
josan,0.00046111469268400574
josan gonzalez,0.00044412699790673086
knight,0.0003836344392167739
kylie,5.176390039325801e-06
kylie minogue,0.0
lamp,1.576051317063591e-05
landscape,0.0005083091502989954
landscape colourful,0.0
lantern candle,7.049336248971018e-06
length portrait,1.2656792654482728e-05
lifelike photorealistic,0.000428323903999342
lighting,1.3752552580365015e-05
lighting hd,0.0
lightning intricate,0.0004462982352832104
log houses,0.0
looking camera,0.0005218770766259487
low clouds,0.000367094025093939
madeira faroe,0.00045237789598067524
male dunmer,4.477708704488093e-06
manga,0.0003253438127406421
manga illustration,0.00036839336176398385
marble hourglass,0.0004122731001630748
matte,0.0004992064116140604
matte painting,0.014049630893484964
media collage,5.098359439099294e-06
mid century,0.0007295143247449088
minogue,1.5933820001293176e-06
mixed media,0.0
modern,4.7707381224030265e-05
modern art,0.0028308288431257668
movie,0.00046030120776621616
movie poster,0.00034679318923463916
natural scene,0.0014695314084286237
nerevarine,0.0
neuromancer,5.6199296492681e-05
oblivion skyrim,0.0
octane render,1.0475093439568034e-06
oil painting,0.0004979388600407041
overcast thunder,0.0004477528674486506
pablo picasso,0.0
painted,7.588837598855178e-05
painted pablo,0.0
painting,0.027483259848178662
painting aesthetic,6.109611778933722e-05
painting artstation,0.0006334215970556357
painting beautiful,0.0019409325583505542
painting character,0.00042478345231790164
painting chris,0.0004980794173360527
painting deviantart,9.401255758040446e-05
painting lurid,0.0
painting lush,0.0005166178495556925
painting peter,0.0003879329759619227
painting ronny,4.819765133573213e-05
painting sargent,0.00043946417264121944
painting stalenhag,0.0
painting unreal,0.0005284377181075756
