keyphrase,mean_abs_shap
abandoned,0.0006870515806435112
alchemical creatures,5.555888124398804e-05
alien,0.00271412681418807
alien planet,0.002040464147525778
android cyborg,0.0010755576893150048
anime,0.004931426836817994
anime colors,0.0016675387504587289
anime epic,0.0011300530102141386
armor daedric,0.0023563160814256134
art,0.022156950754858247
art artgerm,0.006984644735469102
art hyperrealistic,0.0028346893682911194
art lifelike,0.0017094023224159996
art punk,0.0021400221494753103
art realistic,0.0018576684055871717
art sharp,0.0024839023325365413
art smooth,0.00358426501269775
art style,0.003324046353176041
art thorough,0.0033551814840120887
art trending,0.00318980883160865
artistic,0.0012701664104114577
artistic painting,0.0017558893841466848
artstation,0.015789318496112228
artstation cinematic,0.0006845943556397874
artstation concept,0.0024293757568221554
artstation galaxy,0.0
artstation hyperrealism,0.0007050284565289579
artwork,0.001459650168131786
atmospheric lighting,0.0018354886622353327
azores,0.0012592837282801147
barbarella,0.0002592439501126686
beautiful,0.0019012073803130092
beautiful landscape,0.00017779268315258333
beksinski,0.002402023182601507
beneath cherry,0.00029971684040338913
bernard simunovic,0.0017427644393768478
bjork,0.00016944103331051978
black,0.0007870517304087309
blinders photography,0.0005374886442937542
body manga,0.0009410089456463729
body portrait,0.0034631856261809753
body shot,0.0013538582519450032
bonsai,0.0020740202101173053
bonsai tree,0.0002636207958217397
bull looking,0.0012631967062941454
bull modeled,0.0015659224234605645
butterfly volumetric,0.0021486114775977356
camera,0.0019332012726904087
candle butterfly,8.315883036014328e-05
candle volumetric,0.0006782366444618841
canvas,0.0020714413019791702
castle,0.004818433804393544
cat,0.00446802558110595
century,0.0007245192468473017
century modern,0.0038368243095163426
character portrait,0.004951840143031073
cinematic,0.004915140694609939
cinematic composition,0.0030670112711298787
cinematic deviantart,0.0030619540202208367
city,0.002123454822060557
clouds,0.010119390812336055
clouds madeira,0.00045736365006048013
collage canvas,0.0014051567837428964
colors,0.0007833450988154766
colossal,0.0013876317458509288
colossal goddess,0.0014036057059182586
comprehensive art,0.015421065662399591
concept art,0.013622920743113852
contemporary art,0.0016204517678663148
cosmic,4.000435446097947e-05
creatures surreal,2.1460436851500952e-05
cute fluffy,0.001624883530941963
cyberpunk,0.001492380077073414
cyborg,0.003828294499048454
cyborg body,0.0012179144782463716
cyborg bull,0.0015830685235105936
daedric armor,0.0022008471300541724
dark,0.0006153665850029953
dark uncanny,0.0004990624708568114
detailed painting,0.003015385725291381
detailed portrait,0.004718679461345681
detailed ultra,0.0008625878146753245
detective pikachu,0.0011607318060494034
deviantart,0.0050857718791284205
deviantart cinematic,0.001965044890226943
deviantart hyperrealistic,0.00017469429327571174
deviantart realistic,0.0073042030925688384
digital art,0.010805966057781004
digital painting,0.011954630079165808
digital render,0.000897773032723783
divine,0.00015660671216241286
divine pink,0.0006591794479006832
dog,0.0008515340381037363
donald,0.003413598473357905
dragon,0.004754825659514219
dramatic lighting,0.0022680746588431165
drawing,0.0005390086682267554
dunmer nerevarine,0.0007769311380281421
edwardian photograph,0.0002486809135586027
einstein,0.003548113806442381
elf,0.006239439406904752
elson,0.005321389636627034
emo,0.0013000640729336325
emo punk,0.0012734819525868192
engine,0.0030199463047697783
entries sony,0.0018219555195581256
fantasy art,0.00713750722308178
fantasy painting,0.006240463311794633
fantasy style,0.001490941847917588
faroe azores,0.0024948407128093123
fiction,0.002752797572463534
fiction film,0.0021663920123909416
fiery alchemical,0.00032661385170819975
fifth element,0.0018017543482983275
film,0.00798616572829401
film neuromancer,0.0022818505848471097
flamingos,4.5112994764551654e-05
flowers,0.0006890625412984163
fluffy,0.0010494771251866341
food photography,0.001200498296823843
footage,0.007256067580356255
forest,0.0007139665119273199
frazetta,0.0019795428596657066
frazetta giger,0.0007146613195916891
futuristic,0.0006870774181627587
garden,0.0010610485876952304
garden intricate,0.0031409914055703808
giant digital,0.00213727313029488
glamorous sophisticated,0.00029379276329755935
goddess,0.0032239316069159613
goddess creative,0.0006952807472561217
gordon,0.0032518807157655935
goth,0.006490490660995854
goth emo,0.001101290335901868
goths,0.0011644681308894493
goths loitering,0.0009254424457462392
gundam,0.0036685173559838037
gundam unreal,0.001803277273938558
hd,0.0016185941447326223
hd goth,0.0012332363037130924
hd painting,0.0038069387309460473
hd unreal,0.004640751438731356
headshot edwardian,5.444446726768677e-05
heavy detailed,0.00447608993964986
high quality,0.0009543268638970797
himalayan,0.0011878140195092652
himalayan rocksalt,4.547355873493187e-05
houses,0.0018949806007018527
houses built,0.0027607891087533566
hyper detailed,0.007701585191377536
illustration art,0.006160794082432714
imposing cyborg,0.0014031953351846358
intricate details,0.002953944521248633
intricate hyper,0.0019258721274375665
intricate royo,0.0012857217314664134
intricate volumetric,0.00102070205511143
jacket black,0.0007736934598054942
josan,0.0006514709291016531
josan gonzalez,0.00025246703531196216
kylie,9.664435790721579e-05
kylie minogue,0.00019130172182757599
lamp,0.00014713708820683643
landscape,0.006292548518148706
landscape colourful,0.00011583272898230688
lantern candle,0.001634357322614471
length portrait,0.00034099377433527834
lifelike photorealistic,0.004313445463896695
lighting,0.003407849344925954
lightning intricate,0.0002284312061187535
log houses,0.002266807799861245
looking camera,0.0014212856061290263
low clouds,0.0005623588083589962
madeira faroe,0.00043063453097886423
male dunmer,0.00026715546057428415
manga,0.00043675401797709315
manga illustration,0.0022968629059960154
marble hourglass,0.00014657762795590126
matte,0.0038212076381128543
matte painting,0.0244802886976874
