keyphrase,mean_abs_shap
abandoned,0.0003857048226408225
alien,0.0014233257448154337
alien planet,0.0012844176627400388
android cyborg,4.901888411769122e-05
anime,0.003073158737043932
anime colors,0.00033306314346027847
anime epic,0.0009805281752971041
armor daedric,0.0009918691679896056
art,0.023662895167144687
art artgerm,0.0033519173156171082
art city,2.4482625858419564e-05
art hyperrealistic,0.00019825969933378324
art josan,0.0008597251811246941
art lifelike,0.0001635561764910766
art punk,9.587854601081948e-06
art realistic,0.0008711223867459036
art sharp,0.00010344563697789878
art smooth,0.0014212996781590877
art style,0.0016678186810580348
art thorough,0.001185073851057248
art trending,0.0011396886629117169
artistic,0.00160868073611545
artistic painting,0.001276847102307749
artstation,0.025338659256335758
artstation cinematic,0.0007654021806423812
artstation galaxy,0.0011145908859558267
artstation hyperrealism,7.490736425055301e-05
artwork,0.0024795532761860365
atmospheric lighting,0.0031348353291574234
avant garde,6.912715864812375e-05
azores,0.001127967112397327
azores islands,0.001620405185019591
beautiful landscape,0.001263615270162949
beneath cherry,0.0012789928622778427
bjork,1.090136995395463e-06
black,0.00041001843098813304
body manga,0.0010069311714220465
body portrait,0.0008033178207254598
body shot,2.174226183671861e-05
bonsai,0.00024289014179992597
bonsai tree,0.00014278895542510842
bull looking,0.0
bull modeled,1.549283745886239e-05
butterfly volumetric,5.948411640793444e-06
camera,0.00021482368293187373
candle butterfly,5.924839354554278e-05
candle volumetric,8.769357329343257e-05
canvas,0.0011772281498843007
castle,0.005684095242172521
castle enclosed,0.0
cat,0.0014875733287561337
century,0.0003848822981090436
century modern,0.0028987050912374444
character portrait,0.0012309469218369123
chris,0.0009918263411134083
chris foss,1.8400873844662232e-05
churches domes,2.386380784253945e-05
cinematic,0.0033618161462300256
cinematic composition,0.0003062861124778762
cinematic deviantart,0.0009604192317864484
city,0.001222415675650516
cloud fashion,2.6501807548779968e-05
clouds,0.009230179545102699
clouds covered,0.0001132280663909248
clouds girl,0.00013885204435077188
clouds madeira,0.0010551741757616393
collage canvas,8.251300305238394e-06
colors,0.0003377591877726071
colossal,2.5467159777850027e-05
colossal goddess,4.986095508839169e-06
comprehensive art,0.006959922654816296
concept art,0.031106446221378422
contemporary art,1.822073372393937e-05
cute fluffy,0.0018920526799852734
cyberpunk,0.006156418377482714
cyborg,0.001460202632491549
cyborg body,4.641827008003067e-05
cyborg bull,0.0
daedric armor,0.0012067340952854253
dark,0.0010108289007964891
dark uncanny,0.001077512839395577
detailed painting,0.0022253444160828992
detailed portrait,0.002322373423866522
detailed ultra,0.0004964971568032186
details intricate,0.0013769082176277334
detective pikachu,0.0013486613516044477
deviantart,0.005088783800096561
deviantart hyperrealistic,0.0010458976301382285
deviantart realistic,0.0071408613151703
digital art,0.011062294215828586
digital painting,0.052462909852597016
digital render,0.0010290893993843571
divine,0.0
divine pink,0.0
dog,0.0008108960993463424
donald,0.0033349730755765903
dragon,0.0009900878537464385
dramatic lighting,0.0007052985657658185
drawing,0.0003779894075113754
dunmer nerevarine,0.000819328663743828
einstein,0.001585799866144973
elf,0.005073508750990581
elson,0.0020501142031784624
emo,0.002457635651470986
emo punk,0.0015521903203722146
engine,0.0003758783996891598
entries sony,0.0014693558754419404
fantasy art,0.015678079601285408
fantasy painting,0.006791846921337853
fantasy style,0.00010160078848717169
faroe azores,0.007816998640673752
fashion clouds,6.906933435453237e-05
fiction,8.738480693852937e-05
fiction film,5.124384073160906e-06
fifth element,0.00031596094125141443
film,0.016719867502967604
film neuromancer,0.00043681986603577485
flamingos,0.0
flowers,0.0007191974335710428
fluffy,0.00042207863578336415
footage,0.0067883677070552
forest,0.0018937372500976318
frazetta,0.0014470585953828153
frazetta fantasy,0.001433395659724159
frazetta giger,0.001271846384142684
futuristic,0.000566941212355829
garden,0.0017822025398376246
garden intricate,0.00011306708533436464
giant digital,9.328424180160905e-06
girl clouds,0.0002048104773159777
glamorous sophisticated,5.932602618318021e-05
glimpse universe,0.0010340615255471006
goddess,0.008805079968858435
goddess creative,3.564901674865299e-05
goddess wearing,0.0021127617194760416
gordon,0.002556311261120491
goth,0.0011074577528071318
goth emo,0.0009109414850471374
goths,0.0012323889310396938
goths loitering,0.001059653534033271
gundam,0.00403733232471142
gundam unreal,0.000994404784430936
gustav klimt,0.004153758170339667
hd,0.0007415547343261666
hd goth,0.0011118713946037025
hd painting,0.00193643295548659
hd unreal,0.002435044543262312
heavy detailed,0.00030376056913365007
high quality,0.0020866602930076066
hills slavic,2.8167346294990386e-06
himalayan,0.0031418368106048648
himalayan rocksalt,0.0013511769247351354
houses,4.123415904092638e-05
houses built,5.853154461183043e-05
hyper detailed,0.007840331872148661
illustrated,0.001578877258311315
illustration,0.002029195800082175
illustration art,0.00204443794804796
imposing cyborg,0.0
intricate details,0.0011198112115927091
intricate hyper,0.0012223364803985988
intricate royo,0.0
intricate volumetric,0.000298047120876753
josan,0.001034768347640278
josan gonzalez,0.0011552581469877659
knight,0.0019985974810207674
kylie,7.698658352967278e-05
kylie minogue,0.00012167176169951906
lamp,0.0013281271297141005
landscape,0.0025725726239388983
landscape colourful,0.0009459777373682657
lantern candle,0.00022214491931817624
length portrait,6.722943163356563e-05
lifelike photorealistic,0.000276902954674259
lighting,0.002183035773193677
lighting hd,0.0006697103853976471
lightning intricate,7.55749857999716e-05
log houses,3.902881705965265e-05
