keyphrase,mean_abs_shap
abandoned,0.0029431760540428384
alien,0.0019512695821896238
alien planet,0.001017683655837788
android cyborg,0.0
anime,0.004042935147566293
anime colors,0.002284007594350002
anime epic,0.0022100794893504636
armor daedric,0.0016422439721802853
art,0.00831370337362919
art artgerm,0.005976773299703271
art city,0.0005446868339323371
art hyperrealistic,0.0007743723344012054
art josan,0.0005503184365151121
art lifelike,0.0010403067518401801
art punk,3.6033739014841197e-05
art realistic,0.0011433313953859133
art sharp,0.0016716052046212959
art smooth,0.003397698884490013
art style,0.0016465850766953032
art thorough,0.0012523359081254798
art trending,0.002347041888061793
artistic,0.0016774149604633852
artistic painting,0.0015923007891935766
artstation,0.014877905804152403
artstation cinematic,0.0013648639062353088
artstation galaxy,0.0012060984827394288
artstation hyperrealism,0.00040041083100063286
artwork,0.0018812191584095307
atmospheric lighting,0.0020082431381461046
avant garde,0.001503222742554563
azores,0.001973198766401868
azores islands,0.0025240778420819537
beautiful landscape,0.0006421601694462196
beneath cherry,0.000567826438562166
bjork,3.5101432410334984e-05
black,0.002471909809583358
body manga,0.001336960937697545
body portrait,0.001468254838744735
body shot,0.0
bonsai,0.0002199062859786734
bonsai tree,5.561680256401519e-05
bull looking,0.0
bull modeled,0.0
butterfly volumetric,0.00018398987571657604
camera,0.0005857081189501429
candle butterfly,2.3218391868093388e-05
candle volumetric,0.0014180930449315629
canvas,8.365661288159591e-05
castle,0.0029725869588837486
castle enclosed,0.00015082660879950648
cat,0.0020108754119879777
century,0.0002894318737007324
century modern,0.002312960643579376
character portrait,0.00352238210733796
chris,0.00045697015018405406
chris foss,0.00044641312996420405
churches domes,6.257851447064772e-05
cinematic,0.003230106647822248
cinematic composition,0.0018572194250707928
cinematic deviantart,0.0
city,0.0019029468011127779
cloud fashion,0.0007234642453760787
clouds,0.004607268175147408
clouds covered,0.00019620043104910206
clouds girl,0.0009004239162887929
clouds madeira,0.0019920590683280928
collage canvas,4.33205439435195e-05
colors,0.0004979656624506054
colossal,0.0014154683506758742
colossal goddess,0.0018782830635070851
comprehensive art,0.0047301549245331205
concept art,0.01085753846791413
contemporary art,2.6491857540837417e-05
cute fluffy,0.0016428472152147408
cyberpunk,0.009251773631569059
cyborg,0.002173917522723062
cyborg body,0.0
cyborg bull,0.0
daedric armor,0.0013669959847363142
dark,0.0010186230933626114
dark uncanny,0.0020818121372688705
detailed painting,0.0017080664933019202
detailed portrait,0.0017267679943219452
detailed ultra,0.0017025222967887118
details intricate,0.00027963673815882366
detective pikachu,0.001148495719327944
deviantart,0.006876235193696008
deviantart hyperrealistic,0.0012604757553049267
deviantart realistic,0.016990784106429083
digital art,377221212231.89594
digital painting,0.022076349191228573
digital render,0.0008279841455989535
divine,0.0
divine pink,5.300194818255814e-05
dog,0.0005335006188003452
donald,0.0016229657222671552
dragon,0.00813990483867479
dramatic lighting,0.0006826575209840899
drawing,0.0008988806350110683
dunmer nerevarine,0.0009798844616672455
einstein,0.000967614573625455
elf,0.0021339475719587297
elson,0.005720220406425643
emo,0.001943359088583402
emo punk,0.0016000119984651718
engine,0.0012095329874115613
entries sony,0.002600639789389834
fantasy art,0.010158310220645677
fantasy painting,0.006986031819344983
fantasy style,3.535202129961844e-05
faroe azores,0.003484827430661421
fashion clouds,0.0005738404949475702
fiction,0.001215113665842732
fiction film,0.0013487149295841434
fifth element,0.0021859581247337043
film,0.0055109366742896685
film neuromancer,0.002477801014356176
flamingos,9.229693227506043e-05
flowers,0.0008738734804373809
fluffy,0.0009031615269313191
footage,0.004388192760572756
forest,0.003279659598546464
frazetta,0.00147425945012112
frazetta fantasy,7.17574810791858e-05
frazetta giger,0.0012759229014218942
futuristic,0.000831232607956513
garden,0.0024326854730856236
garden intricate,0.0003554035893620587
giant digital,0.0010981811741430684
girl clouds,0.0005099608569988044
glamorous sophisticated,0.0004185868376263949
glimpse universe,0.0016982169802142878
goddess,0.0009355277998925257
goddess creative,0.0
goddess wearing,0.0012463384146481364
gordon,0.0010411569507515978
goth,0.0037962105597585806
goth emo,0.0014034501417403897
goths,0.0
goths loitering,0.0006389498359562134
gundam,0.005150120246295467
gundam unreal,0.001269495472751389
gustav klimt,0.0019109647668354593
hd,0.001026378007267487
hd goth,0.0009993704817668361
hd painting,0.001525419943457378
hd unreal,0.003026643519681195
heavy detailed,0.0014818480580811924
high quality,0.001149801197217466
hills slavic,8.767910839112778e-05
himalayan,0.002019502440615349
himalayan rocksalt,0.0021103557745874553
houses,0.0004275695741474322
houses built,0.0004912563011968383
hyper detailed,0.005801941563066906
illustrated,0.002099311254719472
illustration,0.003095224892530624
illustration art,0.007017604882775696
imposing cyborg,0.0
intricate details,0.0026385335210506997
intricate hyper,0.0010531365403923013
intricate royo,0.001620229188442941
intricate volumetric,0.0014714266172648968
josan,0.0004967652381547634
josan gonzalez,0.0005043058915684701
knight,0.0032388120049889942
kylie,0.00043077694193267445
kylie minogue,0.0003759302644207199
lamp,0.001762192468680648
landscape,0.008407101962251601
landscape colourful,0.0
lantern candle,0.0012234462301580673
length portrait,0.0019952299013975155
lifelike photorealistic,0.0029155016019902433
lighting,0.0024546073726040936
lighting hd,0.0010288925755623521
lightning intricate,0.0005019749564173357
log houses,0.00048350621850543085
looking camera,0.0
low clouds,0.001221208187483854
madeira faroe,0.0020434671740427305
male dunmer,0.0009579099278481792
manga,0.001724604713041922
manga illustration,0.0018231863961491786
marble hourglass,0.001310533794015934
matte,0.0030352459969890085
matte painting,0.01271244150457136
media collage,0.00021354611526360005
mid century,0.0006548944833923384
minogue,0.0002586152296341557
mixed media,0.00012912760082546415
modern,0.0002537135263321173
modern art,0.002496590354715271
movie,0.0009100999316972667
movie poster,0.0008389925755888706
natural scene,0.0016669728519822212
nerevarine,0.0010655930595302222
neuromancer,0.0019310517728823198
oblivion skyrim,0.0013924132171141833
octane render,0.001953250299149715
